Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Nizamabad,Sirkonda,0.0,16.1,31.9,45.3,95.2,,
2021-01-02,Nizamabad,Sirkonda,0.0,14.9,31.1,45.7,95.5,,
2021-01-03,Nizamabad,Sirkonda,0.0,14.3,31.3,45.0,95.7,,
2021-01-04,Nizamabad,Sirkonda,0.0,16.1,31.8,41.7,92.5,,
2021-01-05,Nizamabad,Sirkonda,0.0,14.7,32.9,40.9,93.2,,
2021-01-06,Nizamabad,Sirkonda,0.0,18.6,31.8,41.9,90.7,,
2021-01-07,Nizamabad,Sirkonda,1.7,19.6,30.4,58.4,92.8,,
2021-01-08,Nizamabad,Sirkonda,1.8,20.3,26.4,70.1,94.5,,
2021-01-09,Nizamabad,Sirkonda,0.0,17.8,34.4,37.7,94.7,,
2021-01-10,Nizamabad,Sirkonda,0.0,16.9,35.1,26.4,94.0,,
2021-01-11,Nizamabad,Sirkonda,0.0,14.5,34.7,28.3,91.3,,
2021-01-12,Nizamabad,Sirkonda,0.0,16.3,32.9,37.0,92.4,,
2021-01-13,Nizamabad,Sirkonda,0.0,17.1,31.6,44.7,93.6,,
2021-01-14,Nizamabad,Sirkonda,0.0,15.1,34.0,34.0,93.3,,
2021-01-15,Nizamabad,Sirkonda,0.0,14.9,33.7,35.0,92.7,,
2021-01-16,Nizamabad,Sirkonda,0.0,15.7,32.6,40.3,92.9,,
2021-01-17,Nizamabad,Sirkonda,0.0,16.0,32.6,36.0,92.2,,
2021-01-18,Nizamabad,Sirkonda,0.0,16.6,32.8,37.5,92.8,,
2021-01-19,Nizamabad,Sirkonda,0.0,16.3,33.4,38.3,93.5,,
2021-01-20,Nizamabad,Sirkonda,0.0,18.1,35.4,31.4,84.3,,
2021-01-21,Nizamabad,Sirkonda,0.0,18.3,34.6,34.3,80.8,,
2021-01-22,Nizamabad,Sirkonda,0.0,16.9,32.8,41.9,91.3,,
2021-01-23,Nizamabad,Sirkonda,0.0,16.5,33.8,40.1,93.7,,
2021-01-24,Nizamabad,Sirkonda,0.0,19.0,34.0,37.2,85.0,,
2021-01-25,Nizamabad,Sirkonda,0.0,19.3,34.0,42.9,81.0,,
2021-01-26,Nizamabad,Sirkonda,0.0,19.6,33.7,43.8,78.9,,
2021-01-27,Nizamabad,Sirkonda,0.0,19.1,35.4,37.3,84.7,,
2021-01-28,Nizamabad,Sirkonda,0.0,20.0,34.4,45.7,82.2,,
2021-01-29,Nizamabad,Sirkonda,0.0,19.4,33.0,40.4,85.3,,
2021-01-30,Nizamabad,Sirkonda,0.0,18.5,32.4,39.7,91.2,,
2021-01-31,Nizamabad,Sirkonda,0.0,17.9,31.0,47.7,89.4,,
2021-02-01,Nizamabad,Sirkonda,0.0,17.2,32.9,43.7,83.8,,
2021-02-02,Nizamabad,Sirkonda,0.0,13.2,32.3,39.0,91.9,,
2021-02-03,Nizamabad,Sirkonda,0.0,10.4,32.1,21.0,91.6,,
2021-02-04,Nizamabad,Sirkonda,0.0,11.3,33.5,19.2,90.7,,
2021-02-05,Nizamabad,Sirkonda,0.0,12.4,32.4,23.1,88.6,,
2021-02-06,Nizamabad,Sirkonda,0.0,16.0,34.3,22.6,79.3,,
2021-02-07,Nizamabad,Sirkonda,0.0,13.0,31.7,35.4,92.3,,
2021-02-08,Nizamabad,Sirkonda,0.0,10.0,29.8,34.9,89.0,,
2021-02-09,Nizamabad,Sirkonda,0.0,8.9,30.0,25.6,92.6,,
2021-02-10,Nizamabad,Sirkonda,0.0,9.7,32.0,27.8,92.1,,
2021-02-11,Nizamabad,Sirkonda,0.0,12.6,32.4,24.5,88.9,,
2021-02-12,Nizamabad,Sirkonda,0.0,15.7,33.0,27.3,88.7,,
2021-02-13,Nizamabad,Sirkonda,0.0,15.4,34.5,28.5,83.4,,
2021-02-14,Nizamabad,Sirkonda,0.0,17.9,34.9,34.3,77.6,,
2021-02-15,Nizamabad,Sirkonda,0.0,18.0,35.9,28.1,76.8,,
2021-02-16,Nizamabad,Sirkonda,0.0,18.6,36.0,30.3,74.6,,
2021-02-17,Nizamabad,Sirkonda,0.0,19.8,36.0,26.8,68.0,,
2021-02-18,Nizamabad,Sirkonda,0.0,15.7,32.6,34.1,82.0,,
2021-02-19,Nizamabad,Sirkonda,0.0,17.8,30.6,47.9,82.0,,
2021-02-20,Nizamabad,Sirkonda,0.0,15.0,26.2,51.1,89.9,,
2021-02-21,Nizamabad,Sirkonda,0.0,17.1,31.2,37.7,86.4,,
2021-02-22,Nizamabad,Sirkonda,0.0,16.0,32.4,35.8,87.7,,
2021-02-23,Nizamabad,Sirkonda,0.0,14.7,33.8,33.0,84.0,,
2021-02-24,Nizamabad,Sirkonda,0.0,13.6,35.0,26.4,79.8,,
2021-02-25,Nizamabad,Sirkonda,0.0,14.5,36.0,24.1,79.1,,
2021-02-26,Nizamabad,Sirkonda,0.0,15.6,37.1,21.1,79.2,,
2021-02-27,Nizamabad,Sirkonda,0.0,16.0,37.8,25.5,78.8,,
2021-02-28,Nizamabad,Sirkonda,0.0,15.7,37.5,22.5,78.1,,
2021-03-01,Nizamabad,Sirkonda,0.0,21.2,38.7,18.7,70.6,,
2021-03-02,Nizamabad,Sirkonda,0.0,18.0,37.3,23.6,82.9,,
2021-03-03,Nizamabad,Sirkonda,0.0,17.6,37.1,22.9,83.8,,
2021-03-04,Nizamabad,Sirkonda,0.0,14.7,36.6,22.1,78.5,,
2021-03-05,Nizamabad,Sirkonda,0.0,18.4,36.3,18.2,67.4,,
2021-03-06,Nizamabad,Sirkonda,0.0,16.2,38.2,19.0,77.7,,
2021-03-07,Nizamabad,Sirkonda,0.0,16.6,37.2,18.7,74.5,,
2021-03-08,Nizamabad,Sirkonda,0.0,19.0,38.1,19.6,76.9,,
2021-03-09,Nizamabad,Sirkonda,0.0,21.4,37.7,27.0,76.7,,
2021-03-10,Nizamabad,Sirkonda,0.0,20.3,37.9,23.8,80.1,,
2021-03-11,Nizamabad,Sirkonda,0.0,19.9,35.5,36.6,74.6,,
2021-03-12,Nizamabad,Sirkonda,0.0,20.0,37.1,19.8,78.4,,
2021-03-13,Nizamabad,Sirkonda,0.0,19.3,37.7,24.9,72.9,,
2021-03-14,Nizamabad,Sirkonda,0.0,16.3,34.8,30.8,83.7,,
2021-03-15,Nizamabad,Sirkonda,0.0,16.8,36.8,19.2,77.1,,
2021-03-16,Nizamabad,Sirkonda,0.0,20.8,37.1,25.0,68.2,,
2021-03-17,Nizamabad,Sirkonda,0.0,20.2,36.0,29.6,74.7,,
2021-03-18,Nizamabad,Sirkonda,0.0,21.6,37.2,33.6,76.3,,
2021-03-19,Nizamabad,Sirkonda,0.0,18.6,36.6,28.9,80.0,,
2021-03-20,Nizamabad,Sirkonda,0.0,19.2,36.4,25.7,79.9,,
2021-03-21,Nizamabad,Sirkonda,0.0,18.4,34.2,33.3,77.3,,
2021-03-22,Nizamabad,Sirkonda,0.0,19.0,36.6,26.3,81.7,,
2021-03-23,Nizamabad,Sirkonda,0.0,20.3,35.3,35.4,78.8,,
2021-03-24,Nizamabad,Sirkonda,0.0,20.0,32.9,39.2,73.0,,
2021-03-25,Nizamabad,Sirkonda,0.0,19.1,36.0,32.0,81.6,,
2021-03-26,Nizamabad,Sirkonda,0.0,19.9,37.4,21.7,78.1,,
2021-03-27,Nizamabad,Sirkonda,0.0,21.2,39.1,22.5,71.1,,
2021-03-28,Nizamabad,Sirkonda,0.0,20.2,38.7,18.3,72.3,,
2021-03-29,Nizamabad,Sirkonda,0.0,22.5,40.4,13.9,67.8,,
2021-03-30,Nizamabad,Sirkonda,0.0,22.6,40.4,18.0,69.5,,
2021-03-31,Nizamabad,Sirkonda,0.0,22.3,40.6,18.7,63.3,,
2021-04-01,Nizamabad,Sirkonda,0.0,23.3,40.7,11.8,46.1,0.0,8.5
2021-04-02,Nizamabad,Sirkonda,0.0,21.6,40.7,19.4,58.0,0.0,12.4
2021-04-03,Nizamabad,Sirkonda,0.0,20.7,41.3,16.1,73.7,0.0,8.2
2021-04-04,Nizamabad,Sirkonda,0.0,21.6,41.0,17.7,80.0,0.0,8.7
2021-04-05,Nizamabad,Sirkonda,0.0,21.8,39.1,28.7,83.9,0.0,5.1
2021-04-06,Nizamabad,Sirkonda,0.0,23.2,38.1,33.3,83.5,0.0,10.8
2021-04-07,Nizamabad,Sirkonda,0.1,22.7,40.8,29.1,80.9,0.0,13.9
2021-04-08,Nizamabad,Sirkonda,0.0,25.0,40.8,24.7,69.3,0.0,11.9
2021-04-09,Nizamabad,Sirkonda,0.0,23.9,36.8,26.6,70.3,0.0,12.6
2021-04-10,Nizamabad,Sirkonda,0.0,23.7,38.8,25.1,68.5,0.0,11.1
2021-04-11,Nizamabad,Sirkonda,0.0,22.9,38.1,30.4,76.8,0.0,15.6
2021-04-12,Nizamabad,Sirkonda,0.0,21.6,37.2,30.0,81.1,0.0,12.4
2021-04-13,Nizamabad,Sirkonda,2.7,20.4,36.3,36.5,83.6,0.0,13.0
2021-04-14,Nizamabad,Sirkonda,0.0,21.7,36.8,36.4,82.8,0.0,12.4
2021-04-15,Nizamabad,Sirkonda,0.0,19.1,36.7,29.0,80.6,0.0,15.5
2021-04-16,Nizamabad,Sirkonda,0.0,20.6,37.5,29.2,80.3,0.0,15.1
2021-04-17,Nizamabad,Sirkonda,0.0,24.1,37.4,27.3,74.7,0.0,11.6
2021-04-18,Nizamabad,Sirkonda,0.0,21.3,40.5,23.4,77.9,0.0,6.9
2021-04-19,Nizamabad,Sirkonda,0.0,23.6,40.8,19.5,66.6,0.0,11.3
2021-04-20,Nizamabad,Sirkonda,0.0,23.5,42.3,18.6,71.5,0.0,6.8
2021-04-21,Nizamabad,Sirkonda,0.0,25.2,41.7,16.7,81.1,0.0,14.7
2021-04-22,Nizamabad,Sirkonda,0.0,24.4,39.6,24.9,78.3,0.0,11.3
2021-04-23,Nizamabad,Sirkonda,0.0,22.3,39.2,27.0,74.9,0.0,11.0
2021-04-24,Nizamabad,Sirkonda,0.0,20.8,39.9,24.0,76.6,0.0,13.3
2021-04-25,Nizamabad,Sirkonda,0.0,22.5,40.4,14.5,70.6,0.0,11.7
2021-04-26,Nizamabad,Sirkonda,0.0,25.9,41.3,14.8,59.6,0.0,17.4
2021-04-27,Nizamabad,Sirkonda,0.0,23.0,41.5,17.2,74.4,0.0,14.6
2021-04-28,Nizamabad,Sirkonda,0.0,24.8,39.7,17.5,59.7,0.0,14.1
2021-04-29,Nizamabad,Sirkonda,0.0,23.1,42.3,14.7,58.7,0.0,9.4
2021-04-30,Nizamabad,Sirkonda,0.0,25.6,42.8,13.0,56.7,0.2,15.3
2021-05-01,Nizamabad,Sirkonda,0.0,25.4,41.4,0.0,0.0,0.0,0.0
2021-05-02,Nizamabad,Sirkonda,0.0,22.6,38.2,0.0,0.0,0.0,0.0
2021-05-03,Nizamabad,Sirkonda,0.0,21.9,36.8,0.0,0.0,0.0,0.0
2021-05-04,Nizamabad,Sirkonda,0.0,21.2,37.5,0.0,0.0,0.0,0.0
2021-05-05,Nizamabad,Sirkonda,0.0,24.1,39.0,0.0,0.0,0.0,0.0
2021-05-06,Nizamabad,Sirkonda,0.0,24.7,37.1,0.0,0.0,0.0,0.0
2021-05-07,Nizamabad,Sirkonda,0.0,21.8,36.9,0.0,0.0,0.0,0.0
2021-05-08,Nizamabad,Sirkonda,0.0,25.7,36.3,0.0,0.0,0.0,0.0
2021-05-09,Nizamabad,Sirkonda,0.0,25.1,37.4,0.0,0.0,0.0,0.0
2021-05-10,Nizamabad,Sirkonda,0.0,24.6,37.1,0.0,0.0,0.0,0.0
2021-05-11,Nizamabad,Sirkonda,0.0,25.3,39.9,0.0,0.0,0.0,0.0
2021-05-12,Nizamabad,Sirkonda,0.0,24.5,41.1,0.0,0.0,0.0,0.0
2021-05-13,Nizamabad,Sirkonda,0.0,27.4,41.7,0.0,0.0,0.0,0.0
2021-05-14,Nizamabad,Sirkonda,0.0,28.1,40.0,0.0,0.0,0.0,0.0
2021-05-15,Nizamabad,Sirkonda,0.0,25.1,39.0,0.0,0.0,0.0,0.0
2021-05-16,Nizamabad,Sirkonda,0.0,26.1,37.1,0.0,0.0,0.0,0.0
2021-05-17,Nizamabad,Sirkonda,4.4,22.6,33.8,50.3,86.7,3.3,15.8
2021-05-18,Nizamabad,Sirkonda,0.0,26.1,36.6,41.9,79.8,3.1,17.6
2021-05-19,Nizamabad,Sirkonda,0.0,26.1,36.8,37.8,78.1,1.5,16.6
2021-05-20,Nizamabad,Sirkonda,0.0,26.1,38.3,32.4,77.2,0.0,12.8
2021-05-21,Nizamabad,Sirkonda,0.0,23.2,36.6,36.2,74.4,0.0,12.8
2021-05-22,Nizamabad,Sirkonda,0.0,25.4,38.9,17.3,76.5,0.7,15.3
2021-05-23,Nizamabad,Sirkonda,0.0,26.8,39.5,20.9,59.5,0.0,13.5
2021-05-24,Nizamabad,Sirkonda,0.0,25.4,40.0,23.1,62.4,0.0,14.4
2021-05-25,Nizamabad,Sirkonda,0.0,22.4,39.2,21.0,61.1,0.0,20.9
2021-05-26,Nizamabad,Sirkonda,0.0,24.7,38.6,16.4,57.2,0.0,20.8
2021-05-27,Nizamabad,Sirkonda,0.0,28.5,40.4,18.6,49.6,0.0,25.7
2021-05-28,Nizamabad,Sirkonda,2.4,26.3,38.7,28.4,72.2,0.3,22.4
2021-05-29,Nizamabad,Sirkonda,0.0,26.0,40.1,32.7,80.7,0.0,16.0
2021-05-30,Nizamabad,Sirkonda,10.0,23.7,40.4,30.4,90.2,0.0,20.1
2021-05-31,Nizamabad,Sirkonda,0.0,25.5,36.3,46.8,90.0,0.0,13.0
2021-06-01,Nizamabad,Sirkonda,0.0,25.5,38.6,31.9,75.2,0.0,12.5
2021-06-02,Nizamabad,Sirkonda,7.7,23.7,38.0,32.5,91.3,0.0,12.7
2021-06-03,Nizamabad,Sirkonda,0.0,23.4,35.9,39.5,84.8,0.0,13.1
2021-06-04,Nizamabad,Sirkonda,0.0,24.8,32.8,51.5,89.6,0.0,9.6
2021-06-05,Nizamabad,Sirkonda,2.4,23.4,33.2,45.7,98.1,0.0,18.8
2021-06-06,Nizamabad,Sirkonda,0.0,24.8,34.6,45.8,86.6,0.0,11.3
2021-06-07,Nizamabad,Sirkonda,0.0,25.1,36.1,37.2,78.4,0.0,15.5
2021-06-08,Nizamabad,Sirkonda,0.1,25.7,35.5,38.0,83.4,0.0,15.3
2021-06-09,Nizamabad,Sirkonda,4.1,24.0,37.2,38.7,94.9,0.0,18.1
2021-06-10,Nizamabad,Sirkonda,0.0,24.3,33.2,49.6,88.9,0.0,16.3
2021-06-11,Nizamabad,Sirkonda,14.2,23.1,33.8,52.2,96.8,0.0,21.7
2021-06-12,Nizamabad,Sirkonda,8.9,22.8,29.8,63.6,95.5,0.2,21.3
2021-06-13,Nizamabad,Sirkonda,0.0,23.7,30.1,65.4,87.0,0.0,21.4
2021-06-14,Nizamabad,Sirkonda,83.8,21.5,33.5,44.7,99.1,0.0,27.6
2021-06-15,Nizamabad,Sirkonda,3.8,22.7,32.3,63.2,99.1,0.7,17.0
2021-06-16,Nizamabad,Sirkonda,9.2,23.8,34.7,58.1,88.6,0.2,23.1
2021-06-17,Nizamabad,Sirkonda,0.8,24.1,33.1,42.9,87.5,0.0,19.3
2021-06-18,Nizamabad,Sirkonda,4.0,23.5,29.6,68.1,93.1,0.0,15.6
2021-06-19,Nizamabad,Sirkonda,3.0,24.6,32.9,43.7,83.9,1.4,18.5
2021-06-20,Nizamabad,Sirkonda,12.8,23.2,32.1,46.0,90.6,0.0,16.6
2021-06-21,Nizamabad,Sirkonda,0.0,24.5,33.0,54.6,77.6,0.0,20.1
2021-06-22,Nizamabad,Sirkonda,0.0,25.6,35.8,40.6,77.2,0.0,16.9
