Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Nizamabad,Yeda_Palle,0.0,16.8,29.3,50.2,100.0,,
2021-01-02,Nizamabad,Yeda_Palle,0.0,16.3,29.5,57.3,100.0,,
2021-01-03,Nizamabad,Yeda_Palle,0.0,16.0,30.3,46.9,100.0,,
2021-01-04,Nizamabad,Yeda_Palle,0.0,15.2,28.9,52.9,100.0,,
2021-01-05,Nizamabad,Yeda_Palle,0.0,15.6,31.2,33.5,100.0,,
2021-01-06,Nizamabad,Yeda_Palle,0.0,18.5,29.8,51.1,100.0,,
2021-01-07,Nizamabad,Yeda_Palle,0.0,20.4,28.8,70.6,100.0,,
2021-01-08,Nizamabad,Yeda_Palle,0.0,20.7,27.0,56.1,100.0,,
2021-01-09,Nizamabad,Yeda_Palle,0.0,19.9,32.9,44.0,100.0,,
2021-01-10,Nizamabad,Yeda_Palle,0.0,17.6,32.5,23.7,100.0,,
2021-01-11,Nizamabad,Yeda_Palle,0.0,17.0,34.1,25.2,100.0,,
2021-01-12,Nizamabad,Yeda_Palle,0.0,17.6,31.8,42.8,100.0,,
2021-01-13,Nizamabad,Yeda_Palle,0.0,18.2,32.0,50.2,100.0,,
2021-01-14,Nizamabad,Yeda_Palle,0.0,17.7,33.8,41.2,100.0,,
2021-01-15,Nizamabad,Yeda_Palle,0.0,16.9,33.8,41.2,100.0,,
2021-01-16,Nizamabad,Yeda_Palle,0.0,17.4,32.7,41.1,100.0,,
2021-01-17,Nizamabad,Yeda_Palle,0.0,17.8,32.7,40.0,100.0,,
2021-01-18,Nizamabad,Yeda_Palle,0.0,17.9,31.6,43.1,100.0,,
2021-01-19,Nizamabad,Yeda_Palle,0.0,16.6,31.5,45.0,100.0,,
2021-01-20,Nizamabad,Yeda_Palle,0.0,17.6,33.1,25.2,100.0,,
2021-01-21,Nizamabad,Yeda_Palle,0.0,18.9,34.8,25.2,100.0,,
2021-01-22,Nizamabad,Yeda_Palle,0.0,19.0,32.8,25.2,98.0,,
2021-01-23,Nizamabad,Yeda_Palle,0.0,17.2,33.4,41.9,100.0,,
2021-01-24,Nizamabad,Yeda_Palle,0.0,17.9,34.3,40.6,100.0,,
2021-01-25,Nizamabad,Yeda_Palle,0.0,18.4,34.1,40.9,100.0,,
2021-01-26,Nizamabad,Yeda_Palle,0.0,18.8,32.6,40.3,95.2,,
2021-01-27,Nizamabad,Yeda_Palle,0.0,19.0,33.7,25.2,100.0,,
