Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Warangal Rural,Atmakur,0.0,15.8,30.7,51.1,100.0,,
2021-01-02,Warangal Rural,Atmakur,0.0,14.9,29.3,54.5,100.0,,
2021-01-03,Warangal Rural,Atmakur,0.0,14.6,30.0,50.6,100.0,,
2021-01-04,Warangal Rural,Atmakur,0.0,14.1,29.2,54.0,100.0,,
2021-01-05,Warangal Rural,Atmakur,0.0,14.8,30.7,47.4,100.0,,
2021-01-06,Warangal Rural,Atmakur,0.0,20.9,31.6,48.9,97.2,,
2021-01-07,Warangal Rural,Atmakur,0.0,21.7,30.1,60.3,91.0,,
2021-01-08,Warangal Rural,Atmakur,0.0,20.2,29.3,62.2,100.0,,
2021-01-09,Warangal Rural,Atmakur,0.0,14.0,31.9,43.4,100.0,,
2021-01-10,Warangal Rural,Atmakur,0.0,15.3,33.2,21.2,100.0,,
2021-01-11,Warangal Rural,Atmakur,0.0,14.8,32.1,36.8,100.0,,
2021-01-12,Warangal Rural,Atmakur,0.0,17.3,32.7,45.6,100.0,,
2021-01-13,Warangal Rural,Atmakur,0.0,16.2,31.9,40.6,100.0,,
2021-01-14,Warangal Rural,Atmakur,0.0,17.5,33.1,37.9,100.0,,
2021-01-15,Warangal Rural,Atmakur,0.0,15.9,32.3,37.9,100.0,,
2021-01-16,Warangal Rural,Atmakur,0.0,15.9,32.2,43.4,100.0,,
2021-01-17,Warangal Rural,Atmakur,0.0,16.3,32.6,43.4,100.0,,
2021-01-18,Warangal Rural,Atmakur,0.0,16.8,31.3,48.3,100.0,,
2021-01-19,Warangal Rural,Atmakur,0.0,16.5,31.4,52.1,100.0,,
2021-01-20,Warangal Rural,Atmakur,0.0,16.8,31.7,51.1,100.0,,
2021-01-21,Warangal Rural,Atmakur,0.0,16.4,34.1,36.5,100.0,,
2021-01-22,Warangal Rural,Atmakur,0.0,18.4,33.4,46.5,100.0,,
2021-01-23,Warangal Rural,Atmakur,0.0,18.7,33.6,43.7,100.0,,
2021-01-24,Warangal Rural,Atmakur,0.0,17.0,32.2,50.5,100.0,,
2021-01-25,Warangal Rural,Atmakur,0.0,16.8,32.6,46.1,100.0,,
2021-01-26,Warangal Rural,Atmakur,0.0,17.2,32.4,46.7,100.0,,
2021-01-27,Warangal Rural,Atmakur,0.0,18.2,32.6,46.1,100.0,,
2021-01-28,Warangal Rural,Atmakur,0.0,18.6,31.3,56.4,100.0,,
2021-01-29,Warangal Rural,Atmakur,0.0,18.7,31.2,58.9,100.0,,
2021-01-30,Warangal Rural,Atmakur,0.0,18.4,31.8,50.5,100.0,,
2021-01-31,Warangal Rural,Atmakur,0.0,18.0,31.7,53.5,98.7,,
2021-02-01,Warangal Rural,Atmakur,0.0,18.0,31.6,54.5,100.0,,
2021-02-02,Warangal Rural,Atmakur,0.0,14.1,31.0,37.9,100.0,,
2021-02-03,Warangal Rural,Atmakur,0.0,12.9,32.0,33.4,100.0,,
2021-02-04,Warangal Rural,Atmakur,0.0,14.3,31.2,15.8,100.0,,
2021-02-05,Warangal Rural,Atmakur,0.0,13.3,32.4,27.5,100.0,,
2021-02-06,Warangal Rural,Atmakur,0.0,15.1,32.1,26.2,100.0,,
2021-02-07,Warangal Rural,Atmakur,0.0,16.6,32.0,37.3,96.2,,
2021-02-08,Warangal Rural,Atmakur,0.0,12.3,29.6,41.4,82.1,,
2021-02-09,Warangal Rural,Atmakur,0.0,11.9,29.7,29.8,100.0,,
2021-02-10,Warangal Rural,Atmakur,0.0,12.3,30.6,21.6,100.0,,
2021-02-11,Warangal Rural,Atmakur,0.0,14.7,31.5,27.5,100.0,,
2021-02-12,Warangal Rural,Atmakur,0.0,16.9,32.8,37.3,100.0,,
2021-02-13,Warangal Rural,Atmakur,0.0,17.3,32.4,40.1,100.0,,
2021-02-14,Warangal Rural,Atmakur,0.0,16.8,32.8,46.1,100.0,,
2021-02-15,Warangal Rural,Atmakur,0.0,19.0,33.8,36.0,93.2,,
2021-02-16,Warangal Rural,Atmakur,0.0,16.8,33.5,36.8,100.0,,
2021-02-17,Warangal Rural,Atmakur,0.0,16.1,33.5,39.3,100.0,,
2021-02-18,Warangal Rural,Atmakur,0.0,17.6,33.1,37.6,100.0,,
2021-02-19,Warangal Rural,Atmakur,2.4,17.3,31.2,55.9,100.0,,
2021-02-20,Warangal Rural,Atmakur,0.0,19.1,27.3,62.6,86.6,,
2021-02-21,Warangal Rural,Atmakur,0.0,16.8,30.4,48.9,100.0,,
2021-02-22,Warangal Rural,Atmakur,0.0,18.2,31.5,43.9,100.0,,
2021-02-23,Warangal Rural,Atmakur,0.0,17.1,32.3,42.8,100.0,,
2021-02-24,Warangal Rural,Atmakur,0.0,14.9,33.5,25.1,100.0,,
2021-02-25,Warangal Rural,Atmakur,0.0,16.2,35.4,21.8,100.0,,
2021-02-26,Warangal Rural,Atmakur,0.0,15.9,36.2,22.7,100.0,,
2021-02-27,Warangal Rural,Atmakur,0.0,18.5,37.6,18.8,99.1,,
2021-02-28,Warangal Rural,Atmakur,0.0,17.0,35.4,19.4,100.0,,
2021-03-01,Warangal Rural,Atmakur,0.0,20.0,37.4,17.7,99.4,,
2021-03-02,Warangal Rural,Atmakur,0.0,18.8,36.5,31.3,100.0,,
2021-03-03,Warangal Rural,Atmakur,0.0,19.0,36.1,32.0,96.4,,
2021-03-04,Warangal Rural,Atmakur,0.0,16.8,35.7,21.4,100.0,,
2021-03-05,Warangal Rural,Atmakur,0.0,16.6,35.6,25.4,96.2,,
2021-03-06,Warangal Rural,Atmakur,0.0,16.6,35.6,26.7,92.3,,
2021-03-07,Warangal Rural,Atmakur,0.0,16.2,36.8,14.2,100.0,,
2021-03-08,Warangal Rural,Atmakur,0.0,19.2,36.9,25.4,100.0,,
2021-03-09,Warangal Rural,Atmakur,0.0,21.1,34.8,43.2,100.0,,
2021-03-10,Warangal Rural,Atmakur,0.0,19.3,32.8,45.4,100.0,,
2021-03-11,Warangal Rural,Atmakur,0.0,18.8,34.1,42.6,100.0,,
2021-03-12,Warangal Rural,Atmakur,0.0,19.2,34.5,34.9,100.0,,
2021-03-13,Warangal Rural,Atmakur,0.0,16.1,34.1,43.2,100.0,,
2021-03-14,Warangal Rural,Atmakur,0.0,16.7,34.1,19.9,100.0,,
2021-03-15,Warangal Rural,Atmakur,0.0,18.3,35.6,24.1,96.4,,
2021-03-16,Warangal Rural,Atmakur,0.0,20.7,35.2,24.1,100.0,,
2021-03-17,Warangal Rural,Atmakur,0.0,22.0,35.7,42.6,100.0,,
2021-03-18,Warangal Rural,Atmakur,0.0,21.4,35.0,44.3,100.0,,
2021-03-19,Warangal Rural,Atmakur,0.0,20.1,34.4,39.3,97.4,,
2021-03-20,Warangal Rural,Atmakur,0.0,21.2,34.5,36.5,97.9,,
2021-03-21,Warangal Rural,Atmakur,0.0,21.3,36.0,24.7,87.5,,
2021-03-22,Warangal Rural,Atmakur,0.0,20.2,34.5,37.6,100.0,,
2021-03-23,Warangal Rural,Atmakur,0.0,23.2,36.8,37.4,81.0,,
2021-03-24,Warangal Rural,Atmakur,0.0,20.2,33.7,39.3,81.7,,
2021-03-25,Warangal Rural,Atmakur,0.0,19.7,36.3,33.9,100.0,,
2021-03-26,Warangal Rural,Atmakur,0.0,21.0,38.3,22.3,100.0,,
2021-03-27,Warangal Rural,Atmakur,0.0,23.0,38.8,46.9,68.8,,
2021-03-28,Warangal Rural,Atmakur,0.0,23.6,39.6,32.8,92.4,,
2021-03-29,Warangal Rural,Atmakur,0.0,23.4,40.2,29.8,92.4,,
2021-03-30,Warangal Rural,Atmakur,0.0,23.3,38.1,36.8,94.5,,
2021-03-31,Warangal Rural,Atmakur,0.0,19.9,39.1,33.8,90.8,,
2021-04-01,Warangal Rural,Atmakur,0.0,18.9,38.8,12.4,91.1,0.0,23.1
2021-04-02,Warangal Rural,Atmakur,0.0,22.2,38.4,20.3,86.4,0.0,21.5
2021-04-03,Warangal Rural,Atmakur,0.0,22.0,39.5,15.7,83.3,0.0,15.3
2021-04-04,Warangal Rural,Atmakur,0.0,25.6,38.2,40.0,94.1,0.0,19.9
2021-04-05,Warangal Rural,Atmakur,0.0,23.9,35.3,51.9,100.0,0.0,20.0
2021-04-06,Warangal Rural,Atmakur,0.0,22.2,35.1,58.8,97.7,0.0,17.0
2021-04-07,Warangal Rural,Atmakur,0.0,24.0,35.8,55.9,100.0,0.0,17.4
2021-04-08,Warangal Rural,Atmakur,0.0,23.7,37.0,46.9,100.0,0.0,15.0
2021-04-09,Warangal Rural,Atmakur,0.0,23.5,36.9,43.0,96.7,0.0,27.3
2021-04-10,Warangal Rural,Atmakur,0.0,23.3,36.0,46.3,95.7,0.0,19.2
2021-04-11,Warangal Rural,Atmakur,0.0,23.3,36.6,49.7,82.8,0.0,32.0
2021-04-12,Warangal Rural,Atmakur,0.0,23.7,36.6,41.3,91.9,0.0,13.9
2021-04-13,Warangal Rural,Atmakur,32.1,20.6,36.3,45.2,100.0,0.0,23.4
2021-04-14,Warangal Rural,Atmakur,7.8,20.4,36.6,41.9,100.0,0.0,26.1
2021-04-15,Warangal Rural,Atmakur,0.0,22.0,32.8,55.4,98.6,0.0,19.3
2021-04-16,Warangal Rural,Atmakur,0.0,22.2,35.4,42.4,100.0,0.0,17.9
2021-04-17,Warangal Rural,Atmakur,0.0,23.5,36.3,36.3,100.0,0.0,15.4
2021-04-18,Warangal Rural,Atmakur,0.0,24.2,38.0,36.6,100.0,0.0,13.2
2021-04-19,Warangal Rural,Atmakur,0.0,23.9,37.2,43.9,96.2,0.0,18.9
2021-04-20,Warangal Rural,Atmakur,0.0,26.5,40.6,27.2,91.7,0.0,23.0
2021-04-21,Warangal Rural,Atmakur,0.0,24.0,37.8,44.4,85.5,0.0,19.8
2021-04-22,Warangal Rural,Atmakur,21.5,22.3,37.6,47.8,100.0,0.0,38.9
2021-04-23,Warangal Rural,Atmakur,0.0,23.9,34.4,56.9,95.1,0.0,15.2
2021-04-24,Warangal Rural,Atmakur,0.0,23.8,36.5,42.4,89.6,0.0,11.0
2021-04-25,Warangal Rural,Atmakur,0.0,23.3,37.2,33.9,84.6,0.0,6.3
2021-04-26,Warangal Rural,Atmakur,0.0,24.0,38.2,35.5,98.1,0.0,9.0
2021-04-27,Warangal Rural,Atmakur,0.0,23.5,37.8,20.3,77.8,0.0,19.2
2021-04-28,Warangal Rural,Atmakur,0.0,23.1,37.9,21.7,86.9,0.0,14.0
2021-04-29,Warangal Rural,Atmakur,0.0,24.5,39.0,23.6,99.2,0.0,14.3
2021-04-30,Warangal Rural,Atmakur,0.0,21.2,38.3,40.5,79.9,0.0,37.2
2021-05-01,Warangal Rural,Atmakur,0.0,22.9,37.9,0.0,0.0,0.0,0.0
2021-05-02,Warangal Rural,Atmakur,0.0,24.2,36.5,0.0,0.0,0.0,0.0
2021-05-03,Warangal Rural,Atmakur,0.0,23.0,37.0,0.0,0.0,0.0,0.0
2021-05-04,Warangal Rural,Atmakur,0.0,23.6,37.0,0.0,0.0,0.0,0.0
2021-05-05,Warangal Rural,Atmakur,0.0,25.7,36.6,0.0,0.0,0.0,0.0
2021-05-06,Warangal Rural,Atmakur,0.0,24.9,37.9,0.0,0.0,0.0,0.0
2021-05-07,Warangal Rural,Atmakur,0.0,25.9,36.1,0.0,0.0,0.0,0.0
2021-05-08,Warangal Rural,Atmakur,0.0,27.3,38.1,0.0,0.0,0.0,0.0
2021-05-09,Warangal Rural,Atmakur,0.0,26.4,36.9,0.0,0.0,0.0,0.0
2021-05-10,Warangal Rural,Atmakur,0.0,27.0,37.8,0.0,0.0,0.0,0.0
2021-05-11,Warangal Rural,Atmakur,0.0,27.2,39.7,0.0,0.0,0.0,0.0
2021-05-12,Warangal Rural,Atmakur,0.0,23.5,38.8,0.0,0.0,0.0,0.0
2021-05-13,Warangal Rural,Atmakur,0.0,23.5,37.9,0.0,0.0,0.0,0.0
2021-05-14,Warangal Rural,Atmakur,0.0,27.3,39.1,0.0,0.0,0.0,0.0
2021-05-15,Warangal Rural,Atmakur,0.0,26.7,36.9,0.0,0.0,0.0,0.0
2021-05-16,Warangal Rural,Atmakur,0.0,26.0,38.1,0.0,0.0,0.0,0.0
2021-05-17,Warangal Rural,Atmakur,0.0,26.3,32.9,64.2,97.1,0.0,40.6
2021-05-18,Warangal Rural,Atmakur,0.0,27.0,37.2,50.8,88.9,0.0,24.8
2021-05-19,Warangal Rural,Atmakur,0.0,27.3,37.8,47.2,87.5,0.0,24.8
2021-05-20,Warangal Rural,Atmakur,0.0,25.5,38.2,45.6,90.4,0.0,19.6
2021-05-21,Warangal Rural,Atmakur,0.0,26.4,37.0,45.2,86.7,0.0,22.4
2021-05-22,Warangal Rural,Atmakur,0.0,25.4,38.3,30.9,85.4,0.0,30.8
2021-05-23,Warangal Rural,Atmakur,0.0,26.2,38.7,25.6,87.7,0.0,6.5
2021-05-24,Warangal Rural,Atmakur,0.0,28.3,40.0,28.2,74.2,0.0,22.3
2021-05-25,Warangal Rural,Atmakur,0.0,28.3,39.4,26.9,63.2,0.0,26.9
2021-05-26,Warangal Rural,Atmakur,0.0,22.8,38.7,14.8,70.3,0.0,27.3
2021-05-27,Warangal Rural,Atmakur,0.0,31.3,40.7,17.2,40.2,0.0,35.2
2021-05-28,Warangal Rural,Atmakur,0.0,29.5,39.7,27.6,62.7,0.0,23.8
2021-05-29,Warangal Rural,Atmakur,0.0,26.6,38.5,32.9,74.0,0.0,17.1
2021-05-30,Warangal Rural,Atmakur,0.0,27.5,41.6,25.9,72.8,0.0,14.7
2021-05-31,Warangal Rural,Atmakur,0.0,27.9,39.3,32.9,70.1,0.0,9.0
2021-06-01,Warangal Rural,Atmakur,6.9,24.4,40.6,31.2,100.0,0.0,14.3
2021-06-02,Warangal Rural,Atmakur,0.0,27.1,37.5,43.3,85.0,0.0,8.8
2021-06-03,Warangal Rural,Atmakur,83.1,23.1,37.3,44.4,100.0,0.0,34.3
2021-06-04,Warangal Rural,Atmakur,19.4,22.6,28.9,92.1,100.0,0.0,7.9
2021-06-05,Warangal Rural,Atmakur,7.3,23.6,34.9,65.7,100.0,0.0,13.4
2021-06-06,Warangal Rural,Atmakur,0.0,26.1,35.1,57.9,97.1,0.0,15.7
2021-06-07,Warangal Rural,Atmakur,0.0,26.6,36.9,48.5,91.3,0.0,14.3
2021-06-08,Warangal Rural,Atmakur,7.1,25.2,36.0,54.9,100.0,0.0,4.6
2021-06-09,Warangal Rural,Atmakur,20.3,23.8,36.7,45.2,100.0,0.0,20.3
2021-06-10,Warangal Rural,Atmakur,4.3,23.7,30.9,91.1,100.0,0.0,17.8
2021-06-11,Warangal Rural,Atmakur,4.4,23.9,33.0,69.5,100.0,0.0,18.1
2021-06-12,Warangal Rural,Atmakur,3.8,24.3,31.8,85.0,100.0,0.0,40.4
2021-06-13,Warangal Rural,Atmakur,0.0,26.5,32.4,64.6,95.9,0.0,20.8
2021-06-14,Warangal Rural,Atmakur,33.3,22.8,34.4,62.7,100.0,0.0,27.9
2021-06-15,Warangal Rural,Atmakur,21.5,23.2,32.0,89.2,100.0,0.0,16.2
2021-06-16,Warangal Rural,Atmakur,0.0,24.5,32.0,74.5,100.0,0.0,16.4
2021-06-17,Warangal Rural,Atmakur,3.2,25.8,34.3,62.7,100.0,0.0,16.3
2021-06-18,Warangal Rural,Atmakur,2.9,25.6,32.0,88.7,100.0,0.0,20.3
2021-06-19,Warangal Rural,Atmakur,1.7,25.9,33.3,66.6,92.6,0.0,19.4
2021-06-20,Warangal Rural,Atmakur,0.0,26.0,32.9,63.7,89.0,0.0,22.4
2021-06-21,Warangal Rural,Atmakur,0.0,26.7,35.1,54.9,80.8,0.0,18.9
2021-06-22,Warangal Rural,Atmakur,0.0,26.7,35.6,50.2,88.1,0.0,12.0
2021-06-23,Warangal Rural,Atmakur,6.3,24.7,33.4,61.8,100.0,0.0,15.3
2021-06-24,Warangal Rural,Atmakur,13.5,23.5,29.5,92.1,100.0,0.0,22.2
2021-06-25,Warangal Rural,Atmakur,2.1,24.2,30.5,89.7,100.0,0.0,18.3
2021-06-26,Warangal Rural,Atmakur,3.0,24.8,32.6,69.5,100.0,0.0,24.6
2021-06-27,Warangal Rural,Atmakur,36.9,23.0,33.3,73.0,100.0,0.0,19.2
2021-06-28,Warangal Rural,Atmakur,33.6,24.5,32.4,88.5,100.0,0.0,28.2
2021-06-29,Warangal Rural,Atmakur,1.9,25.7,33.8,87.1,100.0,0.0,6.8
2021-06-30,Warangal Rural,Atmakur,2.7,26.1,34.7,70.4,100.0,0.0,13.6
2021-07-01,Warangal Rural,Atmakur,24.9,23.3,36.4,60.3,100.0,0.0,15.1
2021-07-02,Warangal Rural,Atmakur,33.2,23.2,30.9,96.8,100.0,0.0,9.5
2021-07-03,Warangal Rural,Atmakur,0.4,24.5,28.3,98.5,100.0,0.0,9.0
2021-07-04,Warangal Rural,Atmakur,0.0,25.1,32.6,72.7,100.0,0.0,19.8
2021-07-05,Warangal Rural,Atmakur,0.0,25.9,35.1,63.2,100.0,0.0,9.5
2021-07-06,Warangal Rural,Atmakur,0.0,24.5,32.6,77.1,100.0,0.0,9.7
2021-07-07,Warangal Rural,Atmakur,0.0,26.3,34.2,57.9,100.0,0.0,6.8
2021-07-08,Warangal Rural,Atmakur,0.3,24.7,35.8,65.7,100.0,0.0,9.6
2021-07-09,Warangal Rural,Atmakur,0.0,24.9,29.6,81.5,100.0,0.0,7.7
2021-07-10,Warangal Rural,Atmakur,0.0,25.1,33.4,73.1,100.0,0.0,15.1
2021-07-11,Warangal Rural,Atmakur,6.1,25.4,32.3,86.4,100.0,0.0,15.4
2021-07-12,Warangal Rural,Atmakur,44.5,23.7,27.0,93.4,98.8,0.0,0.9
2021-07-13,Warangal Rural,Atmakur,4.6,24.4,31.3,85.4,98.8,0.0,4.0
2021-07-14,Warangal Rural,Atmakur,14.3,24.7,29.7,95.9,100.0,0.0,12.4
2021-07-15,Warangal Rural,Atmakur,28.0,23.2,28.5,97.5,100.0,0.0,14.1
2021-07-16,Warangal Rural,Atmakur,0.4,25.0,30.1,96.8,100.0,0.0,10.2
2021-07-17,Warangal Rural,Atmakur,0.0,25.5,32.6,92.5,100.0,0.0,9.1
2021-07-18,Warangal Rural,Atmakur,0.0,25.9,33.1,80.5,100.0,0.0,10.8
2021-07-19,Warangal Rural,Atmakur,1.3,25.1,33.2,84.8,100.0,0.0,21.8
2021-07-20,Warangal Rural,Atmakur,1.1,25.6,32.6,88.5,100.0,0.0,10.2
2021-07-21,Warangal Rural,Atmakur,35.7,23.3,31.5,88.3,100.0,0.0,12.6
2021-07-22,Warangal Rural,Atmakur,48.6,23.2,24.5,94.3,97.9,0.0,13.1
2021-07-23,Warangal Rural,Atmakur,158.0,23.3,24.5,95.6,98.2,0.0,20.0
2021-07-24,Warangal Rural,Atmakur,9.4,23.1,31.0,93.9,100.0,0.0,15.7
2021-07-25,Warangal Rural,Atmakur,1.0,23.9,32.8,88.3,100.0,0.0,17.4
2021-07-26,Warangal Rural,Atmakur,0.0,24.9,33.3,79.6,100.0,0.0,16.3
2021-07-27,Warangal Rural,Atmakur,0.0,26.4,33.5,74.5,94.0,0.0,22.6
2021-07-28,Warangal Rural,Atmakur,0.0,26.4,32.7,70.9,88.9,0.0,22.1
2021-07-29,Warangal Rural,Atmakur,0.0,26.9,32.9,63.2,81.9,0.0,15.4
2021-07-30,Warangal Rural,Atmakur,0.0,25.8,30.1,75.1,93.2,0.0,15.1
2021-07-31,Warangal Rural,Atmakur,0.0,26.5,31.9,72.6,83.5,0.0,12.2
2021-08-01,Warangal Rural,Atmakur,0.0,26.2,32.9,68.5,85.2,0.0,13.8
2021-08-02,Warangal Rural,Atmakur,0.0,25.1,32.6,66.6,85.4,0.0,17.4
2021-08-03,Warangal Rural,Atmakur,0.0,26.0,33.2,63.7,84.0,0.0,31.9
2021-08-04,Warangal Rural,Atmakur,0.0,26.9,32.9,66.2,86.1,0.0,14.9
2021-08-05,Warangal Rural,Atmakur,0.0,26.2,33.8,63.2,85.4,0.0,26.9
2021-08-06,Warangal Rural,Atmakur,7.5,24.6,34.4,63.7,100.0,0.0,13.8
2021-08-07,Warangal Rural,Atmakur,0.3,25.3,32.8,67.1,100.0,0.0,18.2
2021-08-08,Warangal Rural,Atmakur,0.0,25.3,32.5,73.1,100.0,0.0,19.9
2021-08-09,Warangal Rural,Atmakur,0.0,25.9,34.3,71.8,100.0,0.0,7.5
2021-08-10,Warangal Rural,Atmakur,0.0,25.9,34.6,71.8,100.0,0.0,10.0
2021-08-11,Warangal Rural,Atmakur,0.0,25.7,34.6,75.0,100.0,0.0,14.6
2021-08-12,Warangal Rural,Atmakur,0.0,26.0,33.1,72.2,99.6,0.0,20.3
2021-08-13,Warangal Rural,Atmakur,2.9,25.3,33.7,69.0,100.0,0.0,14.3
2021-08-14,Warangal Rural,Atmakur,11.0,24.5,32.2,58.8,100.0,0.0,25.0
2021-08-15,Warangal Rural,Atmakur,0.0,25.7,32.0,66.3,100.0,0.0,30.7
2021-08-16,Warangal Rural,Atmakur,5.7,23.3,33.1,83.1,100.0,0.0,13.6
2021-08-17,Warangal Rural,Atmakur,1.0,24.5,28.2,99.0,100.0,0.0,15.0
2021-08-18,Warangal Rural,Atmakur,31.2,23.5,28.8,97.5,100.0,0.0,15.3
2021-08-19,Warangal Rural,Atmakur,0.0,24.9,28.6,95.9,100.0,0.0,10.2
2021-08-20,Warangal Rural,Atmakur,0.0,25.0,31.3,92.5,100.0,0.0,18.7
2021-08-21,Warangal Rural,Atmakur,0.0,24.5,30.3,91.7,100.0,0.0,2.9
2021-08-22,Warangal Rural,Atmakur,73.3,22.4,32.0,92.0,100.0,0.0,11.9
2021-08-23,Warangal Rural,Atmakur,32.0,22.6,32.4,67.7,100.0,0.0,18.7
2021-08-24,Warangal Rural,Atmakur,0.0,24.3,34.3,74.5,100.0,0.0,16.7
2021-08-25,Warangal Rural,Atmakur,0.0,24.2,34.4,71.3,100.0,0.0,13.9
2021-08-26,Warangal Rural,Atmakur,25.4,22.7,34.1,61.8,100.0,0.0,24.7
2021-08-27,Warangal Rural,Atmakur,2.9,23.7,32.8,90.4,100.0,0.0,21.8
2021-08-28,Warangal Rural,Atmakur,11.0,24.0,32.6,78.2,100.0,0.0,4.0
2021-08-29,Warangal Rural,Atmakur,6.0,23.0,30.6,95.3,100.0,0.0,21.7
2021-08-30,Warangal Rural,Atmakur,41.6,23.9,30.1,92.6,100.0,0.0,13.3
2021-08-31,Warangal Rural,Atmakur,15.9,23.9,30.2,96.8,100.0,0.0,4.3
2021-09-01,Warangal Rural,Atmakur,2.3,23.6,29.2,98.0,100.0,0.0,18.5
2021-09-02,Warangal Rural,Atmakur,6.1,22.9,27.6,71.2,99.0,0.0,11.4
2021-09-03,Warangal Rural,Atmakur,2.6,22.3,32.9,73.1,100.0,0.0,26.4
2021-09-04,Warangal Rural,Atmakur,12.9,22.6,32.9,81.0,100.0,0.0,3.4
2021-09-05,Warangal Rural,Atmakur,20.4,23.7,32.3,84.7,100.0,0.0,15.3
2021-09-06,Warangal Rural,Atmakur,1.1,25.2,32.4,88.7,100.0,0.0,15.1
2021-09-07,Warangal Rural,Atmakur,136.8,22.9,27.1,89.7,98.3,0.0,16.4
