Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Warangal Rural,Khanapur,0.0,16.2,28.8,52.7,99.1,,
2021-01-02,Warangal Rural,Khanapur,0.0,15.4,29.0,55.1,97.9,,
2021-01-03,Warangal Rural,Khanapur,0.0,14.8,29.6,53.2,98.8,,
2021-01-04,Warangal Rural,Khanapur,0.0,14.4,29.2,53.0,97.6,,
2021-01-05,Warangal Rural,Khanapur,0.0,15.9,30.6,40.8,97.6,,
2021-01-06,Warangal Rural,Khanapur,0.0,21.0,30.9,48.1,94.5,,
2021-01-07,Warangal Rural,Khanapur,0.0,21.5,29.6,56.7,89.8,,
2021-01-08,Warangal Rural,Khanapur,0.0,20.3,30.4,55.8,97.5,,
2021-01-09,Warangal Rural,Khanapur,0.0,14.9,32.4,39.0,96.1,,
2021-01-10,Warangal Rural,Khanapur,0.0,15.9,31.9,28.9,97.2,,
2021-01-11,Warangal Rural,Khanapur,0.0,16.1,30.2,42.4,95.8,,
2021-01-12,Warangal Rural,Khanapur,0.0,18.2,31.1,47.4,97.9,,
2021-01-13,Warangal Rural,Khanapur,0.0,18.8,32.3,43.2,99.7,,
2021-01-14,Warangal Rural,Khanapur,0.0,18.0,31.6,48.0,100.0,,
2021-01-15,Warangal Rural,Khanapur,0.0,17.9,31.6,48.0,100.0,,
2021-01-16,Warangal Rural,Khanapur,0.0,17.1,30.4,49.2,97.1,,
2021-01-17,Warangal Rural,Khanapur,0.0,17.9,31.5,44.5,98.9,,
2021-01-18,Warangal Rural,Khanapur,0.0,19.2,30.2,56.8,96.4,,
2021-01-19,Warangal Rural,Khanapur,0.0,18.9,30.6,52.2,99.4,,
2021-01-20,Warangal Rural,Khanapur,0.0,16.3,30.1,55.3,99.4,,
2021-01-21,Warangal Rural,Khanapur,0.0,18.0,32.3,38.9,98.5,,
2021-01-22,Warangal Rural,Khanapur,0.0,19.5,32.0,47.7,93.7,,
2021-01-23,Warangal Rural,Khanapur,0.0,20.9,31.8,42.9,98.6,,
2021-01-24,Warangal Rural,Khanapur,0.0,19.5,30.9,49.4,95.1,,
2021-01-25,Warangal Rural,Khanapur,0.0,19.4,31.6,48.3,90.0,,
2021-01-26,Warangal Rural,Khanapur,0.0,19.5,32.2,47.1,85.7,,
2021-01-27,Warangal Rural,Khanapur,0.0,20.4,31.2,50.3,98.0,,
2021-01-28,Warangal Rural,Khanapur,0.0,20.5,29.5,62.3,98.8,,
2021-01-29,Warangal Rural,Khanapur,0.0,20.1,30.2,58.2,99.1,,
2021-01-30,Warangal Rural,Khanapur,0.0,19.9,30.5,53.6,99.6,,
2021-01-31,Warangal Rural,Khanapur,0.0,20.0,30.7,51.4,95.2,,
2021-02-01,Warangal Rural,Khanapur,0.0,17.8,30.5,49.9,97.8,,
2021-02-02,Warangal Rural,Khanapur,0.0,14.7,31.2,36.6,100.0,,
2021-02-03,Warangal Rural,Khanapur,0.0,13.9,31.2,37.4,97.4,,
2021-02-04,Warangal Rural,Khanapur,0.0,16.0,31.2,33.5,98.7,,
2021-02-05,Warangal Rural,Khanapur,0.0,15.4,29.9,35.0,93.5,,
2021-02-06,Warangal Rural,Khanapur,0.0,16.1,30.1,40.1,95.1,,
2021-02-07,Warangal Rural,Khanapur,0.0,15.4,31.0,41.0,95.1,,
2021-02-08,Warangal Rural,Khanapur,0.0,12.8,29.6,41.6,84.7,,
2021-02-09,Warangal Rural,Khanapur,0.0,13.4,30.2,34.9,93.8,,
2021-02-10,Warangal Rural,Khanapur,0.0,15.2,30.6,32.5,98.2,,
2021-02-11,Warangal Rural,Khanapur,0.0,17.3,31.1,38.3,99.0,,
2021-02-12,Warangal Rural,Khanapur,0.0,18.7,30.9,47.6,96.4,,
2021-02-13,Warangal Rural,Khanapur,0.0,19.1,30.4,48.5,93.8,,
2021-02-14,Warangal Rural,Khanapur,0.0,16.4,30.6,48.8,97.6,,
2021-02-15,Warangal Rural,Khanapur,0.0,18.9,31.9,40.2,97.6,,
2021-02-16,Warangal Rural,Khanapur,0.0,19.1,31.7,39.4,93.7,,
2021-02-17,Warangal Rural,Khanapur,0.0,18.9,31.9,37.9,87.4,,
2021-02-18,Warangal Rural,Khanapur,0.0,19.4,32.0,37.7,93.9,,
2021-02-19,Warangal Rural,Khanapur,0.6,18.2,30.2,53.9,95.0,,
2021-02-20,Warangal Rural,Khanapur,0.0,19.9,27.3,62.3,93.5,,
2021-02-21,Warangal Rural,Khanapur,0.0,17.1,30.6,48.8,97.9,,
2021-02-22,Warangal Rural,Khanapur,0.0,20.9,30.6,47.1,96.6,,
2021-02-23,Warangal Rural,Khanapur,0.0,19.3,31.8,45.6,95.0,,
2021-02-24,Warangal Rural,Khanapur,0.0,16.6,33.0,40.9,95.3,,
2021-02-25,Warangal Rural,Khanapur,0.0,17.3,34.1,35.3,96.5,,
2021-02-26,Warangal Rural,Khanapur,0.0,17.0,35.2,31.7,93.2,,
2021-02-27,Warangal Rural,Khanapur,0.0,19.8,36.2,29.7,90.2,,
2021-02-28,Warangal Rural,Khanapur,0.0,18.1,36.0,26.0,94.1,,
2021-03-01,Warangal Rural,Khanapur,0.0,21.3,35.6,30.0,91.0,,
2021-03-02,Warangal Rural,Khanapur,0.0,20.7,33.5,34.2,98.8,,
2021-03-03,Warangal Rural,Khanapur,0.0,18.9,33.8,34.0,84.1,,
2021-03-04,Warangal Rural,Khanapur,0.0,17.4,35.2,31.1,87.8,,
2021-03-05,Warangal Rural,Khanapur,0.0,18.7,33.1,32.1,77.4,,
2021-03-06,Warangal Rural,Khanapur,0.0,18.2,33.5,29.7,75.6,,
2021-03-07,Warangal Rural,Khanapur,0.0,18.8,35.3,24.5,86.5,,
2021-03-08,Warangal Rural,Khanapur,0.0,21.0,33.6,36.9,97.5,,
2021-03-09,Warangal Rural,Khanapur,0.0,22.1,33.1,45.6,97.0,,
2021-03-10,Warangal Rural,Khanapur,0.0,21.9,33.0,49.5,96.4,,
2021-03-11,Warangal Rural,Khanapur,0.0,20.4,32.8,41.7,98.7,,
2021-03-12,Warangal Rural,Khanapur,0.0,21.9,32.8,34.3,97.3,,
2021-03-13,Warangal Rural,Khanapur,0.0,19.1,33.0,46.3,92.9,,
