Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Warangal Rural,Nadikuda,0.0,18.8,28.4,59.5,88.2,,
2021-01-02,Warangal Rural,Nadikuda,0.0,18.2,28.1,60.3,87.7,,
2021-01-03,Warangal Rural,Nadikuda,0.0,16.9,29.1,55.4,89.5,,
2021-01-04,Warangal Rural,Nadikuda,0.0,17.0,29.0,57.2,90.8,,
2021-01-05,Warangal Rural,Nadikuda,0.0,17.7,29.4,54.6,88.7,,
2021-01-06,Warangal Rural,Nadikuda,0.0,21.5,30.0,55.2,88.3,,
2021-01-07,Warangal Rural,Nadikuda,0.0,21.7,28.0,67.4,87.6,,
2021-01-08,Warangal Rural,Nadikuda,0.0,21.2,27.9,71.3,92.0,,
2021-01-09,Warangal Rural,Nadikuda,0.0,17.0,31.8,47.4,89.4,,
2021-01-10,Warangal Rural,Nadikuda,0.0,18.2,31.9,35.1,87.5,,
2021-01-11,Warangal Rural,Nadikuda,0.0,17.2,30.4,45.4,89.9,,
2021-01-12,Warangal Rural,Nadikuda,0.0,18.7,30.9,52.5,89.2,,
2021-01-13,Warangal Rural,Nadikuda,0.0,19.4,31.9,52.5,91.4,,
2021-01-14,Warangal Rural,Nadikuda,0.0,18.5,31.8,53.6,90.6,,
2021-01-15,Warangal Rural,Nadikuda,0.0,17.6,31.8,49.6,90.2,,
2021-01-16,Warangal Rural,Nadikuda,0.0,17.5,30.2,50.8,91.0,,
2021-01-17,Warangal Rural,Nadikuda,0.0,18.5,30.4,51.3,90.8,,
2021-01-18,Warangal Rural,Nadikuda,0.0,19.7,30.4,52.3,90.0,,
2021-01-19,Warangal Rural,Nadikuda,0.0,19.8,30.2,57.9,91.5,,
2021-01-20,Warangal Rural,Nadikuda,0.0,19.0,30.3,56.2,90.6,,
2021-01-21,Warangal Rural,Nadikuda,0.0,19.2,32.9,42.3,86.9,,
2021-01-22,Warangal Rural,Nadikuda,0.0,19.5,32.1,53.0,89.9,,
2021-01-23,Warangal Rural,Nadikuda,0.0,19.6,32.0,51.8,89.7,,
2021-01-24,Warangal Rural,Nadikuda,0.0,19.4,32.0,55.7,88.8,,
2021-01-25,Warangal Rural,Nadikuda,0.0,19.4,32.0,53.4,87.6,,
2021-01-26,Warangal Rural,Nadikuda,0.0,19.4,32.0,51.2,86.5,,
2021-01-27,Warangal Rural,Nadikuda,0.0,20.2,32.5,49.0,89.2,,
2021-01-28,Warangal Rural,Nadikuda,0.0,19.9,31.2,55.7,91.1,,
2021-01-29,Warangal Rural,Nadikuda,0.0,20.9,30.1,61.1,91.9,,
2021-01-30,Warangal Rural,Nadikuda,0.0,19.1,30.6,56.2,91.0,,
2021-01-31,Warangal Rural,Nadikuda,0.0,18.5,29.6,64.2,90.7,,
2021-02-01,Warangal Rural,Nadikuda,0.0,18.8,30.6,59.6,91.0,,
2021-02-02,Warangal Rural,Nadikuda,0.0,15.8,30.1,52.9,91.0,,
2021-02-03,Warangal Rural,Nadikuda,0.0,15.4,30.6,45.2,90.6,,
2021-02-04,Warangal Rural,Nadikuda,0.0,16.6,30.7,32.3,87.9,,
2021-02-05,Warangal Rural,Nadikuda,0.0,16.6,30.3,37.3,86.6,,
2021-02-06,Warangal Rural,Nadikuda,0.0,18.6,30.8,39.6,84.3,,
2021-02-07,Warangal Rural,Nadikuda,0.0,16.8,30.6,45.6,90.2,,
2021-02-08,Warangal Rural,Nadikuda,0.0,13.3,28.5,48.6,84.1,,
2021-02-09,Warangal Rural,Nadikuda,0.0,14.2,29.6,39.6,85.4,,
2021-02-10,Warangal Rural,Nadikuda,0.0,13.8,30.0,36.6,88.3,,
2021-02-11,Warangal Rural,Nadikuda,0.0,16.4,31.4,41.4,88.6,,
2021-02-12,Warangal Rural,Nadikuda,0.0,18.3,32.2,45.1,90.3,,
2021-02-13,Warangal Rural,Nadikuda,0.0,19.2,31.4,46.1,89.0,,
2021-02-14,Warangal Rural,Nadikuda,0.0,19.9,30.9,52.9,86.7,,
2021-02-15,Warangal Rural,Nadikuda,0.0,19.7,32.8,38.6,89.0,,
2021-02-16,Warangal Rural,Nadikuda,0.0,19.9,32.6,43.9,80.4,,
2021-02-17,Warangal Rural,Nadikuda,0.0,18.7,33.2,41.1,81.6,,
