Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Warangal Rural,Parkal,0.0,19.0,29.6,52.2,90.5,,
2021-01-02,Warangal Rural,Parkal,0.0,17.9,28.8,54.7,93.2,,
2021-01-03,Warangal Rural,Parkal,0.0,16.9,29.3,50.7,95.2,,
2021-01-04,Warangal Rural,Parkal,0.0,17.0,29.1,51.1,95.5,,
2021-01-05,Warangal Rural,Parkal,0.0,17.3,29.5,51.0,92.3,,
2021-01-06,Warangal Rural,Parkal,0.0,21.7,29.8,49.5,91.2,,
2021-01-07,Warangal Rural,Parkal,0.0,22.2,28.2,63.6,90.6,,
2021-01-08,Warangal Rural,Parkal,0.0,21.5,28.3,65.0,92.6,,
2021-01-09,Warangal Rural,Parkal,0.0,16.8,31.8,41.3,92.3,,
2021-01-10,Warangal Rural,Parkal,0.0,17.4,32.4,28.3,91.5,,
2021-01-11,Warangal Rural,Parkal,0.0,16.9,30.6,38.9,94.9,,
2021-01-12,Warangal Rural,Parkal,0.0,18.8,31.7,46.1,91.9,,
2021-01-13,Warangal Rural,Parkal,0.0,18.6,31.4,45.0,94.9,,
2021-01-14,Warangal Rural,Parkal,0.0,18.8,31.4,44.2,95.7,,
2021-01-15,Warangal Rural,Parkal,0.0,17.4,31.4,42.4,96.5,,
2021-01-16,Warangal Rural,Parkal,0.0,17.0,30.5,40.8,96.1,,
2021-01-17,Warangal Rural,Parkal,0.0,19.0,30.3,38.9,94.1,,
2021-01-18,Warangal Rural,Parkal,0.0,20.3,30.1,44.7,90.9,,
2021-01-19,Warangal Rural,Parkal,0.0,19.4,29.6,51.8,95.7,,
2021-01-20,Warangal Rural,Parkal,0.0,18.2,30.3,50.1,96.3,,
2021-01-21,Warangal Rural,Parkal,0.0,18.2,31.9,39.5,91.1,,
2021-01-22,Warangal Rural,Parkal,0.0,19.5,32.1,46.9,92.8,,
2021-01-23,Warangal Rural,Parkal,0.0,19.7,32.2,43.5,93.3,,
2021-01-24,Warangal Rural,Parkal,0.0,19.0,32.0,48.1,93.2,,
2021-01-25,Warangal Rural,Parkal,0.0,19.5,31.8,46.8,89.9,,
2021-01-26,Warangal Rural,Parkal,0.0,19.9,31.2,49.1,81.3,,
2021-01-27,Warangal Rural,Parkal,0.0,20.7,31.1,48.3,88.0,,
2021-01-28,Warangal Rural,Parkal,0.0,20.1,30.0,54.7,90.3,,
2021-01-29,Warangal Rural,Parkal,0.0,21.0,30.1,57.8,94.1,,
2021-01-30,Warangal Rural,Parkal,0.0,19.5,30.7,49.7,93.6,,
2021-01-31,Warangal Rural,Parkal,0.0,19.0,29.5,57.1,90.0,,
2021-02-01,Warangal Rural,Parkal,0.0,19.3,30.6,53.3,93.9,,
2021-02-02,Warangal Rural,Parkal,0.0,16.0,30.8,37.9,93.8,,
2021-02-03,Warangal Rural,Parkal,0.0,15.1,31.2,30.8,92.6,,
2021-02-04,Warangal Rural,Parkal,0.0,16.8,31.3,21.9,92.2,,
2021-02-05,Warangal Rural,Parkal,0.0,16.2,30.9,32.1,86.4,,
2021-02-06,Warangal Rural,Parkal,0.0,17.9,31.0,27.8,90.0,,
2021-02-07,Warangal Rural,Parkal,0.0,17.8,31.3,32.1,88.4,,
2021-02-08,Warangal Rural,Parkal,0.0,13.4,29.2,38.6,79.8,,
2021-02-09,Warangal Rural,Parkal,0.0,13.5,29.6,32.1,94.8,,
2021-02-10,Warangal Rural,Parkal,0.0,14.4,30.4,30.2,93.1,,
2021-02-11,Warangal Rural,Parkal,0.0,16.6,31.6,35.1,95.8,,
2021-02-12,Warangal Rural,Parkal,0.0,18.6,32.2,34.8,93.9,,
2021-02-13,Warangal Rural,Parkal,0.0,19.1,31.5,36.7,92.1,,
2021-02-14,Warangal Rural,Parkal,0.0,19.7,30.9,45.2,91.1,,
2021-02-15,Warangal Rural,Parkal,0.0,20.5,33.7,34.7,88.3,,
2021-02-16,Warangal Rural,Parkal,0.0,20.8,33.1,35.7,75.3,,
2021-02-17,Warangal Rural,Parkal,0.0,20.2,32.8,37.3,77.7,,
2021-02-18,Warangal Rural,Parkal,0.0,20.1,31.9,37.1,90.5,,
2021-02-19,Warangal Rural,Parkal,52.7,18.2,29.3,56.5,96.6,,
2021-02-20,Warangal Rural,Parkal,0.0,19.6,27.2,59.6,88.2,,
2021-02-21,Warangal Rural,Parkal,0.0,18.7,29.7,47.0,94.6,,
2021-02-22,Warangal Rural,Parkal,0.0,19.7,30.8,45.5,95.7,,
2021-02-23,Warangal Rural,Parkal,0.0,19.0,31.8,47.7,97.6,,
