Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Warangal Rural,Parvathagiri,0.0,16.9,31.3,37.8,96.1,,
2021-01-02,Warangal Rural,Parvathagiri,0.0,15.5,29.3,42.3,99.8,,
2021-01-03,Warangal Rural,Parvathagiri,0.0,15.2,31.0,34.2,99.8,,
2021-01-04,Warangal Rural,Parvathagiri,0.0,16.5,31.3,33.5,99.8,,
2021-01-05,Warangal Rural,Parvathagiri,0.0,17.6,33.0,27.8,99.5,,
2021-01-06,Warangal Rural,Parvathagiri,0.0,21.3,33.5,28.1,91.9,,
2021-01-07,Warangal Rural,Parvathagiri,0.0,21.9,29.1,44.7,84.8,,
2021-01-08,Warangal Rural,Parvathagiri,0.0,20.5,31.0,42.0,95.4,,
2021-01-09,Warangal Rural,Parvathagiri,0.0,16.9,34.4,25.9,97.8,,
2021-01-10,Warangal Rural,Parvathagiri,0.0,16.5,34.1,22.4,99.8,,
2021-01-11,Warangal Rural,Parvathagiri,0.0,16.3,33.4,26.7,100.0,,
2021-01-12,Warangal Rural,Parvathagiri,0.0,18.5,33.5,33.8,100.0,,
2021-01-13,Warangal Rural,Parvathagiri,0.0,18.3,35.1,29.5,100.0,,
2021-01-14,Warangal Rural,Parvathagiri,0.0,17.7,33.5,34.2,100.0,,
2021-01-15,Warangal Rural,Parvathagiri,0.0,18.7,32.8,34.2,100.0,,
2021-01-16,Warangal Rural,Parvathagiri,0.0,16.5,32.9,34.8,100.0,,
2021-01-17,Warangal Rural,Parvathagiri,0.0,18.0,33.9,30.2,100.0,,
2021-01-18,Warangal Rural,Parvathagiri,0.0,18.3,31.9,40.8,100.0,,
2021-01-19,Warangal Rural,Parvathagiri,0.0,17.6,31.6,38.4,100.0,,
2021-01-20,Warangal Rural,Parvathagiri,0.0,16.9,33.0,38.8,100.0,,
2021-01-21,Warangal Rural,Parvathagiri,0.0,17.2,34.2,25.2,100.0,,
2021-01-22,Warangal Rural,Parvathagiri,0.0,19.4,34.5,31.0,99.5,,
2021-01-23,Warangal Rural,Parvathagiri,0.0,20.8,34.8,31.0,99.8,,
2021-01-24,Warangal Rural,Parvathagiri,0.0,18.0,34.0,35.7,100.0,,
2021-01-25,Warangal Rural,Parvathagiri,0.0,18.0,33.5,36.1,91.6,,
2021-01-26,Warangal Rural,Parvathagiri,0.0,17.6,34.8,31.6,89.1,,
2021-01-27,Warangal Rural,Parvathagiri,0.0,18.9,34.2,33.1,97.9,,
2021-01-28,Warangal Rural,Parvathagiri,0.0,19.2,32.0,39.0,96.8,,
2021-01-29,Warangal Rural,Parvathagiri,0.0,19.5,31.5,43.2,100.0,,
2021-01-30,Warangal Rural,Parvathagiri,0.0,18.9,32.1,39.0,100.0,,
2021-01-31,Warangal Rural,Parvathagiri,0.0,18.7,32.7,37.8,99.6,,
2021-02-01,Warangal Rural,Parvathagiri,0.0,19.6,33.5,37.2,99.5,,
2021-02-02,Warangal Rural,Parvathagiri,0.0,17.0,32.4,35.1,100.0,,
2021-02-03,Warangal Rural,Parvathagiri,0.0,14.7,32.9,24.5,99.8,,
2021-02-04,Warangal Rural,Parvathagiri,0.0,16.0,34.1,21.4,99.8,,
2021-02-05,Warangal Rural,Parvathagiri,0.0,14.0,33.1,22.1,99.3,,
2021-02-06,Warangal Rural,Parvathagiri,0.0,16.4,32.9,23.5,97.6,,
2021-02-07,Warangal Rural,Parvathagiri,0.0,16.2,33.5,27.4,98.6,,
2021-02-08,Warangal Rural,Parvathagiri,0.0,13.0,30.7,31.8,86.9,,
2021-02-09,Warangal Rural,Parvathagiri,0.0,13.4,32.8,25.7,100.0,,
2021-02-10,Warangal Rural,Parvathagiri,0.0,13.9,32.5,21.4,100.0,,
2021-02-11,Warangal Rural,Parvathagiri,0.0,16.0,34.7,22.4,100.0,,
2021-02-12,Warangal Rural,Parvathagiri,0.0,17.4,34.5,23.8,100.0,,
2021-02-13,Warangal Rural,Parvathagiri,0.0,17.3,33.4,32.4,99.1,,
2021-02-14,Warangal Rural,Parvathagiri,0.0,16.9,32.5,31.4,100.0,,
2021-02-15,Warangal Rural,Parvathagiri,0.0,18.8,35.7,23.1,85.9,,
2021-02-16,Warangal Rural,Parvathagiri,0.0,17.4,33.2,27.4,97.1,,
2021-02-17,Warangal Rural,Parvathagiri,0.0,15.2,33.0,30.0,97.7,,
2021-02-18,Warangal Rural,Parvathagiri,0.0,17.8,34.1,25.2,98.5,,
2021-02-19,Warangal Rural,Parvathagiri,0.0,17.7,32.7,35.4,92.0,,
2021-02-20,Warangal Rural,Parvathagiri,0.0,19.6,29.0,44.0,84.1,,
2021-02-21,Warangal Rural,Parvathagiri,0.0,18.0,32.3,35.4,98.5,,
2021-02-22,Warangal Rural,Parvathagiri,0.0,18.4,32.6,37.8,99.2,,
2021-02-23,Warangal Rural,Parvathagiri,0.0,17.7,33.8,35.1,100.0,,
2021-02-24,Warangal Rural,Parvathagiri,0.0,16.0,33.9,24.5,98.2,,
2021-02-25,Warangal Rural,Parvathagiri,0.0,16.6,37.0,23.8,100.0,,
2021-02-26,Warangal Rural,Parvathagiri,0.0,16.3,36.8,21.2,97.1,,
2021-02-27,Warangal Rural,Parvathagiri,0.0,18.8,38.0,18.3,96.3,,
2021-02-28,Warangal Rural,Parvathagiri,0.0,17.7,36.4,17.6,98.0,,
2021-03-01,Warangal Rural,Parvathagiri,0.0,19.2,37.9,16.3,97.5,,
2021-03-02,Warangal Rural,Parvathagiri,0.0,18.3,35.5,26.9,99.2,,
2021-03-03,Warangal Rural,Parvathagiri,0.0,18.8,36.3,25.5,95.0,,
2021-03-04,Warangal Rural,Parvathagiri,0.0,16.9,36.6,22.6,98.5,,
2021-03-05,Warangal Rural,Parvathagiri,0.0,16.3,34.1,25.2,93.8,,
2021-03-06,Warangal Rural,Parvathagiri,0.0,16.4,33.7,23.8,92.8,,
2021-03-07,Warangal Rural,Parvathagiri,0.0,17.4,37.6,14.9,96.5,,
2021-03-08,Warangal Rural,Parvathagiri,0.0,19.9,37.4,23.3,99.7,,
2021-03-09,Warangal Rural,Parvathagiri,0.0,20.6,33.6,35.1,98.7,,
2021-03-10,Warangal Rural,Parvathagiri,0.0,20.2,32.9,38.2,97.2,,
2021-03-11,Warangal Rural,Parvathagiri,0.0,19.2,32.6,37.5,100.0,,
2021-03-12,Warangal Rural,Parvathagiri,0.0,19.8,33.1,31.0,99.8,,
2021-03-13,Warangal Rural,Parvathagiri,0.0,15.2,34.7,27.4,97.7,,
2021-03-14,Warangal Rural,Parvathagiri,0.0,16.9,36.7,10.5,95.3,,
2021-03-15,Warangal Rural,Parvathagiri,0.0,18.0,35.4,24.8,96.5,,
2021-03-16,Warangal Rural,Parvathagiri,0.0,20.1,33.6,30.2,95.2,,
2021-03-17,Warangal Rural,Parvathagiri,0.0,22.2,33.3,40.0,100.0,,
2021-03-18,Warangal Rural,Parvathagiri,0.0,21.0,34.0,38.2,100.0,,
2021-03-19,Warangal Rural,Parvathagiri,0.0,19.0,33.6,35.7,93.2,,
2021-03-20,Warangal Rural,Parvathagiri,0.0,20.1,33.5,33.1,97.2,,
2021-03-21,Warangal Rural,Parvathagiri,0.0,19.8,35.3,24.0,90.5,,
2021-03-22,Warangal Rural,Parvathagiri,0.0,20.3,35.3,29.5,92.7,,
2021-03-23,Warangal Rural,Parvathagiri,0.0,22.3,37.2,26.9,83.7,,
2021-03-24,Warangal Rural,Parvathagiri,0.0,21.1,34.9,26.7,76.9,,
2021-03-25,Warangal Rural,Parvathagiri,0.0,20.6,37.5,24.8,90.0,,
2021-03-26,Warangal Rural,Parvathagiri,0.0,20.9,38.0,26.9,96.2,,
2021-03-27,Warangal Rural,Parvathagiri,0.0,20.3,35.6,28.4,93.7,,
