Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Warangal Rural,Raiparthy,0.0,17.3,28.6,49.5,90.0,,
2021-01-02,Warangal Rural,Raiparthy,0.0,16.0,28.0,50.9,93.0,,
2021-01-03,Warangal Rural,Raiparthy,0.0,16.3,29.2,47.7,94.1,,
2021-01-04,Warangal Rural,Raiparthy,0.0,16.8,29.5,48.3,94.1,,
2021-01-05,Warangal Rural,Raiparthy,0.0,18.0,28.9,39.8,95.9,,
2021-01-06,Warangal Rural,Raiparthy,0.0,21.7,30.9,42.2,88.4,,
2021-01-07,Warangal Rural,Raiparthy,0.0,22.1,26.8,52.5,79.9,,
2021-01-08,Warangal Rural,Raiparthy,0.0,20.9,29.6,53.4,93.7,,
2021-01-09,Warangal Rural,Raiparthy,0.0,19.6,31.5,41.4,92.2,,
2021-01-10,Warangal Rural,Raiparthy,0.0,17.1,30.6,35.3,95.2,,
2021-01-11,Warangal Rural,Raiparthy,0.0,16.9,30.0,40.7,95.3,,
2021-01-12,Warangal Rural,Raiparthy,0.0,19.3,31.0,44.0,93.4,,
2021-01-13,Warangal Rural,Raiparthy,0.0,18.9,32.8,40.7,94.8,,
2021-01-14,Warangal Rural,Raiparthy,0.0,18.9,31.0,38.6,96.2,,
2021-01-15,Warangal Rural,Raiparthy,0.0,18.8,31.0,38.6,96.9,,
2021-01-16,Warangal Rural,Raiparthy,0.0,17.7,30.2,44.0,95.3,,
2021-01-17,Warangal Rural,Raiparthy,0.0,18.3,30.4,42.2,96.4,,
2021-01-18,Warangal Rural,Raiparthy,0.0,18.5,30.6,53.7,95.5,,
2021-01-19,Warangal Rural,Raiparthy,0.0,19.0,29.3,51.0,95.5,,
2021-01-20,Warangal Rural,Raiparthy,0.0,17.9,30.3,47.5,95.0,,
2021-01-21,Warangal Rural,Raiparthy,0.0,17.9,32.2,32.3,94.3,,
