Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Warangal Rural,Sangem,0.0,16.5,29.0,49.2,100.0,,
2021-01-02,Warangal Rural,Sangem,0.0,15.9,29.0,51.1,100.0,,
2021-01-03,Warangal Rural,Sangem,0.0,15.3,30.4,43.6,100.0,,
2021-01-04,Warangal Rural,Sangem,0.0,15.8,29.8,45.1,100.0,,
2021-01-05,Warangal Rural,Sangem,0.0,16.8,30.2,37.5,100.0,,
2021-01-06,Warangal Rural,Sangem,0.0,20.8,31.4,40.1,100.0,,
2021-01-07,Warangal Rural,Sangem,0.0,21.4,29.5,50.2,98.3,,
2021-01-08,Warangal Rural,Sangem,0.0,20.6,30.1,53.4,100.0,,
2021-01-09,Warangal Rural,Sangem,0.0,17.3,31.8,36.8,100.0,,
2021-01-10,Warangal Rural,Sangem,0.0,16.2,32.2,26.8,100.0,,
2021-01-11,Warangal Rural,Sangem,0.0,15.5,31.1,36.1,100.0,,
2021-01-12,Warangal Rural,Sangem,0.0,18.1,32.0,38.0,100.0,,
2021-01-13,Warangal Rural,Sangem,0.0,17.9,33.2,37.5,100.0,,
2021-01-14,Warangal Rural,Sangem,0.0,17.4,33.5,33.1,100.0,,
2021-01-15,Warangal Rural,Sangem,0.0,17.5,33.5,33.1,100.0,,
2021-01-16,Warangal Rural,Sangem,0.0,16.2,31.3,41.1,100.0,,
2021-01-17,Warangal Rural,Sangem,0.0,17.0,31.5,38.0,100.0,,
2021-01-18,Warangal Rural,Sangem,0.0,18.0,30.0,53.2,100.0,,
2021-01-19,Warangal Rural,Sangem,0.0,17.7,30.8,47.6,100.0,,
2021-01-20,Warangal Rural,Sangem,0.0,16.9,31.8,46.5,100.0,,
2021-01-21,Warangal Rural,Sangem,0.0,16.8,32.9,31.9,100.0,,
2021-01-22,Warangal Rural,Sangem,0.0,18.6,32.9,41.9,100.0,,
2021-01-23,Warangal Rural,Sangem,0.0,19.9,33.0,39.0,100.0,,
2021-01-24,Warangal Rural,Sangem,0.0,17.7,32.1,47.1,100.0,,
2021-01-25,Warangal Rural,Sangem,0.0,17.8,34.1,37.4,100.0,,
2021-01-26,Warangal Rural,Sangem,0.0,17.0,32.2,38.9,100.0,,
2021-01-27,Warangal Rural,Sangem,0.0,18.7,31.6,43.1,100.0,,
2021-01-28,Warangal Rural,Sangem,0.0,19.3,30.5,52.3,100.0,,
2021-01-29,Warangal Rural,Sangem,0.0,19.3,30.2,56.4,100.0,,
2021-01-30,Warangal Rural,Sangem,0.0,18.9,31.0,50.7,100.0,,
2021-01-31,Warangal Rural,Sangem,0.0,18.4,31.4,48.8,100.0,,
2021-02-01,Warangal Rural,Sangem,0.0,18.8,31.7,45.7,100.0,,
2021-02-02,Warangal Rural,Sangem,0.0,15.3,31.2,41.1,100.0,,
2021-02-03,Warangal Rural,Sangem,0.0,14.2,31.2,34.5,100.0,,
2021-02-04,Warangal Rural,Sangem,0.0,15.5,31.7,25.6,100.0,,
2021-02-05,Warangal Rural,Sangem,0.0,14.6,30.7,31.0,100.0,,
2021-02-06,Warangal Rural,Sangem,0.0,16.3,31.7,26.8,100.0,,
2021-02-07,Warangal Rural,Sangem,0.0,15.8,32.2,34.5,100.0,,
2021-02-08,Warangal Rural,Sangem,0.0,12.0,29.6,40.2,89.5,,
2021-02-09,Warangal Rural,Sangem,0.0,12.9,31.5,26.8,100.0,,
2021-02-10,Warangal Rural,Sangem,0.0,12.7,30.3,24.4,100.0,,
2021-02-11,Warangal Rural,Sangem,0.0,14.9,32.4,29.5,100.0,,
2021-02-12,Warangal Rural,Sangem,0.0,17.3,32.0,35.9,100.0,,
2021-02-13,Warangal Rural,Sangem,0.0,17.4,32.2,33.2,100.0,,
2021-02-14,Warangal Rural,Sangem,0.0,17.0,31.6,40.6,100.0,,
2021-02-15,Warangal Rural,Sangem,0.0,18.2,34.1,28.9,100.0,,
2021-02-16,Warangal Rural,Sangem,0.0,16.8,32.9,33.7,100.0,,
2021-02-17,Warangal Rural,Sangem,0.0,16.3,32.4,34.0,99.0,,
2021-02-18,Warangal Rural,Sangem,0.0,17.9,31.7,31.6,100.0,,
2021-02-19,Warangal Rural,Sangem,0.0,17.3,30.2,48.1,100.0,,
2021-02-20,Warangal Rural,Sangem,0.0,19.5,27.8,56.0,89.7,,
2021-02-21,Warangal Rural,Sangem,0.0,17.9,32.3,39.9,100.0,,
2021-02-22,Warangal Rural,Sangem,0.0,18.8,30.9,40.6,100.0,,
2021-02-23,Warangal Rural,Sangem,0.0,17.3,32.4,44.1,100.0,,
2021-02-24,Warangal Rural,Sangem,0.0,15.5,34.3,31.3,100.0,,
2021-02-25,Warangal Rural,Sangem,0.0,16.3,35.2,24.9,100.0,,
2021-02-26,Warangal Rural,Sangem,0.0,15.7,36.3,24.4,99.9,,
2021-02-27,Warangal Rural,Sangem,0.0,18.2,37.7,24.4,99.8,,
2021-02-28,Warangal Rural,Sangem,0.0,17.7,35.3,18.3,100.0,,
2021-03-01,Warangal Rural,Sangem,0.0,19.5,37.0,18.9,100.0,,
2021-03-02,Warangal Rural,Sangem,0.0,18.8,36.1,31.6,100.0,,
2021-03-03,Warangal Rural,Sangem,0.0,18.7,35.9,28.0,100.0,,
2021-03-04,Warangal Rural,Sangem,0.0,16.5,36.3,21.3,100.0,,
2021-03-05,Warangal Rural,Sangem,0.0,16.1,34.7,23.5,97.2,,
2021-03-06,Warangal Rural,Sangem,0.0,16.3,34.3,24.4,98.1,,
2021-03-07,Warangal Rural,Sangem,0.0,17.0,36.9,18.9,100.0,,
2021-03-08,Warangal Rural,Sangem,0.0,18.8,36.3,29.2,100.0,,
2021-03-09,Warangal Rural,Sangem,0.0,20.6,33.8,39.9,100.0,,
2021-03-10,Warangal Rural,Sangem,0.0,20.1,32.8,44.9,100.0,,
2021-03-11,Warangal Rural,Sangem,0.0,18.7,33.2,38.9,100.0,,
2021-03-12,Warangal Rural,Sangem,0.0,20.3,33.3,34.3,100.0,,
2021-03-13,Warangal Rural,Sangem,0.0,15.9,33.2,35.9,100.0,,
2021-03-14,Warangal Rural,Sangem,0.0,16.4,35.8,15.7,98.6,,
2021-03-15,Warangal Rural,Sangem,0.0,18.6,35.0,25.5,98.4,,
2021-03-16,Warangal Rural,Sangem,0.0,19.8,33.7,24.9,100.0,,
2021-03-17,Warangal Rural,Sangem,0.0,21.6,34.6,37.9,100.0,,
2021-03-18,Warangal Rural,Sangem,0.0,20.5,33.9,42.9,100.0,,
2021-03-19,Warangal Rural,Sangem,0.0,19.1,33.3,37.4,100.0,,
2021-03-20,Warangal Rural,Sangem,0.0,20.7,34.6,31.9,100.0,,
2021-03-21,Warangal Rural,Sangem,0.0,19.5,34.6,24.9,95.1,,
2021-03-22,Warangal Rural,Sangem,0.0,19.7,34.8,31.0,97.4,,
2021-03-23,Warangal Rural,Sangem,0.0,22.2,37.1,34.6,90.8,,
2021-03-24,Warangal Rural,Sangem,0.0,20.2,34.7,31.9,80.9,,
2021-03-25,Warangal Rural,Sangem,0.0,20.0,37.5,26.4,96.9,,
2021-03-26,Warangal Rural,Sangem,0.0,20.7,38.4,21.6,100.0,,
