Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Warangal Urban,Elkathurthi,0.0,19.1,30.7,47.6,95.0,,
2021-01-02,Warangal Urban,Elkathurthi,0.0,17.5,29.8,51.3,91.2,,
2021-01-03,Warangal Urban,Elkathurthi,0.0,17.4,29.2,46.9,92.5,,
2021-01-04,Warangal Urban,Elkathurthi,0.0,19.0,29.6,45.3,92.1,,
2021-01-05,Warangal Urban,Elkathurthi,0.0,19.3,30.5,42.5,87.5,,
2021-01-06,Warangal Urban,Elkathurthi,0.0,21.7,31.3,41.9,92.7,,
2021-01-07,Warangal Urban,Elkathurthi,0.0,22.1,28.6,52.7,81.4,,
2021-01-08,Warangal Urban,Elkathurthi,0.0,21.3,29.1,57.5,94.8,,
2021-01-09,Warangal Urban,Elkathurthi,0.0,20.2,32.6,40.4,81.7,,
2021-01-10,Warangal Urban,Elkathurthi,0.0,18.9,31.8,30.3,93.5,,
2021-01-11,Warangal Urban,Elkathurthi,0.0,17.5,31.8,32.5,90.0,,
2021-01-12,Warangal Urban,Elkathurthi,0.0,19.3,31.1,46.2,94.5,,
2021-01-13,Warangal Urban,Elkathurthi,0.0,19.3,32.5,51.4,92.6,,
2021-01-14,Warangal Urban,Elkathurthi,0.0,19.7,32.7,38.3,92.0,,
2021-01-15,Warangal Urban,Elkathurthi,0.0,18.9,31.9,39.2,91.9,,
2021-01-16,Warangal Urban,Elkathurthi,0.0,18.5,30.8,34.9,93.8,,
2021-01-17,Warangal Urban,Elkathurthi,0.0,18.3,30.8,42.1,97.1,,
2021-01-18,Warangal Urban,Elkathurthi,0.0,20.5,31.3,48.3,92.3,,
2021-01-19,Warangal Urban,Elkathurthi,0.0,19.6,31.0,47.9,94.5,,
2021-01-20,Warangal Urban,Elkathurthi,0.0,18.6,31.8,40.7,93.5,,
2021-01-21,Warangal Urban,Elkathurthi,0.0,19.1,33.2,33.1,77.8,,
2021-01-22,Warangal Urban,Elkathurthi,0.0,19.6,33.3,44.0,89.2,,
2021-01-23,Warangal Urban,Elkathurthi,0.0,19.8,32.7,44.3,92.0,,
2021-01-24,Warangal Urban,Elkathurthi,0.0,20.2,32.3,43.1,86.5,,
2021-01-25,Warangal Urban,Elkathurthi,0.0,20.5,32.9,40.3,81.2,,
2021-01-26,Warangal Urban,Elkathurthi,0.0,21.0,33.3,40.4,75.9,,
2021-01-27,Warangal Urban,Elkathurthi,0.0,20.5,33.5,40.6,80.5,,
2021-01-28,Warangal Urban,Elkathurthi,0.0,21.4,32.0,45.8,81.5,,
2021-01-29,Warangal Urban,Elkathurthi,0.0,21.0,31.1,53.9,90.4,,
2021-01-30,Warangal Urban,Elkathurthi,0.0,19.3,33.0,40.6,92.7,,
2021-01-31,Warangal Urban,Elkathurthi,0.0,18.2,31.4,49.3,92.9,,
2021-02-01,Warangal Urban,Elkathurthi,0.0,19.2,31.9,51.3,95.2,,
2021-02-02,Warangal Urban,Elkathurthi,0.0,16.0,30.6,45.4,96.7,,
2021-02-03,Warangal Urban,Elkathurthi,0.0,16.2,31.4,34.3,92.0,,
2021-02-04,Warangal Urban,Elkathurthi,0.0,17.5,32.0,22.7,91.5,,
2021-02-05,Warangal Urban,Elkathurthi,0.0,16.9,30.8,32.3,85.0,,
2021-02-06,Warangal Urban,Elkathurthi,0.0,18.4,31.3,29.6,82.1,,
2021-02-07,Warangal Urban,Elkathurthi,0.0,18.0,32.4,32.8,88.5,,
2021-02-08,Warangal Urban,Elkathurthi,0.0,13.6,28.6,42.9,78.5,,
2021-02-09,Warangal Urban,Elkathurthi,0.0,13.3,29.8,31.8,85.1,,
2021-02-10,Warangal Urban,Elkathurthi,0.0,13.0,30.7,26.7,84.5,,
2021-02-11,Warangal Urban,Elkathurthi,0.0,14.5,32.4,27.4,82.1,,
2021-02-12,Warangal Urban,Elkathurthi,0.0,20.0,31.3,27.5,84.5,,
2021-02-13,Warangal Urban,Elkathurthi,0.0,19.5,32.4,33.7,85.4,,
2021-02-14,Warangal Urban,Elkathurthi,0.0,18.5,31.8,38.4,87.5,,
2021-02-15,Warangal Urban,Elkathurthi,0.0,19.7,32.7,32.7,68.7,,
2021-02-16,Warangal Urban,Elkathurthi,0.0,19.3,34.9,28.8,67.3,,
2021-02-17,Warangal Urban,Elkathurthi,0.0,21.5,33.7,28.4,62.2,,
2021-02-18,Warangal Urban,Elkathurthi,0.0,19.6,32.1,26.4,82.0,,
2021-02-19,Warangal Urban,Elkathurthi,25.3,17.9,30.8,45.3,100.0,,
2021-02-20,Warangal Urban,Elkathurthi,0.3,18.2,28.6,54.5,96.6,,
2021-02-21,Warangal Urban,Elkathurthi,0.0,20.5,29.9,46.6,86.3,,
2021-02-22,Warangal Urban,Elkathurthi,0.0,18.9,30.4,46.1,95.3,,
2021-02-23,Warangal Urban,Elkathurthi,0.0,18.4,31.8,44.9,90.2,,
2021-02-24,Warangal Urban,Elkathurthi,0.0,17.8,33.7,30.9,81.6,,
2021-02-25,Warangal Urban,Elkathurthi,0.0,17.5,34.4,29.1,82.6,,
2021-02-26,Warangal Urban,Elkathurthi,0.0,18.3,36.3,27.5,76.0,,
2021-02-27,Warangal Urban,Elkathurthi,0.0,21.1,36.3,28.8,67.2,,
2021-02-28,Warangal Urban,Elkathurthi,0.0,20.0,35.2,25.4,70.8,,
2021-03-01,Warangal Urban,Elkathurthi,0.0,22.6,37.3,23.6,73.9,,
2021-03-02,Warangal Urban,Elkathurthi,0.0,20.5,33.9,37.3,83.3,,
2021-03-03,Warangal Urban,Elkathurthi,0.0,19.8,34.8,34.6,86.0,,
2021-03-04,Warangal Urban,Elkathurthi,0.0,18.3,35.2,30.5,83.1,,
2021-03-05,Warangal Urban,Elkathurthi,0.0,20.6,35.8,24.8,61.8,,
2021-03-06,Warangal Urban,Elkathurthi,0.0,19.0,35.3,23.6,71.6,,
2021-03-07,Warangal Urban,Elkathurthi,0.0,18.9,35.1,25.6,73.8,,
2021-03-08,Warangal Urban,Elkathurthi,0.0,22.8,36.6,25.7,78.2,,
2021-03-09,Warangal Urban,Elkathurthi,0.0,22.0,34.4,31.6,80.4,,
2021-03-10,Warangal Urban,Elkathurthi,0.0,21.6,33.0,36.0,90.4,,
