Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Warangal Urban,Hasanparthy,0.0,17.5,30.2,49.9,90.7,,
2021-01-02,Warangal Urban,Hasanparthy,0.0,16.3,29.6,55.4,93.5,,
2021-01-03,Warangal Urban,Hasanparthy,0.0,15.9,30.1,49.3,92.4,,
2021-01-04,Warangal Urban,Hasanparthy,0.0,17.0,30.8,45.6,92.6,,
2021-01-05,Warangal Urban,Hasanparthy,0.0,18.0,30.8,45.3,89.5,,
2021-01-06,Warangal Urban,Hasanparthy,0.0,21.7,31.3,44.0,89.5,,
2021-01-07,Warangal Urban,Hasanparthy,0.0,21.5,28.7,56.3,88.6,,
2021-01-08,Warangal Urban,Hasanparthy,0.0,21.2,28.6,61.9,92.8,,
2021-01-09,Warangal Urban,Hasanparthy,0.0,18.7,33.0,42.0,91.0,,
2021-01-10,Warangal Urban,Hasanparthy,0.0,16.8,33.3,30.9,94.9,,
2021-01-11,Warangal Urban,Hasanparthy,0.0,16.8,31.7,36.4,91.0,,
2021-01-12,Warangal Urban,Hasanparthy,0.0,19.0,31.6,48.8,93.3,,
2021-01-13,Warangal Urban,Hasanparthy,0.0,18.9,31.8,54.1,92.6,,
2021-01-14,Warangal Urban,Hasanparthy,0.0,18.7,32.9,41.0,93.6,,
2021-01-15,Warangal Urban,Hasanparthy,0.0,17.7,32.8,41.0,93.7,,
2021-01-16,Warangal Urban,Hasanparthy,0.0,17.1,32.5,33.2,99.9,,
2021-01-17,Warangal Urban,Hasanparthy,0.0,17.8,31.6,44.3,99.9,,
2021-01-18,Warangal Urban,Hasanparthy,0.0,19.7,31.2,48.9,99.9,,
2021-01-19,Warangal Urban,Hasanparthy,0.0,19.7,31.1,50.0,93.0,,
2021-01-20,Warangal Urban,Hasanparthy,0.0,18.2,32.7,45.0,99.9,,
2021-01-21,Warangal Urban,Hasanparthy,0.0,18.7,33.8,34.3,98.4,,
2021-01-22,Warangal Urban,Hasanparthy,0.0,19.9,33.2,43.2,95.9,,
2021-01-23,Warangal Urban,Hasanparthy,0.0,19.8,32.8,43.0,93.6,,
2021-01-24,Warangal Urban,Hasanparthy,0.0,19.0,33.0,45.1,90.7,,
2021-01-25,Warangal Urban,Hasanparthy,0.0,19.7,33.7,43.8,88.6,,
2021-01-26,Warangal Urban,Hasanparthy,0.0,19.8,33.2,44.4,84.7,,
2021-01-27,Warangal Urban,Hasanparthy,0.0,20.6,33.1,43.1,91.5,,
2021-01-28,Warangal Urban,Hasanparthy,0.0,20.9,32.1,49.2,89.7,,
2021-01-29,Warangal Urban,Hasanparthy,0.0,20.9,31.5,55.9,91.3,,
2021-01-30,Warangal Urban,Hasanparthy,0.0,19.5,32.1,44.8,95.3,,
2021-01-31,Warangal Urban,Hasanparthy,0.0,18.8,30.8,54.1,99.9,,
2021-02-01,Warangal Urban,Hasanparthy,0.0,19.4,32.2,50.3,99.9,,
2021-02-02,Warangal Urban,Hasanparthy,0.0,16.0,30.7,46.0,95.6,,
2021-02-03,Warangal Urban,Hasanparthy,0.0,15.2,32.1,38.3,93.9,,
2021-02-04,Warangal Urban,Hasanparthy,0.0,16.1,31.4,23.7,97.8,,
2021-02-05,Warangal Urban,Hasanparthy,0.0,15.8,31.1,34.1,91.5,,
2021-02-06,Warangal Urban,Hasanparthy,0.0,17.8,31.7,33.0,88.5,,
2021-02-07,Warangal Urban,Hasanparthy,0.0,16.4,32.1,34.6,92.3,,
2021-02-08,Warangal Urban,Hasanparthy,0.0,13.2,29.1,41.9,90.6,,
2021-02-09,Warangal Urban,Hasanparthy,0.0,13.7,29.9,35.7,89.4,,
2021-02-10,Warangal Urban,Hasanparthy,0.0,13.8,30.7,30.8,88.8,,
2021-02-11,Warangal Urban,Hasanparthy,0.0,16.2,32.3,28.4,94.5,,
2021-02-12,Warangal Urban,Hasanparthy,0.0,18.8,34.3,48.8,98.3,,
2021-02-13,Warangal Urban,Hasanparthy,0.0,19.2,32.5,35.7,91.7,,
2021-02-14,Warangal Urban,Hasanparthy,0.0,19.3,32.7,40.5,90.0,,
2021-02-15,Warangal Urban,Hasanparthy,0.0,20.2,33.3,35.4,97.6,,
2021-02-16,Warangal Urban,Hasanparthy,0.0,20.3,34.1,35.6,88.6,,
2021-02-17,Warangal Urban,Hasanparthy,0.0,19.5,34.4,49.3,90.4,,
2021-02-18,Warangal Urban,Hasanparthy,0.0,19.6,33.7,49.9,97.1,,
2021-02-19,Warangal Urban,Hasanparthy,8.4,18.6,31.5,62.0,98.9,,
2021-02-20,Warangal Urban,Hasanparthy,0.2,19.8,27.4,63.4,95.2,,
2021-02-21,Warangal Urban,Hasanparthy,0.0,18.9,30.8,48.8,90.4,,
2021-02-22,Warangal Urban,Hasanparthy,0.0,19.5,30.8,45.6,91.6,,
2021-02-23,Warangal Urban,Hasanparthy,0.0,17.8,32.3,47.5,93.5,,
2021-02-24,Warangal Urban,Hasanparthy,0.0,16.9,33.3,33.4,99.9,,
2021-02-25,Warangal Urban,Hasanparthy,0.0,17.3,34.8,29.5,88.2,,
2021-02-26,Warangal Urban,Hasanparthy,0.0,17.3,36.3,26.2,88.1,,
2021-02-27,Warangal Urban,Hasanparthy,0.0,19.9,37.0,23.4,83.4,,
2021-02-28,Warangal Urban,Hasanparthy,0.0,19.4,37.4,22.7,82.4,,
2021-03-01,Warangal Urban,Hasanparthy,0.0,22.0,38.3,21.3,84.5,,
2021-03-02,Warangal Urban,Hasanparthy,0.0,20.3,35.4,33.7,90.9,,
2021-03-03,Warangal Urban,Hasanparthy,0.0,19.5,35.4,32.5,88.0,,
2021-03-04,Warangal Urban,Hasanparthy,0.0,19.4,35.9,26.6,86.4,,
2021-03-05,Warangal Urban,Hasanparthy,0.0,18.8,36.0,26.6,83.9,,
2021-03-06,Warangal Urban,Hasanparthy,0.0,17.7,35.5,26.3,83.3,,
2021-03-07,Warangal Urban,Hasanparthy,0.0,19.1,37.2,21.8,84.9,,
2021-03-08,Warangal Urban,Hasanparthy,0.0,21.2,36.3,26.4,88.2,,
2021-03-09,Warangal Urban,Hasanparthy,0.0,21.4,34.4,36.5,90.1,,
2021-03-10,Warangal Urban,Hasanparthy,0.0,21.3,33.5,41.5,94.7,,
2021-03-11,Warangal Urban,Hasanparthy,0.0,20.4,33.2,41.2,89.9,,
2021-03-12,Warangal Urban,Hasanparthy,0.0,21.0,34.4,27.4,92.9,,
2021-03-13,Warangal Urban,Hasanparthy,0.0,17.3,34.0,38.0,85.7,,
2021-03-14,Warangal Urban,Hasanparthy,0.0,18.4,33.8,27.1,86.3,,
2021-03-15,Warangal Urban,Hasanparthy,0.0,20.0,35.4,25.0,81.7,,
2021-03-16,Warangal Urban,Hasanparthy,0.0,21.2,35.6,29.7,88.7,,
2021-03-17,Warangal Urban,Hasanparthy,0.0,22.5,35.4,36.7,90.4,,
2021-03-18,Warangal Urban,Hasanparthy,0.0,21.8,35.8,39.7,93.2,,
2021-03-19,Warangal Urban,Hasanparthy,0.0,20.7,35.4,35.0,83.8,,
