Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Warangal Urban,Khazipet,0.0,15.8,29.3,48.0,94.3,,
2021-01-02,Warangal Urban,Khazipet,0.0,14.8,28.7,52.9,95.3,,
2021-01-03,Warangal Urban,Khazipet,0.0,15.3,30.3,52.4,94.2,,
2021-01-04,Warangal Urban,Khazipet,0.0,17.0,29.8,47.5,95.8,,
2021-01-05,Warangal Urban,Khazipet,0.0,17.2,30.6,43.5,94.4,,
2021-01-06,Warangal Urban,Khazipet,0.0,21.9,32.8,40.5,93.2,,
2021-01-07,Warangal Urban,Khazipet,0.8,21.4,28.0,48.9,92.1,,
2021-01-08,Warangal Urban,Khazipet,0.0,20.0,29.6,58.2,94.5,,
2021-01-09,Warangal Urban,Khazipet,0.0,19.6,33.5,37.6,94.7,,
2021-01-10,Warangal Urban,Khazipet,0.0,15.9,32.6,32.6,96.5,,
2021-01-11,Warangal Urban,Khazipet,0.0,15.4,31.6,36.5,93.5,,
2021-01-12,Warangal Urban,Khazipet,0.0,17.6,31.5,40.5,94.9,,
2021-01-13,Warangal Urban,Khazipet,0.0,17.0,33.5,43.2,95.6,,
2021-01-14,Warangal Urban,Khazipet,0.0,17.7,33.8,99.9,99.9,,
2021-01-15,Warangal Urban,Khazipet,0.0,16.9,32.8,36.9,96.2,,
2021-01-16,Warangal Urban,Khazipet,0.0,15.3,34.2,36.5,98.4,,
2021-01-17,Warangal Urban,Khazipet,0.0,16.7,32.2,45.0,97.8,,
2021-01-18,Warangal Urban,Khazipet,0.0,18.4,30.2,47.0,98.1,,
2021-01-19,Warangal Urban,Khazipet,0.0,18.1,30.1,48.6,95.9,,
2021-01-20,Warangal Urban,Khazipet,0.0,17.1,31.5,40.9,99.3,,
2021-01-21,Warangal Urban,Khazipet,0.0,17.5,35.1,35.3,96.1,,
2021-01-22,Warangal Urban,Khazipet,0.0,18.9,35.4,46.6,94.6,,
2021-01-23,Warangal Urban,Khazipet,0.0,19.8,32.2,45.7,95.3,,
2021-01-24,Warangal Urban,Khazipet,0.0,17.6,32.8,46.4,93.8,,
2021-01-25,Warangal Urban,Khazipet,0.0,18.6,34.1,43.3,93.2,,
2021-01-26,Warangal Urban,Khazipet,0.0,20.2,34.1,43.4,87.3,,
2021-01-27,Warangal Urban,Khazipet,0.0,19.4,33.4,43.1,93.5,,
2021-01-28,Warangal Urban,Khazipet,0.0,19.8,31.8,48.1,91.8,,
2021-01-29,Warangal Urban,Khazipet,0.0,20.2,31.5,54.6,93.5,,
2021-01-30,Warangal Urban,Khazipet,0.0,19.1,32.1,50.9,96.1,,
2021-01-31,Warangal Urban,Khazipet,0.0,20.1,31.2,55.9,98.8,,
2021-02-01,Warangal Urban,Khazipet,0.0,20.6,31.5,49.2,98.3,,
2021-02-02,Warangal Urban,Khazipet,0.0,14.7,31.2,48.5,96.4,,
2021-02-03,Warangal Urban,Khazipet,0.0,14.6,32.6,36.1,96.3,,
2021-02-04,Warangal Urban,Khazipet,0.0,16.1,32.2,21.1,97.4,,
2021-02-05,Warangal Urban,Khazipet,0.0,15.3,32.5,33.1,93.4,,
2021-02-06,Warangal Urban,Khazipet,0.0,17.7,32.6,34.4,93.0,,
2021-02-07,Warangal Urban,Khazipet,0.0,16.8,32.9,32.9,94.5,,
2021-02-08,Warangal Urban,Khazipet,0.0,13.9,28.8,41.7,91.3,,
2021-02-09,Warangal Urban,Khazipet,0.0,13.7,30.9,35.6,93.2,,
2021-02-10,Warangal Urban,Khazipet,0.0,13.4,31.9,29.8,93.0,,
2021-02-11,Warangal Urban,Khazipet,0.0,15.9,33.7,29.3,88.2,,
2021-02-12,Warangal Urban,Khazipet,0.0,18.5,34.3,42.2,97.7,,
2021-02-13,Warangal Urban,Khazipet,0.0,18.6,33.2,38.5,95.2,,
2021-02-14,Warangal Urban,Khazipet,0.0,18.2,33.2,41.0,94.3,,
2021-02-15,Warangal Urban,Khazipet,0.0,19.5,34.3,32.6,96.8,,
2021-02-16,Warangal Urban,Khazipet,0.0,19.4,34.8,41.6,85.0,,
2021-02-17,Warangal Urban,Khazipet,0.0,20.2,34.9,43.2,86.9,,
2021-02-18,Warangal Urban,Khazipet,0.0,19.7,33.8,40.6,96.1,,
2021-02-19,Warangal Urban,Khazipet,2.0,19.2,30.5,54.3,98.6,,
2021-02-20,Warangal Urban,Khazipet,0.0,19.8,27.3,68.3,93.8,,
2021-02-21,Warangal Urban,Khazipet,0.0,19.2,30.0,65.5,99.9,,
2021-02-22,Warangal Urban,Khazipet,0.0,19.6,31.2,46.7,94.0,,
2021-02-23,Warangal Urban,Khazipet,0.0,19.2,33.7,45.9,99.9,,
2021-02-24,Warangal Urban,Khazipet,0.0,18.7,34.3,37.1,99.9,,
2021-02-25,Warangal Urban,Khazipet,0.0,18.9,35.7,29.7,89.7,,
2021-02-26,Warangal Urban,Khazipet,0.0,19.0,37.4,28.1,99.9,,
2021-02-27,Warangal Urban,Khazipet,0.0,20.7,37.8,36.3,99.9,,
2021-02-28,Warangal Urban,Khazipet,0.0,19.4,37.1,24.8,85.2,,
