Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-01-01,Warangal Urban,Warangal,0.0,18.1,30.3,41.1,99.9,,
2021-01-02,Warangal Urban,Warangal,0.0,17.0,30.0,44.1,99.9,,
2021-01-03,Warangal Urban,Warangal,0.0,17.4,30.7,39.9,99.9,,
2021-01-04,Warangal Urban,Warangal,0.0,17.6,32.3,37.1,99.9,,
2021-01-05,Warangal Urban,Warangal,0.0,18.6,31.2,37.1,99.9,,
2021-01-06,Warangal Urban,Warangal,0.0,21.7,33.2,35.4,99.9,,
2021-01-07,Warangal Urban,Warangal,0.0,22.1,29.2,44.1,99.9,,
2021-01-08,Warangal Urban,Warangal,0.0,21.5,29.7,46.3,99.9,,
2021-01-09,Warangal Urban,Warangal,0.0,19.0,33.5,31.7,99.9,,
2021-01-10,Warangal Urban,Warangal,0.0,18.2,32.7,23.6,99.9,,
2021-01-11,Warangal Urban,Warangal,0.0,17.4,33.0,29.6,99.9,,
2021-01-12,Warangal Urban,Warangal,0.0,19.1,32.4,36.3,99.9,,
2021-01-13,Warangal Urban,Warangal,0.0,19.8,32.9,37.1,99.9,,
2021-01-14,Warangal Urban,Warangal,0.0,19.4,34.6,32.6,99.9,,
2021-01-15,Warangal Urban,Warangal,0.0,18.5,32.9,32.6,99.9,,
2021-01-16,Warangal Urban,Warangal,0.0,17.8,31.9,33.7,99.9,,
2021-01-17,Warangal Urban,Warangal,0.0,19.3,31.8,33.7,99.9,,
2021-01-18,Warangal Urban,Warangal,0.0,19.4,32.8,42.8,99.9,,
2021-01-19,Warangal Urban,Warangal,0.0,19.8,32.2,41.1,99.9,,
2021-01-20,Warangal Urban,Warangal,0.0,18.4,32.9,38.8,99.9,,
2021-01-21,Warangal Urban,Warangal,0.0,19.0,35.6,27.9,99.9,,
2021-01-22,Warangal Urban,Warangal,0.0,20.5,35.2,35.7,99.9,,
2021-01-23,Warangal Urban,Warangal,0.0,21.0,33.1,36.3,99.9,,
2021-01-24,Warangal Urban,Warangal,0.0,19.4,34.8,32.3,99.9,,
2021-01-25,Warangal Urban,Warangal,0.0,19.8,33.6,38.2,99.9,,
2021-01-26,Warangal Urban,Warangal,0.0,19.6,33.5,37.5,96.9,,
2021-01-27,Warangal Urban,Warangal,0.0,20.2,32.8,36.3,99.9,,
2021-01-28,Warangal Urban,Warangal,0.0,20.3,32.0,41.6,99.9,,
2021-01-29,Warangal Urban,Warangal,0.0,20.7,31.3,45.0,99.9,,
2021-01-30,Warangal Urban,Warangal,0.0,20.1,33.0,37.7,99.9,,
2021-01-31,Warangal Urban,Warangal,0.0,19.8,32.9,41.6,99.9,,
2021-02-01,Warangal Urban,Warangal,0.0,19.7,33.1,40.5,99.9,,
2021-02-02,Warangal Urban,Warangal,0.0,16.5,33.0,37.1,99.9,,
2021-02-03,Warangal Urban,Warangal,0.0,15.8,33.2,23.6,99.9,,
2021-02-04,Warangal Urban,Warangal,0.0,17.4,33.3,15.6,99.9,,
2021-02-05,Warangal Urban,Warangal,0.0,16.9,31.7,26.3,99.9,,
2021-02-06,Warangal Urban,Warangal,0.0,17.9,32.9,25.5,99.9,,
2021-02-07,Warangal Urban,Warangal,0.0,17.0,32.9,28.5,99.9,,
2021-02-08,Warangal Urban,Warangal,0.0,15.3,29.9,35.7,99.9,,
2021-02-09,Warangal Urban,Warangal,0.0,13.9,30.7,27.6,99.9,,
2021-02-10,Warangal Urban,Warangal,0.0,14.9,31.2,23.8,99.9,,
2021-02-11,Warangal Urban,Warangal,0.0,17.9,32.5,27.1,99.9,,
2021-02-12,Warangal Urban,Warangal,0.0,18.8,33.1,30.4,99.9,,
2021-02-13,Warangal Urban,Warangal,0.0,18.8,33.2,29.1,99.9,,
2021-02-14,Warangal Urban,Warangal,0.0,18.8,33.2,35.9,99.9,,
2021-02-15,Warangal Urban,Warangal,0.0,19.6,34.9,26.5,99.9,,
