Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-10-01,Warangal,Geesugonda,0.0,25.0,32.8,52.7,100.0,0.0,4.5
2021-10-02,Warangal,Geesugonda,0.0,24.3,35.7,47.3,100.0,0.0,3.6
2021-10-03,Warangal,Geesugonda,0.0,25.1,34.5,52.6,100.0,0.0,2.9
2021-10-04,Warangal,Geesugonda,0.0,25.3,35.0,48.6,100.0,0.0,5.0
2021-10-05,Warangal,Geesugonda,0.6,24.4,33.5,58.1,100.0,0.0,6.7
2021-10-06,Warangal,Geesugonda,5.4,24.1,33.9,71.1,100.0,0.0,7.1
2021-10-07,Warangal,Geesugonda,0.0,24.3,33.8,61.7,100.0,0.0,5.9
2021-10-08,Warangal,Geesugonda,0.0,25.1,35.1,49.8,100.0,0.0,8.4
2021-10-09,Warangal,Geesugonda,0.0,23.0,35.1,45.7,100.0,0.0,6.5
2021-10-10,Warangal,Geesugonda,0.0,23.9,36.6,64.2,100.0,0.0,4.8
2021-10-11,Warangal,Geesugonda,0.3,21.7,34.9,48.2,100.0,0.0,5.9
2021-10-12,Warangal,Geesugonda,0.0,21.9,34.3,40.6,100.0,0.0,3.2
2021-10-13,Warangal,Geesugonda,0.0,24.0,32.8,41.4,100.0,0.0,4.2
2021-10-14,Warangal,Geesugonda,0.0,22.7,32.9,44.2,100.0,0.0,4.0
2021-10-15,Warangal,Geesugonda,0.0,22.7,34.8,44.0,100.0,0.0,4.3
2021-10-16,Warangal,Geesugonda,0.5,23.6,32.8,53.2,100.0,0.0,5.1
2021-10-17,Warangal,Geesugonda,15.8,24.4,30.6,76.8,100.0,0.0,5.9
2021-10-18,Warangal,Geesugonda,0.0,24.8,32.5,67.9,100.0,0.0,7.2
2021-10-19,Warangal,Geesugonda,0.0,24.2,35.1,38.3,100.0,0.0,5.7
2021-10-20,Warangal,Geesugonda,0.0,21.8,33.7,42.5,100.0,0.0,8.0
2021-10-21,Warangal,Geesugonda,0.0,22.0,32.7,51.6,100.0,0.0,7.4
2021-10-22,Warangal,Geesugonda,0.0,22.5,33.1,39.1,100.0,0.0,7.6
2021-10-23,Warangal,Geesugonda,0.0,20.8,32.9,33.2,89.9,0.0,9.2
2021-10-24,Warangal,Geesugonda,0.0,19.2,33.4,33.9,100.0,0.0,6.2
