Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-10-01,Warangal,Khanapur,0.0,24.6,32.3,72.2,100.0,0.0,1.5
2021-10-02,Warangal,Khanapur,0.0,24.7,32.3,74.9,100.0,0.1,1.4
2021-10-03,Warangal,Khanapur,0.0,25.5,32.8,67.9,100.0,0.0,1.2
2021-10-04,Warangal,Khanapur,0.6,24.9,32.5,74.1,100.0,0.0,1.7
2021-10-05,Warangal,Khanapur,0.0,24.6,32.9,73.2,100.0,0.0,1.1
2021-10-06,Warangal,Khanapur,0.6,24.2,31.5,76.8,100.0,0.0,2.6
2021-10-07,Warangal,Khanapur,0.0,24.5,33.0,67.9,100.0,0.0,1.5
2021-10-08,Warangal,Khanapur,0.0,24.8,32.2,76.7,100.0,0.0,1.5
2021-10-09,Warangal,Khanapur,0.0,23.7,32.6,71.4,100.0,0.0,1.5
2021-10-10,Warangal,Khanapur,0.0,24.3,32.9,70.1,100.0,0.0,2.2
2021-10-11,Warangal,Khanapur,0.0,22.9,32.7,63.5,97.8,0.0,2.3
2021-10-12,Warangal,Khanapur,0.0,23.1,32.9,53.6,97.5,0.0,1.8
2021-10-13,Warangal,Khanapur,0.0,23.8,32.9,58.4,99.5,0.0,2.2
2021-10-14,Warangal,Khanapur,0.0,23.3,32.3,64.4,98.5,0.0,2.3
2021-10-15,Warangal,Khanapur,0.0,22.8,32.8,60.0,98.0,0.0,1.9
2021-10-16,Warangal,Khanapur,10.2,24.3,32.1,67.8,100.0,0.0,2.7
2021-10-17,Warangal,Khanapur,43.7,24.1,29.7,84.8,100.0,0.0,2.2
2021-10-18,Warangal,Khanapur,0.0,25.5,31.2,81.6,100.0,0.2,1.7
2021-10-19,Warangal,Khanapur,0.0,25.2,32.4,69.5,99.6,0.0,1.6
2021-10-20,Warangal,Khanapur,0.0,22.9,32.7,70.0,100.0,0.0,2.0
2021-10-21,Warangal,Khanapur,0.0,23.1,32.0,65.1,100.0,0.0,2.1
2021-10-22,Warangal,Khanapur,0.0,22.2,32.0,58.4,98.1,0.0,2.0
2021-10-23,Warangal,Khanapur,0.0,20.6,31.6,52.4,93.3,0.0,2.6
2021-10-24,Warangal,Khanapur,0.0,20.6,32.2,51.3,99.3,0.0,2.1
2021-10-25,Warangal,Khanapur,0.0,20.7,31.9,62.7,98.3,0.0,1.8
2021-10-26,Warangal,Khanapur,0.0,20.8,30.9,57.4,97.2,0.0,2.2
2021-10-27,Warangal,Khanapur,0.0,19.8,31.0,46.4,96.3,0.0,3.1
2021-10-28,Warangal,Khanapur,0.0,20.4,30.5,50.4,96.8,0.0,3.1
2021-10-29,Warangal,Khanapur,0.0,20.9,30.7,63.4,94.8,0.0,2.6
2021-10-30,Warangal,Khanapur,0.0,22.9,30.3,67.1,94.3,0.0,2.2
2021-10-31,Warangal,Khanapur,0.0,22.0,31.6,67.8,96.9,0.0,2.2
2021-11-01,Warangal,Khanapur,0.0,21.3,31.6,65.7,94.7,0.0,0.0
2021-11-02,Warangal,Khanapur,0.0,22.7,29.7,63.1,97.5,0.0,0.0
2021-11-03,Warangal,Khanapur,6.1,22.8,30.2,78.2,100.0,0.0,0.0
2021-11-04,Warangal,Khanapur,0.4,22.4,29.1,81.1,100.0,0.0,0.0
2021-11-05,Warangal,Khanapur,0.0,22.5,30.7,73.5,99.9,0.0,0.0
2021-11-06,Warangal,Khanapur,0.0,22.1,31.2,67.6,100.0,0.0,0.0
2021-11-07,Warangal,Khanapur,0.0,18.9,30.1,61.9,98.5,0.0,0.0
2021-11-08,Warangal,Khanapur,0.0,17.7,30.2,52.5,93.0,0.0,0.0
2021-11-09,Warangal,Khanapur,0.0,17.3,30.2,42.8,94.3,0.0,0.0
2021-11-10,Warangal,Khanapur,0.0,18.6,28.9,54.4,90.9,0.0,0.0
2021-11-11,Warangal,Khanapur,0.0,19.9,30.3,52.1,88.3,0.0,0.0
2021-11-12,Warangal,Khanapur,0.0,21.4,27.1,70.2,94.1,0.0,0.0
2021-11-13,Warangal,Khanapur,0.7,23.4,29.7,75.1,99.7,0.0,0.0
2021-11-14,Warangal,Khanapur,5.6,22.5,29.1,87.0,100.0,0.0,0.0
2021-11-15,Warangal,Khanapur,14.1,22.9,32.1,73.8,99.2,0.0,0.0
2021-11-16,Warangal,Khanapur,1.4,22.5,30.6,76.9,98.1,0.0,0.0
2021-11-17,Warangal,Khanapur,1.8,23.0,30.2,75.7,99.7,0.0,0.0
2021-11-18,Warangal,Khanapur,0.0,23.6,32.9,65.0,98.5,0.0,0.0
2021-11-19,Warangal,Khanapur,0.0,24.0,29.6,77.5,99.0,0.0,0.0
2021-11-20,Warangal,Khanapur,0.0,23.2,27.7,82.3,98.1,0.0,0.0
2021-11-21,Warangal,Khanapur,5.0,22.8,30.3,74.9,98.8,0.0,0.0
2021-11-22,Warangal,Khanapur,0.0,24.2,32.9,65.6,99.4,0.0,0.0
2021-11-23,Warangal,Khanapur,0.0,24.1,31.9,71.5,99.1,0.0,0.0
2021-11-24,Warangal,Khanapur,0.0,24.4,31.6,71.8,99.0,0.0,0.0
2021-11-25,Warangal,Khanapur,0.0,20.6,32.6,62.2,99.9,0.0,0.0
2021-11-26,Warangal,Khanapur,0.0,18.9,31.5,58.0,97.4,0.0,0.0
2021-11-27,Warangal,Khanapur,0.0,18.1,31.2,50.4,94.8,0.0,0.0
2021-11-28,Warangal,Khanapur,0.0,18.7,30.3,50.1,94.1,0.0,0.0
2021-11-29,Warangal,Khanapur,0.0,21.1,28.6,63.7,96.3,0.0,0.0
2021-11-30,Warangal,Khanapur,0.0,20.3,28.0,72.0,94.8,0.0,0.0
2021-12-01,Warangal,Khanapur,0.0,18.2,30.8,58.1,94.9,0.0,1.5
2021-12-02,Warangal,Khanapur,0.0,18.6,30.3,55.8,95.2,0.0,1.0
2021-12-03,Warangal,Khanapur,0.0,17.4,30.5,55.1,96.5,0.0,1.7
2021-12-04,Warangal,Khanapur,0.0,17.5,29.8,55.5,94.1,0.0,1.7
2021-12-05,Warangal,Khanapur,0.0,17.9,31.0,51.3,93.1,0.0,1.9
2021-12-06,Warangal,Khanapur,0.0,19.6,31.1,56.9,98.1,0.0,3.3
2021-12-07,Warangal,Khanapur,0.0,19.7,31.2,56.2,96.8,0.1,3.1
2021-12-08,Warangal,Khanapur,0.0,19.3,30.9,58.1,95.6,0.0,2.2
2021-12-09,Warangal,Khanapur,0.0,20.4,31.4,56.5,94.7,0.0,1.1
2021-12-10,Warangal,Khanapur,0.0,22.1,31.0,61.1,94.4,0.0,1.3
2021-12-11,Warangal,Khanapur,0.0,20.7,30.1,65.6,95.8,0.0,1.5
2021-12-12,Warangal,Khanapur,0.0,19.5,30.7,58.3,91.8,0.1,1.3
2021-12-13,Warangal,Khanapur,0.0,18.7,29.7,57.6,94.1,0.0,1.6
2021-12-14,Warangal,Khanapur,0.0,17.7,30.5,54.1,94.4,0.0,1.0
2021-12-15,Warangal,Khanapur,0.0,16.3,28.3,58.0,94.6,0.0,1.5
2021-12-16,Warangal,Khanapur,0.0,14.9,28.0,48.7,94.8,0.0,2.1
2021-12-17,Warangal,Khanapur,0.0,13.2,28.5,47.3,90.5,0.0,1.8
2021-12-18,Warangal,Khanapur,0.0,14.2,28.0,41.1,88.5,0.0,1.7
2021-12-19,Warangal,Khanapur,0.0,13.7,28.2,36.4,93.5,0.0,2.7
2021-12-20,Warangal,Khanapur,0.0,14.2,28.5,48.3,92.0,0.2,1.6
2021-12-21,Warangal,Khanapur,0.0,10.1,27.5,43.3,88.3,0.0,2.2
2021-12-22,Warangal,Khanapur,0.0,9.8,27.8,27.3,81.8,0.0,1.8
2021-12-23,Warangal,Khanapur,0.0,11.8,28.9,24.5,91.3,0.0,1.5
