Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-10-01,Warangal,Nallabelly,0.0,24.1,33.2,62.9,100.0,0.0,4.5
2021-10-02,Warangal,Nallabelly,0.0,24.5,35.7,56.2,100.0,0.0,8.0
2021-10-03,Warangal,Nallabelly,0.0,25.3,34.9,58.6,98.6,0.0,5.0
2021-10-04,Warangal,Nallabelly,20.0,24.1,34.9,58.1,100.0,0.0,6.2
2021-10-05,Warangal,Nallabelly,0.0,24.4,34.3,60.0,100.0,0.0,4.0
2021-10-06,Warangal,Nallabelly,0.3,23.4,32.9,69.8,100.0,0.0,7.3
2021-10-07,Warangal,Nallabelly,0.0,23.8,33.1,62.4,100.0,0.0,6.4
2021-10-08,Warangal,Nallabelly,3.5,24.5,34.4,58.1,100.0,0.0,5.5
2021-10-09,Warangal,Nallabelly,0.0,22.9,36.7,56.2,100.0,0.0,6.1
2021-10-10,Warangal,Nallabelly,0.0,23.8,36.0,56.7,100.0,0.0,5.4
2021-10-11,Warangal,Nallabelly,0.0,21.6,33.0,54.3,99.5,0.0,7.4
2021-10-12,Warangal,Nallabelly,0.0,21.9,33.1,52.4,99.1,0.0,3.4
2021-10-13,Warangal,Nallabelly,0.0,23.6,33.0,50.9,98.2,0.0,6.8
2021-10-14,Warangal,Nallabelly,0.0,22.2,33.0,59.5,99.1,0.0,6.9
2021-10-15,Warangal,Nallabelly,0.0,21.9,32.9,54.3,97.3,0.0,5.2
2021-10-16,Warangal,Nallabelly,3.3,24.2,32.7,60.0,100.0,0.0,6.6
2021-10-17,Warangal,Nallabelly,26.0,23.7,30.7,74.8,100.0,0.0,4.0
2021-10-18,Warangal,Nallabelly,0.0,25.1,34.2,66.7,100.0,0.0,9.6
2021-10-19,Warangal,Nallabelly,0.0,24.2,35.7,55.2,100.0,0.0,4.8
2021-10-20,Warangal,Nallabelly,0.0,22.1,34.0,56.2,100.0,0.0,6.6
2021-10-21,Warangal,Nallabelly,0.0,21.8,32.8,61.1,99.1,0.0,6.1
2021-10-22,Warangal,Nallabelly,0.0,21.3,34.0,46.5,100.0,0.0,4.0
2021-10-23,Warangal,Nallabelly,0.0,18.9,32.4,47.7,97.3,0.0,5.9
2021-10-24,Warangal,Nallabelly,0.0,19.9,33.7,42.7,100.0,0.0,3.2
2021-10-25,Warangal,Nallabelly,0.0,19.8,33.0,49.9,99.1,0.0,3.7
2021-10-26,Warangal,Nallabelly,0.0,19.0,32.3,49.9,100.0,0.0,6.8
2021-10-27,Warangal,Nallabelly,0.0,18.3,32.0,42.3,99.2,0.0,9.1
2021-10-28,Warangal,Nallabelly,0.0,19.6,31.3,42.9,97.8,0.0,10.0
2021-10-29,Warangal,Nallabelly,0.0,19.9,31.9,52.5,94.2,0.0,6.5
2021-10-30,Warangal,Nallabelly,0.0,22.1,31.9,59.5,90.7,0.0,2.2
2021-10-31,Warangal,Nallabelly,0.0,20.2,32.9,58.8,96.4,0.0,3.6
2021-11-01,Warangal,Nallabelly,0.0,19.6,33.0,57.6,91.3,0.0,0.0
2021-11-02,Warangal,Nallabelly,0.0,21.6,32.1,46.6,98.6,0.0,0.0
2021-11-03,Warangal,Nallabelly,2.3,21.6,32.0,57.6,100.0,0.0,0.0
2021-11-04,Warangal,Nallabelly,0.3,21.7,30.6,67.8,100.0,0.0,0.0
2021-11-05,Warangal,Nallabelly,0.0,21.0,33.1,56.2,100.0,0.0,0.0
2021-11-06,Warangal,Nallabelly,0.0,21.0,32.5,59.5,100.0,0.0,0.0
2021-11-07,Warangal,Nallabelly,0.0,17.8,31.6,53.1,100.0,0.0,0.0
2021-11-08,Warangal,Nallabelly,0.0,16.2,32.3,41.8,98.8,0.0,0.0
2021-11-09,Warangal,Nallabelly,0.0,15.4,31.6,34.5,98.4,0.0,0.0
2021-11-10,Warangal,Nallabelly,0.0,16.9,30.0,44.7,95.3,0.0,0.0
2021-11-11,Warangal,Nallabelly,0.0,18.9,31.7,43.4,85.0,0.0,0.0
2021-11-12,Warangal,Nallabelly,0.0,20.6,28.5,61.9,91.6,0.0,0.0
2021-11-13,Warangal,Nallabelly,0.0,22.5,31.4,63.1,99.5,0.0,0.0
2021-11-14,Warangal,Nallabelly,4.2,22.2,30.6,69.2,100.0,0.0,0.0
2021-11-15,Warangal,Nallabelly,8.3,22.7,32.4,60.5,100.0,0.0,0.0
2021-11-16,Warangal,Nallabelly,0.0,22.5,32.7,62.4,100.0,0.0,0.0
