Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-10-01,Warangal,Narsampet,0.0,24.7,32.4,69.9,100.0,0.0,3.1
2021-10-02,Warangal,Narsampet,0.0,25.0,33.7,63.5,100.0,0.0,3.2
2021-10-03,Warangal,Narsampet,0.0,25.7,34.0,57.2,100.0,0.0,2.7
2021-10-04,Warangal,Narsampet,0.0,25.1,33.5,66.0,100.0,0.0,2.6
2021-10-05,Warangal,Narsampet,0.0,25.0,34.0,58.0,100.0,0.0,2.6
2021-10-06,Warangal,Narsampet,2.8,23.9,32.8,92.7,100.0,0.0,4.8
2021-10-07,Warangal,Narsampet,0.0,24.8,32.9,70.1,100.0,0.0,5.3
2021-10-08,Warangal,Narsampet,1.4,25.2,34.0,74.2,100.0,0.0,4.9
2021-10-09,Warangal,Narsampet,0.0,23.7,34.5,66.4,100.0,0.0,1.4
2021-10-10,Warangal,Narsampet,0.3,24.8,35.1,65.0,100.0,0.0,4.0
2021-10-11,Warangal,Narsampet,0.0,23.9,32.9,59.2,100.0,0.0,4.6
2021-10-12,Warangal,Narsampet,0.0,23.9,33.1,43.5,97.7,0.0,2.6
2021-10-13,Warangal,Narsampet,0.0,24.8,32.9,39.3,100.0,0.0,3.1
2021-10-14,Warangal,Narsampet,0.0,24.0,33.0,53.5,100.0,0.0,0.3
2021-10-15,Warangal,Narsampet,0.0,23.7,33.0,50.0,92.5,0.0,0.7
2021-10-16,Warangal,Narsampet,5.1,24.4,31.9,63.7,100.0,0.0,0.3
2021-10-17,Warangal,Narsampet,39.8,23.9,30.2,83.0,100.0,0.0,2.9
2021-10-18,Warangal,Narsampet,0.7,25.6,32.2,75.4,100.0,0.0,10.0
2021-10-19,Warangal,Narsampet,0.0,25.0,34.3,64.4,100.0,0.0,5.6
2021-10-20,Warangal,Narsampet,0.0,23.6,32.6,58.6,100.0,0.0,5.0
2021-10-21,Warangal,Narsampet,0.0,23.3,32.6,63.8,100.0,0.0,0.3
2021-10-22,Warangal,Narsampet,0.0,22.4,32.8,42.5,100.0,0.0,1.4
2021-10-23,Warangal,Narsampet,0.0,20.6,32.4,39.1,100.0,0.0,0.5
2021-10-24,Warangal,Narsampet,0.0,21.3,32.8,34.4,100.0,0.0,0.3
2021-10-25,Warangal,Narsampet,0.0,20.6,32.4,43.9,100.0,0.0,0.1
2021-10-26,Warangal,Narsampet,0.0,21.3,31.7,45.7,95.8,0.0,0.1
2021-10-27,Warangal,Narsampet,0.0,20.4,31.7,34.4,95.2,0.0,2.6
2021-10-28,Warangal,Narsampet,0.0,21.3,31.5,35.0,92.1,0.0,0.9
