Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-10-01,Warangal,Nekkonda,0.0,24.8,34.4,52.5,98.6,0.0,5.9
2021-10-02,Warangal,Nekkonda,0.0,24.2,34.0,59.9,99.1,0.0,8.7
2021-10-03,Warangal,Nekkonda,0.0,25.3,36.1,52.5,98.3,0.0,6.7
2021-10-04,Warangal,Nekkonda,0.0,24.5,35.2,55.5,99.0,0.0,6.3
2021-10-05,Warangal,Nekkonda,0.0,24.4,33.2,62.1,99.0,0.0,6.2
2021-10-06,Warangal,Nekkonda,5.5,24.1,32.8,65.4,100.0,0.0,15.3
2021-10-07,Warangal,Nekkonda,0.0,24.2,32.4,64.2,99.3,0.0,12.1
2021-10-08,Warangal,Nekkonda,0.0,24.4,33.5,60.6,99.3,0.0,8.4
2021-10-09,Warangal,Nekkonda,0.0,23.4,35.0,55.2,99.3,0.0,6.8
2021-10-10,Warangal,Nekkonda,1.4,23.7,35.6,53.6,99.3,0.0,12.9
2021-10-11,Warangal,Nekkonda,0.0,22.0,33.5,53.6,97.9,0.0,10.9
2021-10-12,Warangal,Nekkonda,0.0,22.3,35.3,44.7,98.4,0.0,8.4
2021-10-13,Warangal,Nekkonda,0.0,23.8,34.1,43.0,97.9,0.0,7.8
2021-10-14,Warangal,Nekkonda,0.0,22.5,34.3,50.3,98.4,0.0,8.1
2021-10-15,Warangal,Nekkonda,0.0,22.3,34.5,48.7,96.5,0.0,10.7
2021-10-16,Warangal,Nekkonda,3.3,24.1,32.8,55.6,99.3,0.0,10.3
2021-10-17,Warangal,Nekkonda,20.0,24.6,32.0,72.9,99.3,0.0,7.1
2021-10-18,Warangal,Nekkonda,0.0,25.1,32.9,62.9,98.8,0.0,9.0
2021-10-19,Warangal,Nekkonda,0.0,24.3,35.3,49.8,97.4,0.0,4.6
2021-10-20,Warangal,Nekkonda,0.0,22.3,33.3,54.6,99.3,0.0,9.8
2021-10-21,Warangal,Nekkonda,0.0,22.5,33.1,52.6,99.3,0.0,7.8
2021-10-22,Warangal,Nekkonda,0.0,21.6,34.8,40.8,97.4,0.0,6.4
2021-10-23,Warangal,Nekkonda,0.0,19.7,32.9,38.7,94.4,0.0,9.3
2021-10-24,Warangal,Nekkonda,0.0,20.1,35.0,33.2,97.9,0.0,7.9
2021-10-25,Warangal,Nekkonda,0.0,19.9,34.0,44.2,96.1,0.0,9.0
2021-10-26,Warangal,Nekkonda,0.0,19.7,32.8,44.3,94.4,0.0,9.6
2021-10-27,Warangal,Nekkonda,0.0,18.5,32.8,38.2,96.7,0.0,14.4
2021-10-28,Warangal,Nekkonda,0.0,20.2,32.3,38.2,88.4,0.0,11.6
2021-10-29,Warangal,Nekkonda,0.0,20.2,32.7,46.9,89.7,0.0,12.1
2021-10-30,Warangal,Nekkonda,0.0,22.4,32.8,53.9,86.3,0.0,8.6
2021-10-31,Warangal,Nekkonda,0.0,22.1,32.8,56.0,93.7,0.0,5.6
2021-11-01,Warangal,Nekkonda,0.0,21.7,33.0,53.6,85.4,0.0,0.0
2021-11-02,Warangal,Nekkonda,0.0,22.1,32.4,45.6,97.9,0.0,0.0
2021-11-03,Warangal,Nekkonda,8.8,22.9,32.5,57.1,100.0,0.0,0.0
2021-11-04,Warangal,Nekkonda,0.1,22.6,32.9,58.9,100.0,0.0,0.0
2021-11-05,Warangal,Nekkonda,0.0,21.7,32.9,53.9,98.8,0.0,0.0
2021-11-06,Warangal,Nekkonda,0.0,20.9,32.6,53.6,99.7,0.0,0.0
2021-11-07,Warangal,Nekkonda,0.0,18.5,32.1,49.1,99.7,0.0,0.0
2021-11-08,Warangal,Nekkonda,0.0,16.6,32.4,40.4,96.8,0.0,0.0
2021-11-09,Warangal,Nekkonda,0.0,16.1,32.3,33.5,98.5,0.0,0.0
2021-11-10,Warangal,Nekkonda,0.0,17.5,31.2,40.6,90.8,0.0,0.0
2021-11-11,Warangal,Nekkonda,0.0,19.5,32.9,39.9,80.0,0.0,0.0
2021-11-12,Warangal,Nekkonda,0.0,20.8,28.7,56.6,86.3,0.0,0.0
2021-11-13,Warangal,Nekkonda,2.1,23.2,31.9,60.7,99.7,0.0,0.0
2021-11-14,Warangal,Nekkonda,35.5,22.9,32.0,62.7,100.0,0.0,0.0
2021-11-15,Warangal,Nekkonda,0.0,23.3,33.8,55.1,98.3,0.0,0.0
2021-11-16,Warangal,Nekkonda,0.0,22.5,32.8,58.0,99.3,0.0,0.0
2021-11-17,Warangal,Nekkonda,0.0,23.0,32.5,58.0,98.8,0.0,0.0
2021-11-18,Warangal,Nekkonda,0.0,23.3,33.8,52.2,97.9,0.0,0.0
2021-11-19,Warangal,Nekkonda,1.0,23.7,31.0,67.3,99.3,0.0,0.0
2021-11-20,Warangal,Nekkonda,0.2,22.4,31.3,65.4,98.4,0.0,0.0
2021-11-21,Warangal,Nekkonda,0.7,22.5,31.8,64.2,100.0,0.0,0.0
2021-11-22,Warangal,Nekkonda,0.0,23.9,33.8,53.4,98.8,0.0,0.0
2021-11-23,Warangal,Nekkonda,0.0,24.1,35.3,48.7,98.3,0.0,0.0
2021-11-24,Warangal,Nekkonda,0.0,23.6,34.8,53.8,98.3,0.0,0.0
2021-11-25,Warangal,Nekkonda,0.0,20.4,33.8,48.0,99.7,0.0,0.0
2021-11-26,Warangal,Nekkonda,0.0,17.6,33.2,43.0,98.9,0.0,0.0
2021-11-27,Warangal,Nekkonda,0.0,16.9,32.8,38.5,97.1,0.0,0.0
2021-11-28,Warangal,Nekkonda,0.0,17.5,31.7,41.7,89.9,0.0,0.0
2021-11-29,Warangal,Nekkonda,0.0,21.5,30.3,51.4,93.8,0.0,0.0
2021-11-30,Warangal,Nekkonda,0.0,19.6,30.9,53.3,91.5,0.0,0.0
2021-12-01,Warangal,Nekkonda,0.0,17.9,32.5,46.1,95.3,0.0,10.4
2021-12-02,Warangal,Nekkonda,0.0,18.3,32.2,46.3,88.9,0.0,12.1
2021-12-03,Warangal,Nekkonda,0.0,17.4,32.4,44.3,98.0,0.0,14.0
2021-12-04,Warangal,Nekkonda,0.0,17.1,32.2,44.3,93.9,0.0,7.1
2021-12-05,Warangal,Nekkonda,0.0,18.6,32.8,37.6,86.4,0.0,8.5
2021-12-06,Warangal,Nekkonda,0.0,18.1,32.9,43.8,97.6,0.0,10.6
2021-12-07,Warangal,Nekkonda,0.0,18.5,33.9,40.2,97.1,0.0,9.6
2021-12-08,Warangal,Nekkonda,0.0,18.6,32.9,45.5,96.7,0.0,10.8
2021-12-09,Warangal,Nekkonda,0.0,19.5,33.3,43.2,92.9,0.0,8.4
2021-12-10,Warangal,Nekkonda,0.0,22.2,32.8,46.0,90.5,0.0,9.4
2021-12-11,Warangal,Nekkonda,0.0,20.4,32.3,51.0,97.9,0.0,3.9
2021-12-12,Warangal,Nekkonda,0.0,18.9,32.4,47.5,88.6,0.0,6.9
2021-12-13,Warangal,Nekkonda,0.0,18.3,32.3,47.6,90.8,0.0,7.7
2021-12-14,Warangal,Nekkonda,0.0,17.7,32.0,44.3,97.6,0.0,6.0
2021-12-15,Warangal,Nekkonda,0.0,15.9,30.2,45.4,96.3,0.0,5.3
2021-12-16,Warangal,Nekkonda,0.0,14.0,30.2,37.1,96.8,0.0,10.2
