Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-10-01,Warangal,Parvathagiri,0.0,24.7,34.1,49.6,100.0,0.0,6.5
2021-10-02,Warangal,Parvathagiri,0.0,24.0,34.9,47.6,100.0,0.0,5.3
2021-10-03,Warangal,Parvathagiri,0.0,25.0,35.0,47.0,100.0,0.0,7.2
2021-10-04,Warangal,Parvathagiri,0.0,24.4,34.2,55.2,100.0,0.0,6.5
2021-10-05,Warangal,Parvathagiri,0.6,24.2,34.1,50.2,100.0,0.0,6.8
2021-10-06,Warangal,Parvathagiri,4.8,23.9,32.8,73.1,100.0,0.0,7.0
2021-10-07,Warangal,Parvathagiri,0.0,23.9,33.8,49.6,100.0,0.0,6.8
2021-10-08,Warangal,Parvathagiri,0.0,24.2,34.3,49.0,100.0,0.0,10.1
2021-10-09,Warangal,Parvathagiri,0.0,23.1,34.8,43.3,100.0,0.0,10.7
2021-10-10,Warangal,Parvathagiri,2.5,23.9,34.3,50.8,100.0,0.0,8.5
2021-10-11,Warangal,Parvathagiri,0.0,22.6,33.6,47.2,98.2,0.0,12.6
2021-10-12,Warangal,Parvathagiri,0.0,22.2,34.1,40.6,100.0,0.0,8.7
2021-10-13,Warangal,Parvathagiri,0.0,23.6,33.2,42.4,100.0,0.0,12.7
2021-10-14,Warangal,Parvathagiri,0.0,22.9,33.8,45.4,97.6,0.0,9.5
2021-10-15,Warangal,Parvathagiri,0.0,22.9,33.5,41.2,92.2,0.0,10.2
2021-10-16,Warangal,Parvathagiri,2.8,23.9,33.0,46.0,100.0,0.0,14.5
2021-10-17,Warangal,Parvathagiri,0.6,24.4,30.0,80.8,100.0,0.0,12.7
2021-10-18,Warangal,Parvathagiri,0.0,24.5,32.7,74.0,100.0,0.0,12.4
2021-10-19,Warangal,Parvathagiri,0.0,24.1,34.7,43.3,100.0,0.0,10.4
2021-10-20,Warangal,Parvathagiri,0.0,22.5,33.0,49.0,100.0,0.0,10.9
2021-10-21,Warangal,Parvathagiri,0.0,22.2,32.9,47.8,100.0,0.0,11.3
2021-10-22,Warangal,Parvathagiri,0.0,21.8,34.1,37.5,100.0,0.0,8.7
2021-10-23,Warangal,Parvathagiri,0.0,19.5,32.8,35.4,95.2,0.0,10.4
2021-10-24,Warangal,Parvathagiri,0.0,20.2,33.2,32.4,100.0,0.0,9.5
2021-10-25,Warangal,Parvathagiri,0.0,19.4,33.8,36.9,98.4,0.0,11.6
2021-10-26,Warangal,Parvathagiri,0.0,20.0,32.8,39.6,90.9,0.0,8.4
2021-10-27,Warangal,Parvathagiri,0.0,18.6,32.6,30.7,93.4,0.0,8.3
2021-10-28,Warangal,Parvathagiri,0.0,20.5,32.1,32.1,89.6,0.0,8.1
2021-10-29,Warangal,Parvathagiri,0.0,20.6,32.6,40.8,89.6,0.0,13.9
2021-10-30,Warangal,Parvathagiri,0.0,21.9,32.1,46.2,89.6,0.0,11.1
2021-10-31,Warangal,Parvathagiri,0.3,21.7,32.4,50.4,94.1,0.0,8.3
2021-11-01,Warangal,Parvathagiri,0.0,21.2,32.8,46.2,89.1,0.0,0.0
2021-11-02,Warangal,Parvathagiri,0.0,22.0,32.2,38.4,98.2,0.0,0.0
2021-11-03,Warangal,Parvathagiri,13.1,22.6,32.1,50.8,100.0,0.0,0.0
2021-11-04,Warangal,Parvathagiri,0.0,22.5,32.3,68.4,100.0,0.0,0.0
2021-11-05,Warangal,Parvathagiri,0.0,21.5,31.8,53.2,100.0,0.0,0.0
2021-11-06,Warangal,Parvathagiri,0.0,20.8,32.2,48.6,100.0,0.0,0.0
2021-11-07,Warangal,Parvathagiri,0.0,18.4,31.4,45.8,99.8,0.0,0.0
2021-11-08,Warangal,Parvathagiri,0.0,16.3,31.0,38.4,99.8,0.0,0.0
2021-11-09,Warangal,Parvathagiri,0.0,16.5,31.1,30.0,98.7,0.0,0.0
2021-11-10,Warangal,Parvathagiri,0.0,18.2,29.3,38.1,88.0,0.0,0.0
2021-11-11,Warangal,Parvathagiri,0.0,19.7,31.9,33.5,80.5,0.0,0.0
2021-11-12,Warangal,Parvathagiri,0.0,21.2,28.6,47.2,87.7,0.0,0.0
2021-11-13,Warangal,Parvathagiri,0.0,22.6,31.0,51.6,100.0,0.0,0.0
2021-11-14,Warangal,Parvathagiri,2.6,22.9,32.6,65.4,100.0,0.0,0.0
2021-11-15,Warangal,Parvathagiri,0.8,23.0,34.0,44.8,100.0,0.0,0.0
2021-11-16,Warangal,Parvathagiri,2.7,22.5,32.7,63.3,100.0,0.0,0.0
2021-11-17,Warangal,Parvathagiri,0.0,22.6,32.9,64.2,100.0,0.0,0.0
2021-11-18,Warangal,Parvathagiri,0.0,23.2,34.0,43.0,100.0,0.0,0.0
2021-11-19,Warangal,Parvathagiri,1.1,23.6,30.7,76.9,100.0,0.0,0.0
2021-11-20,Warangal,Parvathagiri,0.2,22.4,31.3,65.4,100.0,0.0,0.0
2021-11-21,Warangal,Parvathagiri,2.4,22.0,32.6,73.0,100.0,0.0,0.0
2021-11-22,Warangal,Parvathagiri,0.0,23.7,34.7,44.8,100.0,0.0,0.0
