Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-10-01,Warangal,Raiparthy,0.0,24.8,35.3,51.9,98.8,0.0,7.0
2021-10-02,Warangal,Raiparthy,0.0,24.3,35.7,55.2,98.8,0.0,4.5
2021-10-03,Warangal,Raiparthy,0.0,25.1,34.7,48.8,98.8,0.0,5.5
2021-10-04,Warangal,Raiparthy,0.0,25.0,34.9,52.1,98.8,0.0,5.1
2021-10-05,Warangal,Raiparthy,0.0,24.5,35.1,56.3,98.8,0.0,4.7
2021-10-06,Warangal,Raiparthy,11.3,24.0,33.0,78.4,99.9,0.0,8.8
2021-10-07,Warangal,Raiparthy,4.5,24.4,34.4,75.9,99.9,0.0,3.5
2021-10-08,Warangal,Raiparthy,0.0,24.8,34.6,53.1,99.3,0.0,4.9
2021-10-09,Warangal,Raiparthy,0.0,23.6,35.5,48.2,97.9,0.0,6.8
2021-10-10,Warangal,Raiparthy,0.0,23.8,34.5,53.2,97.1,1.5,14.1
2021-10-11,Warangal,Raiparthy,0.0,23.5,34.2,46.6,84.5,0.0,12.6
2021-10-12,Warangal,Raiparthy,0.0,22.2,35.4,37.1,94.0,0.0,12.1
2021-10-13,Warangal,Raiparthy,0.0,24.4,34.0,39.9,90.9,0.0,13.3
2021-10-14,Warangal,Raiparthy,0.0,23.8,34.5,45.4,83.1,0.0,10.2
2021-10-15,Warangal,Raiparthy,0.0,23.2,34.4,42.3,83.9,2.3,14.7
2021-10-16,Warangal,Raiparthy,5.1,24.0,33.5,47.2,98.8,0.0,13.3
2021-10-17,Warangal,Raiparthy,3.1,24.3,29.8,90.5,99.9,0.0,12.5
2021-10-18,Warangal,Raiparthy,0.0,24.5,33.0,78.2,100.0,0.0,9.8
2021-10-19,Warangal,Raiparthy,0.0,24.1,35.5,43.3,98.3,0.0,7.7
