Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-10-01,Warangal,Sangem,0.0,24.6,34.5,61.1,100.0,0.0,5.8
2021-10-02,Warangal,Sangem,0.3,24.0,33.5,61.0,100.0,0.0,5.9
2021-10-03,Warangal,Sangem,0.0,24.7,33.6,60.2,100.0,0.0,5.4
2021-10-04,Warangal,Sangem,0.0,24.5,33.6,61.3,100.0,0.0,5.9
2021-10-05,Warangal,Sangem,0.0,24.2,33.9,65.2,100.0,0.0,6.7
2021-10-06,Warangal,Sangem,22.8,23.9,33.0,70.2,100.0,0.0,7.1
2021-10-07,Warangal,Sangem,0.0,23.9,32.7,66.7,100.0,0.0,9.8
2021-10-08,Warangal,Sangem,0.0,24.1,33.8,62.3,100.0,0.0,8.4
2021-10-09,Warangal,Sangem,0.0,23.2,33.5,57.3,100.0,0.0,6.3
2021-10-10,Warangal,Sangem,3.6,23.8,34.9,62.5,100.0,0.0,8.3
2021-10-11,Warangal,Sangem,0.0,21.6,34.0,56.0,100.0,0.0,6.1
2021-10-12,Warangal,Sangem,0.0,21.5,33.9,50.2,100.0,0.0,6.1
2021-10-13,Warangal,Sangem,0.0,23.7,33.9,50.7,100.0,0.0,7.5
2021-10-14,Warangal,Sangem,0.0,22.2,34.0,56.0,100.0,0.0,5.5
2021-10-15,Warangal,Sangem,0.0,22.1,34.4,52.7,100.0,0.0,8.0
2021-10-16,Warangal,Sangem,1.5,24.3,32.9,62.0,100.0,0.0,5.4
2021-10-17,Warangal,Sangem,22.4,23.5,29.6,80.9,100.0,0.0,5.9
2021-10-18,Warangal,Sangem,0.0,24.7,32.2,76.6,100.0,0.0,9.3
2021-10-19,Warangal,Sangem,0.0,24.4,34.1,58.8,100.0,0.0,5.7
2021-10-20,Warangal,Sangem,0.0,21.7,33.7,60.6,100.0,0.0,6.1
2021-10-21,Warangal,Sangem,0.0,21.7,33.0,59.7,100.0,0.0,6.3
2021-10-22,Warangal,Sangem,0.0,21.3,34.2,45.3,100.0,0.0,7.6
2021-10-23,Warangal,Sangem,0.0,19.1,32.6,45.0,100.0,0.0,9.2
2021-10-24,Warangal,Sangem,0.0,19.6,33.1,42.4,100.0,0.0,5.9
2021-10-25,Warangal,Sangem,0.0,19.6,33.0,49.9,100.0,0.0,6.5
2021-10-26,Warangal,Sangem,0.0,18.6,32.5,53.7,100.0,0.0,5.8
2021-10-27,Warangal,Sangem,0.0,17.8,32.8,40.6,100.0,0.0,7.4
2021-10-28,Warangal,Sangem,0.0,19.4,32.0,40.0,100.0,0.0,9.7
2021-10-29,Warangal,Sangem,0.0,19.4,32.3,53.7,100.0,0.0,8.7
2021-10-30,Warangal,Sangem,0.0,21.7,31.8,61.5,100.0,0.0,5.3
2021-10-31,Warangal,Sangem,0.0,21.1,32.1,67.0,100.0,0.0,5.4
2021-11-01,Warangal,Sangem,0.0,19.9,32.8,58.8,100.0,0.0,0.0
2021-11-02,Warangal,Sangem,0.0,20.8,31.3,48.6,100.0,0.0,0.0
2021-11-03,Warangal,Sangem,9.2,22.2,30.7,56.5,100.0,0.0,0.0
2021-11-04,Warangal,Sangem,0.0,22.2,29.8,71.5,100.0,0.0,0.0
2021-11-05,Warangal,Sangem,0.0,21.3,32.0,59.6,100.0,0.0,0.0
2021-11-06,Warangal,Sangem,0.0,20.3,32.0,59.3,100.0,0.0,0.0
2021-11-07,Warangal,Sangem,0.0,17.7,32.5,53.2,100.0,0.0,0.0
2021-11-08,Warangal,Sangem,0.0,15.5,32.1,48.7,100.0,0.0,0.0
2021-11-09,Warangal,Sangem,0.0,15.2,32.4,38.5,100.0,0.0,0.0
2021-11-10,Warangal,Sangem,0.0,16.5,30.6,47.3,100.0,0.0,0.0
2021-11-11,Warangal,Sangem,0.0,18.3,32.7,39.3,94.8,0.0,0.0
2021-11-12,Warangal,Sangem,0.0,20.7,28.6,60.6,100.0,0.0,0.0
2021-11-13,Warangal,Sangem,2.3,22.5,31.4,64.8,100.0,0.0,0.0
2021-11-14,Warangal,Sangem,5.8,22.5,29.8,80.1,100.0,0.0,0.0
2021-11-15,Warangal,Sangem,20.2,22.9,31.1,65.0,100.0,0.0,0.0
2021-11-16,Warangal,Sangem,0.0,22.4,31.3,74.8,100.0,0.0,0.0
2021-11-17,Warangal,Sangem,0.0,22.4,30.6,76.1,100.0,0.0,0.0
2021-11-18,Warangal,Sangem,0.0,23.2,31.9,67.0,100.0,0.0,0.0
