Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2021-10-01,Warangal,Wardhannapet,0.0,25.0,34.3,73.5,100.0,0.0,2.7
2021-10-02,Warangal,Wardhannapet,0.0,24.3,34.9,74.5,100.0,0.0,2.0
2021-10-03,Warangal,Wardhannapet,0.0,24.7,33.8,70.0,100.0,0.0,2.3
2021-10-04,Warangal,Wardhannapet,0.0,24.9,35.0,67.2,100.0,0.0,2.1
2021-10-05,Warangal,Wardhannapet,0.0,24.1,33.5,84.2,100.0,0.0,1.9
2021-10-06,Warangal,Wardhannapet,56.4,23.7,32.9,75.1,100.0,0.0,3.8
2021-10-07,Warangal,Wardhannapet,0.0,24.2,33.0,71.3,100.0,0.0,1.6
2021-10-08,Warangal,Wardhannapet,0.0,24.7,33.1,70.1,100.0,0.0,3.1
2021-10-09,Warangal,Wardhannapet,0.0,23.1,33.2,70.6,100.0,0.0,4.0
2021-10-10,Warangal,Wardhannapet,0.0,23.6,34.1,76.4,100.0,0.8,8.4
2021-10-11,Warangal,Wardhannapet,0.0,22.0,33.6,63.6,100.0,0.0,7.8
2021-10-12,Warangal,Wardhannapet,0.0,21.7,34.3,54.9,100.0,0.0,6.9
2021-10-13,Warangal,Wardhannapet,0.0,23.2,33.2,57.0,100.0,0.1,7.7
2021-10-14,Warangal,Wardhannapet,0.0,22.3,33.2,60.0,100.0,0.0,5.9
2021-10-15,Warangal,Wardhannapet,0.0,21.6,33.7,61.1,100.0,1.2,8.5
2021-10-16,Warangal,Wardhannapet,0.8,23.9,32.4,66.6,100.0,0.0,8.3
2021-10-17,Warangal,Wardhannapet,1.3,24.1,30.1,93.5,100.0,0.0,7.1
2021-10-18,Warangal,Wardhannapet,0.0,24.6,32.8,89.9,100.0,0.0,5.2
2021-10-19,Warangal,Wardhannapet,0.0,23.6,34.7,58.0,100.0,0.0,7.7
2021-10-20,Warangal,Wardhannapet,0.0,21.6,33.6,65.6,100.0,0.0,14.0
2021-10-21,Warangal,Wardhannapet,0.0,21.6,32.9,60.0,100.0,0.0,38.2
2021-10-22,Warangal,Wardhannapet,0.0,21.6,34.3,49.7,100.0,0.3,12.1
2021-10-23,Warangal,Wardhannapet,0.0,19.1,32.9,46.8,100.0,0.0,13.3
2021-10-24,Warangal,Wardhannapet,0.0,19.0,33.9,41.1,100.0,0.0,10.0
2021-10-25,Warangal,Wardhannapet,0.0,19.0,33.7,45.7,100.0,0.0,10.8
2021-10-26,Warangal,Wardhannapet,0.0,18.6,32.3,50.2,100.0,1.8,15.1
2021-10-27,Warangal,Wardhannapet,0.0,17.7,32.7,38.2,100.0,0.0,4.2
2021-10-28,Warangal,Wardhannapet,0.0,18.9,32.1,38.8,100.0,0.0,6.2
2021-10-29,Warangal,Wardhannapet,0.0,19.6,32.7,54.0,100.0,1.4,7.0
2021-10-30,Warangal,Wardhannapet,0.0,21.9,32.3,60.6,100.0,0.1,5.0
2021-10-31,Warangal,Wardhannapet,0.0,20.8,32.7,69.1,100.0,0.0,3.6
2021-11-01,Warangal,Wardhannapet,0.0,20.7,32.9,59.0,100.0,0.0,0.0
2021-11-02,Warangal,Wardhannapet,0.0,20.6,30.5,49.8,100.0,0.0,0.0
2021-11-03,Warangal,Wardhannapet,41.4,22.3,30.5,76.6,100.0,0.0,0.0
2021-11-04,Warangal,Wardhannapet,0.7,22.3,31.9,74.7,100.0,0.0,0.0
2021-11-05,Warangal,Wardhannapet,0.0,21.0,31.5,74.7,100.0,0.0,0.0
2021-11-06,Warangal,Wardhannapet,0.0,20.7,32.1,68.6,100.0,0.0,0.0
2021-11-07,Warangal,Wardhannapet,0.0,18.1,31.6,61.1,100.0,0.0,0.0
2021-11-08,Warangal,Wardhannapet,0.0,15.4,31.5,53.5,100.0,0.0,0.0
2021-11-09,Warangal,Wardhannapet,0.0,15.5,31.5,39.6,100.0,0.0,0.0
2021-11-10,Warangal,Wardhannapet,0.0,16.3,29.8,50.0,100.0,0.0,0.0
2021-11-11,Warangal,Wardhannapet,0.0,18.7,32.2,39.3,92.6,0.0,0.0
2021-11-12,Warangal,Wardhannapet,0.0,20.8,28.9,61.6,100.0,0.0,0.0
2021-11-13,Warangal,Wardhannapet,0.0,22.5,30.5,73.5,100.0,0.0,0.0
2021-11-14,Warangal,Wardhannapet,0.0,23.0,32.3,72.4,100.0,0.0,0.0
2021-11-15,Warangal,Wardhannapet,0.3,23.0,33.8,65.1,100.0,0.0,0.0
2021-11-16,Warangal,Wardhannapet,24.0,22.6,31.6,80.8,100.0,0.0,0.0
2021-11-17,Warangal,Wardhannapet,0.0,23.0,31.4,81.3,100.0,0.0,0.0
2021-11-18,Warangal,Wardhannapet,0.0,22.9,32.1,75.8,100.0,0.0,0.0
2021-11-19,Warangal,Wardhannapet,1.5,23.5,30.3,79.3,99.6,0.0,0.0
2021-11-20,Warangal,Wardhannapet,0.0,23.1,30.4,77.3,100.0,0.0,0.0
2021-11-21,Warangal,Wardhannapet,0.0,22.8,30.8,85.3,100.0,0.0,0.0
2021-11-22,Warangal,Wardhannapet,3.4,22.8,32.5,75.3,100.0,0.0,0.0
2021-11-23,Warangal,Wardhannapet,0.0,23.6,34.9,62.6,100.0,0.0,0.0
2021-11-24,Warangal,Wardhannapet,7.2,22.7,34.2,71.6,100.0,0.0,0.0
2021-11-25,Warangal,Wardhannapet,0.0,20.3,32.9,63.6,100.0,0.0,0.0
2021-11-26,Warangal,Wardhannapet,0.0,17.8,32.9,54.0,100.0,0.0,0.0
2021-11-27,Warangal,Wardhannapet,0.0,17.3,32.3,47.9,100.0,0.0,0.0
2021-11-28,Warangal,Wardhannapet,0.0,16.3,31.4,51.0,100.0,0.0,0.0
2021-11-29,Warangal,Wardhannapet,0.0,21.1,29.3,63.0,100.0,0.0,0.0
2021-11-30,Warangal,Wardhannapet,0.0,18.6,28.5,69.8,100.0,0.0,0.0
2021-12-01,Warangal,Wardhannapet,0.0,16.8,31.4,52.5,100.0,0.0,3.2
2021-12-02,Warangal,Wardhannapet,0.0,19.1,30.5,58.0,100.0,0.0,2.5
2021-12-03,Warangal,Wardhannapet,0.0,17.6,31.8,51.0,100.0,0.0,2.6
2021-12-04,Warangal,Wardhannapet,0.0,15.9,31.6,52.0,100.0,0.8,6.2
2021-12-05,Warangal,Wardhannapet,0.0,17.0,32.7,42.8,100.0,0.8,5.7
2021-12-06,Warangal,Wardhannapet,0.0,17.7,32.1,47.5,100.0,0.0,5.7
2021-12-07,Warangal,Wardhannapet,0.0,17.3,32.8,47.9,100.0,0.0,5.1
2021-12-08,Warangal,Wardhannapet,0.0,18.0,32.7,52.5,100.0,0.0,3.8
2021-12-09,Warangal,Wardhannapet,0.0,18.9,31.4,56.5,100.0,0.0,2.2
2021-12-10,Warangal,Wardhannapet,0.0,21.4,32.5,55.5,100.0,0.0,4.9
2021-12-11,Warangal,Wardhannapet,0.0,19.6,30.6,70.4,100.0,0.0,2.5
2021-12-12,Warangal,Wardhannapet,0.0,18.1,31.9,53.0,100.0,0.0,5.0
2021-12-13,Warangal,Wardhannapet,0.0,17.6,32.1,53.5,100.0,0.0,3.9
2021-12-14,Warangal,Wardhannapet,0.0,17.6,32.0,45.3,100.0,0.0,2.7
2021-12-15,Warangal,Wardhannapet,0.0,15.5,29.8,53.0,100.0,0.0,3.4
2021-12-16,Warangal,Wardhannapet,0.0,13.7,29.7,41.8,100.0,0.0,5.0
2021-12-17,Warangal,Wardhannapet,0.0,13.0,29.7,42.6,100.0,0.0,3.2
2021-12-18,Warangal,Wardhannapet,0.0,12.2,29.4,37.5,100.0,0.0,4.1
2021-12-19,Warangal,Wardhannapet,0.0,13.0,29.5,32.5,100.0,0.0,3.9
2021-12-20,Warangal,Wardhannapet,0.0,12.0,29.1,41.5,100.0,0.1,3.5
2021-12-21,Warangal,Wardhannapet,0.0,9.6,27.7,39.2,100.0,0.0,4.8
2021-12-22,Warangal,Wardhannapet,0.0,9.0,28.4,17.4,96.9,0.0,5.7
2021-12-23,Warangal,Wardhannapet,0.0,12.0,30.3,16.9,87.7,0.0,11.2
2021-12-24,Warangal,Wardhannapet,0.0,13.5,32.0,25.0,100.0,0.0,2.9
2021-12-25,Warangal,Wardhannapet,0.0,16.4,31.8,39.0,100.0,0.0,3.3
2021-12-26,Warangal,Wardhannapet,0.0,18.3,31.4,52.5,100.0,0.0,2.3
2021-12-27,Warangal,Wardhannapet,0.0,18.3,30.9,65.6,100.0,0.0,4.0
2021-12-28,Warangal,Wardhannapet,0.0,16.6,28.5,74.5,100.0,0.0,2.6
2021-12-29,Warangal,Wardhannapet,0.0,17.7,30.1,58.0,100.0,0.0,3.4
2021-12-30,Warangal,Wardhannapet,0.0,18.4,30.1,57.5,100.0,0.0,4.1
2021-12-31,Warangal,Wardhannapet,0.0,17.1,29.0,62.5,100.0,0.0,4.2
