Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Adilabad,Adilabad Rural,0.0,14.1,23.8,72.6,99.5,0.0,7.1
2022-01-02,Adilabad,Adilabad Rural,0.0,13.5,27.4,55.6,99.8,0.0,8.0
2022-01-03,Adilabad,Adilabad Rural,0.0,12.9,28.4,44.7,99.0,0.0,7.9
2022-01-04,Adilabad,Adilabad Rural,0.0,12.7,27.6,49.5,99.0,0.0,9.7
2022-01-05,Adilabad,Adilabad Rural,0.0,12.5,28.5,41.9,97.7,0.0,9.5
2022-01-06,Adilabad,Adilabad Rural,0.0,16.2,30.6,40.7,93.3,0.0,8.1
2022-01-07,Adilabad,Adilabad Rural,0.0,16.1,31.4,44.1,89.5,0.0,12.7
2022-01-08,Adilabad,Adilabad Rural,0.0,16.4,28.9,45.3,83.3,0.0,15.7
2022-01-09,Adilabad,Adilabad Rural,0.0,20.7,29.7,55.6,86.1,0.0,17.4
2022-01-10,Adilabad,Adilabad Rural,3.3,18.3,30.2,58.7,99.3,0.0,14.3
2022-01-11,Adilabad,Adilabad Rural,24.5,17.6,23.5,85.9,100.0,0.0,6.1
2022-01-12,Adilabad,Adilabad Rural,10.5,17.2,22.9,84.7,100.0,0.0,9.0
2022-01-13,Adilabad,Adilabad Rural,0.0,14.8,20.1,86.1,100.0,0.0,7.0
2022-01-14,Adilabad,Adilabad Rural,16.3,18.2,24.3,74.5,99.8,0.0,12.1
2022-01-15,Adilabad,Adilabad Rural,0.0,17.4,28.3,58.1,100.0,0.9,6.9
2022-01-16,Adilabad,Adilabad Rural,0.0,13.7,20.0,87.3,100.0,0.0,8.0
2022-01-17,Adilabad,Adilabad Rural,0.0,13.6,25.6,68.9,100.0,0.0,9.5
2022-01-18,Adilabad,Adilabad Rural,0.0,13.3,28.8,49.9,99.8,0.0,6.1
2022-01-19,Adilabad,Adilabad Rural,0.0,13.0,28.7,49.9,98.7,0.0,6.5
2022-01-20,Adilabad,Adilabad Rural,0.0,12.5,28.6,43.6,98.2,0.0,8.5
2022-01-21,Adilabad,Adilabad Rural,0.0,14.2,31.4,34.7,89.3,0.0,9.0
2022-01-22,Adilabad,Adilabad Rural,0.0,13.6,30.4,39.0,90.4,0.0,10.9
2022-01-23,Adilabad,Adilabad Rural,0.0,16.9,32.0,36.4,92.3,0.0,10.6
2022-01-24,Adilabad,Adilabad Rural,0.0,12.1,28.5,43.6,92.6,0.0,7.8
2022-01-25,Adilabad,Adilabad Rural,0.0,10.7,24.5,47.4,95.0,0.0,9.8
2022-01-26,Adilabad,Adilabad Rural,0.0,10.0,26.9,42.1,97.0,0.0,8.6
2022-01-27,Adilabad,Adilabad Rural,0.0,8.0,25.8,42.6,96.5,0.0,8.9
2022-01-28,Adilabad,Adilabad Rural,0.0,7.0,26.1,38.9,97.5,0.0,10.4
2022-01-29,Adilabad,Adilabad Rural,0.0,6.3,26.0,37.7,97.5,0.0,9.5
2022-01-30,Adilabad,Adilabad Rural,0.0,7.9,26.7,32.8,91.4,0.0,11.4
2022-01-31,Adilabad,Adilabad Rural,0.0,10.8,32.5,25.2,84.5,0.0,7.9
2022-02-01,Adilabad,Adilabad Rural,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Adilabad,Adilabad Rural,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Adilabad,Adilabad Rural,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Adilabad,Adilabad Rural,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Adilabad,Adilabad Rural,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Adilabad,Adilabad Rural,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Adilabad,Adilabad Rural,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Adilabad,Adilabad Rural,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Adilabad,Adilabad Rural,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Adilabad,Adilabad Rural,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Adilabad,Adilabad Rural,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Adilabad,Adilabad Rural,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Adilabad,Adilabad Rural,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Adilabad,Adilabad Rural,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Adilabad,Adilabad Rural,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Adilabad,Adilabad Rural,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Adilabad,Adilabad Rural,1.8,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Adilabad,Adilabad Rural,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Adilabad,Adilabad Rural,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Adilabad,Adilabad Rural,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Adilabad,Adilabad Rural,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Adilabad,Adilabad Rural,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Adilabad,Adilabad Rural,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Adilabad,Adilabad Rural,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Adilabad,Adilabad Rural,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Adilabad,Adilabad Rural,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Adilabad,Adilabad Rural,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Adilabad,Adilabad Rural,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Adilabad,Adilabad Rural,0.0,18.2,35.5,25.4,64.2,0.0,11.4
2022-03-02,Adilabad,Adilabad Rural,0.0,18.8,36.8,24.3,63.7,0.0,12.5
2022-03-03,Adilabad,Adilabad Rural,0.0,18.8,35.7,26.1,71.5,0.0,8.5
2022-03-04,Adilabad,Adilabad Rural,0.0,18.3,37.3,25.0,79.4,0.0,11.8
2022-03-05,Adilabad,Adilabad Rural,0.0,18.9,36.5,27.5,75.7,0.0,8.0
2022-03-06,Adilabad,Adilabad Rural,0.0,19.7,35.8,31.2,72.9,0.0,6.7
2022-03-07,Adilabad,Adilabad Rural,0.0,19.2,35.0,28.1,78.5,0.0,14.1
2022-03-08,Adilabad,Adilabad Rural,0.0,19.2,35.3,27.5,73.4,0.0,11.9
2022-03-09,Adilabad,Adilabad Rural,0.0,17.1,36.6,29.8,71.1,0.0,7.3
2022-03-10,Adilabad,Adilabad Rural,0.0,17.8,36.0,26.3,68.3,0.0,13.0
2022-03-11,Adilabad,Adilabad Rural,0.0,20.0,36.0,27.5,63.7,0.0,8.1
2022-03-12,Adilabad,Adilabad Rural,0.0,20.4,35.7,27.7,69.3,0.0,8.6
2022-03-13,Adilabad,Adilabad Rural,0.0,17.9,34.3,29.5,69.2,0.0,14.6
2022-03-14,Adilabad,Adilabad Rural,0.0,17.5,37.0,22.2,56.3,0.0,13.1
2022-03-15,Adilabad,Adilabad Rural,0.0,19.2,37.4,18.7,51.5,0.0,11.1
2022-03-16,Adilabad,Adilabad Rural,0.0,20.9,38.0,20.8,51.8,0.0,8.9
