Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Adilabad,Adilabad Urban,0.0,14.3,28.8,53.7,99.4,0.0,0.4
2022-01-02,Adilabad,Adilabad Urban,0.0,13.5,32.7,39.0,99.3,0.0,0.6
2022-01-03,Adilabad,Adilabad Urban,0.0,13.5,32.4,30.4,98.6,0.0,0.3
2022-01-04,Adilabad,Adilabad Urban,0.0,12.6,29.9,33.0,98.8,0.0,0.9
2022-01-05,Adilabad,Adilabad Urban,0.0,11.4,30.7,26.7,99.1,0.0,3.2
2022-01-06,Adilabad,Adilabad Urban,0.0,15.0,31.0,31.9,99.2,0.0,0.4
2022-01-07,Adilabad,Adilabad Urban,0.0,13.1,32.2,28.0,98.8,0.0,4.5
2022-01-08,Adilabad,Adilabad Urban,0.0,14.8,30.9,29.9,98.0,0.0,1.8
2022-01-09,Adilabad,Adilabad Urban,0.0,16.8,32.3,39.4,97.8,0.0,5.5
2022-01-10,Adilabad,Adilabad Urban,3.9,18.2,30.8,39.9,99.5,0.0,6.2
2022-01-11,Adilabad,Adilabad Urban,2.4,19.4,26.7,69.7,99.5,0.0,1.0
2022-01-12,Adilabad,Adilabad Urban,9.6,18.1,25.0,68.3,99.5,0.0,2.2
2022-01-13,Adilabad,Adilabad Urban,0.0,15.4,21.8,84.1,99.5,0.0,0.5
2022-01-14,Adilabad,Adilabad Urban,2.0,18.1,27.1,69.6,99.5,0.0,0.8
2022-01-15,Adilabad,Adilabad Urban,0.2,17.8,30.1,44.9,99.4,0.0,0.8
2022-01-16,Adilabad,Adilabad Urban,0.0,15.3,21.3,79.8,99.5,0.0,0.5
2022-01-17,Adilabad,Adilabad Urban,0.0,13.9,28.8,64.4,99.7,0.0,2.2
2022-01-18,Adilabad,Adilabad Urban,0.0,13.6,32.2,32.3,99.1,0.0,1.2
2022-01-19,Adilabad,Adilabad Urban,0.0,13.3,31.9,32.3,99.4,0.0,0.5
2022-01-20,Adilabad,Adilabad Urban,0.0,11.9,29.4,29.7,99.4,0.0,0.6
2022-01-21,Adilabad,Adilabad Urban,0.0,13.3,33.3,22.0,97.2,0.0,0.5
2022-01-22,Adilabad,Adilabad Urban,0.0,12.3,32.2,27.1,98.0,0.0,0.9
2022-01-23,Adilabad,Adilabad Urban,0.0,16.4,34.1,24.0,94.7,0.0,1.6
2022-01-24,Adilabad,Adilabad Urban,0.0,12.5,31.2,26.7,91.5,0.0,1.5
2022-01-25,Adilabad,Adilabad Urban,0.0,11.1,27.1,29.4,95.9,0.0,1.1
2022-01-26,Adilabad,Adilabad Urban,0.0,10.6,28.8,26.8,98.2,0.0,4.5
2022-01-27,Adilabad,Adilabad Urban,0.0,8.8,28.4,26.2,97.3,0.0,0.9
2022-01-28,Adilabad,Adilabad Urban,0.0,7.2,28.2,24.4,98.4,0.0,2.6
2022-01-29,Adilabad,Adilabad Urban,0.0,6.6,26.9,21.6,98.2,0.0,1.8
2022-01-30,Adilabad,Adilabad Urban,0.0,6.9,29.6,17.9,97.6,0.0,1.1
2022-01-31,Adilabad,Adilabad Urban,0.0,8.7,32.2,16.9,98.4,0.0,0.6
2022-02-01,Adilabad,Adilabad Urban,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Adilabad,Adilabad Urban,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Adilabad,Adilabad Urban,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Adilabad,Adilabad Urban,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Adilabad,Adilabad Urban,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Adilabad,Adilabad Urban,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Adilabad,Adilabad Urban,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Adilabad,Adilabad Urban,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Adilabad,Adilabad Urban,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Adilabad,Adilabad Urban,0.0,14.2,34.6,24.5,100.0,0.0,65.1
