Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Adilabad,Boath,0.0,12.0,25.0,65.0,95.9,0.0,4.3
2022-01-02,Adilabad,Boath,0.0,13.2,28.5,52.9,97.4,0.0,7.2
2022-01-03,Adilabad,Boath,0.0,11.9,30.8,45.0,94.2,0.0,5.5
2022-01-04,Adilabad,Boath,0.0,10.4,28.5,42.5,93.8,0.0,4.3
2022-01-05,Adilabad,Boath,0.0,9.9,29.1,37.7,93.1,0.0,5.9
2022-01-06,Adilabad,Boath,0.0,11.8,30.4,43.1,94.0,0.0,4.0
2022-01-07,Adilabad,Boath,0.0,10.8,30.4,38.9,94.1,0.0,5.2
2022-01-08,Adilabad,Boath,0.0,12.9,29.0,38.3,94.6,0.0,9.6
2022-01-09,Adilabad,Boath,0.0,17.2,27.5,59.8,95.8,0.0,7.2
2022-01-10,Adilabad,Boath,0.3,16.3,29.3,55.9,97.3,0.0,7.4
2022-01-11,Adilabad,Boath,7.7,17.7,24.5,73.1,98.1,0.0,7.2
2022-01-12,Adilabad,Boath,2.0,16.4,22.9,81.5,98.3,0.0,5.8
2022-01-13,Adilabad,Boath,0.0,14.2,20.4,85.1,98.5,0.0,6.5
2022-01-14,Adilabad,Boath,1.9,17.7,24.6,71.1,97.7,0.0,8.9
2022-01-15,Adilabad,Boath,0.0,17.1,27.4,56.8,96.5,0.0,6.2
2022-01-16,Adilabad,Boath,0.0,12.7,20.3,84.9,96.2,0.0,6.4
2022-01-17,Adilabad,Boath,0.0,13.2,27.1,58.6,97.7,0.0,3.0
2022-01-18,Adilabad,Boath,0.0,12.9,28.8,48.0,100.0,0.0,3.5
2022-01-19,Adilabad,Boath,0.0,13.7,27.9,45.2,94.4,0.0,5.7
2022-01-20,Adilabad,Boath,0.0,13.4,27.6,36.2,92.8,0.0,3.8
2022-01-21,Adilabad,Boath,0.0,14.7,30.4,32.2,84.2,0.0,5.3
2022-01-22,Adilabad,Boath,0.0,13.9,29.4,37.0,80.1,0.0,4.0
2022-01-23,Adilabad,Boath,0.0,15.9,30.0,36.0,88.8,0.0,3.7
2022-01-24,Adilabad,Boath,0.0,13.8,27.1,45.5,82.4,0.0,14.6
2022-01-25,Adilabad,Boath,0.0,13.9,23.9,47.5,78.5,0.0,7.1
2022-01-26,Adilabad,Boath,0.0,12.2,25.5,43.6,80.6,0.0,9.2
2022-01-27,Adilabad,Boath,0.0,12.0,25.5,40.5,83.9,0.0,8.3
2022-01-28,Adilabad,Boath,0.0,10.1,24.9,40.7,76.7,0.0,6.0
2022-01-29,Adilabad,Boath,0.0,8.0,25.7,27.7,84.2,0.0,5.2
2022-01-30,Adilabad,Boath,0.0,8.5,28.0,30.0,82.2,0.0,4.4
2022-01-31,Adilabad,Boath,0.0,10.3,30.3,22.1,79.5,0.0,6.2
2022-02-01,Adilabad,Boath,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Adilabad,Boath,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Adilabad,Boath,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Adilabad,Boath,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Adilabad,Boath,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Adilabad,Boath,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Adilabad,Boath,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Adilabad,Boath,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Adilabad,Boath,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Adilabad,Boath,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Adilabad,Boath,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Adilabad,Boath,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Adilabad,Boath,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Adilabad,Boath,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Adilabad,Boath,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Adilabad,Boath,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Adilabad,Boath,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Adilabad,Boath,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Adilabad,Boath,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Adilabad,Boath,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Adilabad,Boath,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Adilabad,Boath,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Adilabad,Boath,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Adilabad,Boath,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Adilabad,Boath,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Adilabad,Boath,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Adilabad,Boath,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Adilabad,Boath,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Adilabad,Boath,0.0,13.7,33.8,25.3,82.4,0.0,3.8
2022-03-02,Adilabad,Boath,0.0,15.1,35.2,23.2,78.2,0.0,4.6
2022-03-03,Adilabad,Boath,0.0,15.4,36.2,24.5,79.8,0.0,4.0
2022-03-04,Adilabad,Boath,0.0,16.9,35.7,26.2,82.8,0.0,3.8
2022-03-05,Adilabad,Boath,0.0,17.0,34.4,32.3,83.7,0.0,4.6
2022-03-06,Adilabad,Boath,0.0,17.8,34.4,32.5,81.4,0.0,6.9
2022-03-07,Adilabad,Boath,0.0,15.5,35.4,29.3,85.6,0.0,4.6
2022-03-08,Adilabad,Boath,0.0,15.9,33.8,27.3,84.2,0.0,5.8
2022-03-09,Adilabad,Boath,0.0,15.9,34.1,26.1,76.9,0.0,3.9
2022-03-10,Adilabad,Boath,0.0,18.6,35.7,22.7,71.3,0.0,8.4
2022-03-11,Adilabad,Boath,0.0,16.9,34.5,27.3,77.6,0.0,9.6
