Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Adilabad,Gudihathnur,0.0,15.3,24.4,73.4,95.2,0.0,1.9
2022-01-02,Adilabad,Gudihathnur,0.0,14.7,28.4,56.8,95.2,0.0,1.5
2022-01-03,Adilabad,Gudihathnur,0.0,13.8,29.8,48.2,91.9,0.0,1.6
2022-01-04,Adilabad,Gudihathnur,0.0,13.4,28.8,48.9,92.4,0.0,1.7
2022-01-05,Adilabad,Gudihathnur,0.0,11.4,29.2,38.9,89.2,0.0,1.7
2022-01-06,Adilabad,Gudihathnur,0.0,15.3,30.9,46.4,92.6,0.0,1.6
2022-01-07,Adilabad,Gudihathnur,0.0,13.8,30.2,45.8,90.8,0.0,1.9
2022-01-08,Adilabad,Gudihathnur,0.0,15.6,28.8,46.6,91.6,0.0,1.9
2022-01-09,Adilabad,Gudihathnur,0.0,18.1,29.4,59.4,91.8,0.0,2.0
2022-01-10,Adilabad,Gudihathnur,11.2,18.2,28.2,68.9,96.5,0.0,2.5
2022-01-11,Adilabad,Gudihathnur,40.3,16.4,23.0,84.3,96.5,0.0,1.1
2022-01-12,Adilabad,Gudihathnur,4.9,17.9,21.7,92.0,96.7,0.0,1.4
2022-01-13,Adilabad,Gudihathnur,0.0,15.7,19.6,87.0,96.3,0.0,1.6
2022-01-14,Adilabad,Gudihathnur,4.0,17.1,24.7,74.0,96.5,0.0,2.0
2022-01-15,Adilabad,Gudihathnur,0.0,16.7,27.4,59.4,96.5,0.0,1.9
2022-01-16,Adilabad,Gudihathnur,0.0,14.9,19.6,86.5,96.3,0.0,2.3
2022-01-17,Adilabad,Gudihathnur,0.0,14.8,26.1,70.2,96.3,0.0,1.7
2022-01-18,Adilabad,Gudihathnur,0.0,13.7,29.4,49.9,91.3,0.0,0.9
2022-01-19,Adilabad,Gudihathnur,0.0,14.6,29.4,51.2,89.9,0.0,1.4
2022-01-20,Adilabad,Gudihathnur,0.0,11.2,28.5,47.8,92.7,0.0,1.9
2022-01-21,Adilabad,Gudihathnur,0.0,13.1,31.1,34.7,87.1,0.0,1.4
2022-01-22,Adilabad,Gudihathnur,0.0,11.5,29.3,36.8,85.1,0.0,2.7
2022-01-23,Adilabad,Gudihathnur,0.0,14.9,32.5,36.5,86.8,0.0,2.8
2022-01-24,Adilabad,Gudihathnur,0.0,13.8,27.1,47.8,73.6,0.0,3.0
2022-01-25,Adilabad,Gudihathnur,0.0,12.6,24.5,49.1,76.4,0.0,2.0
2022-01-26,Adilabad,Gudihathnur,0.0,11.9,25.3,46.2,79.0,0.0,2.1
2022-01-27,Adilabad,Gudihathnur,0.0,10.7,25.8,43.3,77.2,0.0,2.4
2022-01-28,Adilabad,Gudihathnur,0.0,9.9,25.5,40.5,80.4,0.0,2.2
2022-01-29,Adilabad,Gudihathnur,0.0,8.2,26.1,33.6,79.8,0.0,2.1
2022-01-30,Adilabad,Gudihathnur,0.0,7.7,28.5,29.7,79.3,0.0,1.5
2022-01-31,Adilabad,Gudihathnur,0.0,9.1,32.1,19.6,80.7,0.0,1.6
2022-02-01,Adilabad,Gudihathnur,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Adilabad,Gudihathnur,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Adilabad,Gudihathnur,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Adilabad,Gudihathnur,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Adilabad,Gudihathnur,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Adilabad,Gudihathnur,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Adilabad,Gudihathnur,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Adilabad,Gudihathnur,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Adilabad,Gudihathnur,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Adilabad,Gudihathnur,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Adilabad,Gudihathnur,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Adilabad,Gudihathnur,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Adilabad,Gudihathnur,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Adilabad,Gudihathnur,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Adilabad,Gudihathnur,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Adilabad,Gudihathnur,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Adilabad,Gudihathnur,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Adilabad,Gudihathnur,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Adilabad,Gudihathnur,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Adilabad,Gudihathnur,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Adilabad,Gudihathnur,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Adilabad,Gudihathnur,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Adilabad,Gudihathnur,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Adilabad,Gudihathnur,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Adilabad,Gudihathnur,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Adilabad,Gudihathnur,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Adilabad,Gudihathnur,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Adilabad,Gudihathnur,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Adilabad,Gudihathnur,0.0,16.9,35.5,22.2,68.1,0.0,2.1
2022-03-02,Adilabad,Gudihathnur,0.0,18.0,34.5,22.2,57.5,0.0,1.2
2022-03-03,Adilabad,Gudihathnur,0.0,19.1,35.7,22.2,67.2,0.0,1.6
2022-03-04,Adilabad,Gudihathnur,0.0,17.6,36.2,22.9,76.9,0.0,2.4
2022-03-05,Adilabad,Gudihathnur,0.0,18.5,35.4,28.2,73.8,0.0,2.0
2022-03-06,Adilabad,Gudihathnur,0.0,19.7,35.7,29.9,69.6,0.0,1.8
2022-03-07,Adilabad,Gudihathnur,0.0,17.5,34.1,27.1,77.4,0.0,2.2
2022-03-08,Adilabad,Gudihathnur,0.0,16.9,34.6,29.9,75.1,0.0,1.7
2022-03-09,Adilabad,Gudihathnur,0.0,20.0,36.4,25.7,53.0,0.0,2.4
2022-03-10,Adilabad,Gudihathnur,0.0,20.7,35.7,22.9,53.4,0.0,1.5
2022-03-11,Adilabad,Gudihathnur,0.0,19.3,35.4,24.3,64.4,0.0,1.8
2022-03-12,Adilabad,Gudihathnur,0.0,21.9,35.4,27.1,58.4,0.0,1.5
2022-03-13,Adilabad,Gudihathnur,0.0,19.7,34.7,26.4,56.0,0.0,2.3
2022-03-14,Adilabad,Gudihathnur,0.0,17.4,35.9,19.4,49.7,0.0,2.8
2022-03-15,Adilabad,Gudihathnur,0.0,18.2,37.2,14.7,49.5,0.0,2.8
2022-03-16,Adilabad,Gudihathnur,0.0,19.8,38.0,17.5,51.5,0.0,2.8
2022-03-17,Adilabad,Gudihathnur,0.0,21.4,39.6,16.1,43.0,0.0,2.5
2022-03-18,Adilabad,Gudihathnur,0.0,21.9,40.5,13.3,36.7,0.0,2.3
2022-03-19,Adilabad,Gudihathnur,0.0,23.5,40.2,16.3,72.1,0.0,2.0
2022-03-20,Adilabad,Gudihathnur,0.0,23.7,36.4,34.8,75.5,0.0,2.7
2022-03-21,Adilabad,Gudihathnur,0.0,22.3,39.2,16.8,65.4,0.0,1.8
2022-03-22,Adilabad,Gudihathnur,0.0,22.1,38.7,23.8,66.3,0.0,2.5
2022-03-23,Adilabad,Gudihathnur,0.0,21.6,39.9,15.4,53.2,0.0,2.6
