Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Adilabad,Ichoda,0.0,15.4,24.4,74.5,96.6,0.0,1.9
2022-01-02,Adilabad,Ichoda,0.0,15.3,27.6,50.4,100.0,0.0,1.5
2022-01-03,Adilabad,Ichoda,0.0,15.4,28.4,45.2,100.0,0.0,1.6
2022-01-04,Adilabad,Ichoda,0.0,12.9,28.4,49.6,92.9,0.0,1.7
2022-01-05,Adilabad,Ichoda,0.0,12.8,28.6,37.6,83.3,0.0,1.7
2022-01-06,Adilabad,Ichoda,0.0,16.3,29.1,43.5,99.5,0.0,1.6
2022-01-07,Adilabad,Ichoda,0.0,13.2,29.5,48.0,100.0,0.0,1.9
2022-01-08,Adilabad,Ichoda,0.0,14.9,28.5,47.5,91.5,0.0,1.9
2022-01-09,Adilabad,Ichoda,0.0,17.9,28.0,63.5,93.4,0.0,2.0
2022-01-10,Adilabad,Ichoda,4.1,18.5,28.1,67.0,100.0,0.0,2.5
2022-01-11,Adilabad,Ichoda,19.8,17.8,23.3,95.2,100.0,0.0,1.1
2022-01-12,Adilabad,Ichoda,5.1,17.9,22.9,84.7,100.0,0.0,1.4
2022-01-13,Adilabad,Ichoda,0.0,16.4,19.9,90.4,100.0,0.0,1.6
2022-01-14,Adilabad,Ichoda,4.8,18.8,24.4,74.4,100.0,0.0,2.0
2022-01-15,Adilabad,Ichoda,0.0,16.9,26.9,54.7,100.0,0.0,1.9
2022-01-16,Adilabad,Ichoda,0.0,15.4,19.5,90.9,100.0,0.0,2.3
2022-01-17,Adilabad,Ichoda,0.0,16.1,25.4,62.9,100.0,0.0,1.7
2022-01-18,Adilabad,Ichoda,0.0,15.5,27.7,50.2,93.0,0.0,0.9
2022-01-19,Adilabad,Ichoda,0.0,15.3,28.1,46.3,93.0,0.0,1.4
2022-01-20,Adilabad,Ichoda,0.0,13.6,28.1,41.9,89.0,0.0,1.9
2022-01-21,Adilabad,Ichoda,0.0,16.4,29.4,31.5,79.3,0.0,1.4
2022-01-22,Adilabad,Ichoda,0.0,15.5,28.8,34.2,70.1,0.0,2.7
2022-01-23,Adilabad,Ichoda,0.0,16.4,30.1,36.1,87.9,0.0,2.8
2022-01-24,Adilabad,Ichoda,0.0,13.5,26.4,45.2,76.1,0.0,3.0
2022-01-25,Adilabad,Ichoda,0.0,13.6,23.8,46.0,74.4,0.0,2.0
2022-01-26,Adilabad,Ichoda,0.0,13.0,24.7,43.2,78.3,0.0,2.1
2022-01-27,Adilabad,Ichoda,0.0,13.2,25.0,41.5,71.7,0.0,2.4
2022-01-28,Adilabad,Ichoda,0.0,12.0,24.9,38.2,79.2,0.0,2.2
2022-01-29,Adilabad,Ichoda,0.0,9.7,25.1,31.9,83.0,0.0,2.1
2022-01-30,Adilabad,Ichoda,0.0,9.2,26.9,30.2,72.5,0.0,1.5
2022-01-31,Adilabad,Ichoda,0.0,10.5,30.6,18.6,70.8,0.0,1.6
2022-02-01,Adilabad,Ichoda,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Adilabad,Ichoda,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Adilabad,Ichoda,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Adilabad,Ichoda,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Adilabad,Ichoda,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Adilabad,Ichoda,0.0,6.7,35.8,9.7,100.0,0.0,65.1
