Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Karimnagar,Choppadandi,0.0,17.9,28.9,65.2,99.9,0.0,2.8
2022-01-02,Karimnagar,Choppadandi,0.0,16.6,30.6,55.9,97.2,0.0,0.6
2022-01-03,Karimnagar,Choppadandi,0.0,16.3,32.3,49.7,91.6,0.0,0.9
2022-01-04,Karimnagar,Choppadandi,0.0,16.3,32.3,50.2,99.9,0.0,1.1
2022-01-05,Karimnagar,Choppadandi,0.0,16.4,32.3,48.2,99.9,0.0,1.5
2022-01-06,Karimnagar,Choppadandi,0.0,16.7,32.8,56.1,99.9,0.0,1.3
2022-01-07,Karimnagar,Choppadandi,0.0,16.3,32.0,53.8,99.9,0.0,1.4
2022-01-08,Karimnagar,Choppadandi,0.0,18.0,30.5,58.0,99.9,0.0,6.4
2022-01-09,Karimnagar,Choppadandi,0.0,20.4,30.1,63.2,99.9,0.0,1.3
2022-01-10,Karimnagar,Choppadandi,0.0,20.2,32.2,66.5,99.9,0.0,4.7
2022-01-11,Karimnagar,Choppadandi,7.7,20.1,30.5,75.9,99.9,0.0,1.5
2022-01-12,Karimnagar,Choppadandi,17.1,19.3,26.9,92.3,99.9,0.0,1.8
2022-01-13,Karimnagar,Choppadandi,0.3,19.0,25.4,95.1,99.9,0.0,1.0
2022-01-14,Karimnagar,Choppadandi,0.0,20.5,28.2,82.7,99.9,0.1,1.0
2022-01-15,Karimnagar,Choppadandi,44.1,18.8,29.7,77.8,99.9,0.0,7.7
2022-01-16,Karimnagar,Choppadandi,0.0,17.6,30.7,92.2,99.9,0.0,2.2
2022-01-17,Karimnagar,Choppadandi,0.0,18.0,28.2,83.2,99.9,0.0,1.2
2022-01-18,Karimnagar,Choppadandi,0.0,16.5,29.9,66.2,99.9,0.0,1.1
2022-01-19,Karimnagar,Choppadandi,0.0,16.7,32.1,57.7,99.9,0.0,1.4
2022-01-20,Karimnagar,Choppadandi,0.0,16.3,29.3,60.4,99.9,0.0,1.5
2022-01-21,Karimnagar,Choppadandi,0.0,17.4,32.3,46.8,99.9,0.0,1.3
2022-01-22,Karimnagar,Choppadandi,0.0,16.2,30.6,53.5,99.9,0.0,2.9
2022-01-23,Karimnagar,Choppadandi,0.0,19.3,31.4,53.1,99.9,0.0,3.3
2022-01-24,Karimnagar,Choppadandi,0.0,16.4,32.7,47.5,95.6,0.0,2.0
2022-01-25,Karimnagar,Choppadandi,0.0,15.5,27.9,54.3,94.3,0.0,1.9
2022-01-26,Karimnagar,Choppadandi,0.0,15.5,30.5,50.4,86.9,0.0,2.8
2022-01-27,Karimnagar,Choppadandi,0.0,15.6,30.5,53.4,89.2,0.0,3.4
2022-01-28,Karimnagar,Choppadandi,0.0,11.8,30.0,46.5,90.4,0.0,1.9
2022-01-29,Karimnagar,Choppadandi,0.0,11.3,26.5,38.8,89.8,0.0,0.8
2022-01-30,Karimnagar,Choppadandi,0.0,11.8,30.5,32.9,89.2,0.0,0.8
2022-01-31,Karimnagar,Choppadandi,0.0,12.5,32.3,30.7,95.4,0.0,1.6
2022-02-01,Karimnagar,Choppadandi,0.0,8.7,36.8,6.8,100.0,0.0,65.1
