Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Karimnagar,Huzurabad,0.0,17.6,29.1,56.5,100.0,0.0,6.7
2022-01-02,Karimnagar,Huzurabad,0.0,18.7,30.0,53.4,100.0,0.0,3.3
2022-01-03,Karimnagar,Huzurabad,0.0,16.5,32.9,36.1,100.0,0.0,3.8
2022-01-04,Karimnagar,Huzurabad,0.0,16.2,29.9,45.6,100.0,0.0,4.6
2022-01-05,Karimnagar,Huzurabad,0.0,18.7,30.2,45.6,100.0,0.0,6.6
2022-01-06,Karimnagar,Huzurabad,0.0,17.6,32.0,49.5,100.0,0.0,8.3
2022-01-07,Karimnagar,Huzurabad,0.0,18.4,30.7,44.4,100.0,0.0,10.6
2022-01-08,Karimnagar,Huzurabad,0.0,19.8,29.2,50.8,100.0,0.0,10.4
2022-01-09,Karimnagar,Huzurabad,0.0,20.0,29.7,61.6,100.0,0.0,10.8
2022-01-10,Karimnagar,Huzurabad,0.0,20.6,29.8,68.0,100.0,0.0,10.1
2022-01-11,Karimnagar,Huzurabad,15.1,19.7,28.5,68.9,100.0,0.0,11.1
2022-01-12,Karimnagar,Huzurabad,44.9,19.0,29.0,83.3,100.0,0.0,11.5
2022-01-13,Karimnagar,Huzurabad,0.0,19.7,26.2,94.1,100.0,0.0,9.4
2022-01-14,Karimnagar,Huzurabad,0.0,20.3,28.3,89.6,100.0,0.0,8.0
2022-01-15,Karimnagar,Huzurabad,5.4,18.8,29.0,76.2,100.0,0.0,9.0
2022-01-16,Karimnagar,Huzurabad,0.0,18.7,27.7,88.7,100.0,0.0,7.2
2022-01-17,Karimnagar,Huzurabad,0.0,18.9,24.2,97.9,100.0,0.0,3.2
2022-01-18,Karimnagar,Huzurabad,0.0,17.0,29.0,59.0,100.0,0.0,3.6
2022-01-19,Karimnagar,Huzurabad,0.0,16.7,31.3,42.7,100.0,0.0,2.7
2022-01-20,Karimnagar,Huzurabad,0.0,16.5,30.0,51.9,100.0,0.0,1.5
2022-01-21,Karimnagar,Huzurabad,0.0,18.3,32.7,36.4,99.3,0.0,3.3
2022-01-22,Karimnagar,Huzurabad,0.0,18.6,30.3,43.9,92.6,0.0,6.3
2022-01-23,Karimnagar,Huzurabad,0.0,20.5,32.5,38.7,93.1,0.0,5.7
2022-01-24,Karimnagar,Huzurabad,0.0,18.3,30.6,44.4,88.8,0.0,7.6
2022-01-25,Karimnagar,Huzurabad,0.0,17.4,26.8,45.8,82.6,0.0,0.5
2022-01-26,Karimnagar,Huzurabad,0.0,17.6,28.2,42.9,85.9,0.0,5.9
2022-01-27,Karimnagar,Huzurabad,0.0,16.5,28.5,44.7,81.5,0.0,2.2
2022-01-28,Karimnagar,Huzurabad,0.0,12.5,27.0,39.5,100.0,0.0,6.9
2022-01-29,Karimnagar,Huzurabad,0.0,14.4,26.6,30.4,87.9,0.0,4.6
2022-01-30,Karimnagar,Huzurabad,0.0,12.5,28.3,24.9,93.7,0.0,0.3
2022-01-31,Karimnagar,Huzurabad,0.0,13.6,30.5,24.5,94.7,0.0,0.4
2022-02-01,Karimnagar,Huzurabad,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Karimnagar,Huzurabad,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Karimnagar,Huzurabad,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Karimnagar,Huzurabad,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Karimnagar,Huzurabad,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Karimnagar,Huzurabad,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Karimnagar,Huzurabad,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Karimnagar,Huzurabad,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Karimnagar,Huzurabad,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Karimnagar,Huzurabad,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Karimnagar,Huzurabad,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Karimnagar,Huzurabad,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Karimnagar,Huzurabad,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Karimnagar,Huzurabad,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Karimnagar,Huzurabad,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Karimnagar,Huzurabad,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Karimnagar,Huzurabad,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Karimnagar,Huzurabad,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Karimnagar,Huzurabad,0.0,12.5,36.5,20.9,100.0,0.0,65.1
