Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Karimnagar,Karimnagar,0.0,18.1,28.8,36.5,97.2,0.0,6.6
2022-01-02,Karimnagar,Karimnagar,0.0,17.5,29.5,60.9,97.5,0.0,6.9
2022-01-03,Karimnagar,Karimnagar,0.0,17.2,30.4,39.4,96.8,0.0,5.6
2022-01-04,Karimnagar,Karimnagar,0.0,17.0,29.6,41.6,96.5,0.0,7.5
2022-01-05,Karimnagar,Karimnagar,0.0,18.3,29.4,42.1,97.0,0.0,8.0
2022-01-06,Karimnagar,Karimnagar,0.0,18.4,29.4,39.4,96.3,0.0,6.5
2022-01-07,Karimnagar,Karimnagar,0.0,17.9,29.3,36.5,97.0,0.0,9.7
2022-01-08,Karimnagar,Karimnagar,0.0,19.9,29.0,45.2,91.0,0.0,13.1
2022-01-09,Karimnagar,Karimnagar,0.0,20.7,28.5,41.6,93.5,0.9,11.5
2022-01-10,Karimnagar,Karimnagar,0.0,20.0,28.1,41.4,93.1,0.0,10.5
2022-01-11,Karimnagar,Karimnagar,8.0,20.4,28.5,68.1,97.9,0.0,9.7
2022-01-12,Karimnagar,Karimnagar,58.9,18.4,27.6,74.2,99.1,0.1,5.5
2022-01-13,Karimnagar,Karimnagar,0.0,19.4,23.7,85.1,98.3,0.3,6.9
2022-01-14,Karimnagar,Karimnagar,0.0,20.5,25.7,76.6,97.3,0.0,7.6
2022-01-15,Karimnagar,Karimnagar,0.1,19.2,28.7,65.8,98.5,0.4,7.7
2022-01-16,Karimnagar,Karimnagar,0.0,18.8,26.3,23.6,97.0,0.3,7.1
2022-01-17,Karimnagar,Karimnagar,0.0,18.0,25.2,78.8,99.1,0.0,4.8
2022-01-18,Karimnagar,Karimnagar,0.0,17.4,28.0,64.5,99.3,0.0,4.0
2022-01-19,Karimnagar,Karimnagar,0.0,17.5,30.1,54.6,98.5,0.0,6.0
2022-01-20,Karimnagar,Karimnagar,0.0,18.1,28.0,59.6,99.2,0.0,6.1
2022-01-21,Karimnagar,Karimnagar,0.0,19.5,31.9,35.7,95.8,0.0,12.0
2022-01-22,Karimnagar,Karimnagar,0.0,18.2,30.3,41.5,96.3,0.0,14.1
2022-01-23,Karimnagar,Karimnagar,0.0,20.8,32.2,43.3,94.7,0.0,14.2
2022-01-24,Karimnagar,Karimnagar,0.0,18.0,30.5,37.9,88.6,0.0,9.4
2022-01-25,Karimnagar,Karimnagar,0.0,17.6,26.7,41.2,88.0,0.0,7.6
2022-01-26,Karimnagar,Karimnagar,0.0,17.3,28.3,40.0,85.9,0.0,7.7
2022-01-27,Karimnagar,Karimnagar,0.0,17.0,27.6,43.8,62.1,0.3,7.3
2022-01-28,Karimnagar,Karimnagar,0.0,13.2,26.8,38.8,92.4,0.0,8.6
2022-01-29,Karimnagar,Karimnagar,0.0,11.5,26.1,30.0,67.7,0.0,8.6
2022-01-30,Karimnagar,Karimnagar,0.0,13.1,27.7,24.9,94.7,0.0,9.0
2022-01-31,Karimnagar,Karimnagar,0.0,15.2,31.0,26.7,95.9,0.0,6.0
2022-02-01,Karimnagar,Karimnagar,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Karimnagar,Karimnagar,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Karimnagar,Karimnagar,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Karimnagar,Karimnagar,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Karimnagar,Karimnagar,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Karimnagar,Karimnagar,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Karimnagar,Karimnagar,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Karimnagar,Karimnagar,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Karimnagar,Karimnagar,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Karimnagar,Karimnagar,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Karimnagar,Karimnagar,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Karimnagar,Karimnagar,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Karimnagar,Karimnagar,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Karimnagar,Karimnagar,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Karimnagar,Karimnagar,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Karimnagar,Karimnagar,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Karimnagar,Karimnagar,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Karimnagar,Karimnagar,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Karimnagar,Karimnagar,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Karimnagar,Karimnagar,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Karimnagar,Karimnagar,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Karimnagar,Karimnagar,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Karimnagar,Karimnagar,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Karimnagar,Karimnagar,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Karimnagar,Karimnagar,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Karimnagar,Karimnagar,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Karimnagar,Karimnagar,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Karimnagar,Karimnagar,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Karimnagar,Karimnagar,0.0,20.7,34.4,24.9,66.5,0.0,11.8
2022-03-02,Karimnagar,Karimnagar,0.0,21.1,34.3,25.5,63.0,0.0,6.5
2022-03-03,Karimnagar,Karimnagar,0.0,20.9,33.5,30.1,66.0,0.0,8.0
2022-03-04,Karimnagar,Karimnagar,0.0,21.8,33.9,31.6,69.4,0.0,12.1
2022-03-05,Karimnagar,Karimnagar,0.0,21.7,34.5,30.7,66.2,0.0,6.4
2022-03-06,Karimnagar,Karimnagar,0.0,21.5,34.2,28.2,68.3,0.0,8.1
2022-03-07,Karimnagar,Karimnagar,0.0,22.0,33.0,40.6,71.5,0.0,6.5
2022-03-08,Karimnagar,Karimnagar,0.0,21.8,32.8,34.3,72.4,0.0,9.1
2022-03-09,Karimnagar,Karimnagar,0.0,22.0,35.8,21.0,70.6,0.0,5.4
2022-03-10,Karimnagar,Karimnagar,0.0,21.8,33.8,28.6,69.8,0.0,14.9
2022-03-11,Karimnagar,Karimnagar,0.0,22.9,34.4,33.5,74.2,0.0,4.8
2022-03-12,Karimnagar,Karimnagar,0.0,23.6,35.1,29.8,67.8,0.0,7.5
2022-03-13,Karimnagar,Karimnagar,0.0,24.1,34.3,29.8,67.9,0.0,5.7
2022-03-14,Karimnagar,Karimnagar,0.0,18.7,35.4,26.3,71.7,0.0,5.8
2022-03-15,Karimnagar,Karimnagar,0.0,18.0,35.2,23.0,80.8,0.4,5.7
2022-03-16,Karimnagar,Karimnagar,0.0,20.7,36.5,24.8,73.1,0.0,29.5
2022-03-17,Karimnagar,Karimnagar,0.0,21.9,37.9,25.7,70.5,3.0,12.1
2022-03-18,Karimnagar,Karimnagar,0.0,20.8,38.6,24.5,86.2,0.0,10.0
2022-03-19,Karimnagar,Karimnagar,0.0,22.8,33.4,53.2,88.4,2.8,19.7
2022-03-20,Karimnagar,Karimnagar,0.0,24.5,33.3,54.7,85.6,2.4,12.6
2022-03-21,Karimnagar,Karimnagar,0.0,23.5,34.3,49.0,93.3,0.0,9.6
2022-03-22,Karimnagar,Karimnagar,0.0,24.8,34.6,52.4,85.8,0.0,7.6
2022-03-23,Karimnagar,Karimnagar,0.0,23.7,36.0,45.5,86.8,0.0,6.2
2022-03-24,Karimnagar,Karimnagar,0.0,24.3,36.5,38.6,94.8,0.4,8.4
2022-03-25,Karimnagar,Karimnagar,0.0,24.7,34.1,56.3,90.6,2.0,10.8
2022-03-26,Karimnagar,Karimnagar,0.0,24.6,34.0,56.2,87.3,1.5,9.0
2022-03-27,Karimnagar,Karimnagar,0.0,24.0,35.4,55.0,89.9,0.0,10.2
2022-03-28,Karimnagar,Karimnagar,0.0,23.7,35.3,57.4,93.6,0.0,6.3
2022-03-29,Karimnagar,Karimnagar,0.0,24.9,36.8,44.5,89.7,0.0,6.6
2022-03-30,Karimnagar,Karimnagar,0.0,26.0,41.2,13.2,70.7,0.1,31.5
2022-03-31,Karimnagar,Karimnagar,0.0,26.4,39.6,23.5,70.4,3.5,6.8
2022-04-01,Karimnagar,Karimnagar,0.0,25.4,39.3,28.3,78.8,0.0,6.2
2022-04-02,Karimnagar,Karimnagar,0.0,25.0,39.1,32.8,79.8,1.0,11.5
2022-04-03,Karimnagar,Karimnagar,0.0,24.7,35.0,47.9,79.2,1.8,9.9
2022-04-04,Karimnagar,Karimnagar,0.0,25.3,38.2,32.4,74.5,0.8,35.9
2022-04-05,Karimnagar,Karimnagar,0.0,25.3,37.7,41.7,68.6,0.0,9.0
2022-04-06,Karimnagar,Karimnagar,0.0,24.9,35.7,46.2,74.8,1.5,9.6
2022-04-07,Karimnagar,Karimnagar,0.0,25.6,37.0,43.8,71.7,0.6,9.6
2022-04-08,Karimnagar,Karimnagar,0.0,25.4,36.9,42.1,67.3,1.4,10.3
2022-04-09,Karimnagar,Karimnagar,0.0,25.2,36.8,32.4,77.2,2.2,9.1
2022-04-10,Karimnagar,Karimnagar,0.0,25.4,36.3,38.1,75.9,1.5,9.3
2022-04-11,Karimnagar,Karimnagar,0.0,25.7,37.6,39.1,71.6,2.8,10.2
2022-04-12,Karimnagar,Karimnagar,0.0,25.5,38.6,37.6,75.3,1.9,10.2
2022-04-13,Karimnagar,Karimnagar,0.0,24.5,36.5,45.1,83.6,0.9,9.5
2022-04-14,Karimnagar,Karimnagar,0.0,24.7,36.9,42.5,88.4,1.9,10.0
2022-04-15,Karimnagar,Karimnagar,0.0,25.9,38.1,37.5,79.2,0.1,8.0
2022-04-16,Karimnagar,Karimnagar,0.0,26.9,36.8,44.7,72.9,0.3,8.7
