Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Karimnagar,Kothapalle,0.0,16.2,29.2,45.7,100.0,0.0,4.9
2022-01-02,Karimnagar,Kothapalle,0.0,15.2,28.9,50.8,100.0,0.0,2.2
2022-01-03,Karimnagar,Kothapalle,0.0,14.0,29.9,38.4,100.0,0.0,4.5
2022-01-04,Karimnagar,Kothapalle,0.0,14.9,28.7,44.6,98.5,0.0,9.6
2022-01-05,Karimnagar,Kothapalle,0.0,15.8,29.4,43.5,100.0,0.0,3.5
2022-01-06,Karimnagar,Kothapalle,0.0,17.2,29.9,46.3,94.9,0.0,1.9
2022-01-07,Karimnagar,Kothapalle,0.0,16.4,29.9,36.7,100.0,0.0,5.0
2022-01-08,Karimnagar,Kothapalle,0.0,18.7,28.1,46.9,91.7,0.0,13.1
2022-01-09,Karimnagar,Kothapalle,0.0,20.4,29.8,52.9,94.1,0.0,6.2
2022-01-10,Karimnagar,Kothapalle,0.0,20.3,29.3,56.9,90.2,0.0,10.5
2022-01-11,Karimnagar,Kothapalle,9.2,20.6,28.0,66.4,100.0,0.0,6.4
2022-01-12,Karimnagar,Kothapalle,25.0,18.5,26.9,77.5,98.7,0.0,10.0
2022-01-13,Karimnagar,Kothapalle,0.0,19.0,23.3,86.4,100.0,0.0,7.7
2022-01-14,Karimnagar,Kothapalle,0.0,20.7,26.9,77.0,100.0,0.0,9.6
2022-01-15,Karimnagar,Kothapalle,0.0,18.6,29.2,71.9,97.9,0.0,9.6
2022-01-16,Karimnagar,Kothapalle,0.0,18.0,27.3,78.0,100.0,0.0,7.3
2022-01-17,Karimnagar,Kothapalle,0.0,16.9,24.9,78.8,100.0,0.0,5.9
2022-01-18,Karimnagar,Kothapalle,0.0,15.2,27.6,59.4,100.0,0.0,7.2
2022-01-19,Karimnagar,Kothapalle,0.0,15.3,29.3,44.8,100.0,0.0,6.3
2022-01-20,Karimnagar,Kothapalle,0.0,14.8,28.0,51.0,100.0,0.0,3.7
2022-01-21,Karimnagar,Kothapalle,0.0,17.7,30.8,33.1,96.0,0.0,1.6
2022-01-22,Karimnagar,Kothapalle,0.0,14.9,30.3,33.8,100.0,0.0,6.9
2022-01-23,Karimnagar,Kothapalle,0.0,19.3,32.1,34.7,92.9,0.0,7.3
2022-01-24,Karimnagar,Kothapalle,0.0,17.0,30.2,36.1,87.0,0.0,9.0
2022-01-25,Karimnagar,Kothapalle,0.0,14.5,26.6,40.9,90.1,0.0,11.5
2022-01-26,Karimnagar,Kothapalle,0.0,15.4,27.2,36.9,87.1,0.0,7.1
2022-01-27,Karimnagar,Kothapalle,0.0,15.4,27.9,41.2,79.8,0.0,5.3
2022-01-28,Karimnagar,Kothapalle,0.0,9.7,27.4,34.7,94.6,0.0,9.1
2022-01-29,Karimnagar,Kothapalle,0.0,8.6,26.9,28.8,93.6,0.0,8.6
2022-01-30,Karimnagar,Kothapalle,0.0,10.2,28.1,20.1,93.1,0.0,7.1
2022-01-31,Karimnagar,Kothapalle,0.0,11.4,31.2,20.3,93.8,0.0,1.8
2022-02-01,Karimnagar,Kothapalle,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Karimnagar,Kothapalle,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Karimnagar,Kothapalle,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Karimnagar,Kothapalle,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Karimnagar,Kothapalle,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Karimnagar,Kothapalle,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Karimnagar,Kothapalle,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Karimnagar,Kothapalle,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Karimnagar,Kothapalle,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Karimnagar,Kothapalle,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Karimnagar,Kothapalle,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Karimnagar,Kothapalle,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Karimnagar,Kothapalle,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Karimnagar,Kothapalle,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Karimnagar,Kothapalle,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Karimnagar,Kothapalle,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Karimnagar,Kothapalle,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Karimnagar,Kothapalle,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Karimnagar,Kothapalle,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Karimnagar,Kothapalle,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Karimnagar,Kothapalle,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Karimnagar,Kothapalle,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Karimnagar,Kothapalle,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Karimnagar,Kothapalle,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Karimnagar,Kothapalle,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Karimnagar,Kothapalle,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Karimnagar,Kothapalle,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Karimnagar,Kothapalle,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Karimnagar,Kothapalle,0.0,18.2,33.5,19.4,81.2,0.0,12.8
2022-03-02,Karimnagar,Kothapalle,0.0,18.0,33.9,17.3,81.4,0.0,10.2
2022-03-03,Karimnagar,Kothapalle,0.0,17.4,33.1,27.5,87.0,0.0,15.2
2022-03-04,Karimnagar,Kothapalle,0.0,19.4,34.4,28.2,85.5,0.0,13.2
2022-03-05,Karimnagar,Kothapalle,0.0,20.7,34.0,25.5,80.9,0.0,9.0
2022-03-06,Karimnagar,Kothapalle,0.0,21.1,33.7,25.5,81.4,0.0,9.8
2022-03-07,Karimnagar,Kothapalle,0.0,19.8,32.6,40.7,90.0,0.0,12.7
2022-03-08,Karimnagar,Kothapalle,0.0,19.0,33.4,29.6,88.6,0.0,11.9
2022-03-09,Karimnagar,Kothapalle,0.0,17.3,36.1,18.0,90.3,0.0,9.6
2022-03-10,Karimnagar,Kothapalle,0.0,18.5,32.9,36.7,88.4,0.0,13.8
2022-03-11,Karimnagar,Kothapalle,0.0,19.7,33.2,32.1,93.9,0.0,9.5
2022-03-12,Karimnagar,Kothapalle,0.0,21.5,35.3,28.9,85.7,0.0,8.9
2022-03-13,Karimnagar,Kothapalle,0.0,19.1,35.0,26.9,88.4,0.0,10.0
2022-03-14,Karimnagar,Kothapalle,0.0,17.6,35.8,20.0,85.0,0.0,11.0
2022-03-15,Karimnagar,Kothapalle,0.0,17.2,36.9,12.8,74.3,0.0,11.4
2022-03-16,Karimnagar,Kothapalle,0.0,19.4,37.6,12.8,78.1,0.0,9.2
2022-03-17,Karimnagar,Kothapalle,0.0,21.1,39.7,12.3,69.1,0.0,14.9
2022-03-18,Karimnagar,Kothapalle,0.0,21.1,38.2,21.5,82.7,0.0,14.2
2022-03-19,Karimnagar,Kothapalle,0.0,22.6,34.5,49.8,89.9,0.0,16.5
2022-03-20,Karimnagar,Kothapalle,0.0,25.1,35.3,37.3,81.9,0.0,14.1
