Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Karimnagar,Veenavanka,0.0,18.6,31.0,41.4,89.8,0.0,9.1
2022-01-02,Karimnagar,Veenavanka,0.0,19.6,31.5,38.6,85.1,0.0,6.5
2022-01-03,Karimnagar,Veenavanka,0.0,16.9,30.2,48.1,76.7,0.0,6.6
2022-01-04,Karimnagar,Veenavanka,0.0,19.8,31.3,34.7,75.4,0.0,4.7
2022-01-05,Karimnagar,Veenavanka,0.0,20.3,31.3,37.5,77.2,0.0,5.4
2022-01-06,Karimnagar,Veenavanka,0.0,19.5,30.6,43.1,75.1,0.0,8.4
2022-01-07,Karimnagar,Veenavanka,0.0,21.4,30.6,38.1,83.2,0.0,11.1
2022-01-08,Karimnagar,Veenavanka,0.0,22.3,29.9,42.2,72.4,0.0,16.8
2022-01-09,Karimnagar,Veenavanka,0.0,22.8,30.5,47.1,75.1,0.0,16.3
2022-01-10,Karimnagar,Veenavanka,0.0,22.6,29.8,51.0,85.5,0.0,17.9
2022-01-11,Karimnagar,Veenavanka,2.2,20.6,30.1,51.6,86.4,0.0,9.9
2022-01-12,Karimnagar,Veenavanka,57.2,19.6,29.9,63.3,90.7,0.0,11.0
2022-01-13,Karimnagar,Veenavanka,0.0,20.3,27.3,78.0,96.5,0.0,6.0
2022-01-14,Karimnagar,Veenavanka,0.0,20.4,28.8,82.2,91.7,0.0,11.3
2022-01-15,Karimnagar,Veenavanka,13.9,20.8,30.1,52.0,78.0,0.0,13.9
2022-01-16,Karimnagar,Veenavanka,0.0,21.4,28.9,55.9,77.8,0.0,7.3
2022-01-17,Karimnagar,Veenavanka,0.0,20.9,27.8,74.2,89.6,0.0,6.3
2022-01-18,Karimnagar,Veenavanka,0.0,20.5,30.2,44.4,79.0,0.0,5.9
2022-01-19,Karimnagar,Veenavanka,0.0,20.3,30.9,39.2,91.0,0.0,5.8
2022-01-20,Karimnagar,Veenavanka,0.0,19.6,30.5,40.9,78.5,0.0,6.2
2022-01-21,Karimnagar,Veenavanka,0.0,19.9,32.1,33.5,78.0,0.0,4.6
2022-01-22,Karimnagar,Veenavanka,0.0,19.3,32.5,34.7,78.0,0.0,9.4
2022-01-23,Karimnagar,Veenavanka,0.0,21.7,32.4,35.8,74.2,0.0,14.0
2022-01-24,Karimnagar,Veenavanka,0.0,19.1,31.6,34.7,74.6,0.0,12.5
2022-01-25,Karimnagar,Veenavanka,0.0,18.8,28.6,35.0,67.8,0.0,7.5
2022-01-26,Karimnagar,Veenavanka,0.0,18.0,28.8,34.4,66.0,0.0,7.3
2022-01-27,Karimnagar,Veenavanka,0.0,18.4,30.2,35.3,69.3,0.0,5.9
2022-01-28,Karimnagar,Veenavanka,0.0,15.2,29.3,31.9,72.5,0.0,8.0
2022-01-29,Karimnagar,Veenavanka,0.0,13.7,28.6,24.6,66.8,0.0,9.0
2022-01-30,Karimnagar,Veenavanka,0.0,14.0,29.2,24.0,75.6,0.0,8.4
2022-01-31,Karimnagar,Veenavanka,0.0,15.5,31.0,25.5,83.1,0.0,9.4
2022-02-01,Karimnagar,Veenavanka,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Karimnagar,Veenavanka,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Karimnagar,Veenavanka,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Karimnagar,Veenavanka,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Karimnagar,Veenavanka,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Karimnagar,Veenavanka,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Karimnagar,Veenavanka,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Karimnagar,Veenavanka,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Karimnagar,Veenavanka,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Karimnagar,Veenavanka,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Karimnagar,Veenavanka,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Karimnagar,Veenavanka,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Karimnagar,Veenavanka,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Karimnagar,Veenavanka,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Karimnagar,Veenavanka,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Karimnagar,Veenavanka,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Karimnagar,Veenavanka,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Karimnagar,Veenavanka,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Karimnagar,Veenavanka,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Karimnagar,Veenavanka,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Karimnagar,Veenavanka,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Karimnagar,Veenavanka,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Karimnagar,Veenavanka,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Karimnagar,Veenavanka,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Karimnagar,Veenavanka,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Karimnagar,Veenavanka,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Karimnagar,Veenavanka,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Karimnagar,Veenavanka,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Karimnagar,Veenavanka,0.0,19.4,34.0,27.7,71.8,0.0,14.5
2022-03-02,Karimnagar,Veenavanka,0.0,20.6,36.5,24.0,69.5,0.0,4.8
2022-03-03,Karimnagar,Veenavanka,0.0,21.0,34.7,28.4,71.8,0.0,9.6
2022-03-04,Karimnagar,Veenavanka,0.0,22.2,35.5,34.7,72.8,0.0,12.8
2022-03-05,Karimnagar,Veenavanka,0.0,21.1,35.5,26.7,71.3,0.0,11.4
2022-03-06,Karimnagar,Veenavanka,0.0,22.1,34.2,27.1,70.1,0.0,12.1
2022-03-07,Karimnagar,Veenavanka,0.0,22.6,34.0,39.5,75.1,0.0,9.7
2022-03-08,Karimnagar,Veenavanka,0.0,22.4,34.6,33.7,74.2,0.0,7.7
2022-03-09,Karimnagar,Veenavanka,0.0,21.5,36.3,32.7,76.0,0.0,7.5
2022-03-10,Karimnagar,Veenavanka,0.0,22.3,36.2,30.7,73.3,0.0,5.2
2022-03-11,Karimnagar,Veenavanka,0.0,23.5,35.7,34.0,74.2,0.0,7.4
2022-03-12,Karimnagar,Veenavanka,0.0,23.8,37.1,33.4,71.0,0.0,8.5
2022-03-13,Karimnagar,Veenavanka,0.0,23.1,35.0,32.7,74.6,0.0,9.1
2022-03-14,Karimnagar,Veenavanka,0.0,20.8,36.9,28.0,72.7,0.0,7.1
2022-03-15,Karimnagar,Veenavanka,0.0,20.3,38.3,19.3,67.8,0.0,9.5
2022-03-16,Karimnagar,Veenavanka,0.0,21.7,38.7,24.2,71.5,0.0,6.0
2022-03-17,Karimnagar,Veenavanka,0.0,22.3,40.9,23.1,71.5,0.0,7.0
2022-03-18,Karimnagar,Veenavanka,0.0,23.3,39.4,28.3,72.4,0.0,11.4
2022-03-19,Karimnagar,Veenavanka,0.0,25.0,34.7,42.9,73.4,2.8,15.4
2022-03-20,Karimnagar,Veenavanka,0.0,26.2,34.2,42.3,73.0,1.9,14.5
2022-03-21,Karimnagar,Veenavanka,0.0,26.4,37.5,40.4,75.9,0.0,9.9
2022-03-22,Karimnagar,Veenavanka,0.0,26.4,37.9,41.5,70.0,0.0,6.8
2022-03-23,Karimnagar,Veenavanka,0.0,25.7,38.7,43.0,76.6,0.0,8.5
2022-03-24,Karimnagar,Veenavanka,0.0,26.6,38.9,37.3,76.6,0.0,10.6
2022-03-25,Karimnagar,Veenavanka,0.0,26.8,34.9,46.6,75.3,2.9,12.7
2022-03-26,Karimnagar,Veenavanka,0.0,26.3,35.2,47.2,75.3,0.8,12.1
2022-03-27,Karimnagar,Veenavanka,0.0,26.2,35.8,46.6,74.8,0.0,10.7
2022-03-28,Karimnagar,Veenavanka,0.0,26.3,39.9,36.7,75.3,0.0,9.8
2022-03-29,Karimnagar,Veenavanka,0.0,26.4,39.4,30.3,74.4,0.0,6.6
2022-03-30,Karimnagar,Veenavanka,0.0,25.3,41.2,24.5,76.2,0.0,6.7
2022-03-31,Karimnagar,Veenavanka,0.0,24.8,40.8,26.5,76.6,0.0,11.6
2022-04-01,Karimnagar,Veenavanka,0.0,26.8,40.2,32.3,76.2,0.0,9.0
2022-04-02,Karimnagar,Veenavanka,0.0,27.3,35.7,47.2,75.4,3.7,11.0
2022-04-03,Karimnagar,Veenavanka,0.0,26.3,35.3,46.6,76.2,1.5,11.6
2022-04-04,Karimnagar,Veenavanka,0.0,25.9,38.2,43.6,71.1,0.6,9.4
2022-04-05,Karimnagar,Veenavanka,0.0,25.4,36.6,44.4,73.4,2.8,14.7
2022-04-06,Karimnagar,Veenavanka,0.0,25.9,35.7,46.0,72.1,0.0,17.9
2022-04-07,Karimnagar,Veenavanka,0.0,25.2,36.6,38.7,68.9,2.9,11.9
2022-04-08,Karimnagar,Veenavanka,0.0,25.3,36.5,36.4,71.6,1.9,11.1
2022-04-09,Karimnagar,Veenavanka,0.0,26.0,36.0,39.8,75.3,3.2,12.5
2022-04-10,Karimnagar,Veenavanka,0.0,26.2,36.6,41.0,74.4,0.0,13.6
2022-04-11,Karimnagar,Veenavanka,0.0,26.1,37.7,37.9,71.6,1.0,11.6
2022-04-12,Karimnagar,Veenavanka,0.0,26.0,36.8,40.4,70.2,1.1,15.0
2022-04-13,Karimnagar,Veenavanka,0.0,25.9,37.4,35.9,77.5,3.3,15.2
2022-04-14,Karimnagar,Veenavanka,0.0,26.4,37.5,35.3,75.3,0.0,11.5
2022-04-15,Karimnagar,Veenavanka,0.0,27.9,39.2,32.3,66.2,1.7,9.8
2022-04-16,Karimnagar,Veenavanka,0.0,29.1,39.6,33.0,64.8,1.9,12.1
2022-04-17,Karimnagar,Veenavanka,0.0,28.1,38.2,37.3,72.7,2.6,9.7
2022-04-18,Karimnagar,Veenavanka,0.0,28.2,41.8,28.5,70.8,2.1,13.3
2022-04-19,Karimnagar,Veenavanka,0.0,27.6,41.5,30.6,67.1,0.0,10.8
2022-04-20,Karimnagar,Veenavanka,0.0,28.0,43.7,22.6,70.3,1.1,12.7
2022-04-21,Karimnagar,Veenavanka,0.0,27.9,44.0,22.0,70.3,0.9,15.7
2022-04-22,Karimnagar,Veenavanka,0.0,28.0,38.7,39.6,65.7,4.0,21.0
2022-04-23,Karimnagar,Veenavanka,0.0,28.5,37.6,37.6,66.7,0.0,13.9
2022-04-24,Karimnagar,Veenavanka,0.0,27.3,40.8,30.9,64.7,0.0,9.6
2022-04-25,Karimnagar,Veenavanka,0.0,26.5,41.6,23.1,59.4,0.0,10.8
2022-04-26,Karimnagar,Veenavanka,0.0,26.6,43.6,17.9,64.2,0.0,11.6
2022-04-27,Karimnagar,Veenavanka,0.0,26.8,43.4,22.4,61.3,1.8,13.9
2022-04-28,Karimnagar,Veenavanka,0.0,27.9,42.8,25.8,55.5,0.0,9.0
2022-04-29,Karimnagar,Veenavanka,1.2,28.3,43.2,26.1,51.6,0.0,14.2
2022-04-30,Karimnagar,Veenavanka,0.0,26.2,45.1,15.9,34.7,2.2,11.8
2022-05-01,Karimnagar,Veenavanka,0.0,26.2,43.3,23.0,57.9,,
2022-05-02,Karimnagar,Veenavanka,0.0,26.5,42.7,20.5,68.4,,
2022-05-03,Karimnagar,Veenavanka,0.0,30.3,44.2,20.6,64.8,0.0,18.0
2022-05-04,Karimnagar,Veenavanka,12.7,23.1,41.4,29.9,78.2,4.2,25.3
2022-05-05,Karimnagar,Veenavanka,0.0,26.1,38.0,30.3,71.1,0.0,9.5
2022-05-06,Karimnagar,Veenavanka,0.0,28.9,42.3,23.1,69.0,0.0,15.7
2022-05-07,Karimnagar,Veenavanka,0.0,27.3,44.2,17.9,59.4,0.0,15.2
2022-05-08,Karimnagar,Veenavanka,0.0,28.4,43.3,22.0,58.9,0.0,16.0
2022-05-09,Karimnagar,Veenavanka,0.0,28.4,42.4,24.5,58.9,0.0,15.8
2022-05-10,Karimnagar,Veenavanka,0.0,29.4,43.1,19.9,60.8,0.0,15.9
2022-05-11,Karimnagar,Veenavanka,0.0,30.5,42.4,19.7,57.4,0.0,14.7
2022-05-12,Karimnagar,Veenavanka,0.0,27.7,35.6,39.3,78.8,0.0,10.4
2022-05-13,Karimnagar,Veenavanka,0.0,28.8,39.1,36.7,62.8,4.0,17.2
2022-05-14,Karimnagar,Veenavanka,0.0,30.2,42.0,32.6,59.8,2.4,15.2
2022-05-15,Karimnagar,Veenavanka,0.0,31.0,44.3,26.1,59.4,2.3,17.4
2022-05-16,Karimnagar,Veenavanka,0.0,29.8,42.5,32.6,73.6,1.9,17.9
2022-05-17,Karimnagar,Veenavanka,0.0,29.7,41.5,25.2,58.9,0.8,14.2
2022-05-18,Karimnagar,Veenavanka,0.0,31.1,41.5,30.6,58.4,3.5,15.0
2022-05-19,Karimnagar,Veenavanka,0.0,29.7,40.4,32.6,61.3,1.4,15.5
2022-05-20,Karimnagar,Veenavanka,0.0,29.4,40.3,33.7,63.3,2.7,15.9
2022-05-21,Karimnagar,Veenavanka,0.0,29.6,40.2,30.9,55.0,0.0,19.6
2022-05-22,Karimnagar,Veenavanka,0.0,31.3,39.4,25.8,47.5,2.3,18.8
2022-05-23,Karimnagar,Veenavanka,0.0,32.2,43.1,17.2,40.1,3.7,24.6
2022-05-24,Karimnagar,Veenavanka,0.0,31.6,41.4,23.6,41.7,3.2,17.9
2022-05-25,Karimnagar,Veenavanka,0.0,29.9,43.1,24.5,52.0,0.0,15.0
2022-05-26,Karimnagar,Veenavanka,0.0,30.4,40.6,27.2,50.3,1.4,15.2
2022-05-27,Karimnagar,Veenavanka,0.8,27.2,43.3,22.0,62.8,0.0,23.2
2022-05-28,Karimnagar,Veenavanka,0.0,30.1,42.4,22.4,44.9,0.0,16.0
2022-05-29,Karimnagar,Veenavanka,0.0,32.1,43.5,16.6,34.7,0.7,16.2
2022-05-30,Karimnagar,Veenavanka,0.0,32.3,42.5,22.4,40.9,0.0,16.2
2022-05-31,Karimnagar,Veenavanka,0.9,32.6,44.0,21.3,42.0,0.0,14.6
2022-06-01,Karimnagar,Veenavanka,0.0,30.9,40.5,27.2,49.2,0.0,22.0
2022-06-02,Karimnagar,Veenavanka,0.0,31.8,41.9,25.2,42.0,0.0,14.9
2022-06-03,Karimnagar,Veenavanka,0.0,31.8,44.5,19.3,43.7,0.0,23.7
2022-06-04,Karimnagar,Veenavanka,0.0,33.5,43.5,21.1,35.9,0.0,23.0
