Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Khammam,Khammam_Rural,0.0,19.3,32.3,45.6,98.8,0.0,0.2
2022-01-02,Khammam,Khammam_Rural,0.0,20.0,31.9,50.8,99.2,0.0,0.4
2022-01-03,Khammam,Khammam_Rural,0.0,19.1,32.2,42.8,99.2,0.0,0.4
2022-01-04,Khammam,Khammam_Rural,0.0,18.5,32.3,46.9,98.8,1.2,1.3
2022-01-05,Khammam,Khammam_Rural,0.0,18.1,30.6,51.6,99.1,0.0,4.3
2022-01-06,Khammam,Khammam_Rural,0.0,17.9,31.3,40.9,99.3,1.5,1.5
2022-01-07,Khammam,Khammam_Rural,0.0,18.9,31.6,45.8,99.4,0.0,3.7
2022-01-08,Khammam,Khammam_Rural,0.0,19.1,31.6,50.6,99.2,0.0,4.6
2022-01-09,Khammam,Khammam_Rural,0.0,20.1,31.1,55.4,99.5,0.0,35.8
2022-01-10,Khammam,Khammam_Rural,0.0,19.6,30.2,59.6,99.4,0.0,39.2
2022-01-11,Khammam,Khammam_Rural,0.0,20.1,30.0,59.5,99.0,0.0,5.8
2022-01-12,Khammam,Khammam_Rural,0.3,21.9,30.7,61.0,98.9,0.0,8.4
2022-01-13,Khammam,Khammam_Rural,30.3,21.9,29.0,84.6,99.5,0.0,9.5
2022-01-14,Khammam,Khammam_Rural,2.5,20.6,27.5,91.2,99.5,0.0,6.7
2022-01-15,Khammam,Khammam_Rural,0.7,21.7,29.0,87.3,99.4,0.0,7.5
2022-01-16,Khammam,Khammam_Rural,0.0,22.2,31.3,62.1,98.2,0.0,2.9
2022-01-17,Khammam,Khammam_Rural,0.5,21.7,31.2,65.2,97.8,0.0,5.6
2022-01-18,Khammam,Khammam_Rural,0.0,20.3,30.5,59.0,98.8,0.0,3.9
2022-01-19,Khammam,Khammam_Rural,0.0,18.0,31.4,45.7,98.0,0.0,2.3
2022-01-20,Khammam,Khammam_Rural,0.0,17.3,31.8,44.4,97.6,0.0,1.8
2022-01-21,Khammam,Khammam_Rural,0.0,18.7,32.0,44.5,99.6,0.0,2.5
2022-01-22,Khammam,Khammam_Rural,0.0,19.2,33.2,48.4,99.9,0.0,10.2
2022-01-23,Khammam,Khammam_Rural,0.0,22.3,32.2,48.5,99.2,0.0,10.9
2022-01-24,Khammam,Khammam_Rural,0.0,21.7,32.5,46.8,98.3,0.0,7.1
2022-01-25,Khammam,Khammam_Rural,0.0,18.2,31.6,42.7,84.2,0.0,9.3
2022-01-26,Khammam,Khammam_Rural,0.0,18.0,31.2,38.5,87.0,0.0,7.6
2022-01-27,Khammam,Khammam_Rural,0.0,18.9,32.1,42.3,85.9,0.0,6.4
2022-01-28,Khammam,Khammam_Rural,0.0,15.4,30.5,38.0,81.8,0.0,5.9
2022-01-29,Khammam,Khammam_Rural,0.0,13.7,30.6,23.4,78.3,0.0,6.1
2022-01-30,Khammam,Khammam_Rural,0.0,14.8,31.5,24.6,91.5,0.0,4.9
2022-01-31,Khammam,Khammam_Rural,0.0,14.3,32.0,23.3,86.7,0.0,9.9
2022-02-01,Khammam,Khammam_Rural,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Khammam,Khammam_Rural,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Khammam,Khammam_Rural,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Khammam,Khammam_Rural,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Khammam,Khammam_Rural,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Khammam,Khammam_Rural,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Khammam,Khammam_Rural,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Khammam,Khammam_Rural,0.0,12.7,36.3,18.8,100.0,0.0,65.1
