Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Khammam,Madhira,0.0,19.5,32.6,35.5,99.9,0.0,6.5
2022-01-02,Khammam,Madhira,0.0,19.5,32.0,50.1,99.9,0.0,8.1
2022-01-03,Khammam,Madhira,0.0,18.2,32.8,39.3,99.9,0.0,7.0
2022-01-04,Khammam,Madhira,0.0,18.1,32.7,45.5,99.9,0.0,2.8
2022-01-05,Khammam,Madhira,0.0,17.4,33.0,35.9,99.9,0.0,2.8
2022-01-06,Khammam,Madhira,0.0,17.1,32.0,32.8,99.9,0.0,8.0
2022-01-07,Khammam,Madhira,0.0,17.3,32.9,46.8,99.9,0.0,12.4
2022-01-08,Khammam,Madhira,0.0,18.5,33.7,50.7,99.9,0.0,8.0
2022-01-09,Khammam,Madhira,0.0,19.0,32.6,54.7,99.9,0.0,10.0
2022-01-10,Khammam,Madhira,0.0,19.0,33.5,55.2,99.9,0.0,7.3
2022-01-11,Khammam,Madhira,0.0,19.4,33.0,46.1,99.9,0.0,9.3
2022-01-12,Khammam,Madhira,0.0,22.4,33.3,52.3,99.9,0.0,8.5
2022-01-13,Khammam,Madhira,0.0,22.4,32.3,62.6,99.9,0.0,8.6
2022-01-14,Khammam,Madhira,2.1,20.0,26.5,77.9,99.9,0.0,13.9
2022-01-15,Khammam,Madhira,0.1,21.2,30.3,76.6,99.9,0.0,10.8
2022-01-16,Khammam,Madhira,0.0,21.5,32.6,35.0,99.9,0.0,6.8
2022-01-17,Khammam,Madhira,0.1,20.2,31.8,61.3,99.9,0.0,8.3
2022-01-18,Khammam,Madhira,0.0,19.8,32.1,55.1,99.9,0.0,8.6
2022-01-19,Khammam,Madhira,0.0,17.6,32.9,43.9,99.9,0.0,4.6
2022-01-20,Khammam,Madhira,0.0,17.1,33.8,44.1,99.9,0.0,1.5
2022-01-21,Khammam,Madhira,0.0,18.3,32.9,39.3,99.9,0.0,0.1
2022-01-22,Khammam,Madhira,0.0,18.4,35.3,46.8,99.9,0.0,11.8
2022-01-23,Khammam,Madhira,0.0,21.8,35.5,47.1,99.9,0.0,2.2
2022-01-24,Khammam,Madhira,0.0,21.8,33.2,48.3,99.9,0.0,6.7
2022-01-25,Khammam,Madhira,0.0,16.7,32.7,49.5,99.9,0.0,10.2
2022-01-26,Khammam,Madhira,0.0,18.7,32.3,46.5,99.9,0.0,13.9
2022-01-27,Khammam,Madhira,0.0,19.9,32.5,54.6,99.9,0.0,4.3
2022-01-28,Khammam,Madhira,0.0,15.6,32.9,46.3,99.9,0.0,10.3
2022-01-29,Khammam,Madhira,0.0,14.0,31.9,30.9,99.9,0.0,11.9
2022-01-30,Khammam,Madhira,0.0,15.7,32.3,40.4,99.9,0.0,4.0
2022-01-31,Khammam,Madhira,0.0,15.6,33.9,33.6,99.9,0.0,8.9
2022-02-01,Khammam,Madhira,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Khammam,Madhira,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Khammam,Madhira,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Khammam,Madhira,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Khammam,Madhira,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Khammam,Madhira,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Khammam,Madhira,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Khammam,Madhira,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Khammam,Madhira,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Khammam,Madhira,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Khammam,Madhira,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Khammam,Madhira,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Khammam,Madhira,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Khammam,Madhira,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Khammam,Madhira,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Khammam,Madhira,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Khammam,Madhira,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Khammam,Madhira,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Khammam,Madhira,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Khammam,Madhira,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Khammam,Madhira,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Khammam,Madhira,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Khammam,Madhira,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Khammam,Madhira,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Khammam,Madhira,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Khammam,Madhira,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Khammam,Madhira,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Khammam,Madhira,0.0,12.3,38.7,10.4,100.0,0.0,65.1
