Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Khammam,Sathupalle,0.0,17.4,32.9,47.9,99.9,0.0,7.7
2022-01-02,Khammam,Sathupalle,0.0,17.1,31.7,49.3,99.9,0.0,5.4
2022-01-03,Khammam,Sathupalle,0.0,16.8,32.8,41.9,99.9,0.0,8.3
2022-01-04,Khammam,Sathupalle,0.0,15.8,33.2,45.7,99.9,0.0,5.4
2022-01-05,Khammam,Sathupalle,0.0,15.4,30.0,51.2,99.9,0.0,3.8
2022-01-06,Khammam,Sathupalle,0.0,16.3,33.0,37.8,99.9,0.0,5.5
2022-01-07,Khammam,Sathupalle,0.0,16.7,31.7,47.6,99.9,0.0,7.0
2022-01-08,Khammam,Sathupalle,0.0,17.2,30.2,45.8,99.9,0.0,9.0
2022-01-09,Khammam,Sathupalle,0.0,18.5,32.7,53.1,99.9,0.0,7.4
2022-01-10,Khammam,Sathupalle,0.0,18.8,32.1,55.9,99.9,0.0,10.0
2022-01-11,Khammam,Sathupalle,0.0,19.6,32.0,49.2,99.9,0.0,0.1
2022-01-12,Khammam,Sathupalle,0.0,20.5,30.7,54.9,93.4,0.0,0.0
2022-01-13,Khammam,Sathupalle,32.3,20.5,30.5,63.2,99.9,0.0,0.0
2022-01-14,Khammam,Sathupalle,3.2,19.3,29.6,73.5,99.9,0.0,9.6
2022-01-15,Khammam,Sathupalle,3.8,19.2,27.9,74.2,99.9,0.0,6.9
2022-01-16,Khammam,Sathupalle,0.0,19.1,32.3,54.8,99.9,0.0,3.5
2022-01-17,Khammam,Sathupalle,0.0,18.7,32.0,53.9,99.9,0.0,9.0
2022-01-18,Khammam,Sathupalle,0.0,17.0,31.3,53.6,99.9,0.0,8.0
2022-01-19,Khammam,Sathupalle,0.0,16.1,31.7,40.0,100.0,0.0,7.2
2022-01-20,Khammam,Sathupalle,0.0,14.5,32.8,46.7,99.9,0.0,3.8
2022-01-21,Khammam,Sathupalle,0.0,17.2,33.3,38.8,99.9,0.0,3.4
2022-01-22,Khammam,Sathupalle,0.0,17.9,31.9,50.4,99.9,0.0,7.7
2022-01-23,Khammam,Sathupalle,0.0,21.3,32.9,42.0,99.9,0.0,3.9
2022-01-24,Khammam,Sathupalle,0.0,21.6,32.3,48.6,99.9,0.0,5.6
2022-01-25,Khammam,Sathupalle,0.0,16.9,32.3,54.9,99.9,0.0,8.2
2022-01-26,Khammam,Sathupalle,0.0,16.3,32.2,41.8,99.9,0.0,7.5
2022-01-27,Khammam,Sathupalle,0.0,17.0,31.7,51.6,99.9,0.0,5.1
2022-01-28,Khammam,Sathupalle,0.0,12.0,31.3,41.3,90.5,0.0,8.8
2022-01-29,Khammam,Sathupalle,0.0,12.2,31.2,36.3,89.3,0.0,7.3
2022-01-30,Khammam,Sathupalle,0.0,14.6,33.2,30.1,99.9,0.0,5.7
2022-01-31,Khammam,Sathupalle,0.0,13.1,34.8,29.0,99.9,0.0,6.3
2022-02-01,Khammam,Sathupalle,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Khammam,Sathupalle,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Khammam,Sathupalle,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Khammam,Sathupalle,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Khammam,Sathupalle,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Khammam,Sathupalle,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Khammam,Sathupalle,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Khammam,Sathupalle,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Khammam,Sathupalle,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Khammam,Sathupalle,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Khammam,Sathupalle,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Khammam,Sathupalle,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Khammam,Sathupalle,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Khammam,Sathupalle,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Khammam,Sathupalle,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Khammam,Sathupalle,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Khammam,Sathupalle,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Khammam,Sathupalle,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Khammam,Sathupalle,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Khammam,Sathupalle,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Khammam,Sathupalle,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Khammam,Sathupalle,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Khammam,Sathupalle,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Khammam,Sathupalle,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Khammam,Sathupalle,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Khammam,Sathupalle,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Khammam,Sathupalle,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Khammam,Sathupalle,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Khammam,Sathupalle,0.0,17.0,38.9,16.9,100.0,0.0,4.6
2022-03-02,Khammam,Sathupalle,0.0,16.5,38.3,14.1,100.0,0.0,5.9
2022-03-03,Khammam,Sathupalle,0.0,17.9,38.5,19.1,100.0,0.0,5.7
2022-03-04,Khammam,Sathupalle,0.0,16.6,36.3,33.0,100.0,0.0,7.1
2022-03-05,Khammam,Sathupalle,0.0,17.6,36.6,14.3,100.0,0.0,7.9
2022-03-06,Khammam,Sathupalle,0.0,19.4,36.3,26.9,99.9,0.0,8.3
2022-03-07,Khammam,Sathupalle,0.0,17.7,37.1,30.5,100.0,0.0,7.7
2022-03-08,Khammam,Sathupalle,0.0,17.8,37.4,25.9,100.0,0.0,4.9
2022-03-09,Khammam,Sathupalle,0.0,19.8,38.8,24.5,100.0,0.0,7.6
2022-03-10,Khammam,Sathupalle,0.0,20.9,38.0,28.3,100.0,0.0,4.1
2022-03-11,Khammam,Sathupalle,0.0,19.1,38.8,28.6,100.0,0.0,5.0
2022-03-12,Khammam,Sathupalle,0.0,18.1,38.6,20.9,100.0,0.0,5.4
2022-03-13,Khammam,Sathupalle,0.0,17.7,38.3,23.7,100.0,0.0,6.4
2022-03-14,Khammam,Sathupalle,0.0,18.2,38.6,14.5,100.0,0.0,4.3
2022-03-15,Khammam,Sathupalle,0.0,17.7,39.8,20.5,100.0,0.0,7.7
2022-03-16,Khammam,Sathupalle,0.0,18.8,41.0,19.9,100.0,0.0,6.4
2022-03-17,Khammam,Sathupalle,0.0,20.3,41.0,22.1,100.0,0.0,7.9
2022-03-18,Khammam,Sathupalle,0.0,23.2,41.4,21.4,100.0,0.0,4.5
2022-03-19,Khammam,Sathupalle,0.0,23.0,38.0,34.4,100.0,0.0,7.0
2022-03-20,Khammam,Sathupalle,0.0,23.0,38.5,38.5,100.0,0.0,6.4
2022-03-21,Khammam,Sathupalle,0.0,25.1,38.1,37.8,100.0,0.0,5.7
2022-03-22,Khammam,Sathupalle,0.0,21.7,38.3,48.1,100.0,0.0,7.6
2022-03-23,Khammam,Sathupalle,0.0,22.2,38.8,36.0,100.0,0.0,5.8
2022-03-24,Khammam,Sathupalle,0.9,22.1,38.3,53.0,100.0,0.0,15.0
2022-03-25,Khammam,Sathupalle,0.2,23.6,37.1,49.7,100.0,0.0,8.0
2022-03-26,Khammam,Sathupalle,0.0,22.5,38.6,46.0,100.0,0.0,5.6
2022-03-27,Khammam,Sathupalle,0.0,23.6,38.9,41.5,100.0,0.0,6.5
2022-03-28,Khammam,Sathupalle,0.0,23.9,38.9,41.4,100.0,0.0,7.7
2022-03-29,Khammam,Sathupalle,0.0,23.3,38.2,40.9,100.0,0.0,7.1
2022-03-30,Khammam,Sathupalle,0.0,24.2,41.4,39.4,100.0,0.0,6.7
