Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Nizamabad,Kammarpalle,0.0,16.6,27.7,54.9,95.3,0.0,3.1
2022-01-02,Nizamabad,Kammarpalle,0.0,15.9,27.8,47.8,94.5,0.0,4.2
2022-01-03,Nizamabad,Kammarpalle,0.0,15.4,28.9,39.5,87.9,0.0,3.1
2022-01-04,Nizamabad,Kammarpalle,0.0,14.9,27.7,41.4,90.4,0.0,4.2
2022-01-05,Nizamabad,Kammarpalle,0.0,15.1,28.2,35.5,91.5,0.0,3.4
2022-01-06,Nizamabad,Kammarpalle,0.0,16.7,28.3,47.6,92.6,0.0,2.2
2022-01-07,Nizamabad,Kammarpalle,0.0,17.7,29.6,40.9,90.4,0.0,4.2
2022-01-08,Nizamabad,Kammarpalle,0.0,19.9,28.2,32.9,88.1,0.0,6.4
2022-01-09,Nizamabad,Kammarpalle,0.0,20.5,28.0,57.9,90.1,0.0,4.0
2022-01-10,Nizamabad,Kammarpalle,3.6,19.7,29.1,49.3,95.5,0.0,6.0
2022-01-11,Nizamabad,Kammarpalle,2.5,18.9,26.3,65.7,98.1,0.0,3.1
2022-01-12,Nizamabad,Kammarpalle,1.2,18.6,24.3,61.0,98.2,0.0,3.4
2022-01-13,Nizamabad,Kammarpalle,0.0,17.3,22.8,66.0,97.5,0.0,3.2
2022-01-14,Nizamabad,Kammarpalle,5.8,18.5,25.8,64.6,97.3,0.0,3.6
2022-01-15,Nizamabad,Kammarpalle,0.0,18.4,28.7,45.7,96.9,0.0,3.4
2022-01-16,Nizamabad,Kammarpalle,0.0,16.0,24.6,61.7,96.5,0.0,3.6
2022-01-17,Nizamabad,Kammarpalle,0.0,16.7,25.3,59.6,96.2,0.0,3.4
2022-01-18,Nizamabad,Kammarpalle,0.0,15.8,27.1,53.4,94.4,0.0,5.0
2022-01-19,Nizamabad,Kammarpalle,0.0,15.3,28.3,45.8,94.0,0.0,3.4
2022-01-20,Nizamabad,Kammarpalle,0.0,14.2,27.8,37.9,92.1,0.0,2.7
2022-01-21,Nizamabad,Kammarpalle,0.0,15.1,29.8,33.9,87.9,0.0,2.6
2022-01-22,Nizamabad,Kammarpalle,0.0,15.8,29.1,39.5,84.9,0.0,5.7
2022-01-23,Nizamabad,Kammarpalle,0.0,17.2,30.9,36.0,91.6,0.0,2.7
2022-01-24,Nizamabad,Kammarpalle,0.0,15.1,27.5,46.2,84.2,0.0,5.6
2022-01-25,Nizamabad,Kammarpalle,0.0,14.1,24.4,45.0,81.7,0.0,4.2
2022-01-26,Nizamabad,Kammarpalle,0.0,13.6,25.8,41.1,82.6,0.0,3.7
2022-01-27,Nizamabad,Kammarpalle,0.0,13.4,26.2,39.8,82.2,0.0,2.3
2022-01-28,Nizamabad,Kammarpalle,0.0,12.0,26.2,36.4,81.6,0.0,2.6
2022-01-29,Nizamabad,Kammarpalle,0.0,11.0,25.2,31.1,81.4,0.0,3.4
2022-01-30,Nizamabad,Kammarpalle,0.0,10.9,26.7,26.1,83.9,0.0,4.3
2022-01-31,Nizamabad,Kammarpalle,0.0,12.8,29.5,24.9,80.6,0.0,3.8
2022-02-01,Nizamabad,Kammarpalle,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Nizamabad,Kammarpalle,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Nizamabad,Kammarpalle,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Nizamabad,Kammarpalle,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Nizamabad,Kammarpalle,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Nizamabad,Kammarpalle,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Nizamabad,Kammarpalle,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Nizamabad,Kammarpalle,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Nizamabad,Kammarpalle,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Nizamabad,Kammarpalle,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Nizamabad,Kammarpalle,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Nizamabad,Kammarpalle,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Nizamabad,Kammarpalle,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Nizamabad,Kammarpalle,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Nizamabad,Kammarpalle,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Nizamabad,Kammarpalle,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Nizamabad,Kammarpalle,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Nizamabad,Kammarpalle,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Nizamabad,Kammarpalle,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Nizamabad,Kammarpalle,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Nizamabad,Kammarpalle,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Nizamabad,Kammarpalle,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Nizamabad,Kammarpalle,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Nizamabad,Kammarpalle,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Nizamabad,Kammarpalle,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Nizamabad,Kammarpalle,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Nizamabad,Kammarpalle,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Nizamabad,Kammarpalle,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Nizamabad,Kammarpalle,0.0,19.4,33.3,25.1,73.6,0.0,3.7
2022-03-02,Nizamabad,Kammarpalle,0.0,19.5,34.1,17.2,69.3,0.0,3.8
2022-03-03,Nizamabad,Kammarpalle,0.0,19.9,34.0,22.1,67.4,0.0,3.6
2022-03-04,Nizamabad,Kammarpalle,0.0,19.0,34.7,19.0,81.4,0.0,3.7
2022-03-05,Nizamabad,Kammarpalle,0.0,20.8,33.5,32.0,79.4,0.0,3.0
2022-03-06,Nizamabad,Kammarpalle,0.0,21.3,33.3,33.1,79.0,0.0,3.4
2022-03-07,Nizamabad,Kammarpalle,0.0,21.3,33.3,21.5,79.3,0.0,4.3
2022-03-08,Nizamabad,Kammarpalle,0.0,19.7,32.9,29.2,79.8,0.0,5.4
2022-03-09,Nizamabad,Kammarpalle,0.0,19.3,33.9,20.8,71.3,0.0,3.2
2022-03-10,Nizamabad,Kammarpalle,0.0,21.8,33.9,26.3,70.8,0.0,4.7
2022-03-11,Nizamabad,Kammarpalle,0.0,20.4,32.9,26.8,78.9,0.0,3.8
2022-03-12,Nizamabad,Kammarpalle,0.0,21.1,34.1,27.5,78.0,0.0,2.9
2022-03-13,Nizamabad,Kammarpalle,0.0,20.9,33.9,27.7,76.1,0.0,4.2
2022-03-14,Nizamabad,Kammarpalle,0.0,18.7,35.3,23.5,79.4,0.0,3.9
2022-03-15,Nizamabad,Kammarpalle,0.0,19.1,36.9,15.1,66.7,0.0,4.0
2022-03-16,Nizamabad,Kammarpalle,0.0,20.6,36.7,18.9,63.1,0.0,2.7
2022-03-17,Nizamabad,Kammarpalle,0.0,21.8,39.1,16.2,62.2,0.0,3.5
2022-03-18,Nizamabad,Kammarpalle,0.0,21.4,38.7,14.8,58.2,0.0,3.5
2022-03-19,Nizamabad,Kammarpalle,0.0,21.9,36.8,22.4,78.6,0.0,3.6
2022-03-20,Nizamabad,Kammarpalle,0.0,25.2,36.7,33.3,80.3,0.0,4.2
2022-03-21,Nizamabad,Kammarpalle,0.0,22.8,36.5,31.5,75.6,0.0,9.5
2022-03-22,Nizamabad,Kammarpalle,0.0,24.7,37.1,28.3,75.0,0.0,6.2
2022-03-23,Nizamabad,Kammarpalle,0.0,22.9,37.5,32.5,74.3,0.0,3.3
2022-03-24,Nizamabad,Kammarpalle,0.0,24.2,37.8,21.5,85.4,0.0,3.8
2022-03-25,Nizamabad,Kammarpalle,0.0,24.7,36.4,29.0,89.1,0.0,3.5
2022-03-26,Nizamabad,Kammarpalle,0.0,24.9,37.3,34.1,83.3,0.0,3.3
2022-03-27,Nizamabad,Kammarpalle,0.0,23.6,36.5,30.1,89.4,0.0,3.9
2022-03-28,Nizamabad,Kammarpalle,0.0,24.0,38.7,20.9,83.8,0.0,2.5
2022-03-29,Nizamabad,Kammarpalle,0.0,23.2,39.4,18.7,82.2,0.0,3.2
2022-03-30,Nizamabad,Kammarpalle,0.0,21.7,39.9,11.2,67.0,0.0,3.0
2022-03-31,Nizamabad,Kammarpalle,0.0,22.5,40.0,13.4,60.4,0.0,2.4
2022-04-01,Nizamabad,Kammarpalle,0.0,21.3,39.9,12.6,83.3,0.0,2.6
2022-04-02,Nizamabad,Kammarpalle,0.0,23.2,40.3,12.7,90.6,0.0,3.0
2022-04-03,Nizamabad,Kammarpalle,0.0,23.4,36.5,40.1,90.1,0.0,5.0
2022-04-04,Nizamabad,Kammarpalle,0.0,24.9,38.1,30.2,81.3,0.0,2.6
2022-04-05,Nizamabad,Kammarpalle,0.0,25.5,38.7,26.3,81.3,0.0,3.4
2022-04-06,Nizamabad,Kammarpalle,0.0,24.8,38.5,33.5,79.4,0.0,3.6
2022-04-07,Nizamabad,Kammarpalle,0.0,24.4,39.0,27.1,72.6,0.0,3.5
2022-04-08,Nizamabad,Kammarpalle,0.0,25.1,39.2,25.9,75.9,0.0,3.9
2022-04-09,Nizamabad,Kammarpalle,0.0,25.0,38.3,23.6,81.5,0.0,5.8
2022-04-10,Nizamabad,Kammarpalle,0.0,25.2,37.7,28.4,78.7,0.0,3.2
2022-04-11,Nizamabad,Kammarpalle,0.0,25.4,38.9,26.7,87.0,0.0,4.3
2022-04-12,Nizamabad,Kammarpalle,0.0,25.8,39.0,26.3,73.8,0.0,5.5
2022-04-13,Nizamabad,Kammarpalle,0.0,25.1,38.9,28.0,77.2,0.0,4.0
2022-04-14,Nizamabad,Kammarpalle,0.0,25.2,39.0,26.7,77.4,0.0,4.1
2022-04-15,Nizamabad,Kammarpalle,0.0,26.5,38.5,26.1,72.0,0.0,3.5
