Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Nizamabad,Mortad,0.0,13.6,27.7,60.9,100.0,0.0,6.9
2022-01-02,Nizamabad,Mortad,0.0,15.8,28.7,53.3,100.0,0.0,7.3
2022-01-03,Nizamabad,Mortad,0.0,15.3,29.4,43.6,100.0,0.0,7.3
2022-01-04,Nizamabad,Mortad,0.0,14.5,29.1,45.2,100.0,0.0,10.3
2022-01-05,Nizamabad,Mortad,0.0,15.3,29.6,37.3,100.0,0.0,8.5
2022-01-06,Nizamabad,Mortad,0.0,16.7,29.2,50.4,100.0,0.0,4.7
2022-01-07,Nizamabad,Mortad,0.0,17.5,29.3,40.7,100.0,0.0,8.7
2022-01-08,Nizamabad,Mortad,0.0,19.3,28.9,39.9,100.0,0.0,15.0
2022-01-09,Nizamabad,Mortad,0.0,20.3,28.3,61.9,100.0,0.0,8.7
2022-01-10,Nizamabad,Mortad,5.9,20.3,29.7,58.0,100.0,0.0,13.4
2022-01-11,Nizamabad,Mortad,0.4,19.2,27.1,81.5,100.0,0.0,6.6
2022-01-12,Nizamabad,Mortad,1.5,18.6,24.7,69.2,100.0,0.0,7.5
2022-01-13,Nizamabad,Mortad,0.0,17.3,23.5,89.0,100.0,0.0,7.7
2022-01-14,Nizamabad,Mortad,0.0,19.2,26.9,76.7,100.0,0.0,9.2
2022-01-15,Nizamabad,Mortad,0.0,18.7,28.8,56.0,100.0,0.0,7.1
2022-01-16,Nizamabad,Mortad,0.0,16.2,25.7,77.8,100.0,0.0,8.1
2022-01-17,Nizamabad,Mortad,0.0,16.5,26.6,75.7,100.0,0.0,8.0
2022-01-18,Nizamabad,Mortad,0.0,15.5,27.8,56.1,100.0,0.0,12.2
2022-01-19,Nizamabad,Mortad,0.0,15.2,28.3,52.0,100.0,0.0,7.5
2022-01-20,Nizamabad,Mortad,0.0,14.4,28.3,48.4,100.0,0.0,5.2
2022-01-21,Nizamabad,Mortad,0.0,15.2,29.7,38.0,100.0,0.0,5.3
2022-01-22,Nizamabad,Mortad,0.0,14.4,29.6,42.5,100.0,0.0,11.7
2022-01-23,Nizamabad,Mortad,0.0,17.2,30.8,41.2,100.0,0.0,6.9
2022-01-24,Nizamabad,Mortad,0.0,15.6,27.4,51.6,100.0,0.0,12.9
2022-01-25,Nizamabad,Mortad,0.0,14.8,24.8,47.1,85.6,0.0,9.2
2022-01-26,Nizamabad,Mortad,0.0,14.5,25.3,44.1,84.2,0.0,8.3
2022-01-27,Nizamabad,Mortad,0.0,14.1,27.2,42.2,85.8,0.0,4.0
2022-01-28,Nizamabad,Mortad,0.0,13.0,26.9,38.0,100.0,0.0,4.9
2022-01-29,Nizamabad,Mortad,0.0,11.1,25.5,32.3,83.9,0.0,6.3
2022-01-30,Nizamabad,Mortad,0.0,11.5,26.8,27.0,93.2,0.0,10.2
2022-01-31,Nizamabad,Mortad,0.0,12.6,28.4,28.9,100.0,0.0,7.1
2022-02-01,Nizamabad,Mortad,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Nizamabad,Mortad,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Nizamabad,Mortad,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Nizamabad,Mortad,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Nizamabad,Mortad,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Nizamabad,Mortad,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Nizamabad,Mortad,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Nizamabad,Mortad,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Nizamabad,Mortad,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Nizamabad,Mortad,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Nizamabad,Mortad,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Nizamabad,Mortad,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Nizamabad,Mortad,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Nizamabad,Mortad,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Nizamabad,Mortad,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Nizamabad,Mortad,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Nizamabad,Mortad,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Nizamabad,Mortad,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Nizamabad,Mortad,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Nizamabad,Mortad,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Nizamabad,Mortad,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Nizamabad,Mortad,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Nizamabad,Mortad,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Nizamabad,Mortad,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Nizamabad,Mortad,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Nizamabad,Mortad,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Nizamabad,Mortad,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Nizamabad,Mortad,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Nizamabad,Mortad,0.0,18.5,33.1,30.4,77.6,0.0,8.5
