Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Nizamabad,Nandipet,0.0,16.9,26.7,62.2,100.0,0.0,4.9
2022-01-02,Nizamabad,Nandipet,0.0,16.6,28.3,52.7,100.0,0.0,0.2
2022-01-03,Nizamabad,Nandipet,0.0,15.8,30.1,41.8,100.0,0.0,5.9
2022-01-04,Nizamabad,Nandipet,0.0,15.6,31.0,41.0,100.0,0.0,2.2
2022-01-05,Nizamabad,Nandipet,0.0,15.0,30.0,39.4,100.0,0.0,2.7
2022-01-06,Nizamabad,Nandipet,0.0,16.4,29.0,54.6,100.0,0.0,2.6
2022-01-07,Nizamabad,Nandipet,0.0,16.2,29.6,43.0,100.0,0.0,6.3
2022-01-08,Nizamabad,Nandipet,0.0,17.8,30.4,36.3,100.0,0.0,15.3
2022-01-09,Nizamabad,Nandipet,0.0,19.0,29.0,63.2,100.0,0.0,5.0
2022-01-10,Nizamabad,Nandipet,0.0,19.8,32.8,48.8,100.0,0.0,1.5
2022-01-11,Nizamabad,Nandipet,3.1,19.9,27.8,66.9,100.0,0.0,5.2
2022-01-12,Nizamabad,Nandipet,0.0,19.3,26.6,73.2,100.0,0.0,7.4
2022-01-13,Nizamabad,Nandipet,0.0,17.7,24.5,73.5,100.0,0.0,4.8
2022-01-14,Nizamabad,Nandipet,0.0,20.1,27.1,67.4,100.0,0.0,10.1
2022-01-15,Nizamabad,Nandipet,0.0,18.8,30.2,57.0,100.0,0.0,2.8
2022-01-16,Nizamabad,Nandipet,0.0,16.7,26.8,66.9,100.0,0.0,7.2
2022-01-17,Nizamabad,Nandipet,0.0,16.8,26.2,66.9,100.0,0.0,15.2
2022-01-18,Nizamabad,Nandipet,0.0,16.9,29.6,47.8,100.0,0.0,10.3
2022-01-19,Nizamabad,Nandipet,0.0,15.2,31.6,42.7,100.0,0.0,1.7
2022-01-20,Nizamabad,Nandipet,0.0,14.4,32.6,31.7,100.0,0.0,0.2
2022-01-21,Nizamabad,Nandipet,0.0,15.5,33.3,32.7,100.0,0.0,2.1
2022-01-22,Nizamabad,Nandipet,0.0,15.1,30.0,44.0,100.0,0.0,4.8
2022-01-23,Nizamabad,Nandipet,0.0,16.7,34.7,34.0,100.0,0.0,6.5
2022-01-24,Nizamabad,Nandipet,0.0,14.9,32.9,42.1,94.8,0.0,5.4
2022-01-25,Nizamabad,Nandipet,0.0,14.7,28.6,40.7,95.4,0.0,2.7
2022-01-26,Nizamabad,Nandipet,0.0,13.9,29.6,37.9,94.1,0.0,6.1
2022-01-27,Nizamabad,Nandipet,0.0,14.7,28.3,38.2,93.5,0.0,1.0
2022-01-28,Nizamabad,Nandipet,0.0,11.6,28.9,36.3,100.0,0.0,5.9
2022-01-29,Nizamabad,Nandipet,0.0,11.4,28.4,33.1,99.8,0.0,4.0
2022-01-30,Nizamabad,Nandipet,0.0,10.9,29.7,25.5,99.5,0.0,2.9
2022-01-31,Nizamabad,Nandipet,0.0,11.5,32.6,29.1,100.0,0.0,4.7
2022-02-01,Nizamabad,Nandipet,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Nizamabad,Nandipet,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Nizamabad,Nandipet,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Nizamabad,Nandipet,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Nizamabad,Nandipet,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Nizamabad,Nandipet,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Nizamabad,Nandipet,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Nizamabad,Nandipet,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Nizamabad,Nandipet,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Nizamabad,Nandipet,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Nizamabad,Nandipet,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Nizamabad,Nandipet,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Nizamabad,Nandipet,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Nizamabad,Nandipet,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Nizamabad,Nandipet,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Nizamabad,Nandipet,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Nizamabad,Nandipet,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Nizamabad,Nandipet,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Nizamabad,Nandipet,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Nizamabad,Nandipet,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Nizamabad,Nandipet,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Nizamabad,Nandipet,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Nizamabad,Nandipet,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Nizamabad,Nandipet,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Nizamabad,Nandipet,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Nizamabad,Nandipet,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Nizamabad,Nandipet,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Nizamabad,Nandipet,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Nizamabad,Nandipet,0.0,17.0,33.7,34.6,90.7,0.0,4.7
2022-03-02,Nizamabad,Nandipet,0.0,17.8,35.2,35.8,84.3,0.0,5.5
2022-03-03,Nizamabad,Nandipet,0.0,17.9,35.2,36.9,96.4,0.0,6.5
2022-03-04,Nizamabad,Nandipet,0.0,18.8,35.0,37.7,98.5,0.0,8.4
2022-03-05,Nizamabad,Nandipet,0.0,19.2,36.5,28.9,98.0,0.0,5.7
2022-03-06,Nizamabad,Nandipet,0.0,20.1,34.9,36.3,92.8,0.0,9.4
2022-03-07,Nizamabad,Nandipet,0.0,19.0,34.6,27.0,100.0,0.0,7.5
