Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Nizamabad,Navipet,0.0,17.0,31.1,49.3,97.9,0.0,5.3
2022-01-02,Nizamabad,Navipet,0.0,16.7,31.6,42.9,97.5,0.0,4.3
2022-01-03,Nizamabad,Navipet,0.0,15.1,33.6,34.2,97.9,0.0,5.2
2022-01-04,Nizamabad,Navipet,0.0,15.0,33.0,34.2,97.9,0.0,6.3
2022-01-05,Nizamabad,Navipet,0.0,15.5,32.9,33.5,97.9,0.0,5.7
2022-01-06,Nizamabad,Navipet,0.0,15.7,32.4,37.4,97.9,0.0,5.1
2022-01-07,Nizamabad,Navipet,0.0,15.4,32.9,26.3,98.2,0.0,8.4
2022-01-08,Nizamabad,Navipet,0.0,17.8,33.0,27.0,93.8,0.0,6.1
2022-01-09,Nizamabad,Navipet,0.0,19.0,32.5,49.2,94.5,0.0,8.3
2022-01-10,Nizamabad,Navipet,0.0,19.3,34.1,42.0,95.9,0.0,9.0
2022-01-11,Nizamabad,Navipet,0.0,19.8,30.9,65.1,97.8,0.0,7.8
2022-01-12,Nizamabad,Navipet,0.0,19.4,27.5,74.9,97.3,0.0,5.2
2022-01-13,Nizamabad,Navipet,0.0,17.7,27.6,72.6,96.1,0.0,8.3
2022-01-14,Nizamabad,Navipet,3.0,17.7,31.1,52.6,97.0,0.0,6.8
2022-01-15,Nizamabad,Navipet,0.0,18.8,32.3,37.7,97.8,0.0,6.1
2022-01-16,Nizamabad,Navipet,0.0,16.5,29.4,49.9,98.8,0.0,7.5
2022-01-17,Nizamabad,Navipet,0.0,17.2,30.7,49.9,98.4,0.0,5.2
2022-01-18,Nizamabad,Navipet,0.0,16.5,30.1,38.9,99.3,0.0,7.0
2022-01-19,Nizamabad,Navipet,0.0,15.7,32.1,35.7,98.8,0.0,3.0
2022-01-20,Nizamabad,Navipet,0.0,14.4,30.6,32.4,99.0,0.0,2.3
2022-01-21,Nizamabad,Navipet,0.0,16.4,32.2,25.8,99.3,0.0,2.0
2022-01-22,Nizamabad,Navipet,0.0,15.8,33.4,33.8,96.7,0.0,6.5
2022-01-23,Nizamabad,Navipet,0.0,17.0,35.1,29.2,91.9,0.0,3.3
2022-01-24,Nizamabad,Navipet,0.0,14.8,31.5,36.5,87.2,0.0,5.8
2022-01-25,Nizamabad,Navipet,0.0,13.2,27.1,35.1,85.9,0.0,4.7
2022-01-26,Nizamabad,Navipet,0.0,12.6,29.1,33.9,92.3,0.0,6.3
2022-01-27,Nizamabad,Navipet,0.0,14.5,28.1,32.1,80.3,0.0,6.0
2022-01-28,Nizamabad,Navipet,0.0,11.3,30.4,30.5,94.1,0.0,6.8
2022-01-29,Nizamabad,Navipet,0.0,9.8,28.6,27.1,95.4,0.0,6.9
2022-01-30,Nizamabad,Navipet,0.0,11.0,28.6,19.9,99.1,0.0,4.7
2022-01-31,Nizamabad,Navipet,0.0,11.5,31.5,21.7,99.0,0.0,2.1
2022-02-01,Nizamabad,Navipet,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Nizamabad,Navipet,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Nizamabad,Navipet,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Nizamabad,Navipet,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Nizamabad,Navipet,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Nizamabad,Navipet,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Nizamabad,Navipet,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Nizamabad,Navipet,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Nizamabad,Navipet,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Nizamabad,Navipet,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Nizamabad,Navipet,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Nizamabad,Navipet,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Nizamabad,Navipet,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Nizamabad,Navipet,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Nizamabad,Navipet,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Nizamabad,Navipet,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Nizamabad,Navipet,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Nizamabad,Navipet,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Nizamabad,Navipet,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Nizamabad,Navipet,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Nizamabad,Navipet,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Nizamabad,Navipet,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Nizamabad,Navipet,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Nizamabad,Navipet,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Nizamabad,Navipet,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Nizamabad,Navipet,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Nizamabad,Navipet,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Nizamabad,Navipet,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Nizamabad,Navipet,0.0,20.1,35.1,39.2,80.7,0.0,3.0
2022-03-02,Nizamabad,Navipet,0.0,18.8,34.0,39.7,79.2,0.0,3.0
2022-03-03,Nizamabad,Navipet,0.0,17.4,34.7,35.9,80.9,0.0,5.6
2022-03-04,Nizamabad,Navipet,0.0,19.9,36.2,36.4,84.1,0.0,4.8
2022-03-05,Nizamabad,Navipet,0.0,19.9,34.8,33.1,83.1,0.0,3.6
2022-03-06,Nizamabad,Navipet,0.0,20.2,34.1,38.8,82.4,0.0,0.7
2022-03-07,Nizamabad,Navipet,0.0,20.0,36.2,26.5,86.4,0.0,0.9
2022-03-08,Nizamabad,Navipet,0.0,18.3,35.3,27.6,90.6,0.0,5.1
2022-03-09,Nizamabad,Navipet,0.0,20.1,34.8,34.5,85.8,0.0,2.6
2022-03-10,Nizamabad,Navipet,0.0,21.2,36.0,28.6,75.6,0.0,1.0
2022-03-11,Nizamabad,Navipet,0.0,19.3,35.3,35.1,84.8,0.0,2.9
2022-03-12,Nizamabad,Navipet,0.0,20.5,35.1,38.2,82.1,0.0,3.6
2022-03-13,Nizamabad,Navipet,0.0,19.9,35.6,37.4,83.6,0.0,2.2
2022-03-14,Nizamabad,Navipet,0.0,19.3,36.7,34.6,88.8,0.0,2.1
2022-03-15,Nizamabad,Navipet,0.0,17.2,38.0,18.1,87.0,0.0,2.1
2022-03-16,Nizamabad,Navipet,0.0,20.0,39.5,16.0,75.1,0.0,3.3
2022-03-17,Nizamabad,Navipet,0.0,19.2,41.1,19.8,81.6,0.0,6.0
2022-03-18,Nizamabad,Navipet,0.0,20.1,41.5,16.3,78.0,0.0,5.5
2022-03-19,Nizamabad,Navipet,0.0,22.3,39.8,20.7,84.8,0.0,7.9
2022-03-20,Nizamabad,Navipet,0.0,23.6,37.7,32.9,81.4,0.0,7.4
2022-03-21,Nizamabad,Navipet,0.0,21.9,37.8,37.4,85.1,0.0,11.4
2022-03-22,Nizamabad,Navipet,0.0,22.7,39.5,25.6,79.5,0.0,8.0
2022-03-23,Nizamabad,Navipet,0.0,22.3,39.0,28.6,85.9,0.0,8.0
2022-03-24,Nizamabad,Navipet,0.0,22.7,40.9,21.8,91.5,0.0,7.1
2022-03-25,Nizamabad,Navipet,0.0,24.0,38.4,37.3,89.4,0.0,5.8
2022-03-26,Nizamabad,Navipet,0.0,24.2,38.7,32.1,84.9,0.0,8.8
2022-03-27,Nizamabad,Navipet,0.0,23.0,38.9,30.0,91.7,0.0,8.5
2022-03-28,Nizamabad,Navipet,0.0,22.2,40.7,23.6,81.2,0.0,6.7
2022-03-29,Nizamabad,Navipet,0.0,20.9,40.6,21.1,81.9,0.0,8.3
2022-03-30,Nizamabad,Navipet,0.0,21.6,41.4,16.6,71.7,0.0,8.2
2022-03-31,Nizamabad,Navipet,0.0,20.4,42.3,17.7,75.1,0.0,6.6
2022-04-01,Nizamabad,Navipet,0.0,20.6,41.5,17.9,74.1,0.0,8.7
2022-04-02,Nizamabad,Navipet,0.0,22.1,41.7,16.9,92.2,0.0,8.0
2022-04-03,Nizamabad,Navipet,0.0,23.4,40.1,28.5,94.8,0.0,8.4
2022-04-04,Nizamabad,Navipet,0.0,24.5,40.3,27.4,86.6,0.0,7.3
2022-04-05,Nizamabad,Navipet,0.0,24.2,39.9,24.9,87.5,0.0,7.6
2022-04-06,Nizamabad,Navipet,0.0,23.9,40.2,25.0,81.9,0.0,8.1
2022-04-07,Nizamabad,Navipet,0.0,23.9,41.4,26.3,79.6,0.0,7.6
2022-04-08,Nizamabad,Navipet,0.0,23.6,41.8,26.3,78.3,0.0,6.4
2022-04-09,Nizamabad,Navipet,0.0,23.6,39.1,29.7,80.3,0.0,7.4
2022-04-10,Nizamabad,Navipet,0.0,24.8,39.6,28.3,75.1,0.0,7.1
2022-04-11,Nizamabad,Navipet,0.0,25.6,40.5,27.5,72.4,0.0,8.3
2022-04-12,Nizamabad,Navipet,0.0,25.2,40.6,27.5,73.2,0.0,8.7
2022-04-13,Nizamabad,Navipet,0.0,24.1,41.1,23.4,77.1,0.0,7.8
2022-04-14,Nizamabad,Navipet,0.0,25.5,39.7,23.8,72.9,0.0,5.9
2022-04-15,Nizamabad,Navipet,0.0,24.6,40.6,23.0,72.0,0.0,5.3
2022-04-16,Nizamabad,Navipet,0.0,24.7,41.7,23.9,67.3,0.0,10.9
2022-04-17,Nizamabad,Navipet,0.0,24.8,41.3,19.2,68.1,0.0,8.3
2022-04-18,Nizamabad,Navipet,0.0,24.8,41.8,18.8,74.0,0.0,7.2
2022-04-19,Nizamabad,Navipet,0.0,25.8,41.6,19.1,63.7,0.0,6.5
2022-04-20,Nizamabad,Navipet,0.0,27.7,43.4,15.7,53.8,0.0,8.9
2022-04-21,Nizamabad,Navipet,0.0,24.9,43.1,18.0,67.8,0.0,9.0
2022-04-22,Nizamabad,Navipet,0.0,27.4,42.2,21.1,65.9,0.0,7.1
2022-04-23,Nizamabad,Navipet,0.0,25.8,36.2,38.9,75.6,0.0,7.3
2022-04-24,Nizamabad,Navipet,0.0,26.0,40.2,23.8,63.3,0.0,15.0
2022-04-25,Nizamabad,Navipet,0.0,23.9,38.5,29.3,72.5,0.0,13.0
2022-04-26,Nizamabad,Navipet,0.0,26.6,42.6,16.7,60.9,0.0,9.1
2022-04-27,Nizamabad,Navipet,0.0,25.0,42.3,16.1,61.7,0.0,11.3
2022-04-28,Nizamabad,Navipet,0.0,25.4,44.5,18.6,68.6,0.0,9.0
2022-04-29,Nizamabad,Navipet,0.0,25.8,43.9,15.6,58.0,0.0,10.4
2022-04-30,Nizamabad,Navipet,0.0,24.7,44.4,15.2,57.6,0.0,14.1
2022-05-01,Nizamabad,Navipet,0.0,26.7,45.1,15.2,41.8,0.0,7.6
2022-05-02,Nizamabad,Navipet,0.0,26.5,44.9,15.1,45.5,0.0,11.6
2022-05-03,Nizamabad,Navipet,0.0,27.5,43.9,19.3,48.7,0.0,11.6
2022-05-04,Nizamabad,Navipet,0.0,26.4,43.2,20.7,74.3,0.0,14.3
2022-05-05,Nizamabad,Navipet,8.5,22.4,41.2,24.2,87.4,0.0,8.3
2022-05-06,Nizamabad,Navipet,0.0,25.9,42.7,21.1,71.9,0.0,7.5
2022-05-07,Nizamabad,Navipet,0.0,27.5,43.0,17.4,58.5,0.0,12.1
2022-05-08,Nizamabad,Navipet,0.0,26.6,42.0,20.6,61.1,0.0,12.5
2022-05-09,Nizamabad,Navipet,0.0,26.5,41.3,25.3,68.1,0.0,10.2
2022-05-10,Nizamabad,Navipet,0.0,26.2,43.4,19.3,62.4,0.0,9.1
2022-05-11,Nizamabad,Navipet,0.0,29.0,42.2,18.4,69.3,2.3,14.6
2022-05-12,Nizamabad,Navipet,0.0,28.7,39.6,32.8,65.9,0.0,11.5
2022-05-13,Nizamabad,Navipet,0.0,26.2,40.7,29.4,80.5,0.0,14.1
2022-05-14,Nizamabad,Navipet,0.0,30.6,40.7,33.5,64.6,0.0,12.1
2022-05-15,Nizamabad,Navipet,0.0,28.9,44.2,22.9,60.8,0.0,10.4
2022-05-16,Nizamabad,Navipet,60.5,23.0,43.4,23.6,93.0,0.0,11.6
