Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Nizamabad,Rudrur,0.0,16.5,26.5,62.1,79.4,0.0,11.0
2022-01-02,Nizamabad,Rudrur,0.0,17.2,28.2,50.1,79.4,0.0,8.4
2022-01-03,Nizamabad,Rudrur,0.0,15.5,28.8,40.9,79.5,0.0,9.7
2022-01-04,Nizamabad,Rudrur,0.0,15.5,28.1,39.9,79.1,0.0,12.7
2022-01-05,Nizamabad,Rudrur,0.0,15.3,28.4,39.4,79.5,0.0,13.9
2022-01-06,Nizamabad,Rudrur,0.0,16.5,29.9,36.3,79.8,0.0,14.1
2022-01-07,Nizamabad,Rudrur,0.0,17.4,30.8,30.0,78.3,0.0,12.2
2022-01-08,Nizamabad,Rudrur,0.0,20.4,30.6,28.2,77.4,0.0,13.3
2022-01-09,Nizamabad,Rudrur,0.0,21.4,29.8,48.2,78.7,0.0,11.0
2022-01-10,Nizamabad,Rudrur,19.3,19.2,31.2,41.0,79.0,0.0,14.6
2022-01-11,Nizamabad,Rudrur,0.0,19.8,27.0,61.2,78.8,0.0,9.6
2022-01-12,Nizamabad,Rudrur,0.0,20.2,25.0,74.3,79.3,0.0,12.1
2022-01-13,Nizamabad,Rudrur,0.0,18.7,25.2,70.0,79.8,0.0,13.5
2022-01-14,Nizamabad,Rudrur,0.0,18.5,27.4,60.0,79.6,0.0,14.9
2022-01-15,Nizamabad,Rudrur,0.0,19.5,29.6,38.7,78.9,0.0,12.6
2022-01-16,Nizamabad,Rudrur,0.0,17.8,25.5,65.7,79.5,0.0,13.0
2022-01-17,Nizamabad,Rudrur,0.0,17.9,25.8,63.7,79.6,0.0,11.0
2022-01-18,Nizamabad,Rudrur,0.0,16.1,27.8,50.8,79.9,0.0,6.7
2022-01-19,Nizamabad,Rudrur,0.0,15.5,28.5,45.5,79.6,0.0,9.6
2022-01-20,Nizamabad,Rudrur,0.0,14.6,27.8,42.7,80.1,0.0,7.6
2022-01-21,Nizamabad,Rudrur,0.0,15.2,29.2,33.3,79.7,0.0,7.4
2022-01-22,Nizamabad,Rudrur,0.0,14.6,30.1,33.5,80.0,0.0,11.1
2022-01-23,Nizamabad,Rudrur,0.0,16.7,32.3,32.4,78.9,0.0,10.2
2022-01-24,Nizamabad,Rudrur,0.0,14.5,28.9,39.8,79.6,0.0,9.6
2022-01-25,Nizamabad,Rudrur,0.0,13.2,23.9,45.3,80.5,0.0,11.9
2022-01-26,Nizamabad,Rudrur,0.0,13.0,25.9,39.9,79.8,0.0,10.7
2022-01-27,Nizamabad,Rudrur,0.0,13.4,25.5,42.8,79.8,0.0,12.4
2022-01-28,Nizamabad,Rudrur,0.0,11.3,25.4,40.5,80.2,0.0,12.7
2022-01-29,Nizamabad,Rudrur,0.0,11.7,25.5,33.7,76.9,0.0,13.6
2022-01-30,Nizamabad,Rudrur,0.0,9.8,26.4,30.1,80.7,0.0,9.9
2022-01-31,Nizamabad,Rudrur,0.0,12.3,29.5,29.9,80.0,0.0,7.2
2022-02-01,Nizamabad,Rudrur,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Nizamabad,Rudrur,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Nizamabad,Rudrur,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Nizamabad,Rudrur,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Nizamabad,Rudrur,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Nizamabad,Rudrur,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Nizamabad,Rudrur,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Nizamabad,Rudrur,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Nizamabad,Rudrur,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Nizamabad,Rudrur,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Nizamabad,Rudrur,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Nizamabad,Rudrur,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Nizamabad,Rudrur,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Nizamabad,Rudrur,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Nizamabad,Rudrur,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Nizamabad,Rudrur,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Nizamabad,Rudrur,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Nizamabad,Rudrur,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Nizamabad,Rudrur,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Nizamabad,Rudrur,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Nizamabad,Rudrur,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Nizamabad,Rudrur,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Nizamabad,Rudrur,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Nizamabad,Rudrur,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Nizamabad,Rudrur,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Nizamabad,Rudrur,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Nizamabad,Rudrur,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Nizamabad,Rudrur,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Nizamabad,Rudrur,0.0,19.0,33.3,35.4,68.5,0.0,16.0
2022-03-02,Nizamabad,Rudrur,0.0,18.9,32.3,40.0,77.1,0.0,12.6
2022-03-03,Nizamabad,Rudrur,0.0,17.8,32.4,37.3,87.8,0.0,8.9
2022-03-04,Nizamabad,Rudrur,0.0,18.0,32.5,44.4,86.8,0.0,7.7
2022-03-05,Nizamabad,Rudrur,0.0,20.1,33.2,37.5,82.2,0.0,11.6
2022-03-06,Nizamabad,Rudrur,0.0,20.5,32.6,43.1,61.3,0.0,8.3
2022-03-07,Nizamabad,Rudrur,0.0,21.4,32.2,42.3,78.8,0.0,14.1
2022-03-08,Nizamabad,Rudrur,0.0,18.3,32.4,43.1,87.4,0.0,14.8
2022-03-09,Nizamabad,Rudrur,0.0,18.3,32.4,45.7,87.7,0.0,12.1
2022-03-10,Nizamabad,Rudrur,0.0,20.0,32.3,42.6,65.1,0.0,13.0
2022-03-11,Nizamabad,Rudrur,0.0,20.2,31.9,43.5,90.4,0.0,12.2
2022-03-12,Nizamabad,Rudrur,0.0,21.5,33.2,41.0,85.8,0.0,7.9
2022-03-13,Nizamabad,Rudrur,0.0,20.1,32.8,32.9,68.4,0.0,8.9
2022-03-14,Nizamabad,Rudrur,0.0,17.5,34.9,20.9,84.2,0.0,16.6
2022-03-15,Nizamabad,Rudrur,0.0,17.5,36.4,15.4,71.1,0.0,8.3
2022-03-16,Nizamabad,Rudrur,0.0,18.5,36.8,15.4,64.4,0.0,10.1
2022-03-17,Nizamabad,Rudrur,0.0,19.4,38.2,17.6,64.4,0.0,11.3
2022-03-18,Nizamabad,Rudrur,0.0,20.0,39.9,11.6,55.7,0.0,11.3
2022-03-19,Nizamabad,Rudrur,0.0,23.0,39.1,15.6,74.4,0.0,17.2
2022-03-20,Nizamabad,Rudrur,0.0,25.3,35.6,30.4,77.5,0.0,15.2
2022-03-21,Nizamabad,Rudrur,0.0,23.0,35.2,33.2,79.6,0.0,11.9
2022-03-22,Nizamabad,Rudrur,0.0,23.7,36.7,25.2,65.4,0.0,12.4
2022-03-23,Nizamabad,Rudrur,0.0,21.9,36.6,27.2,65.2,0.0,13.3
2022-03-24,Nizamabad,Rudrur,0.0,23.4,37.4,22.9,77.3,0.0,14.2
2022-03-25,Nizamabad,Rudrur,0.0,23.5,37.7,30.0,70.7,0.0,14.5
2022-03-26,Nizamabad,Rudrur,0.0,26.4,38.7,25.2,67.3,0.0,15.7
2022-03-27,Nizamabad,Rudrur,0.0,22.3,37.9,25.9,71.5,0.0,11.8
2022-03-28,Nizamabad,Rudrur,0.0,21.2,37.9,23.6,72.9,0.0,10.5
2022-03-29,Nizamabad,Rudrur,0.0,20.6,39.2,17.6,80.1,0.0,10.5
2022-03-30,Nizamabad,Rudrur,0.0,20.9,40.0,13.7,57.6,0.0,7.8
2022-03-31,Nizamabad,Rudrur,0.0,20.1,42.4,12.3,67.5,0.0,10.1
2022-04-01,Nizamabad,Rudrur,0.0,20.7,40.2,11.0,85.4,0.0,8.7
2022-04-02,Nizamabad,Rudrur,0.0,21.6,39.5,11.0,91.3,0.0,11.1
2022-04-03,Nizamabad,Rudrur,0.0,22.4,37.9,23.8,87.5,0.0,11.0
2022-04-04,Nizamabad,Rudrur,0.0,24.6,38.1,26.5,81.5,0.0,9.9
2022-04-05,Nizamabad,Rudrur,0.0,25.1,39.2,19.0,77.5,0.0,9.2
2022-04-06,Nizamabad,Rudrur,0.0,24.6,40.1,22.5,77.1,3.4,14.1
2022-04-07,Nizamabad,Rudrur,0.0,25.5,39.9,20.6,65.9,0.0,10.3
2022-04-08,Nizamabad,Rudrur,0.0,24.9,40.4,21.3,68.5,0.0,11.3
2022-04-09,Nizamabad,Rudrur,0.0,24.4,38.8,24.5,69.8,1.8,13.4
2022-04-10,Nizamabad,Rudrur,0.0,25.0,39.4,26.1,58.3,0.0,9.6
2022-04-11,Nizamabad,Rudrur,0.0,26.0,40.5,24.0,66.8,0.0,11.5
2022-04-12,Nizamabad,Rudrur,0.0,25.8,40.7,21.8,69.4,0.0,11.3
2022-04-13,Nizamabad,Rudrur,0.0,26.0,39.7,22.7,54.9,0.0,11.9
2022-04-14,Nizamabad,Rudrur,0.0,27.1,41.0,21.1,66.3,0.0,7.9
2022-04-15,Nizamabad,Rudrur,0.0,26.1,40.6,22.7,55.6,0.0,11.8
2022-04-16,Nizamabad,Rudrur,0.0,24.6,40.6,19.2,50.1,0.0,13.9
2022-04-17,Nizamabad,Rudrur,0.0,25.1,39.7,15.0,66.5,0.0,11.3
2022-04-18,Nizamabad,Rudrur,0.0,26.3,41.0,14.2,54.4,0.0,8.4
2022-04-19,Nizamabad,Rudrur,0.0,25.2,40.0,16.4,64.6,0.0,14.3
2022-04-20,Nizamabad,Rudrur,0.0,25.0,41.0,14.3,62.1,0.0,13.9
2022-04-21,Nizamabad,Rudrur,0.0,26.1,41.7,13.7,57.6,0.0,19.0
2022-04-22,Nizamabad,Rudrur,0.0,25.9,42.3,18.7,49.7,0.0,10.8
2022-04-23,Nizamabad,Rudrur,0.0,25.9,35.9,28.4,64.6,0.0,14.8
2022-04-24,Nizamabad,Rudrur,0.0,25.5,38.3,24.9,50.6,0.0,11.3
2022-04-25,Nizamabad,Rudrur,0.0,22.8,36.4,29.0,60.5,0.0,10.0
2022-04-26,Nizamabad,Rudrur,0.0,27.1,40.4,14.3,44.5,0.0,13.4
2022-04-27,Nizamabad,Rudrur,0.0,25.0,40.1,15.7,54.0,0.0,9.6
2022-04-28,Nizamabad,Rudrur,0.0,26.2,40.4,16.9,59.6,0.0,12.9
2022-04-29,Nizamabad,Rudrur,0.0,25.7,42.5,18.7,52.5,0.0,19.6
2022-04-30,Nizamabad,Rudrur,0.0,24.5,41.9,12.3,56.4,0.0,17.1
2022-05-01,Nizamabad,Rudrur,0.0,27.0,43.1,12.4,42.1,0.0,9.7
2022-05-02,Nizamabad,Rudrur,0.0,25.0,41.9,13.0,38.8,0.0,13.2
2022-05-03,Nizamabad,Rudrur,0.0,27.0,40.9,24.5,32.9,0.0,15.2
2022-05-04,Nizamabad,Rudrur,0.0,26.0,40.9,18.5,61.5,0.0,15.7
2022-05-05,Nizamabad,Rudrur,0.0,23.6,38.2,30.0,51.3,0.0,14.6
2022-05-06,Nizamabad,Rudrur,0.0,27.3,42.2,19.4,64.5,0.0,14.7
2022-05-07,Nizamabad,Rudrur,0.0,28.2,40.6,17.1,56.5,0.0,14.5
2022-05-08,Nizamabad,Rudrur,0.0,25.5,40.1,23.7,56.0,3.1,12.7
2022-05-09,Nizamabad,Rudrur,0.0,25.8,39.1,27.2,67.4,0.0,8.4
2022-05-10,Nizamabad,Rudrur,0.0,24.7,42.4,23.7,62.2,0.0,15.0
2022-05-11,Nizamabad,Rudrur,0.0,27.4,39.8,23.4,62.8,0.0,27.5
2022-05-12,Nizamabad,Rudrur,0.0,28.5,36.4,42.9,70.4,0.0,14.9
2022-05-13,Nizamabad,Rudrur,28.0,21.6,38.4,38.8,91.6,0.0,29.4
2022-05-14,Nizamabad,Rudrur,0.0,29.4,37.3,46.4,78.7,0.0,10.1
2022-05-15,Nizamabad,Rudrur,0.0,28.2,40.6,33.0,64.9,0.0,17.1
2022-05-16,Nizamabad,Rudrur,4.3,23.5,41.9,34.7,92.5,0.0,16.8
2022-05-17,Nizamabad,Rudrur,0.0,25.4,33.5,48.4,81.3,0.0,9.6
2022-05-18,Nizamabad,Rudrur,0.0,27.0,37.5,38.6,68.2,0.0,11.7
2022-05-19,Nizamabad,Rudrur,0.0,29.6,36.2,33.8,73.3,0.0,15.7
2022-05-20,Nizamabad,Rudrur,0.0,29.5,35.9,48.0,83.3,0.0,14.9
2022-05-21,Nizamabad,Rudrur,0.0,28.1,37.7,40.7,81.3,0.0,14.6
2022-05-22,Nizamabad,Rudrur,0.0,25.5,38.0,32.9,70.9,0.0,18.9
2022-05-23,Nizamabad,Rudrur,0.0,27.5,37.7,31.2,62.4,0.0,19.9
2022-05-24,Nizamabad,Rudrur,0.0,28.2,38.1,32.8,62.2,0.0,20.4
2022-05-25,Nizamabad,Rudrur,0.0,28.4,39.9,33.6,62.6,0.0,19.0
2022-05-26,Nizamabad,Rudrur,0.0,26.1,37.6,39.6,65.5,0.0,12.4
