Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Nizamabad,Vailpur,0.0,16.5,27.0,65.6,99.8,0.0,1.4
2022-01-02,Nizamabad,Vailpur,0.0,16.9,28.7,59.6,98.9,0.0,1.6
2022-01-03,Nizamabad,Vailpur,0.0,16.1,28.9,47.7,97.6,0.0,0.8
2022-01-04,Nizamabad,Vailpur,0.0,15.9,28.5,51.0,98.9,0.0,0.5
2022-01-05,Nizamabad,Vailpur,0.0,15.8,28.6,40.7,97.5,0.0,2.0
2022-01-06,Nizamabad,Vailpur,0.0,16.2,29.4,50.2,98.5,0.0,0.3
2022-01-07,Nizamabad,Vailpur,0.0,17.2,28.9,41.1,96.1,0.0,1.4
2022-01-08,Nizamabad,Vailpur,0.0,18.5,28.7,43.7,91.9,0.0,2.2
2022-01-09,Nizamabad,Vailpur,0.0,20.4,28.1,65.0,93.3,0.0,3.4
2022-01-10,Nizamabad,Vailpur,9.6,19.2,29.6,57.7,99.4,0.0,1.8
2022-01-11,Nizamabad,Vailpur,0.4,19.0,27.2,72.6,100.0,0.0,1.0
2022-01-12,Nizamabad,Vailpur,0.4,18.6,24.6,85.3,100.0,0.0,2.0
2022-01-13,Nizamabad,Vailpur,0.0,17.2,24.1,83.8,100.0,0.0,1.9
2022-01-14,Nizamabad,Vailpur,0.4,19.0,26.9,71.8,100.0,0.0,1.6
2022-01-15,Nizamabad,Vailpur,0.0,18.8,29.9,53.7,100.0,0.0,3.2
2022-01-16,Nizamabad,Vailpur,0.0,16.0,25.3,76.1,100.0,0.0,1.8
2022-01-17,Nizamabad,Vailpur,0.0,16.4,26.4,72.2,100.0,0.0,1.3
2022-01-18,Nizamabad,Vailpur,0.0,16.4,27.5,60.7,100.0,0.0,0.3
2022-01-19,Nizamabad,Vailpur,0.0,16.6,28.4,56.4,100.0,0.0,0.4
2022-01-20,Nizamabad,Vailpur,0.0,15.4,27.8,52.9,100.0,0.0,3.6
2022-01-21,Nizamabad,Vailpur,0.0,16.0,30.3,39.7,95.3,0.0,3.5
2022-01-22,Nizamabad,Vailpur,0.0,15.3,28.9,48.1,97.9,0.0,7.4
2022-01-23,Nizamabad,Vailpur,0.0,17.3,31.2,41.9,97.3,0.0,3.9
2022-01-24,Nizamabad,Vailpur,0.0,15.0,27.8,53.8,91.4,0.0,7.7
2022-01-25,Nizamabad,Vailpur,0.0,14.4,24.9,50.7,94.0,0.0,5.7
2022-01-26,Nizamabad,Vailpur,0.0,13.7,25.9,47.6,89.5,0.0,1.7
2022-01-27,Nizamabad,Vailpur,0.0,13.2,26.4,46.9,92.4,0.0,0.8
2022-01-28,Nizamabad,Vailpur,0.0,11.8,26.8,42.8,96.6,0.0,1.3
2022-01-29,Nizamabad,Vailpur,0.0,10.6,25.8,37.4,93.7,0.0,1.7
2022-01-30,Nizamabad,Vailpur,0.0,11.1,26.2,29.8,96.9,0.0,0.7
2022-01-31,Nizamabad,Vailpur,0.0,12.2,29.3,32.3,96.8,0.0,0.9
2022-02-01,Nizamabad,Vailpur,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Nizamabad,Vailpur,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Nizamabad,Vailpur,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Nizamabad,Vailpur,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Nizamabad,Vailpur,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Nizamabad,Vailpur,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Nizamabad,Vailpur,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Nizamabad,Vailpur,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Nizamabad,Vailpur,0.0,15.4,36.5,23.7,100.0,0.0,67.4
