Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Warangal,Chennaraopeta,0.0,16.5,29.7,63.0,95.6,0.0,0.9
2022-01-02,Warangal,Chennaraopeta,0.0,17.3,29.6,60.8,96.2,0.0,1.3
2022-01-03,Warangal,Chennaraopeta,0.0,14.7,29.4,51.5,95.5,0.0,0.8
2022-01-04,Warangal,Chennaraopeta,0.0,15.7,29.4,55.0,95.1,0.0,2.0
2022-01-05,Warangal,Chennaraopeta,0.0,16.0,28.6,61.5,96.1,0.0,0.9
2022-01-06,Warangal,Chennaraopeta,0.0,15.4,28.7,60.1,96.1,0.0,1.4
2022-01-07,Warangal,Chennaraopeta,0.0,15.7,28.8,56.9,95.2,0.0,1.7
2022-01-08,Warangal,Chennaraopeta,0.0,18.1,28.4,61.3,95.3,0.0,2.1
2022-01-09,Warangal,Chennaraopeta,0.0,18.8,28.9,63.6,94.9,0.0,2.1
2022-01-10,Warangal,Chennaraopeta,0.0,19.2,28.4,67.5,95.3,0.0,1.8
2022-01-11,Warangal,Chennaraopeta,32.7,19.5,28.3,66.8,100.0,0.1,2.1
2022-01-12,Warangal,Chennaraopeta,90.8,18.1,27.4,75.3,100.0,0.0,3.1
2022-01-13,Warangal,Chennaraopeta,50.2,19.6,24.9,85.4,100.0,0.0,0.6
2022-01-14,Warangal,Chennaraopeta,20.1,19.5,24.1,87.1,100.0,0.0,1.1
2022-01-15,Warangal,Chennaraopeta,0.0,19.2,26.7,82.5,100.0,0.0,1.4
2022-01-16,Warangal,Chennaraopeta,0.0,19.2,28.4,72.2,96.9,0.0,0.8
2022-01-17,Warangal,Chennaraopeta,0.0,18.4,26.2,81.5,98.9,0.0,0.6
2022-01-18,Warangal,Chennaraopeta,0.0,16.6,28.6,71.4,98.4,0.0,0.6
2022-01-19,Warangal,Chennaraopeta,0.0,15.8,28.6,61.2,97.5,0.0,0.9
2022-01-20,Warangal,Chennaraopeta,0.0,15.1,28.6,58.7,96.6,0.0,0.8
2022-01-21,Warangal,Chennaraopeta,0.0,16.9,29.7,52.3,96.6,0.0,0.7
2022-01-22,Warangal,Chennaraopeta,0.0,15.8,30.0,53.8,95.6,0.0,1.4
2022-01-23,Warangal,Chennaraopeta,0.0,19.5,29.3,59.6,96.5,0.0,1.3
2022-01-24,Warangal,Chennaraopeta,0.0,17.2,29.7,55.1,95.8,0.0,1.4
2022-01-25,Warangal,Chennaraopeta,0.0,15.8,27.9,51.8,87.4,0.0,1.5
2022-01-26,Warangal,Chennaraopeta,0.0,16.0,28.1,49.8,90.0,0.0,1.3
2022-01-27,Warangal,Chennaraopeta,0.0,15.5,28.9,52.2,86.0,0.0,0.9
2022-01-28,Warangal,Chennaraopeta,0.0,11.0,27.9,46.4,90.3,0.0,1.3
2022-01-29,Warangal,Chennaraopeta,0.0,10.2,27.7,36.6,89.6,0.0,1.1
2022-01-30,Warangal,Chennaraopeta,0.0,11.4,28.6,36.9,91.7,0.0,0.8
2022-01-31,Warangal,Chennaraopeta,0.0,11.0,29.9,34.9,90.8,0.0,1.0
2022-02-01,Warangal,Chennaraopeta,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Warangal,Chennaraopeta,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Warangal,Chennaraopeta,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Warangal,Chennaraopeta,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Warangal,Chennaraopeta,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Warangal,Chennaraopeta,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Warangal,Chennaraopeta,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Warangal,Chennaraopeta,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Warangal,Chennaraopeta,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Warangal,Chennaraopeta,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Warangal,Chennaraopeta,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Warangal,Chennaraopeta,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Warangal,Chennaraopeta,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Warangal,Chennaraopeta,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Warangal,Chennaraopeta,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Warangal,Chennaraopeta,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Warangal,Chennaraopeta,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Warangal,Chennaraopeta,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Warangal,Chennaraopeta,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Warangal,Chennaraopeta,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Warangal,Chennaraopeta,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Warangal,Chennaraopeta,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Warangal,Chennaraopeta,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Warangal,Chennaraopeta,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Warangal,Chennaraopeta,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Warangal,Chennaraopeta,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Warangal,Chennaraopeta,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Warangal,Chennaraopeta,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Warangal,Chennaraopeta,0.0,15.8,32.9,36.6,91.4,0.0,1.5
2022-03-02,Warangal,Chennaraopeta,0.0,18.2,33.2,36.9,89.5,0.0,1.0
2022-03-03,Warangal,Chennaraopeta,0.0,18.8,32.8,39.0,89.6,0.0,1.3
2022-03-04,Warangal,Chennaraopeta,0.0,19.2,33.0,45.4,91.3,0.0,1.3
2022-03-05,Warangal,Chennaraopeta,0.0,18.6,33.6,37.2,88.0,0.0,1.2
2022-03-06,Warangal,Chennaraopeta,0.0,19.2,32.9,43.5,87.5,0.0,0.9
2022-03-07,Warangal,Chennaraopeta,0.0,19.5,32.7,48.7,92.5,0.0,1.2
2022-03-08,Warangal,Chennaraopeta,0.0,19.6,32.9,44.0,91.2,0.0,1.3
2022-03-09,Warangal,Chennaraopeta,0.0,20.1,33.9,43.2,90.4,0.0,1.1
2022-03-10,Warangal,Chennaraopeta,0.0,20.1,33.7,44.8,90.3,0.0,1.0
2022-03-11,Warangal,Chennaraopeta,0.0,20.8,32.8,49.0,89.2,0.0,1.2
2022-03-12,Warangal,Chennaraopeta,0.0,20.5,34.0,41.0,86.8,0.0,0.9
2022-03-13,Warangal,Chennaraopeta,0.0,19.6,33.8,41.4,89.4,0.0,1.1
2022-03-14,Warangal,Chennaraopeta,0.0,17.1,35.6,32.9,91.4,0.0,0.9
2022-03-15,Warangal,Chennaraopeta,0.0,17.1,35.7,26.5,89.2,0.0,1.0
2022-03-16,Warangal,Chennaraopeta,0.0,19.4,36.4,28.7,83.6,0.0,0.8
2022-03-17,Warangal,Chennaraopeta,0.0,20.8,37.5,31.0,83.6,0.0,1.1
2022-03-18,Warangal,Chennaraopeta,0.0,22.4,38.3,26.0,91.0,0.0,1.9
2022-03-19,Warangal,Chennaraopeta,0.0,23.5,33.2,48.5,91.2,0.0,2.0
2022-03-20,Warangal,Chennaraopeta,0.0,24.0,33.5,48.9,92.4,0.0,1.7
2022-03-21,Warangal,Chennaraopeta,0.0,25.5,34.2,55.2,93.7,0.0,1.1
2022-03-22,Warangal,Chennaraopeta,0.0,22.7,35.3,51.6,91.1,0.0,1.1
2022-03-23,Warangal,Chennaraopeta,0.0,24.2,35.9,52.4,92.5,0.0,2.1
2022-03-24,Warangal,Chennaraopeta,0.0,23.6,36.4,51.4,90.6,0.0,1.4
2022-03-25,Warangal,Chennaraopeta,0.0,24.2,33.8,63.6,93.5,0.1,1.8
2022-03-26,Warangal,Chennaraopeta,0.0,24.0,33.4,60.4,93.9,0.0,1.8
2022-03-27,Warangal,Chennaraopeta,0.0,24.3,33.3,63.1,93.1,0.1,2.0
2022-03-28,Warangal,Chennaraopeta,0.0,24.2,35.3,55.9,92.8,0.0,1.2
2022-03-29,Warangal,Chennaraopeta,0.0,24.5,36.4,51.5,93.3,0.1,1.4
2022-03-30,Warangal,Chennaraopeta,0.0,24.9,36.5,49.7,93.9,0.0,0.9
2022-03-31,Warangal,Chennaraopeta,0.0,25.2,37.1,43.2,93.2,0.0,1.5
2022-04-01,Warangal,Chennaraopeta,0.0,25.4,34.4,58.4,92.2,0.0,1.8
2022-04-02,Warangal,Chennaraopeta,0.0,25.7,33.1,66.1,91.2,0.0,1.7
2022-04-03,Warangal,Chennaraopeta,0.0,24.2,32.9,65.8,92.8,0.0,1.5
2022-04-04,Warangal,Chennaraopeta,0.0,24.2,33.5,62.1,92.2,0.0,1.6
2022-04-05,Warangal,Chennaraopeta,0.0,24.9,34.0,54.7,91.4,0.2,2.0
2022-04-06,Warangal,Chennaraopeta,0.0,24.6,33.7,58.3,91.2,0.0,1.9
2022-04-07,Warangal,Chennaraopeta,0.0,23.2,34.6,44.7,91.0,0.0,1.3
2022-04-08,Warangal,Chennaraopeta,0.0,24.2,34.4,48.4,92.2,0.2,1.6
2022-04-09,Warangal,Chennaraopeta,0.0,24.5,33.9,55.1,90.5,0.0,1.5
2022-04-10,Warangal,Chennaraopeta,0.0,24.9,33.8,60.8,92.8,0.0,1.5
2022-04-11,Warangal,Chennaraopeta,0.0,24.1,35.6,49.5,92.1,0.0,1.5
2022-04-12,Warangal,Chennaraopeta,0.0,25.1,34.4,49.9,89.9,0.0,1.5
2022-04-13,Warangal,Chennaraopeta,0.0,25.1,34.6,51.8,91.8,0.0,2.1
2022-04-14,Warangal,Chennaraopeta,0.0,25.7,35.2,50.8,92.1,0.0,1.9
2022-04-15,Warangal,Chennaraopeta,0.0,25.5,36.5,48.5,91.1,0.0,1.3
2022-04-16,Warangal,Chennaraopeta,0.0,27.1,36.2,45.7,88.6,0.0,1.4
2022-04-17,Warangal,Chennaraopeta,0.0,26.7,36.6,48.9,85.7,0.2,1.2
2022-04-18,Warangal,Chennaraopeta,0.0,26.3,37.6,47.6,90.1,0.1,1.5
2022-04-19,Warangal,Chennaraopeta,0.0,25.5,38.0,42.2,88.2,0.0,1.9
2022-04-20,Warangal,Chennaraopeta,0.0,25.1,39.8,42.3,87.0,0.0,1.4
2022-04-21,Warangal,Chennaraopeta,0.0,26.0,39.8,38.3,90.4,0.0,1.7
2022-04-22,Warangal,Chennaraopeta,0.0,26.0,35.4,52.2,87.6,0.2,1.7
2022-04-23,Warangal,Chennaraopeta,0.0,25.7,35.4,47.4,89.5,0.1,2.8
2022-04-24,Warangal,Chennaraopeta,0.0,24.8,37.0,40.1,86.0,0.0,1.2
2022-04-25,Warangal,Chennaraopeta,0.0,25.5,38.7,37.1,84.1,0.0,1.4
2022-04-26,Warangal,Chennaraopeta,0.0,24.4,40.2,37.7,82.1,0.0,1.6
2022-04-27,Warangal,Chennaraopeta,0.0,26.1,39.4,39.4,88.6,0.0,0.9
2022-04-28,Warangal,Chennaraopeta,0.0,25.8,38.9,37.3,83.6,0.0,1.3
2022-04-29,Warangal,Chennaraopeta,0.0,23.9,38.2,41.0,76.5,0.0,1.6
2022-04-30,Warangal,Chennaraopeta,0.0,27.0,41.3,28.4,81.7,0.0,1.8
2022-05-01,Warangal,Chennaraopeta,0.0,27.1,41.8,27.7,88.0,0.0,1.7
2022-05-02,Warangal,Chennaraopeta,0.0,27.5,41.2,32.8,89.2,0.1,2.8
2022-05-03,Warangal,Chennaraopeta,0.0,28.1,40.0,36.8,87.9,0.0,2.2
2022-05-04,Warangal,Chennaraopeta,1.5,23.4,37.3,53.2,87.8,0.0,2.3
2022-05-05,Warangal,Chennaraopeta,0.4,24.7,33.9,50.3,90.5,0.0,1.9
2022-05-06,Warangal,Chennaraopeta,0.0,26.7,40.0,36.2,84.8,0.0,2.2
2022-05-07,Warangal,Chennaraopeta,0.0,23.7,39.7,37.0,81.0,0.0,2.1
2022-05-08,Warangal,Chennaraopeta,5.2,25.8,40.1,34.3,87.4,0.0,2.1
2022-05-09,Warangal,Chennaraopeta,0.0,25.2,39.0,46.1,84.1,0.2,1.7
2022-05-10,Warangal,Chennaraopeta,0.0,27.1,39.9,36.4,82.8,0.0,1.3
2022-05-11,Warangal,Chennaraopeta,0.0,26.4,38.8,38.1,88.3,0.0,1.2
2022-05-12,Warangal,Chennaraopeta,0.3,27.2,32.9,66.5,85.4,0.0,1.3
2022-05-13,Warangal,Chennaraopeta,0.0,25.4,36.0,58.1,86.7,0.0,1.7
2022-05-14,Warangal,Chennaraopeta,0.0,27.4,37.5,47.6,86.1,0.1,1.7
2022-05-15,Warangal,Chennaraopeta,0.0,28.0,40.2,38.9,85.6,0.4,1.9
2022-05-16,Warangal,Chennaraopeta,0.0,28.4,39.4,44.7,84.1,0.1,2.2
2022-05-17,Warangal,Chennaraopeta,0.8,27.5,38.3,40.9,85.5,0.0,1.9
2022-05-18,Warangal,Chennaraopeta,0.0,27.7,37.4,48.9,85.2,0.0,2.0
2022-05-19,Warangal,Chennaraopeta,0.0,27.4,37.9,44.7,84.3,0.0,1.3
2022-05-20,Warangal,Chennaraopeta,0.0,26.9,37.1,49.3,86.4,0.0,2.3
2022-05-21,Warangal,Chennaraopeta,0.0,27.2,37.8,44.9,79.5,0.0,2.0
2022-05-22,Warangal,Chennaraopeta,0.0,28.5,37.7,44.3,66.4,0.1,2.2
2022-05-23,Warangal,Chennaraopeta,0.0,30.1,39.6,25.9,58.8,0.0,2.4
2022-05-24,Warangal,Chennaraopeta,0.0,30.0,39.7,32.9,60.0,0.0,2.3
2022-05-25,Warangal,Chennaraopeta,0.0,27.8,40.0,34.7,73.1,0.0,2.2
2022-05-26,Warangal,Chennaraopeta,0.0,27.1,37.5,44.2,71.7,0.0,1.8
2022-05-27,Warangal,Chennaraopeta,5.3,25.5,41.3,30.1,87.0,0.0,1.3
2022-05-28,Warangal,Chennaraopeta,0.0,24.5,39.2,32.8,81.4,0.0,2.1
2022-05-29,Warangal,Chennaraopeta,0.0,26.6,40.9,27.1,63.3,0.0,1.7
2022-05-30,Warangal,Chennaraopeta,0.0,27.3,40.6,31.6,67.4,0.0,2.2
2022-05-31,Warangal,Chennaraopeta,0.0,30.8,41.1,31.0,60.1,0.0,1.6
2022-06-01,Warangal,Chennaraopeta,0.0,28.0,40.5,33.5,67.9,0.0,2.2
2022-06-02,Warangal,Chennaraopeta,0.0,28.3,39.4,35.3,68.4,0.0,1.2
2022-06-03,Warangal,Chennaraopeta,0.0,30.1,43.2,24.9,56.9,0.0,1.4
2022-06-04,Warangal,Chennaraopeta,0.0,29.9,41.7,27.1,71.8,0.0,2.0
2022-06-05,Warangal,Chennaraopeta,0.0,30.5,43.0,23.8,76.4,0.0,1.7
2022-06-06,Warangal,Chennaraopeta,0.0,29.3,41.7,35.0,72.4,0.0,2.2
2022-06-07,Warangal,Chennaraopeta,0.0,27.3,35.4,46.7,79.6,0.1,2.0
2022-06-08,Warangal,Chennaraopeta,0.0,30.4,40.9,29.4,67.6,0.0,1.2
2022-06-09,Warangal,Chennaraopeta,0.0,30.1,38.7,35.8,55.1,0.0,1.9
2022-06-10,Warangal,Chennaraopeta,0.0,30.0,40.6,33.6,51.4,0.3,1.6
