Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Warangal,Duggondi,0.0,17.9,29.0,60.0,100.0,0.0,7.6
2022-01-02,Warangal,Duggondi,0.0,18.1,31.0,46.7,100.0,0.0,5.5
2022-01-03,Warangal,Duggondi,0.0,15.7,31.4,42.5,100.0,0.0,4.6
2022-01-04,Warangal,Duggondi,0.0,16.3,30.2,46.8,100.0,0.0,7.2
2022-01-05,Warangal,Duggondi,0.0,18.0,30.7,45.5,100.0,0.0,3.2
2022-01-06,Warangal,Duggondi,0.0,15.0,30.3,52.7,100.0,0.0,3.6
2022-01-07,Warangal,Duggondi,0.0,16.6,31.8,40.6,100.0,0.0,4.2
2022-01-08,Warangal,Duggondi,0.0,17.7,30.1,49.1,100.0,0.0,8.0
2022-01-09,Warangal,Duggondi,0.0,19.6,30.9,51.0,99.7,0.0,5.3
2022-01-10,Warangal,Duggondi,0.0,19.2,29.7,66.7,100.0,0.0,5.6
2022-01-11,Warangal,Duggondi,9.9,19.0,29.7,55.5,100.0,0.0,8.6
2022-01-12,Warangal,Duggondi,70.6,19.5,28.9,77.7,100.0,0.0,14.5
2022-01-13,Warangal,Duggondi,14.1,20.0,27.1,94.3,100.0,0.0,4.3
2022-01-14,Warangal,Duggondi,5.6,19.6,26.4,81.6,100.0,0.0,6.3
2022-01-15,Warangal,Duggondi,0.0,19.8,29.9,84.2,100.0,0.0,5.0
2022-01-16,Warangal,Duggondi,0.0,18.6,28.9,86.3,100.0,0.0,8.6
2022-01-17,Warangal,Duggondi,0.0,19.1,26.8,91.1,100.0,0.0,6.7
2022-01-18,Warangal,Duggondi,0.0,18.2,29.1,67.6,100.0,0.0,5.0
2022-01-19,Warangal,Duggondi,0.0,17.1,30.4,52.3,100.0,0.0,5.7
2022-01-20,Warangal,Duggondi,0.0,16.5,29.8,56.1,100.0,0.0,8.3
2022-01-21,Warangal,Duggondi,0.0,17.7,32.0,41.8,100.0,0.0,7.8
2022-01-22,Warangal,Duggondi,0.0,17.6,31.2,49.0,100.0,0.0,9.9
2022-01-23,Warangal,Duggondi,0.0,20.3,31.9,48.3,99.8,0.0,7.6
2022-01-24,Warangal,Duggondi,0.0,18.3,30.4,49.4,100.0,0.0,15.1
2022-01-25,Warangal,Duggondi,0.0,16.6,26.6,45.5,81.1,0.0,7.8
2022-01-26,Warangal,Duggondi,0.0,16.9,28.5,39.5,86.9,0.0,10.8
2022-01-27,Warangal,Duggondi,0.0,16.4,29.3,42.0,82.1,0.0,8.2
2022-01-28,Warangal,Duggondi,0.0,12.7,26.8,40.2,85.7,0.0,9.5
2022-01-29,Warangal,Duggondi,0.0,9.2,29.5,27.8,93.0,0.0,4.7
2022-01-30,Warangal,Duggondi,0.0,9.6,31.3,26.5,100.0,0.0,9.1
2022-01-31,Warangal,Duggondi,0.0,11.2,32.4,25.4,98.7,0.0,13.8
2022-02-01,Warangal,Duggondi,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Warangal,Duggondi,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Warangal,Duggondi,0.0,11.1,36.6,12.2,100.0,0.0,65.1
