Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Warangal,Khilla_Warangal,0.0,18.4,29.1,55.4,98.6,0.0,4.6
2022-01-02,Warangal,Khilla_Warangal,0.0,17.7,28.4,58.9,100.0,0.0,5.1
2022-01-03,Warangal,Khilla_Warangal,0.0,15.4,29.2,45.7,100.0,0.0,2.6
2022-01-04,Warangal,Khilla_Warangal,0.0,15.8,29.1,49.1,100.0,0.0,2.5
2022-01-05,Warangal,Khilla_Warangal,0.0,17.5,28.8,51.9,100.0,0.0,3.0
2022-01-06,Warangal,Khilla_Warangal,0.0,17.2,29.0,52.9,100.0,0.0,6.0
2022-01-07,Warangal,Khilla_Warangal,0.0,17.4,30.0,43.4,100.0,0.0,6.8
2022-01-08,Warangal,Khilla_Warangal,0.0,18.6,28.2,53.9,100.0,0.0,7.9
2022-01-09,Warangal,Khilla_Warangal,0.0,19.4,28.9,57.9,100.0,0.0,6.2
2022-01-10,Warangal,Khilla_Warangal,0.0,19.5,28.6,65.5,100.0,0.0,7.2
2022-01-11,Warangal,Khilla_Warangal,17.5,19.8,28.6,62.9,100.0,0.0,7.1
2022-01-12,Warangal,Khilla_Warangal,65.3,19.3,28.8,68.8,100.0,0.0,7.5
2022-01-13,Warangal,Khilla_Warangal,6.0,20.1,24.9,96.6,100.0,0.0,3.8
2022-01-14,Warangal,Khilla_Warangal,0.0,20.0,25.7,94.0,100.0,0.0,6.5
2022-01-15,Warangal,Khilla_Warangal,5.8,18.9,29.4,83.1,100.0,0.0,7.1
2022-01-16,Warangal,Khilla_Warangal,0.0,18.9,28.2,89.0,100.0,0.0,5.3
2022-01-17,Warangal,Khilla_Warangal,0.8,18.5,23.3,96.3,100.0,0.0,3.2
2022-01-18,Warangal,Khilla_Warangal,0.0,17.1,27.5,71.1,100.0,0.0,3.8
2022-01-19,Warangal,Khilla_Warangal,0.0,16.4,28.9,47.4,100.0,0.0,6.9
2022-01-20,Warangal,Khilla_Warangal,0.0,15.7,28.3,51.9,100.0,0.0,4.2
2022-01-21,Warangal,Khilla_Warangal,0.0,17.5,30.7,35.7,100.0,0.0,4.2
2022-01-22,Warangal,Khilla_Warangal,0.0,17.0,29.7,46.7,100.0,0.0,6.1
2022-01-23,Warangal,Khilla_Warangal,0.0,19.6,30.5,47.2,100.0,0.0,6.7
2022-01-24,Warangal,Khilla_Warangal,0.0,18.4,30.2,46.7,99.4,0.0,6.3
2022-01-25,Warangal,Khilla_Warangal,0.0,17.5,26.1,45.3,74.1,0.0,7.9
2022-01-26,Warangal,Khilla_Warangal,0.0,17.7,27.2,46.3,74.1,0.0,5.7
2022-01-27,Warangal,Khilla_Warangal,0.0,17.1,28.1,46.3,71.7,0.0,6.7
2022-01-28,Warangal,Khilla_Warangal,0.0,12.0,26.5,41.3,100.0,0.0,8.1
2022-01-29,Warangal,Khilla_Warangal,0.0,12.4,25.7,28.6,77.1,0.0,5.4
2022-01-30,Warangal,Khilla_Warangal,0.0,11.8,27.8,31.6,100.0,0.0,2.9
2022-01-31,Warangal,Khilla_Warangal,0.0,12.6,29.6,26.2,100.0,0.0,0.9
2022-02-01,Warangal,Khilla_Warangal,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Warangal,Khilla_Warangal,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Warangal,Khilla_Warangal,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Warangal,Khilla_Warangal,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Warangal,Khilla_Warangal,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Warangal,Khilla_Warangal,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Warangal,Khilla_Warangal,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Warangal,Khilla_Warangal,0.0,12.7,36.3,18.8,100.0,0.0,65.1
