Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2022-01-01,Warangal,Warangal,0.0,17.0,29.2,43.4,100.0,0.0,4.9
2022-01-02,Warangal,Warangal,0.0,17.8,30.5,41.5,100.0,0.0,6.8
2022-01-03,Warangal,Warangal,0.0,15.3,30.6,34.2,100.0,0.0,2.6
2022-01-04,Warangal,Warangal,0.0,15.8,30.4,36.4,100.0,0.0,2.5
2022-01-05,Warangal,Warangal,0.0,17.6,29.7,38.1,100.0,0.0,3.0
2022-01-06,Warangal,Warangal,0.0,17.1,30.1,40.9,92.1,0.0,6.0
2022-01-07,Warangal,Warangal,0.0,17.6,29.7,35.3,99.2,0.0,6.8
2022-01-08,Warangal,Warangal,0.0,19.0,28.5,43.4,97.2,0.0,7.9
2022-01-09,Warangal,Warangal,0.0,19.4,29.1,48.2,96.7,0.0,6.2
2022-01-10,Warangal,Warangal,0.0,19.6,28.1,52.6,96.9,0.0,7.2
2022-01-11,Warangal,Warangal,15.1,19.4,28.0,53.1,100.0,0.0,7.7
2022-01-12,Warangal,Warangal,54.5,19.2,28.6,55.1,100.0,0.0,7.5
2022-01-13,Warangal,Warangal,2.4,20.0,26.7,89.4,100.0,0.0,3.8
2022-01-14,Warangal,Warangal,0.0,20.0,26.2,80.1,100.0,0.0,6.5
2022-01-15,Warangal,Warangal,2.0,18.6,29.4,72.7,100.0,0.0,7.7
2022-01-16,Warangal,Warangal,0.0,18.5,27.1,70.1,100.0,0.0,5.6
2022-01-17,Warangal,Warangal,0.5,18.7,23.8,92.5,100.0,0.0,3.8
2022-01-18,Warangal,Warangal,0.0,17.5,28.6,55.1,100.0,0.0,5.2
2022-01-19,Warangal,Warangal,0.0,16.5,29.3,37.8,100.0,0.0,7.1
2022-01-20,Warangal,Warangal,0.0,16.3,28.1,43.9,100.0,0.0,4.6
2022-01-21,Warangal,Warangal,0.0,17.8,31.2,27.5,100.0,0.0,4.2
2022-01-22,Warangal,Warangal,0.0,17.4,30.5,36.4,100.0,0.0,6.1
2022-01-23,Warangal,Warangal,0.0,20.1,31.3,36.4,100.0,0.0,6.8
2022-01-24,Warangal,Warangal,0.0,17.5,30.4,40.6,91.3,0.0,6.8
2022-01-25,Warangal,Warangal,0.0,16.4,25.9,37.5,86.0,0.0,7.9
2022-01-26,Warangal,Warangal,0.0,16.2,27.4,35.0,80.5,0.0,6.1
2022-01-27,Warangal,Warangal,0.0,15.7,28.2,36.7,78.7,0.0,7.4
2022-01-28,Warangal,Warangal,0.0,10.8,26.5,33.2,100.0,0.0,10.2
2022-01-29,Warangal,Warangal,0.0,9.7,26.0,23.0,100.0,0.0,5.4
2022-01-30,Warangal,Warangal,0.0,11.6,27.0,23.9,100.0,0.0,2.9
2022-01-31,Warangal,Warangal,0.0,12.8,29.2,17.9,88.9,0.0,4.9
2022-02-01,Warangal,Warangal,0.0,8.7,36.8,6.8,100.0,0.0,65.1
2022-02-02,Warangal,Warangal,0.0,8.6,36.5,8.1,100.0,0.0,65.1
2022-02-03,Warangal,Warangal,0.0,11.1,36.6,12.2,100.0,0.0,65.1
2022-02-04,Warangal,Warangal,0.0,11.3,36.1,19.8,100.0,0.0,65.1
2022-02-05,Warangal,Warangal,0.0,6.0,34.5,8.4,100.0,0.0,65.1
2022-02-06,Warangal,Warangal,0.0,6.7,35.8,9.7,100.0,0.0,65.1
2022-02-07,Warangal,Warangal,0.0,9.7,36.9,7.8,100.0,0.0,65.1
2022-02-08,Warangal,Warangal,0.0,12.7,36.3,18.8,100.0,0.0,65.1
2022-02-09,Warangal,Warangal,0.0,15.4,36.5,23.7,100.0,0.0,67.4
2022-02-10,Warangal,Warangal,0.0,14.2,34.6,24.5,100.0,0.0,65.1
2022-02-11,Warangal,Warangal,0.0,11.7,34.7,21.9,100.0,0.0,65.1
2022-02-12,Warangal,Warangal,0.0,8.0,36.5,21.6,100.0,0.0,65.1
2022-02-13,Warangal,Warangal,0.0,7.3,36.2,13.6,100.0,0.0,57.5
2022-02-14,Warangal,Warangal,0.0,8.8,36.4,9.2,100.0,0.0,65.1
2022-02-15,Warangal,Warangal,0.0,11.7,36.3,12.5,100.0,0.0,65.1
2022-02-16,Warangal,Warangal,0.0,14.3,35.1,18.1,100.0,0.0,65.1
2022-02-17,Warangal,Warangal,0.0,13.5,36.4,18.2,100.0,0.0,65.1
2022-02-18,Warangal,Warangal,0.0,15.5,36.1,15.2,100.0,0.0,65.1
2022-02-19,Warangal,Warangal,0.0,12.5,36.5,20.9,100.0,0.0,65.1
2022-02-20,Warangal,Warangal,0.0,13.6,37.2,9.1,100.0,0.0,63.6
2022-02-21,Warangal,Warangal,0.0,10.0,37.2,15.5,100.0,0.0,65.1
2022-02-22,Warangal,Warangal,0.0,10.2,39.2,7.2,100.0,0.0,65.1
2022-02-23,Warangal,Warangal,0.0,11.5,38.7,6.9,100.0,0.0,65.1
2022-02-24,Warangal,Warangal,0.0,13.2,37.4,13.2,100.0,0.0,65.1
2022-02-25,Warangal,Warangal,0.0,12.2,38.2,7.0,100.0,0.0,65.1
2022-02-26,Warangal,Warangal,0.0,11.4,38.3,5.2,100.0,0.0,65.1
2022-02-27,Warangal,Warangal,0.0,11.9,38.0,7.2,100.0,0.0,65.1
2022-02-28,Warangal,Warangal,0.0,12.3,38.7,10.4,100.0,0.0,65.1
2022-03-01,Warangal,Warangal,0.0,18.2,33.1,17.0,93.5,0.0,9.6
2022-03-02,Warangal,Warangal,0.0,19.8,34.9,12.5,91.0,0.0,5.2
2022-03-03,Warangal,Warangal,0.0,20.2,34.3,17.2,81.9,0.0,6.2
2022-03-04,Warangal,Warangal,0.0,20.7,33.6,30.5,83.0,0.0,7.2
2022-03-05,Warangal,Warangal,0.0,20.9,34.9,19.7,76.4,0.0,6.9
2022-03-06,Warangal,Warangal,0.0,21.0,32.7,22.4,81.3,0.0,6.3
2022-03-07,Warangal,Warangal,0.0,20.7,34.4,28.7,92.9,0.0,4.8
2022-03-08,Warangal,Warangal,0.0,20.9,34.4,24.6,80.0,0.0,5.8
2022-03-09,Warangal,Warangal,0.0,20.7,34.7,26.7,79.6,0.0,5.4
2022-03-10,Warangal,Warangal,0.0,21.4,34.8,22.6,80.9,0.0,5.8
2022-03-11,Warangal,Warangal,0.0,22.2,33.8,28.0,76.9,0.0,5.6
2022-03-12,Warangal,Warangal,0.0,21.5,35.2,24.0,78.7,0.0,6.9
2022-03-13,Warangal,Warangal,0.0,21.0,33.3,25.8,78.3,0.0,7.2
2022-03-14,Warangal,Warangal,0.0,19.0,34.9,19.9,82.9,0.0,7.2
2022-03-15,Warangal,Warangal,0.0,18.4,34.9,9.3,78.2,0.0,6.0
2022-03-16,Warangal,Warangal,0.0,20.3,36.0,13.4,71.9,0.0,5.2
2022-03-17,Warangal,Warangal,0.0,21.8,36.8,17.4,76.2,0.0,5.0
2022-03-18,Warangal,Warangal,0.0,22.6,38.1,12.7,90.5,0.0,7.1
2022-03-19,Warangal,Warangal,0.0,23.1,33.8,38.8,89.0,0.0,8.8
2022-03-20,Warangal,Warangal,0.0,24.4,33.6,31.8,90.4,0.0,7.3
2022-03-21,Warangal,Warangal,0.0,25.4,36.3,34.4,91.8,0.0,5.9
2022-03-22,Warangal,Warangal,0.0,24.9,34.9,35.4,85.2,0.0,5.2
2022-03-23,Warangal,Warangal,0.0,24.9,36.3,35.7,93.7,0.0,6.9
2022-03-24,Warangal,Warangal,0.0,24.6,36.7,34.8,90.8,0.5,6.0
2022-03-25,Warangal,Warangal,0.0,24.1,33.6,46.2,93.7,0.2,8.1
2022-03-26,Warangal,Warangal,0.0,24.1,33.9,39.3,94.2,0.0,8.9
2022-03-27,Warangal,Warangal,0.0,24.0,34.1,44.5,97.8,0.0,7.7
