Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Adilabad,Adilabad Rural,0.0,7.1,26.4,19.0,73.7,0.0,14.1
2019-01-02,Adilabad,Adilabad Rural,0.0,9.1,28.9,16.6,73.4,0.0,7.8
2019-01-03,Adilabad,Adilabad Rural,0.0,13.0,31.6,21.1,70.2,0.0,7.7
2019-01-04,Adilabad,Adilabad Rural,0.0,9.9,31.2,24.1,82.4,0.0,6.9
2019-01-05,Adilabad,Adilabad Rural,0.0,12.7,31.2,27.0,76.8,0.0,5.8
2019-01-06,Adilabad,Adilabad Rural,0.0,15.0,31.8,27.7,74.9,0.0,10.3
2019-01-07,Adilabad,Adilabad Rural,0.0,15.3,30.9,31.7,81.9,0.0,12.1
2019-01-08,Adilabad,Adilabad Rural,0.0,7.6,28.6,38.9,83.5,0.0,10.2
2019-01-09,Adilabad,Adilabad Rural,0.0,8.2,26.0,27.3,78.8,0.0,8.0
2019-01-10,Adilabad,Adilabad Rural,0.0,8.9,28.6,21.2,77.2,0.0,8.2
2019-01-11,Adilabad,Adilabad Rural,0.0,12.1,28.7,26.4,67.9,0.0,1.5
2019-01-12,Adilabad,Adilabad Rural,0.0,20.1,30.9,27.5,74.3,0.0,11.2
2019-01-13,Adilabad,Adilabad Rural,0.0,20.3,31.6,32.7,74.8,0.0,14.5
2019-01-14,Adilabad,Adilabad Rural,0.0,15.4,32.3,34.0,82.0,0.0,8.7
2019-01-15,Adilabad,Adilabad Rural,0.0,12.0,29.3,45.7,81.7,0.0,8.7
2019-01-16,Adilabad,Adilabad Rural,0.0,11.0,27.7,35.1,81.8,0.0,8.1
2019-01-17,Adilabad,Adilabad Rural,0.0,11.4,29.9,30.4,75.7,0.0,9.2
2019-01-18,Adilabad,Adilabad Rural,0.0,11.4,32.3,20.6,77.3,0.0,6.1
2019-01-19,Adilabad,Adilabad Rural,0.0,10.4,30.3,26.7,82.4,0.0,2.8
2019-01-20,Adilabad,Adilabad Rural,0.0,11.4,30.9,22.3,71.7,0.0,5.9
2019-01-21,Adilabad,Adilabad Rural,0.0,12.3,32.2,22.4,64.7,0.0,7.8
2019-01-22,Adilabad,Adilabad Rural,0.0,20.7,34.6,20.5,63.8,0.0,16.9
2019-01-23,Adilabad,Adilabad Rural,0.0,19.7,32.0,22.6,74.4,0.0,16.4
2019-01-24,Adilabad,Adilabad Rural,0.0,16.1,32.3,27.7,80.2,0.0,12.9
2019-01-25,Adilabad,Adilabad Rural,0.0,18.6,32.3,31.8,74.3,0.0,14.2
2019-01-26,Adilabad,Adilabad Rural,0.0,17.6,29.7,47.9,81.0,0.0,10.5
2019-01-27,Adilabad,Adilabad Rural,0.0,16.5,20.2,71.8,82.6,0.0,10.0
2019-01-28,Adilabad,Adilabad Rural,0.0,11.7,22.4,64.4,82.1,0.0,11.0
2019-01-29,Adilabad,Adilabad Rural,0.0,7.0,24.7,38.3,79.6,0.0,8.5
2019-01-30,Adilabad,Adilabad Rural,0.0,6.0,24.5,23.7,76.8,0.0,9.9
2019-01-31,Adilabad,Adilabad Rural,0.0,7.2,26.3,21.5,69.9,0.0,0.3
2019-02-01,Adilabad,Adilabad Rural,0.0,13.3,32.2,21.7,75.5,0.0,15.2
2019-02-02,Adilabad,Adilabad Rural,0.0,14.7,31.6,30.5,80.0,0.0,12.7
2019-02-03,Adilabad,Adilabad Rural,0.0,16.3,31.9,26.4,71.0,0.0,9.8
2019-02-04,Adilabad,Adilabad Rural,0.0,16.2,32.2,23.1,61.1,0.0,15.5
2019-02-05,Adilabad,Adilabad Rural,0.0,13.9,31.9,24.7,71.2,0.0,9.6
2019-02-06,Adilabad,Adilabad Rural,0.0,17.8,32.3,22.4,67.1,0.0,11.2
2019-02-07,Adilabad,Adilabad Rural,0.0,21.6,33.9,26.4,69.2,0.0,14.6
2019-02-08,Adilabad,Adilabad Rural,0.0,16.2,33.2,30.8,58.0,0.0,17.8
2019-02-09,Adilabad,Adilabad Rural,0.0,9.4,32.2,25.5,62.4,0.2,2.7
2019-02-10,Adilabad,Adilabad Rural,0.0,6.6,27.4,21.5,70.0,0.0,3.0
2019-02-11,Adilabad,Adilabad Rural,0.0,12.4,28.8,20.2,56.4,0.0,6.2
2019-02-12,Adilabad,Adilabad Rural,0.0,16.7,33.1,27.3,79.6,0.0,7.1
2019-02-13,Adilabad,Adilabad Rural,0.0,15.5,33.5,35.9,80.2,0.0,11.7
2019-02-14,Adilabad,Adilabad Rural,0.0,18.3,36.2,20.3,60.5,0.0,11.6
2019-02-15,Adilabad,Adilabad Rural,0.0,24.5,36.6,22.1,57.1,0.0,13.9
2019-02-16,Adilabad,Adilabad Rural,0.8,17.8,35.8,27.6,81.2,0.0,22.0
2019-02-17,Adilabad,Adilabad Rural,0.0,15.7,33.6,30.5,81.7,0.0,7.1
2019-02-18,Adilabad,Adilabad Rural,0.0,13.7,32.3,30.2,71.1,0.0,13.5
2019-02-19,Adilabad,Adilabad Rural,0.0,20.3,34.2,20.0,63.2,0.0,7.8
2019-02-20,Adilabad,Adilabad Rural,0.0,25.0,37.3,22.7,68.2,0.0,13.1
2019-02-21,Adilabad,Adilabad Rural,0.0,24.3,35.8,26.6,67.6,0.0,14.9
2019-02-22,Adilabad,Adilabad Rural,0.0,25.8,37.6,24.6,52.3,0.0,15.0
2019-02-23,Adilabad,Adilabad Rural,0.0,20.9,37.6,21.1,61.4,0.0,12.2
2019-02-24,Adilabad,Adilabad Rural,0.0,21.2,37.9,22.3,59.5,0.0,11.5
2019-02-25,Adilabad,Adilabad Rural,0.0,19.3,38.3,20.5,60.9,0.0,19.2
2019-02-26,Adilabad,Adilabad Rural,0.0,16.6,35.9,14.9,44.6,0.0,11.9
2019-02-27,Adilabad,Adilabad Rural,0.0,17.9,35.8,15.9,41.7,0.0,15.1
2019-02-28,Adilabad,Adilabad Rural,0.0,15.9,34.0,18.0,52.5,0.0,16.4
2019-03-01,Adilabad,Adilabad Rural,0.0,14.9,32.8,22.5,58.3,0.0,10.1
2019-03-02,Adilabad,Adilabad Rural,0.0,19.7,34.0,21.7,51.8,0.0,10.8
2019-03-03,Adilabad,Adilabad Rural,0.0,24.1,36.0,34.3,73.4,0.0,20.2
2019-03-04,Adilabad,Adilabad Rural,0.0,22.9,37.9,23.1,74.8,0.0,16.2
2019-03-05,Adilabad,Adilabad Rural,0.0,21.3,37.7,20.1,58.9,0.0,10.8
2019-03-06,Adilabad,Adilabad Rural,0.0,15.2,34.8,16.3,52.6,0.0,15.3
2019-03-07,Adilabad,Adilabad Rural,0.0,15.0,34.2,17.7,59.7,0.0,11.9
2019-03-08,Adilabad,Adilabad Rural,0.0,15.1,34.7,18.2,58.3,0.0,14.5
2019-03-09,Adilabad,Adilabad Rural,0.0,18.9,37.1,12.1,59.6,0.0,10.6
2019-03-10,Adilabad,Adilabad Rural,0.0,20.4,37.9,15.0,57.6,0.0,10.3
2019-03-11,Adilabad,Adilabad Rural,0.0,24.3,38.5,15.8,57.1,0.0,10.8
2019-03-12,Adilabad,Adilabad Rural,0.0,24.5,38.9,23.2,60.6,0.0,8.7
2019-03-13,Adilabad,Adilabad Rural,0.0,28.1,38.6,18.9,43.2,0.0,13.7
2019-03-14,Adilabad,Adilabad Rural,0.0,22.9,38.6,21.5,47.3,0.0,23.9
2019-03-15,Adilabad,Adilabad Rural,0.0,22.0,37.2,18.5,40.3,0.0,12.3
2019-03-16,Adilabad,Adilabad Rural,0.0,21.1,38.6,16.0,55.9,0.0,11.4
2019-03-17,Adilabad,Adilabad Rural,0.0,24.5,39.0,15.5,61.3,0.0,19.1
2019-03-18,Adilabad,Adilabad Rural,0.0,23.9,38.1,19.2,54.5,0.0,19.7
2019-03-19,Adilabad,Adilabad Rural,0.0,24.1,37.7,20.6,57.0,3.6,16.1
2019-03-20,Adilabad,Adilabad Rural,0.0,26.7,38.4,18.8,62.0,0.0,14.6
2019-03-21,Adilabad,Adilabad Rural,0.0,24.3,37.8,29.0,69.0,0.0,23.3
2019-03-22,Adilabad,Adilabad Rural,6.8,23.3,38.0,33.7,75.2,0.0,13.9
2019-03-23,Adilabad,Adilabad Rural,0.0,23.0,37.8,26.8,75.0,0.0,13.0
2019-03-24,Adilabad,Adilabad Rural,0.0,20.6,38.1,23.5,60.2,0.0,6.8
2019-03-25,Adilabad,Adilabad Rural,0.0,22.2,38.4,19.5,43.9,0.0,12.1
2019-03-26,Adilabad,Adilabad Rural,0.0,26.4,40.0,16.6,49.5,0.0,10.2
2019-03-27,Adilabad,Adilabad Rural,0.0,23.1,40.1,13.9,62.2,0.0,8.3
2019-03-28,Adilabad,Adilabad Rural,0.0,22.4,40.2,16.0,51.5,0.0,12.8
2019-03-29,Adilabad,Adilabad Rural,0.0,21.3,39.9,15.5,39.2,0.0,8.2
2019-03-30,Adilabad,Adilabad Rural,0.0,25.3,41.6,10.2,40.5,0.0,9.6
2019-03-31,Adilabad,Adilabad Rural,0.0,27.2,41.7,11.5,43.5,0.0,3.5
2019-04-01,Adilabad,Adilabad Rural,0.0,24.3,42.1,12.8,33.8,0.0,3.7
2019-04-02,Adilabad,Adilabad Rural,0.0,25.5,41.8,10.4,47.1,0.0,7.7
2019-04-03,Adilabad,Adilabad Rural,0.0,28.3,42.1,14.0,36.3,0.0,15.5
2019-04-04,Adilabad,Adilabad Rural,0.0,27.6,41.5,17.9,52.1,0.0,17.4
2019-04-05,Adilabad,Adilabad Rural,0.0,26.5,41.0,18.5,41.8,0.0,19.4
2019-04-06,Adilabad,Adilabad Rural,0.0,29.3,40.2,16.1,33.1,0.0,17.5
2019-04-07,Adilabad,Adilabad Rural,0.0,25.1,42.2,13.2,26.4,0.0,17.0
2019-04-08,Adilabad,Adilabad Rural,0.0,25.5,38.7,13.9,42.3,0.0,15.4
2019-04-09,Adilabad,Adilabad Rural,0.0,25.9,40.1,13.6,57.8,0.0,15.4
2019-04-10,Adilabad,Adilabad Rural,0.0,25.8,40.4,12.3,60.8,0.0,15.2
2019-04-11,Adilabad,Adilabad Rural,0.0,29.2,43.3,10.0,54.9,0.0,14.4
2019-04-12,Adilabad,Adilabad Rural,0.0,29.9,43.7,11.2,40.3,0.0,14.5
2019-04-13,Adilabad,Adilabad Rural,0.0,28.6,42.4,16.1,38.9,0.0,16.4
2019-04-14,Adilabad,Adilabad Rural,0.0,27.8,42.2,12.6,35.9,0.0,13.1
2019-04-15,Adilabad,Adilabad Rural,0.0,30.3,43.3,12.8,33.4,0.0,12.4
2019-04-16,Adilabad,Adilabad Rural,2.3,23.8,41.0,17.2,68.4,0.0,11.1
2019-04-17,Adilabad,Adilabad Rural,0.0,24.6,39.8,20.9,57.5,0.0,14.5
2019-04-18,Adilabad,Adilabad Rural,0.0,24.8,37.9,25.5,49.8,0.0,13.9
2019-04-19,Adilabad,Adilabad Rural,0.0,26.0,39.4,21.0,54.8,0.0,16.0
2019-04-20,Adilabad,Adilabad Rural,0.0,27.2,40.8,15.3,53.8,0.0,14.8
2019-04-21,Adilabad,Adilabad Rural,0.0,27.6,39.5,23.3,55.9,0.0,15.2
2019-04-22,Adilabad,Adilabad Rural,0.0,28.8,40.8,15.2,55.4,0.0,23.9
2019-04-23,Adilabad,Adilabad Rural,0.0,25.6,39.3,21.9,45.5,0.0,24.8
2019-04-24,Adilabad,Adilabad Rural,0.0,26.3,38.8,17.1,47.6,0.0,9.3
2019-04-25,Adilabad,Adilabad Rural,0.0,29.0,41.4,10.1,25.5,0.0,2.2
2019-04-26,Adilabad,Adilabad Rural,0.0,28.8,42.9,10.6,35.3,0.0,2.0
2019-04-27,Adilabad,Adilabad Rural,0.0,31.3,42.6,13.3,31.5,0.1,1.5
2019-04-28,Adilabad,Adilabad Rural,0.0,31.0,42.4,13.3,38.2,0.0,2.3
2019-04-29,Adilabad,Adilabad Rural,0.0,30.5,42.4,13.3,31.7,0.0,3.1
2019-04-30,Adilabad,Adilabad Rural,0.0,29.8,42.4,14.7,38.5,0.2,2.5
2019-05-01,Adilabad,Adilabad Rural,0.0,28.5,42.6,7.6,37.6,0.0,1.6
2019-05-02,Adilabad,Adilabad Rural,0.0,29.4,41.2,7.9,22.0,0.0,2.8
