Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Adilabad,Bazarhathnoor,0.0,4.6,26.4,31.0,78.7,0.0,0.1
2019-01-02,Adilabad,Bazarhathnoor,0.0,6.3,28.1,27.9,79.2,0.0,0.1
2019-01-03,Adilabad,Bazarhathnoor,0.0,8.4,31.3,24.0,80.3,0.0,9.0
2019-01-04,Adilabad,Bazarhathnoor,0.0,9.0,31.3,29.3,81.9,0.0,11.7
2019-01-05,Adilabad,Bazarhathnoor,0.0,8.6,30.9,35.7,84.7,0.0,7.4
2019-01-06,Adilabad,Bazarhathnoor,0.0,10.3,30.3,35.6,84.4,0.0,15.7
2019-01-07,Adilabad,Bazarhathnoor,0.0,11.4,29.2,44.7,87.4,0.0,23.6
2019-01-08,Adilabad,Bazarhathnoor,0.0,9.1,28.0,46.9,81.4,0.0,2.9
2019-01-09,Adilabad,Bazarhathnoor,0.0,6.0,26.0,37.7,84.2,0.0,7.4
2019-01-10,Adilabad,Bazarhathnoor,0.0,7.0,28.1,34.2,82.0,0.0,9.7
2019-01-11,Adilabad,Bazarhathnoor,0.0,9.1,28.9,34.5,81.5,0.0,14.9
2019-01-12,Adilabad,Bazarhathnoor,0.0,11.7,29.6,38.1,86.7,0.0,28.4
2019-01-13,Adilabad,Bazarhathnoor,0.0,14.3,29.6,43.8,88.3,0.0,0.1
2019-01-14,Adilabad,Bazarhathnoor,0.0,13.0,30.1,46.9,88.3,0.0,15.3
2019-01-15,Adilabad,Bazarhathnoor,0.0,15.1,28.7,52.3,82.3,0.0,10.0
2019-01-16,Adilabad,Bazarhathnoor,0.0,9.6,27.3,46.6,85.6,0.0,9.0
2019-01-17,Adilabad,Bazarhathnoor,0.0,9.4,29.6,40.8,83.3,0.0,14.3
2019-01-18,Adilabad,Bazarhathnoor,0.0,10.3,32.2,30.7,80.2,0.0,14.2
2019-01-19,Adilabad,Bazarhathnoor,0.0,10.0,29.5,38.2,81.0,0.0,8.4
2019-01-20,Adilabad,Bazarhathnoor,0.0,9.6,30.6,34.1,80.4,0.0,13.7
2019-01-21,Adilabad,Bazarhathnoor,0.0,8.0,31.4,28.7,82.6,0.0,0.1
2019-01-22,Adilabad,Bazarhathnoor,0.0,13.5,30.8,31.4,86.3,0.0,26.5
2019-01-23,Adilabad,Bazarhathnoor,0.0,13.8,29.0,38.6,86.7,0.0,0.1
2019-01-24,Adilabad,Bazarhathnoor,0.0,14.2,29.6,43.8,85.5,0.0,0.1
2019-01-25,Adilabad,Bazarhathnoor,0.0,17.7,30.2,47.8,86.0,0.0,0.2
2019-01-26,Adilabad,Bazarhathnoor,0.0,17.5,27.8,60.5,87.2,0.0,0.2
2019-01-27,Adilabad,Bazarhathnoor,0.0,16.5,19.8,80.4,86.9,0.0,0.1
2019-01-28,Adilabad,Bazarhathnoor,0.0,13.6,22.1,69.2,87.6,0.0,0.3
2019-01-29,Adilabad,Bazarhathnoor,0.0,10.3,24.4,48.4,82.3,0.0,12.6
2019-01-30,Adilabad,Bazarhathnoor,0.0,4.4,23.5,35.2,80.0,0.0,15.3
2019-01-31,Adilabad,Bazarhathnoor,0.0,6.2,26.3,27.8,76.6,0.0,16.0
2019-02-01,Adilabad,Bazarhathnoor,0.0,10.5,28.5,34.0,83.7,0.0,24.5
2019-02-02,Adilabad,Bazarhathnoor,0.0,12.4,29.4,44.6,84.8,0.0,0.1
2019-02-03,Adilabad,Bazarhathnoor,0.0,11.6,29.0,43.3,84.3,0.0,18.5
2019-02-04,Adilabad,Bazarhathnoor,0.0,14.5,29.6,40.6,75.4,0.0,30.9
2019-02-05,Adilabad,Bazarhathnoor,0.0,13.1,31.6,35.3,75.0,0.0,19.0
2019-02-06,Adilabad,Bazarhathnoor,0.0,13.5,32.2,34.8,79.8,0.0,0.1
2019-02-07,Adilabad,Bazarhathnoor,0.0,19.4,31.7,41.1,79.8,0.0,23.8
2019-02-08,Adilabad,Bazarhathnoor,0.0,15.8,30.8,47.1,70.0,0.0,0.1
2019-02-09,Adilabad,Bazarhathnoor,0.0,12.1,30.6,35.5,56.3,0.0,0.9
2019-02-10,Adilabad,Bazarhathnoor,0.0,8.4,26.6,28.0,69.3,0.0,14.4
2019-02-11,Adilabad,Bazarhathnoor,0.0,10.7,28.4,30.6,72.9,0.0,15.8
2019-02-12,Adilabad,Bazarhathnoor,0.0,15.2,31.5,43.7,82.0,0.0,25.1
2019-02-13,Adilabad,Bazarhathnoor,0.0,14.2,31.8,45.6,86.0,0.0,0.1
2019-02-14,Adilabad,Bazarhathnoor,0.0,12.8,32.9,36.3,80.9,0.0,36.1
2019-02-15,Adilabad,Bazarhathnoor,0.0,17.5,34.5,32.1,77.8,0.0,0.1
2019-02-16,Adilabad,Bazarhathnoor,0.0,16.0,32.1,45.2,84.9,0.0,43.3
2019-02-17,Adilabad,Bazarhathnoor,0.0,15.1,32.0,33.7,74.9,0.0,17.9
2019-02-18,Adilabad,Bazarhathnoor,0.0,12.7,31.1,39.6,77.8,0.0,16.2
2019-02-19,Adilabad,Bazarhathnoor,0.0,13.9,33.8,26.0,75.2,0.0,15.4
2019-02-20,Adilabad,Bazarhathnoor,0.0,19.2,35.5,33.8,84.2,0.0,27.2
2019-02-21,Adilabad,Bazarhathnoor,0.0,19.7,34.3,44.9,83.9,0.0,0.1
2019-02-22,Adilabad,Bazarhathnoor,0.0,19.6,34.8,36.1,74.1,0.0,20.4
2019-02-23,Adilabad,Bazarhathnoor,0.0,19.5,36.8,34.5,69.7,0.0,27.1
2019-02-24,Adilabad,Bazarhathnoor,0.0,18.7,37.9,31.7,70.2,0.0,12.3
2019-02-25,Adilabad,Bazarhathnoor,0.0,16.4,36.4,30.5,69.0,0.0,42.1
2019-02-26,Adilabad,Bazarhathnoor,0.0,15.1,34.7,26.0,66.5,0.0,27.6
2019-02-27,Adilabad,Bazarhathnoor,0.0,14.0,33.9,27.0,61.9,0.0,0.1
2019-02-28,Adilabad,Bazarhathnoor,0.0,14.6,33.1,29.5,64.5,0.0,0.1
2019-03-01,Adilabad,Bazarhathnoor,0.0,17.6,31.7,31.5,57.0,0.0,16.4
2019-03-02,Adilabad,Bazarhathnoor,0.0,19.4,33.2,33.7,65.0,0.0,23.7
