Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Adilabad,Jainad,0.0,6.2,27.6,17.2,88.0,0.0,8.3
2019-01-02,Adilabad,Jainad,0.0,7.4,29.6,17.2,88.7,0.0,2.4
2019-01-03,Adilabad,Jainad,0.0,10.4,32.1,18.4,82.6,0.0,1.5
2019-01-04,Adilabad,Jainad,0.0,10.2,31.6,20.8,91.5,0.0,5.9
2019-01-05,Adilabad,Jainad,0.0,11.2,31.6,18.9,90.9,0.0,2.2
2019-01-06,Adilabad,Jainad,0.0,13.3,31.3,24.7,86.2,0.0,8.6
2019-01-07,Adilabad,Jainad,0.0,14.7,30.1,32.7,91.3,0.0,7.3
2019-01-08,Adilabad,Jainad,0.0,9.7,28.7,37.0,93.4,0.0,1.5
2019-01-09,Adilabad,Jainad,0.0,7.7,26.5,28.0,92.5,0.0,2.1
2019-01-10,Adilabad,Jainad,0.0,7.9,28.7,19.0,61.5,0.0,1.3
2019-01-11,Adilabad,Jainad,0.0,10.3,28.9,24.1,57.2,2.2,7.7
2019-01-12,Adilabad,Jainad,0.0,13.5,30.5,30.1,56.7,0.0,10.4
2019-01-13,Adilabad,Jainad,0.0,17.5,30.8,32.1,86.5,0.0,2.2
2019-01-14,Adilabad,Jainad,0.0,15.3,30.6,39.5,71.9,0.0,7.5
2019-01-15,Adilabad,Jainad,0.0,13.5,29.6,45.9,85.7,0.0,1.7
2019-01-16,Adilabad,Jainad,0.0,11.0,27.7,30.9,93.4,0.0,2.0
2019-01-17,Adilabad,Jainad,0.0,9.9,29.2,28.9,93.1,0.0,1.4
2019-01-18,Adilabad,Jainad,0.0,13.3,31.4,18.3,83.0,0.0,1.5
2019-01-19,Adilabad,Jainad,0.0,12.8,31.9,30.1,91.6,0.0,1.7
2019-01-20,Adilabad,Jainad,0.0,11.2,32.5,22.8,89.4,0.0,1.3
2019-01-21,Adilabad,Jainad,0.0,12.0,32.9,21.9,84.3,0.0,1.5
2019-01-22,Adilabad,Jainad,0.0,20.8,34.1,23.5,48.9,3.7,8.6
2019-01-23,Adilabad,Jainad,0.0,20.1,32.3,23.0,64.6,0.0,12.7
2019-01-24,Adilabad,Jainad,0.0,15.0,31.9,31.7,79.3,0.0,10.8
2019-01-25,Adilabad,Jainad,0.0,17.6,32.2,36.4,81.0,0.0,7.6
2019-01-26,Adilabad,Jainad,0.0,18.9,29.8,49.6,83.9,0.0,10.3
2019-01-27,Adilabad,Jainad,0.0,17.3,21.4,74.6,83.0,0.0,6.3
2019-01-28,Adilabad,Jainad,0.0,12.6,24.8,61.3,85.9,0.0,10.1
2019-01-29,Adilabad,Jainad,0.0,11.3,27.0,36.6,70.0,0.0,7.3
2019-01-30,Adilabad,Jainad,0.0,6.0,26.6,21.6,52.3,4.0,7.4
2019-01-31,Adilabad,Jainad,0.0,7.2,26.8,20.8,56.0,4.6,9.6
