Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Adilabad,Narnoor,0.0,11.2,30.4,21.9,82.8,0.0,5.6
2019-01-02,Adilabad,Narnoor,0.0,12.4,32.9,19.0,82.5,0.0,10.2
2019-01-03,Adilabad,Narnoor,0.0,13.5,36.1,18.2,89.7,0.0,5.5
2019-01-04,Adilabad,Narnoor,0.0,15.0,35.5,24.3,96.0,0.0,3.3
2019-01-05,Adilabad,Narnoor,0.0,14.5,35.7,27.0,70.7,0.0,5.9
2019-01-06,Adilabad,Narnoor,0.0,15.4,35.5,28.2,96.2,0.0,6.7
2019-01-07,Adilabad,Narnoor,0.0,15.7,35.5,38.4,96.2,0.0,9.4
2019-01-08,Adilabad,Narnoor,0.0,13.0,30.4,44.9,76.8,0.0,7.1
2019-01-09,Adilabad,Narnoor,0.0,12.1,25.8,22.4,91.0,0.0,8.9
2019-01-10,Adilabad,Narnoor,0.0,12.4,31.6,17.7,89.8,0.0,7.9
2019-01-11,Adilabad,Narnoor,0.0,13.4,31.3,21.4,89.8,0.0,10.0
2019-01-12,Adilabad,Narnoor,0.0,17.5,33.6,35.4,96.2,0.0,8.4
2019-01-13,Adilabad,Narnoor,0.0,18.5,35.5,35.7,96.2,1.9,6.9
2019-01-14,Adilabad,Narnoor,0.0,15.7,32.9,43.8,96.2,0.0,11.7
2019-01-15,Adilabad,Narnoor,0.0,16.1,27.4,46.4,89.1,0.0,8.4
2019-01-16,Adilabad,Narnoor,0.0,14.4,26.9,38.6,73.1,0.0,10.2
2019-01-17,Adilabad,Narnoor,0.0,11.5,32.9,35.2,92.6,0.0,8.1
2019-01-18,Adilabad,Narnoor,0.0,12.4,29.5,21.0,82.8,0.0,10.5
2019-01-19,Adilabad,Narnoor,0.0,12.9,29.2,29.2,85.5,0.0,6.6
2019-01-20,Adilabad,Narnoor,0.0,11.4,29.4,23.1,78.6,0.0,8.2
2019-01-21,Adilabad,Narnoor,0.0,11.3,30.6,20.6,74.7,0.0,9.0
2019-01-22,Adilabad,Narnoor,0.0,17.5,30.4,22.3,87.9,0.0,9.8
2019-01-23,Adilabad,Narnoor,0.0,18.5,29.4,38.0,91.9,0.0,14.2
2019-01-24,Adilabad,Narnoor,0.0,17.2,29.9,42.2,90.5,0.0,10.1
2019-01-25,Adilabad,Narnoor,0.0,18.8,29.1,41.5,92.0,1.7,8.2
2019-01-26,Adilabad,Narnoor,0.0,17.9,25.6,64.8,99.2,0.9,7.7
2019-01-27,Adilabad,Narnoor,0.0,15.9,18.6,93.4,99.6,2.5,12.7
2019-01-28,Adilabad,Narnoor,0.0,13.0,22.0,80.1,97.2,0.0,10.6
2019-01-29,Adilabad,Narnoor,0.0,10.2,24.2,47.4,88.9,0.3,13.8
2019-01-30,Adilabad,Narnoor,0.0,6.9,23.2,25.6,86.2,0.0,14.4
2019-01-31,Adilabad,Narnoor,0.0,6.4,25.4,21.0,71.1,0.0,11.7
2019-02-01,Adilabad,Narnoor,0.0,13.1,28.1,31.5,95.7,0.0,9.8
2019-02-02,Adilabad,Narnoor,0.0,15.2,28.9,46.2,92.1,0.0,9.4
2019-02-03,Adilabad,Narnoor,0.0,15.3,29.1,35.1,83.6,0.0,10.2
2019-02-04,Adilabad,Narnoor,0.0,14.4,29.9,29.6,76.2,0.0,12.4
2019-02-05,Adilabad,Narnoor,0.0,15.3,30.8,35.4,77.7,0.0,8.5
2019-02-06,Adilabad,Narnoor,0.0,15.5,31.8,27.0,71.4,0.6,11.7
2019-02-07,Adilabad,Narnoor,0.0,20.3,29.7,38.0,79.6,0.6,8.8
2019-02-08,Adilabad,Narnoor,0.0,18.6,32.7,38.1,71.9,1.1,14.4
2019-02-09,Adilabad,Narnoor,0.0,13.5,30.3,31.3,67.2,0.0,9.0
2019-02-10,Adilabad,Narnoor,0.0,12.1,25.4,22.0,49.2,0.0,12.7
2019-02-11,Adilabad,Narnoor,0.0,16.5,29.7,21.9,47.6,0.0,9.6
2019-02-12,Adilabad,Narnoor,0.0,18.1,31.3,30.4,93.2,0.1,2.2
2019-02-13,Adilabad,Narnoor,0.0,17.4,31.8,47.4,86.1,0.0,9.0
2019-02-14,Adilabad,Narnoor,0.0,15.3,33.0,21.6,83.1,0.9,9.8
2019-02-15,Adilabad,Narnoor,0.0,20.7,31.7,28.8,70.3,0.0,10.3
2019-02-16,Adilabad,Narnoor,0.0,18.1,32.6,35.3,94.3,0.1,15.7
2019-02-17,Adilabad,Narnoor,0.0,19.0,32.0,36.3,85.6,3.5,8.0
2019-02-18,Adilabad,Narnoor,0.0,16.2,30.4,34.6,77.7,0.0,9.7
2019-02-19,Adilabad,Narnoor,0.0,18.5,32.9,21.2,72.5,0.0,11.4
2019-02-20,Adilabad,Narnoor,0.0,21.5,35.7,29.1,74.7,0.0,8.6
2019-02-21,Adilabad,Narnoor,0.0,21.4,34.1,31.8,74.4,0.0,8.4
2019-02-22,Adilabad,Narnoor,0.0,23.1,35.2,29.4,65.8,0.0,11.2
2019-02-23,Adilabad,Narnoor,0.0,24.6,37.1,27.9,55.0,0.0,10.8
2019-02-24,Adilabad,Narnoor,0.0,24.0,36.4,26.4,53.9,0.0,7.6
2019-02-25,Adilabad,Narnoor,0.0,23.1,36.7,23.9,53.9,0.0,14.6
2019-02-26,Adilabad,Narnoor,0.0,20.8,35.1,18.2,34.1,0.0,11.8
2019-02-27,Adilabad,Narnoor,0.0,15.8,34.6,17.2,47.2,0.0,13.0
2019-02-28,Adilabad,Narnoor,0.0,17.7,33.5,19.4,38.8,0.0,8.8
2019-03-01,Adilabad,Narnoor,0.0,17.4,30.7,28.0,51.5,0.0,14.8
2019-03-02,Adilabad,Narnoor,0.0,20.3,31.8,33.6,57.8,0.0,7.7
2019-03-03,Adilabad,Narnoor,0.0,22.4,32.3,45.3,74.8,0.0,11.4
2019-03-04,Adilabad,Narnoor,0.0,21.9,35.3,35.7,74.3,0.0,12.5
2019-03-05,Adilabad,Narnoor,0.0,23.0,35.6,24.5,61.3,0.0,14.4
2019-03-06,Adilabad,Narnoor,0.0,20.2,34.3,20.9,47.4,0.0,14.3
2019-03-07,Adilabad,Narnoor,0.0,19.4,32.1,22.0,51.1,0.0,13.3
2019-03-08,Adilabad,Narnoor,0.0,18.3,33.7,20.8,44.1,0.0,15.7
2019-03-09,Adilabad,Narnoor,0.0,19.6,35.1,15.1,52.3,0.0,11.0
2019-03-10,Adilabad,Narnoor,0.0,22.8,36.0,20.6,71.3,0.0,14.2
2019-03-11,Adilabad,Narnoor,0.0,22.4,37.6,22.7,74.0,0.0,10.0
2019-03-12,Adilabad,Narnoor,0.0,25.5,37.9,30.2,65.5,0.0,11.4
2019-03-13,Adilabad,Narnoor,0.0,25.2,35.8,29.3,53.3,0.0,12.8
2019-03-14,Adilabad,Narnoor,0.0,21.7,37.4,29.3,48.7,0.0,10.9
2019-03-15,Adilabad,Narnoor,0.0,22.6,35.5,22.9,40.3,0.0,11.7
2019-03-16,Adilabad,Narnoor,0.0,22.5,36.2,19.6,37.9,2.3,10.1
2019-03-17,Adilabad,Narnoor,0.0,22.5,35.3,20.9,65.4,0.4,11.6
2019-03-18,Adilabad,Narnoor,0.0,21.6,34.6,27.4,58.0,5.9,10.1
2019-03-19,Adilabad,Narnoor,0.0,21.3,33.1,27.6,58.2,0.0,4.8
2019-03-20,Adilabad,Narnoor,0.0,23.7,37.2,29.4,74.3,0.0,9.5
2019-03-21,Adilabad,Narnoor,0.0,22.4,36.1,36.3,74.3,0.0,13.0
2019-03-22,Adilabad,Narnoor,0.0,21.6,35.1,37.7,73.5,0.0,9.9
2019-03-23,Adilabad,Narnoor,0.0,24.6,36.3,32.6,69.4,0.0,9.2
2019-03-24,Adilabad,Narnoor,0.0,24.8,37.0,32.9,49.9,0.0,10.8
2019-03-25,Adilabad,Narnoor,0.0,24.6,37.4,23.4,37.7,0.0,12.7
2019-03-26,Adilabad,Narnoor,0.0,26.9,38.2,26.0,53.3,0.0,8.5
2019-03-27,Adilabad,Narnoor,0.0,24.8,39.5,14.4,62.6,0.0,12.4
2019-03-28,Adilabad,Narnoor,0.0,26.3,38.2,17.6,49.3,0.0,16.7
2019-03-29,Adilabad,Narnoor,0.0,26.6,38.3,17.8,35.7,0.0,16.8
2019-03-30,Adilabad,Narnoor,0.0,26.9,38.3,12.0,37.5,2.1,10.5
2019-03-31,Adilabad,Narnoor,0.0,27.0,39.2,15.2,45.8,0.0,10.5
2019-04-01,Adilabad,Narnoor,0.0,25.4,40.4,15.4,33.1,0.0,11.2
2019-04-02,Adilabad,Narnoor,0.0,25.2,40.4,11.9,51.4,0.0,10.6
2019-04-03,Adilabad,Narnoor,0.0,25.3,37.9,22.2,45.9,0.0,12.9
2019-04-04,Adilabad,Narnoor,2.0,23.9,39.5,25.4,69.3,0.0,15.9
2019-04-05,Adilabad,Narnoor,0.0,25.8,37.9,26.5,51.8,0.0,10.0
2019-04-06,Adilabad,Narnoor,0.0,26.0,38.9,21.1,36.0,2.2,14.5
2019-04-07,Adilabad,Narnoor,0.0,25.1,39.3,17.2,63.7,1.4,12.8
2019-04-08,Adilabad,Narnoor,0.0,24.5,39.5,15.8,52.7,0.0,11.4
2019-04-09,Adilabad,Narnoor,0.0,25.0,39.3,16.2,58.6,0.0,12.7
2019-04-10,Adilabad,Narnoor,0.0,25.8,39.6,23.1,67.8,0.0,10.7
2019-04-11,Adilabad,Narnoor,0.0,27.5,39.6,12.3,65.5,0.0,14.0
2019-04-12,Adilabad,Narnoor,0.0,28.5,40.7,12.3,46.8,2.2,12.9
2019-04-13,Adilabad,Narnoor,1.5,24.8,39.9,22.7,51.6,0.0,28.5
2019-04-14,Adilabad,Narnoor,0.0,26.4,40.8,16.8,46.6,0.0,9.0
2019-04-15,Adilabad,Narnoor,0.0,28.7,41.5,16.7,43.8,0.0,15.6
2019-04-16,Adilabad,Narnoor,0.0,25.5,40.7,17.9,53.6,0.0,12.2
2019-04-17,Adilabad,Narnoor,0.0,23.6,38.8,19.8,60.3,0.0,14.3
2019-04-18,Adilabad,Narnoor,0.0,26.8,37.1,28.6,45.8,0.1,14.0
2019-04-19,Adilabad,Narnoor,0.0,25.1,37.2,22.0,65.3,0.0,14.5
2019-04-20,Adilabad,Narnoor,0.0,25.3,37.8,26.5,63.1,0.0,12.8
2019-04-21,Adilabad,Narnoor,0.0,25.6,37.9,26.5,68.3,0.0,9.6
2019-04-22,Adilabad,Narnoor,0.0,26.4,37.8,25.1,63.1,0.0,13.4
2019-04-23,Adilabad,Narnoor,0.0,24.5,36.9,33.2,64.7,0.0,13.3
2019-04-24,Adilabad,Narnoor,0.0,26.4,39.2,18.4,56.1,0.2,9.0
2019-04-25,Adilabad,Narnoor,0.0,29.2,39.0,20.5,44.9,0.0,14.2
2019-04-26,Adilabad,Narnoor,0.0,29.0,41.3,15.6,44.4,0.3,15.0
2019-04-27,Adilabad,Narnoor,0.0,30.8,42.1,15.8,41.8,0.0,14.9
2019-04-28,Adilabad,Narnoor,0.0,29.5,41.9,17.3,50.9,0.0,12.3
2019-04-29,Adilabad,Narnoor,0.0,29.2,40.9,22.4,57.1,0.0,17.5
2019-04-30,Adilabad,Narnoor,0.0,28.6,40.9,22.9,55.8,0.1,13.3
2019-05-01,Adilabad,Narnoor,0.0,30.2,41.8,12.5,44.9,0.0,11.4
2019-05-02,Adilabad,Narnoor,0.0,29.0,42.0,12.7,40.6,0.0,18.9
2019-05-03,Adilabad,Narnoor,0.0,28.4,41.3,10.8,37.9,0.0,15.8
2019-05-04,Adilabad,Narnoor,0.0,27.9,40.3,12.3,27.9,0.0,17.8
2019-05-05,Adilabad,Narnoor,0.0,30.0,40.3,13.8,30.1,0.0,15.4
2019-05-06,Adilabad,Narnoor,0.0,29.2,39.8,13.2,25.3,2.8,16.1
2019-05-07,Adilabad,Narnoor,0.0,31.0,40.9,13.2,24.5,0.0,17.6
2019-05-08,Adilabad,Narnoor,0.0,31.7,41.6,11.3,21.7,0.0,18.1
2019-05-09,Adilabad,Narnoor,0.0,31.8,40.8,13.2,26.8,2.5,14.1
2019-05-10,Adilabad,Narnoor,0.0,31.8,41.2,14.4,30.0,2.4,15.6
2019-05-11,Adilabad,Narnoor,0.0,30.0,41.2,20.0,31.6,0.0,11.4
2019-05-12,Adilabad,Narnoor,0.0,28.7,40.4,19.7,51.3,5.7,13.9
2019-05-13,Adilabad,Narnoor,0.0,29.3,41.5,13.7,39.8,1.7,12.6
2019-05-14,Adilabad,Narnoor,0.0,30.0,40.9,16.2,44.6,0.0,13.7
2019-05-15,Adilabad,Narnoor,0.0,29.7,40.6,16.7,43.0,0.0,11.7
2019-05-16,Adilabad,Narnoor,0.0,29.3,41.6,13.2,52.7,1.5,12.4
2019-05-17,Adilabad,Narnoor,0.0,30.1,40.2,13.3,45.0,0.0,13.5
2019-05-18,Adilabad,Narnoor,0.0,29.7,41.3,12.5,23.9,0.0,15.4
2019-05-19,Adilabad,Narnoor,0.0,29.2,40.8,14.4,22.8,0.0,14.2
2019-05-20,Adilabad,Narnoor,0.0,28.9,40.4,12.7,33.4,0.0,14.8
2019-05-21,Adilabad,Narnoor,0.0,31.0,40.8,12.7,38.7,0.0,14.2
