Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Adilabad,Tamsi,0.0,7.0,27.1,18.8,70.2,0.0,6.0
2019-01-02,Adilabad,Tamsi,0.0,8.3,29.3,16.3,74.5,0.0,4.2
2019-01-03,Adilabad,Tamsi,0.0,10.2,31.2,16.9,76.3,0.0,5.5
2019-01-04,Adilabad,Tamsi,0.0,9.5,30.8,21.8,85.0,0.0,6.9
2019-01-05,Adilabad,Tamsi,0.0,10.7,31.1,20.3,85.1,0.0,5.3
2019-01-06,Adilabad,Tamsi,0.0,12.7,30.8,25.4,88.2,0.0,5.7
2019-01-07,Adilabad,Tamsi,0.0,13.6,30.1,33.5,87.6,0.0,7.7
2019-01-08,Adilabad,Tamsi,0.0,8.8,28.5,35.5,82.2,0.0,6.8
2019-01-09,Adilabad,Tamsi,0.0,8.0,26.1,29.7,82.0,0.0,7.2
2019-01-10,Adilabad,Tamsi,0.0,8.0,28.4,20.2,80.6,0.0,5.6
2019-01-11,Adilabad,Tamsi,0.0,9.6,28.6,23.6,81.9,0.0,5.2
2019-01-12,Adilabad,Tamsi,0.0,13.4,30.3,28.1,88.3,0.0,5.2
2019-01-13,Adilabad,Tamsi,0.0,18.1,32.0,29.6,81.0,0.0,6.9
2019-01-14,Adilabad,Tamsi,0.0,15.2,30.5,37.1,92.0,0.0,5.3
2019-01-15,Adilabad,Tamsi,0.0,12.8,29.1,46.6,88.6,0.0,6.2
2019-01-16,Adilabad,Tamsi,0.0,10.5,27.1,33.4,88.5,0.0,7.6
2019-01-17,Adilabad,Tamsi,0.0,10.5,28.9,29.5,81.4,0.0,6.0
2019-01-18,Adilabad,Tamsi,0.0,14.1,31.2,17.7,76.9,0.0,7.6
2019-01-19,Adilabad,Tamsi,0.0,13.0,31.7,29.3,86.8,0.0,7.0
2019-01-20,Adilabad,Tamsi,0.0,13.3,32.3,22.7,77.0,0.0,5.4
2019-01-21,Adilabad,Tamsi,0.0,13.3,32.8,22.0,70.0,0.0,8.2
2019-01-22,Adilabad,Tamsi,0.0,20.3,33.7,20.6,75.7,0.0,6.3
2019-01-23,Adilabad,Tamsi,0.0,20.2,32.4,24.0,84.5,0.0,7.1
