Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Karimnagar,Huzurabad,0.0,11.5,25.4,26.8,81.2,0.0,7.6
2019-01-02,Karimnagar,Huzurabad,0.0,10.9,27.3,28.0,83.6,0.0,7.1
2019-01-03,Karimnagar,Huzurabad,0.0,14.4,29.0,26.7,84.4,0.0,5.9
2019-01-04,Karimnagar,Huzurabad,0.0,12.5,29.0,34.7,89.5,0.0,6.3
2019-01-05,Karimnagar,Huzurabad,0.0,17.1,28.8,37.5,89.0,0.0,5.7
2019-01-06,Karimnagar,Huzurabad,0.0,16.4,27.9,45.7,91.0,0.0,9.6
2019-01-07,Karimnagar,Huzurabad,0.0,16.9,27.1,48.6,90.4,0.0,11.4
2019-01-08,Karimnagar,Huzurabad,0.0,16.4,27.2,48.1,83.0,0.0,9.0
2019-01-09,Karimnagar,Huzurabad,0.0,11.9,26.5,36.6,80.3,0.0,10.2
2019-01-10,Karimnagar,Huzurabad,0.0,11.0,27.5,27.7,83.7,0.0,12.2
2019-01-11,Karimnagar,Huzurabad,0.0,16.4,27.8,29.5,88.8,0.0,8.4
2019-01-12,Karimnagar,Huzurabad,0.0,17.2,27.9,49.9,94.8,0.0,11.2
2019-01-13,Karimnagar,Huzurabad,0.0,18.7,27.8,51.3,95.4,2.2,11.7
2019-01-14,Karimnagar,Huzurabad,0.0,17.7,28.6,48.4,91.1,0.0,13.5
2019-01-15,Karimnagar,Huzurabad,0.0,16.8,28.9,48.8,92.3,0.0,8.0
2019-01-16,Karimnagar,Huzurabad,0.0,14.8,27.6,50.2,87.8,0.0,8.9
2019-01-17,Karimnagar,Huzurabad,0.0,13.2,28.3,34.7,86.0,0.0,5.5
2019-01-18,Karimnagar,Huzurabad,0.0,17.5,29.7,36.0,89.9,0.0,9.0
2019-01-19,Karimnagar,Huzurabad,0.0,16.9,28.4,42.6,88.4,0.0,9.0
2019-01-20,Karimnagar,Huzurabad,0.0,12.9,28.8,37.8,87.1,0.0,10.4
2019-01-21,Karimnagar,Huzurabad,0.0,16.1,29.5,28.7,85.3,0.0,7.4
2019-01-22,Karimnagar,Huzurabad,0.0,16.4,29.4,30.8,89.0,0.7,11.0
2019-01-23,Karimnagar,Huzurabad,0.0,18.5,29.1,39.6,90.4,2.9,14.4
2019-01-24,Karimnagar,Huzurabad,0.0,18.9,28.4,49.0,91.7,0.0,13.7
2019-01-25,Karimnagar,Huzurabad,0.0,20.0,28.2,54.3,89.4,0.0,13.9
2019-01-26,Karimnagar,Huzurabad,0.0,21.1,28.0,54.4,87.5,5.3,14.1
2019-01-27,Karimnagar,Huzurabad,56.3,17.8,25.5,71.6,97.2,2.4,12.6
