Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Khammam,Singareni,0.0,13.9,30.0,27.3,73.2,0.0,6.6
2019-01-02,Khammam,Singareni,0.0,13.3,32.8,22.4,78.7,0.0,10.1
2019-01-03,Khammam,Singareni,0.0,14.9,33.2,33.5,83.3,0.0,6.7
2019-01-04,Khammam,Singareni,0.0,17.2,30.6,42.7,80.3,0.0,5.6
2019-01-05,Khammam,Singareni,0.0,16.5,32.1,41.8,89.9,0.0,5.9
2019-01-06,Khammam,Singareni,0.0,15.9,32.5,39.9,87.6,0.0,8.6
2019-01-07,Khammam,Singareni,0.0,14.6,29.8,51.4,96.1,0.0,8.4
2019-01-08,Khammam,Singareni,0.0,15.6,30.5,45.2,94.5,0.0,7.0
2019-01-09,Khammam,Singareni,0.0,11.7,30.1,33.8,87.1,0.0,9.4
2019-01-10,Khammam,Singareni,0.0,13.4,30.8,29.9,87.1,0.0,6.7
2019-01-11,Khammam,Singareni,0.0,18.0,33.1,35.7,86.6,0.0,7.3
2019-01-12,Khammam,Singareni,0.0,17.7,32.3,41.1,87.2,0.0,4.8
2019-01-13,Khammam,Singareni,0.0,16.8,31.9,45.2,88.5,0.0,0.6
2019-01-14,Khammam,Singareni,0.0,16.5,33.3,42.5,87.7,0.0,0.1
2019-01-15,Khammam,Singareni,0.0,17.1,33.4,39.4,96.1,0.0,6.4
2019-01-16,Khammam,Singareni,0.0,15.7,32.6,41.3,96.1,0.0,1.5
2019-01-17,Khammam,Singareni,0.0,16.0,31.7,38.0,85.3,0.0,5.8
2019-01-18,Khammam,Singareni,0.0,16.8,31.2,42.7,96.1,0.0,8.3
2019-01-19,Khammam,Singareni,0.0,15.9,32.7,42.7,98.0,0.0,4.6
2019-01-20,Khammam,Singareni,0.0,15.3,31.5,40.0,92.0,0.0,7.7
2019-01-21,Khammam,Singareni,0.0,15.4,32.3,37.7,88.2,0.0,5.3
2019-01-22,Khammam,Singareni,0.0,16.7,31.5,44.1,89.2,0.0,1.1
2019-01-23,Khammam,Singareni,0.0,16.6,32.2,51.9,89.1,0.0,8.8
2019-01-24,Khammam,Singareni,0.0,18.7,32.0,44.5,90.5,0.0,8.0
2019-01-25,Khammam,Singareni,0.0,19.4,32.9,43.1,94.5,0.0,0.8
2019-01-26,Khammam,Singareni,0.0,21.0,30.2,54.2,93.0,0.0,10.1
