Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Nizamabad,Bodhan,0.0,11.9,30.4,26.5,99.9,0.0,8.3
2019-01-02,Nizamabad,Bodhan,0.0,12.7,32.1,25.6,99.9,0.0,10.7
2019-01-03,Nizamabad,Bodhan,0.0,14.2,35.5,19.2,99.9,0.0,2.2
2019-01-04,Nizamabad,Bodhan,0.0,15.4,34.6,23.9,99.9,0.0,3.3
2019-01-05,Nizamabad,Bodhan,0.0,16.7,33.1,30.6,99.9,0.0,5.3
2019-01-06,Nizamabad,Bodhan,0.0,19.3,34.6,36.7,99.9,0.0,5.3
2019-01-07,Nizamabad,Bodhan,0.0,17.4,35.5,36.9,99.9,0.0,6.3
2019-01-08,Nizamabad,Bodhan,0.0,14.2,32.9,54.3,99.9,0.0,6.2
2019-01-09,Nizamabad,Bodhan,0.0,14.2,30.4,35.1,99.9,0.0,7.8
2019-01-10,Nizamabad,Bodhan,0.0,14.2,32.9,26.8,99.9,0.0,6.0
2019-01-11,Nizamabad,Bodhan,0.0,15.4,32.1,30.6,99.9,0.0,7.9
2019-01-12,Nizamabad,Bodhan,0.0,19.3,34.6,30.7,99.9,0.0,0.1
2019-01-13,Nizamabad,Bodhan,0.0,21.8,34.6,44.2,99.9,0.0,6.3
2019-01-14,Nizamabad,Bodhan,0.0,19.3,32.1,54.5,99.9,0.0,5.1
2019-01-15,Nizamabad,Bodhan,0.0,19.3,32.1,63.0,99.9,0.0,6.9
2019-01-16,Nizamabad,Bodhan,0.0,19.3,32.1,51.9,99.9,0.0,1.5
2019-01-17,Nizamabad,Bodhan,0.0,14.6,32.1,31.7,99.9,0.0,0.1
2019-01-18,Nizamabad,Bodhan,0.0,16.7,34.6,22.3,99.9,0.0,5.1
2019-01-19,Nizamabad,Bodhan,0.0,16.7,32.5,39.3,99.9,0.0,6.4
2019-01-20,Nizamabad,Bodhan,0.0,16.7,32.1,42.6,99.9,0.0,0.3
2019-01-21,Nizamabad,Bodhan,0.0,15.4,34.6,30.6,99.9,0.0,6.6
2019-01-22,Nizamabad,Bodhan,0.0,21.8,34.6,22.9,83.5,0.0,1.5
2019-01-23,Nizamabad,Bodhan,0.0,19.3,35.4,25.5,98.1,0.0,5.3
2019-01-24,Nizamabad,Bodhan,0.0,19.3,34.7,39.4,99.9,0.0,0.9
2019-01-25,Nizamabad,Bodhan,0.0,23.0,34.6,42.2,99.9,0.0,0.2
2019-01-26,Nizamabad,Bodhan,0.0,21.9,34.6,55.0,99.9,0.0,7.7
2019-01-27,Nizamabad,Bodhan,0.0,21.8,26.9,82.8,99.9,0.0,2.7
2019-01-28,Nizamabad,Bodhan,0.0,19.3,26.9,70.2,99.9,0.0,1.1
2019-01-29,Nizamabad,Bodhan,0.0,16.7,27.8,63.6,99.9,0.0,2.1
2019-01-30,Nizamabad,Bodhan,0.0,11.6,29.5,38.6,99.9,0.0,0.4
2019-01-31,Nizamabad,Bodhan,0.0,14.2,29.7,25.2,99.7,0.0,0.2
2019-02-01,Nizamabad,Bodhan,0.0,17.1,34.6,39.1,99.9,0.0,0.1
2019-02-02,Nizamabad,Bodhan,0.0,19.3,34.6,43.5,99.9,0.0,6.8
2019-02-03,Nizamabad,Bodhan,0.0,18.6,32.8,39.1,99.9,0.0,0.7
2019-02-04,Nizamabad,Bodhan,0.0,19.3,33.0,40.5,99.9,0.0,1.4
2019-02-05,Nizamabad,Bodhan,0.0,19.3,34.6,34.9,99.9,0.0,0.2
2019-02-06,Nizamabad,Bodhan,0.0,19.3,34.6,43.1,97.4,0.0,7.9
2019-02-07,Nizamabad,Bodhan,0.0,24.2,35.5,31.7,97.2,0.0,0.2
2019-02-08,Nizamabad,Bodhan,0.0,19.3,35.5,39.9,99.9,0.0,0.1
2019-02-09,Nizamabad,Bodhan,0.0,15.2,32.9,30.5,70.8,0.0,0.1
2019-02-10,Nizamabad,Bodhan,0.0,14.2,29.6,24.7,87.5,0.0,0.9
2019-02-11,Nizamabad,Bodhan,0.0,19.3,32.2,30.7,94.8,0.0,5.9
2019-02-12,Nizamabad,Bodhan,0.0,21.8,34.8,53.9,99.9,0.0,1.5
2019-02-13,Nizamabad,Bodhan,0.0,19.8,35.1,47.4,99.9,0.0,0.3
2019-02-14,Nizamabad,Bodhan,0.0,19.3,35.0,30.7,99.9,0.0,1.2
2019-02-15,Nizamabad,Bodhan,0.0,21.4,36.8,26.1,89.5,0.0,0.1
2019-02-16,Nizamabad,Bodhan,0.0,21.8,35.0,39.9,99.9,0.0,1.5
2019-02-17,Nizamabad,Bodhan,0.0,17.6,35.7,34.3,97.1,0.0,0.3
2019-02-18,Nizamabad,Bodhan,0.0,17.2,34.9,43.4,99.9,0.0,1.6
2019-02-19,Nizamabad,Bodhan,0.0,19.3,35.3,24.3,95.0,0.0,0.1
2019-02-20,Nizamabad,Bodhan,0.0,25.2,36.8,29.7,90.8,0.0,1.0
2019-02-21,Nizamabad,Bodhan,0.0,24.4,37.6,46.6,98.3,0.0,0.8
2019-02-22,Nizamabad,Bodhan,0.0,24.4,37.4,34.0,89.7,0.0,0.3
2019-02-23,Nizamabad,Bodhan,0.0,24.4,37.5,31.2,89.5,0.0,5.3
2019-02-24,Nizamabad,Bodhan,0.0,22.5,37.1,26.7,89.0,0.0,0.1
2019-02-25,Nizamabad,Bodhan,0.0,22.2,36.3,23.3,64.7,0.0,0.7
2019-02-26,Nizamabad,Bodhan,0.0,19.3,37.6,15.6,69.7,0.0,0.2
2019-02-27,Nizamabad,Bodhan,0.0,19.3,37.5,21.2,70.8,0.0,2.2
2019-02-28,Nizamabad,Bodhan,0.0,19.3,35.3,23.5,88.5,0.0,0.2
2019-03-01,Nizamabad,Bodhan,0.0,19.3,34.8,30.9,94.8,0.0,9.6
2019-03-02,Nizamabad,Bodhan,0.0,21.4,35.1,34.1,99.9,0.0,1.7
2019-03-03,Nizamabad,Bodhan,0.0,23.9,37.9,37.6,90.1,0.0,0.5
2019-03-04,Nizamabad,Bodhan,0.0,20.5,36.8,35.5,96.2,0.0,0.7
2019-03-05,Nizamabad,Bodhan,0.0,20.5,36.8,25.3,69.0,0.0,2.4
2019-03-06,Nizamabad,Bodhan,0.0,19.3,37.5,23.9,81.3,0.0,6.5
2019-03-07,Nizamabad,Bodhan,0.0,19.3,34.2,23.0,74.4,0.0,1.8
2019-03-08,Nizamabad,Bodhan,0.0,19.3,36.8,23.0,88.1,0.0,7.2
2019-03-09,Nizamabad,Bodhan,0.0,20.5,37.5,23.0,68.4,0.0,1.5
2019-03-10,Nizamabad,Bodhan,0.0,18.8,37.5,17.8,75.3,0.0,4.0
2019-03-11,Nizamabad,Bodhan,0.0,21.4,38.3,21.0,77.0,0.0,1.2
2019-03-12,Nizamabad,Bodhan,0.0,23.0,39.9,26.6,83.1,0.0,0.7
2019-03-13,Nizamabad,Bodhan,0.0,23.9,39.6,26.9,69.4,0.0,3.9
2019-03-14,Nizamabad,Bodhan,0.0,21.4,39.9,23.4,68.9,0.0,6.8
2019-03-15,Nizamabad,Bodhan,0.0,21.4,36.8,20.8,68.9,0.0,4.0
2019-03-16,Nizamabad,Bodhan,0.0,21.4,39.8,21.4,56.0,0.0,5.7
2019-03-17,Nizamabad,Bodhan,0.0,23.9,39.5,18.1,63.7,0.0,6.8
2019-03-18,Nizamabad,Bodhan,0.0,23.9,37.2,23.0,61.7,0.0,7.9
2019-03-19,Nizamabad,Bodhan,0.0,21.4,37.9,18.0,77.6,0.0,6.8
2019-03-20,Nizamabad,Bodhan,0.0,23.9,38.3,23.4,82.7,0.0,4.4
2019-03-21,Nizamabad,Bodhan,0.0,23.9,38.3,31.4,90.1,0.0,9.0
2019-03-22,Nizamabad,Bodhan,0.0,23.9,37.6,29.5,82.6,0.0,2.2
2019-03-23,Nizamabad,Bodhan,0.0,23.0,37.4,31.2,83.1,0.0,4.7
2019-03-24,Nizamabad,Bodhan,0.0,23.6,38.3,26.1,77.9,0.0,6.5
2019-03-25,Nizamabad,Bodhan,0.0,23.9,38.8,28.6,72.7,0.0,0.7
2019-03-26,Nizamabad,Bodhan,0.0,23.0,39.9,26.4,63.2,0.0,4.0
2019-03-27,Nizamabad,Bodhan,0.0,23.0,39.5,24.9,70.1,0.0,8.7
2019-03-28,Nizamabad,Bodhan,0.0,21.4,40.9,23.5,69.4,0.0,2.9
2019-03-29,Nizamabad,Bodhan,0.0,23.5,39.9,18.6,69.4,0.0,5.7
2019-03-30,Nizamabad,Bodhan,0.0,21.4,39.0,23.4,68.9,0.0,2.7
2019-03-31,Nizamabad,Bodhan,0.0,26.1,41.4,14.3,54.6,0.0,1.2
2019-04-01,Nizamabad,Bodhan,0.0,23.9,42.1,16.2,53.9,0.0,7.8
2019-04-02,Nizamabad,Bodhan,0.0,23.9,41.6,14.2,57.6,0.0,7.1
2019-04-03,Nizamabad,Bodhan,0.0,23.5,42.2,16.8,66.0,0.0,5.0
2019-04-04,Nizamabad,Bodhan,0.0,26.1,39.0,31.2,66.4,0.0,10.2
2019-04-05,Nizamabad,Bodhan,0.5,21.4,37.0,32.7,90.7,0.0,13.9
2019-04-06,Nizamabad,Bodhan,0.0,23.9,39.7,24.7,62.2,0.0,3.3
2019-04-07,Nizamabad,Bodhan,0.0,26.5,39.4,23.4,61.8,0.0,0.1
2019-04-08,Nizamabad,Bodhan,0.0,23.9,42.5,14.9,63.0,0.0,3.0
2019-04-09,Nizamabad,Bodhan,0.0,26.5,39.5,18.4,62.2,0.0,0.1
2019-04-10,Nizamabad,Bodhan,0.0,25.5,41.8,16.4,62.2,0.0,2.8
2019-04-11,Nizamabad,Bodhan,0.0,26.1,41.0,15.8,62.2,0.0,1.6
2019-04-12,Nizamabad,Bodhan,0.0,28.7,40.9,15.2,46.3,0.0,0.3
2019-04-13,Nizamabad,Bodhan,0.0,23.9,40.9,16.5,62.5,0.0,6.4
2019-04-14,Nizamabad,Bodhan,0.0,26.5,42.0,17.8,46.9,0.0,1.6
2019-04-15,Nizamabad,Bodhan,0.0,27.5,41.9,15.6,46.5,0.0,1.5
2019-04-16,Nizamabad,Bodhan,0.0,24.9,43.0,15.9,72.1,0.0,13.9
2019-04-17,Nizamabad,Bodhan,0.0,24.9,39.9,23.4,71.3,0.0,2.4
2019-04-18,Nizamabad,Bodhan,0.0,24.9,39.8,25.1,58.3,0.0,4.6
2019-04-19,Nizamabad,Bodhan,0.0,27.3,39.3,23.2,72.6,0.0,1.4
2019-04-20,Nizamabad,Bodhan,0.0,27.1,39.6,15.8,63.2,0.0,1.1
2019-04-21,Nizamabad,Bodhan,0.0,27.1,41.7,15.6,65.7,0.0,13.9
2019-04-22,Nizamabad,Bodhan,0.0,27.4,42.0,10.9,63.6,0.0,4.8
2019-04-23,Nizamabad,Bodhan,0.3,23.9,38.9,28.2,66.2,0.0,15.5
2019-04-24,Nizamabad,Bodhan,0.0,27.0,40.8,11.8,56.7,0.0,2.3
2019-04-25,Nizamabad,Bodhan,0.0,26.2,41.7,10.4,50.7,0.0,3.8
2019-04-26,Nizamabad,Bodhan,0.0,27.1,42.3,10.0,44.6,0.0,3.8
2019-04-27,Nizamabad,Bodhan,0.0,31.3,43.9,10.7,36.2,0.0,3.8
2019-04-28,Nizamabad,Bodhan,0.0,30.0,41.9,11.4,35.3,0.0,1.0
2019-04-29,Nizamabad,Bodhan,0.0,31.3,43.9,10.8,42.4,0.0,3.9
2019-04-30,Nizamabad,Bodhan,0.0,29.2,43.5,11.5,44.7,0.0,2.9
2019-05-01,Nizamabad,Bodhan,0.0,28.0,43.4,10.7,43.4,0.0,4.6
2019-05-02,Nizamabad,Bodhan,0.0,28.8,42.4,11.2,31.2,0.0,9.0
2019-05-03,Nizamabad,Bodhan,0.0,25.8,42.5,9.9,36.6,0.0,11.3
2019-05-04,Nizamabad,Bodhan,0.0,25.3,39.3,9.9,35.4,0.0,7.1
2019-05-05,Nizamabad,Bodhan,0.0,26.5,39.9,9.9,35.0,0.0,6.3
2019-05-06,Nizamabad,Bodhan,0.0,26.6,40.7,11.5,27.6,0.0,3.8
2019-05-07,Nizamabad,Bodhan,0.0,26.8,42.4,10.5,26.2,0.0,9.6
2019-05-08,Nizamabad,Bodhan,0.0,28.9,42.1,6.7,27.4,0.0,11.0
2019-05-09,Nizamabad,Bodhan,0.0,27.1,42.8,11.2,32.0,0.0,6.5
2019-05-10,Nizamabad,Bodhan,0.0,27.9,41.6,12.7,36.3,0.0,9.3
2019-05-11,Nizamabad,Bodhan,0.0,27.7,41.5,12.7,39.8,0.0,2.8
2019-05-12,Nizamabad,Bodhan,0.0,27.2,40.7,16.0,46.3,0.0,8.7
2019-05-13,Nizamabad,Bodhan,0.0,27.3,41.8,11.4,46.7,0.0,9.0
