Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Nizamabad,Dichpalle,0.0,10.1,27.4,23.9,70.6,0.0,5.7
2019-01-02,Nizamabad,Dichpalle,0.0,10.1,30.2,18.3,70.6,0.0,5.3
2019-01-03,Nizamabad,Dichpalle,0.0,12.0,31.4,20.9,63.9,0.0,6.0
2019-01-04,Nizamabad,Dichpalle,0.0,12.7,31.5,21.8,63.0,0.0,6.2
2019-01-05,Nizamabad,Dichpalle,0.0,13.3,30.4,25.0,72.2,0.0,5.8
2019-01-06,Nizamabad,Dichpalle,0.0,14.5,30.9,28.3,72.4,0.0,7.5
2019-01-07,Nizamabad,Dichpalle,0.0,14.7,31.6,27.9,71.7,0.0,6.5
2019-01-08,Nizamabad,Dichpalle,0.0,11.4,29.3,37.6,72.2,0.0,4.8
2019-01-09,Nizamabad,Dichpalle,0.0,10.2,27.2,26.5,63.7,0.0,6.5
2019-01-10,Nizamabad,Dichpalle,0.0,13.9,29.1,23.3,55.2,0.0,7.2
2019-01-11,Nizamabad,Dichpalle,0.0,15.1,29.1,24.2,65.6,0.0,9.2
2019-01-12,Nizamabad,Dichpalle,0.0,17.0,31.4,26.1,71.9,0.0,8.7
2019-01-13,Nizamabad,Dichpalle,0.0,18.3,31.1,37.0,68.9,0.8,8.5
2019-01-14,Nizamabad,Dichpalle,0.0,15.3,30.5,39.7,69.3,0.0,9.7
2019-01-15,Nizamabad,Dichpalle,0.0,15.6,28.6,43.4,71.9,0.0,8.4
2019-01-16,Nizamabad,Dichpalle,0.0,13.7,28.6,42.5,71.2,0.0,7.2
2019-01-17,Nizamabad,Dichpalle,0.0,14.6,29.6,30.5,59.6,0.0,11.1
2019-01-18,Nizamabad,Dichpalle,0.0,15.2,31.2,21.4,65.7,0.0,8.6
2019-01-19,Nizamabad,Dichpalle,0.0,15.6,30.3,31.1,62.2,0.0,9.6
2019-01-20,Nizamabad,Dichpalle,0.0,11.8,30.4,28.4,63.7,0.0,6.5
2019-01-21,Nizamabad,Dichpalle,0.0,12.7,31.1,23.6,71.4,0.0,8.8
2019-01-22,Nizamabad,Dichpalle,0.0,17.8,32.1,20.7,59.1,0.0,7.0
2019-01-23,Nizamabad,Dichpalle,0.0,17.6,32.3,20.2,67.7,0.1,12.2
2019-01-24,Nizamabad,Dichpalle,0.0,17.7,30.6,33.3,66.7,0.0,6.3
2019-01-25,Nizamabad,Dichpalle,0.0,19.4,30.4,40.2,70.9,1.0,10.6
2019-01-26,Nizamabad,Dichpalle,2.3,19.0,29.5,44.5,74.8,0.0,8.2
2019-01-27,Nizamabad,Dichpalle,0.0,17.9,23.2,62.4,74.7,2.3,13.1
2019-01-28,Nizamabad,Dichpalle,0.0,14.6,22.6,58.7,75.0,0.0,7.4
2019-01-29,Nizamabad,Dichpalle,0.0,11.0,24.8,45.1,72.3,0.0,11.4
2019-01-30,Nizamabad,Dichpalle,0.0,9.0,25.3,27.6,60.4,0.0,13.9
2019-01-31,Nizamabad,Dichpalle,0.0,13.2,26.4,21.6,56.0,0.0,10.9
2019-02-01,Nizamabad,Dichpalle,0.0,16.4,28.8,30.3,71.5,0.0,10.8
2019-02-02,Nizamabad,Dichpalle,0.0,15.1,29.6,35.1,64.5,0.0,9.6
2019-02-03,Nizamabad,Dichpalle,0.0,15.9,29.6,29.8,67.4,0.0,14.2
2019-02-04,Nizamabad,Dichpalle,0.0,17.0,30.0,30.0,66.8,0.0,11.8
2019-02-05,Nizamabad,Dichpalle,0.0,17.4,31.2,27.7,62.5,0.0,12.0
2019-02-06,Nizamabad,Dichpalle,0.0,15.9,31.6,31.6,63.9,0.0,8.1
2019-02-07,Nizamabad,Dichpalle,0.0,19.3,32.3,25.7,60.5,0.0,14.2
2019-02-08,Nizamabad,Dichpalle,0.0,18.4,32.9,29.9,59.9,0.6,10.5
2019-02-09,Nizamabad,Dichpalle,0.0,14.3,29.8,29.8,55.4,0.0,7.7
2019-02-10,Nizamabad,Dichpalle,0.0,11.2,27.1,23.2,55.6,0.0,10.1
2019-02-11,Nizamabad,Dichpalle,0.0,15.9,29.9,24.2,59.5,0.0,8.3
2019-02-12,Nizamabad,Dichpalle,0.0,19.2,31.3,39.3,71.8,0.2,10.7
2019-02-13,Nizamabad,Dichpalle,0.0,18.8,30.9,42.0,69.9,0.0,9.6
2019-02-14,Nizamabad,Dichpalle,0.0,17.1,33.2,24.7,70.2,0.0,9.7
2019-02-15,Nizamabad,Dichpalle,0.0,19.7,34.7,24.0,60.5,1.1,9.4
2019-02-16,Nizamabad,Dichpalle,0.0,19.4,35.2,29.1,71.8,0.0,12.7
2019-02-17,Nizamabad,Dichpalle,0.0,16.4,32.7,26.0,60.2,0.0,7.7
2019-02-18,Nizamabad,Dichpalle,0.0,16.1,32.3,35.7,67.9,0.0,7.8
2019-02-19,Nizamabad,Dichpalle,0.0,21.2,33.3,23.2,59.1,0.0,8.9
2019-02-20,Nizamabad,Dichpalle,0.0,22.4,36.4,29.2,60.1,1.2,8.7
2019-02-21,Nizamabad,Dichpalle,0.0,20.7,34.8,31.1,65.4,2.7,11.4
2019-02-22,Nizamabad,Dichpalle,0.0,23.5,35.2,26.7,56.0,0.0,7.3
2019-02-23,Nizamabad,Dichpalle,0.0,22.6,35.9,26.2,58.0,0.0,7.1
2019-02-24,Nizamabad,Dichpalle,0.0,21.6,36.7,25.4,55.9,0.0,7.7
2019-02-25,Nizamabad,Dichpalle,0.0,22.1,37.6,20.8,49.4,0.0,13.1
2019-02-26,Nizamabad,Dichpalle,0.0,19.5,35.0,20.8,50.9,0.0,8.8
2019-02-27,Nizamabad,Dichpalle,0.0,17.4,34.2,18.8,45.8,0.0,9.0
2019-02-28,Nizamabad,Dichpalle,0.0,17.9,32.7,20.6,49.4,0.0,9.8
2019-03-01,Nizamabad,Dichpalle,0.0,16.8,31.5,26.2,59.1,0.0,10.1
2019-03-02,Nizamabad,Dichpalle,0.0,21.8,33.2,32.7,64.9,0.7,12.6
2019-03-03,Nizamabad,Dichpalle,0.0,23.2,33.6,39.1,59.3,0.5,15.8
2019-03-04,Nizamabad,Dichpalle,0.0,21.1,36.8,30.6,65.2,0.0,11.7
2019-03-05,Nizamabad,Dichpalle,0.0,22.2,35.7,23.1,51.9,0.0,9.3
2019-03-06,Nizamabad,Dichpalle,0.0,16.8,33.3,26.2,49.4,0.0,8.0
2019-03-07,Nizamabad,Dichpalle,0.0,16.3,33.4,21.8,53.3,0.0,6.7
2019-03-08,Nizamabad,Dichpalle,0.0,17.4,34.6,21.4,55.2,0.0,7.7
2019-03-09,Nizamabad,Dichpalle,0.0,19.3,36.5,16.2,57.0,0.0,9.1
2019-03-10,Nizamabad,Dichpalle,0.0,20.8,36.8,19.6,61.6,0.0,12.7
2019-03-11,Nizamabad,Dichpalle,0.0,23.3,37.0,21.2,59.1,0.6,7.1
2019-03-12,Nizamabad,Dichpalle,0.0,23.5,37.2,26.2,58.5,0.0,11.7
2019-03-13,Nizamabad,Dichpalle,0.0,25.8,35.7,31.1,49.3,0.9,10.6
2019-03-14,Nizamabad,Dichpalle,0.0,23.6,37.8,23.3,47.2,0.0,12.4
2019-03-15,Nizamabad,Dichpalle,0.0,21.6,36.9,18.9,49.5,0.0,9.4
2019-03-16,Nizamabad,Dichpalle,0.0,21.6,37.5,20.1,45.4,0.0,8.0
2019-03-17,Nizamabad,Dichpalle,0.0,23.8,37.9,16.9,52.2,1.7,12.4
2019-03-18,Nizamabad,Dichpalle,0.0,23.1,38.0,20.8,49.9,0.0,12.4
