Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Nizamabad,Jakranpalle,0.0,9.5,26.2,26.1,69.5,0.0,1.3
2019-01-02,Nizamabad,Jakranpalle,0.0,12.1,29.1,23.5,70.9,0.0,2.0
2019-01-03,Nizamabad,Jakranpalle,0.0,11.5,31.4,19.2,85.6,0.0,1.3
2019-01-04,Nizamabad,Jakranpalle,0.0,12.8,30.8,26.7,81.9,0.0,1.3
2019-01-05,Nizamabad,Jakranpalle,0.0,13.4,30.8,26.2,88.6,0.0,1.4
2019-01-06,Nizamabad,Jakranpalle,0.0,16.6,31.7,30.3,87.6,0.0,1.7
2019-01-07,Nizamabad,Jakranpalle,0.0,14.5,31.7,31.1,92.0,0.0,1.4
2019-01-08,Nizamabad,Jakranpalle,0.0,11.9,28.2,44.3,89.3,0.0,1.7
2019-01-09,Nizamabad,Jakranpalle,0.0,10.1,26.7,27.9,81.5,0.0,1.4
2019-01-10,Nizamabad,Jakranpalle,0.0,12.5,28.4,22.7,72.8,0.0,1.6
2019-01-11,Nizamabad,Jakranpalle,0.0,13.6,29.0,28.7,85.0,0.0,1.4
2019-01-12,Nizamabad,Jakranpalle,0.0,17.6,31.6,29.6,92.4,0.0,1.3
2019-01-13,Nizamabad,Jakranpalle,0.0,18.8,31.8,36.2,87.9,0.0,2.0
2019-01-14,Nizamabad,Jakranpalle,0.0,14.9,30.5,43.9,88.8,0.0,2.6
2019-01-15,Nizamabad,Jakranpalle,0.0,16.8,29.0,45.5,92.4,0.0,1.0
2019-01-16,Nizamabad,Jakranpalle,0.0,14.8,28.4,45.7,89.7,0.0,1.1
2019-01-17,Nizamabad,Jakranpalle,0.0,15.0,29.5,34.7,76.4,0.0,1.2
2019-01-18,Nizamabad,Jakranpalle,0.0,15.7,30.6,25.4,82.6,0.0,1.9
2019-01-19,Nizamabad,Jakranpalle,0.0,15.2,30.2,33.0,82.1,0.0,1.5
2019-01-20,Nizamabad,Jakranpalle,0.0,12.8,29.9,33.7,82.5,0.0,1.6
2019-01-21,Nizamabad,Jakranpalle,0.0,12.5,30.5,26.3,84.2,0.0,1.5
2019-01-22,Nizamabad,Jakranpalle,0.0,16.5,33.1,20.7,77.3,0.0,1.4
