Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Nizamabad,Mendora,0.0,8.3,25.2,24.6,93.1,0.0,1.3
2019-01-02,Nizamabad,Mendora,0.0,9.0,27.3,24.5,94.2,0.0,0.7
2019-01-03,Nizamabad,Mendora,0.0,10.6,29.2,24.4,94.4,0.0,0.5
2019-01-04,Nizamabad,Mendora,0.0,11.6,30.2,24.3,94.0,0.0,0.3
2019-01-05,Nizamabad,Mendora,0.0,12.2,28.9,30.1,96.3,0.0,0.7
2019-01-06,Nizamabad,Mendora,0.0,13.4,28.1,32.7,95.9,0.0,0.7
2019-01-07,Nizamabad,Mendora,0.0,13.6,28.5,40.4,96.3,0.0,65.1
2019-01-08,Nizamabad,Mendora,0.0,11.5,28.1,48.0,92.1,0.0,0.7
2019-01-09,Nizamabad,Mendora,0.0,9.5,25.9,34.0,96.8,0.0,1.0
2019-01-10,Nizamabad,Mendora,0.0,9.9,27.6,27.2,96.0,0.0,0.9
2019-01-11,Nizamabad,Mendora,0.0,11.5,27.5,29.1,92.8,0.0,0.8
2019-01-12,Nizamabad,Mendora,0.0,15.1,28.1,40.9,93.9,0.0,0.4
2019-01-13,Nizamabad,Mendora,0.0,17.3,28.8,45.7,93.8,0.0,0.6
2019-01-14,Nizamabad,Mendora,0.0,15.2,28.6,49.8,98.3,0.0,0.7
2019-01-15,Nizamabad,Mendora,0.0,15.9,28.6,47.4,95.3,0.0,0.9
2019-01-16,Nizamabad,Mendora,0.0,13.4,28.1,41.2,96.5,0.0,0.7
2019-01-17,Nizamabad,Mendora,0.0,12.1,28.3,36.7,97.3,0.0,0.6
2019-01-18,Nizamabad,Mendora,0.0,13.1,29.8,33.1,96.5,0.0,0.6
2019-01-19,Nizamabad,Mendora,0.0,13.7,30.0,36.5,97.0,0.0,0.5
2019-01-20,Nizamabad,Mendora,0.0,12.7,29.7,29.5,96.9,0.0,0.7
2019-01-21,Nizamabad,Mendora,0.0,11.5,30.5,24.1,92.6,0.0,1.2
2019-01-22,Nizamabad,Mendora,0.0,16.2,31.5,23.3,90.6,0.0,1.4
2019-01-23,Nizamabad,Mendora,0.0,15.9,29.9,36.1,94.6,0.0,0.8
2019-01-24,Nizamabad,Mendora,0.0,16.2,30.4,37.5,96.4,0.0,0.8
2019-01-25,Nizamabad,Mendora,0.0,19.4,29.8,45.6,89.8,0.0,0.9
2019-01-26,Nizamabad,Mendora,4.8,19.5,28.8,53.6,95.5,0.0,1.5
2019-01-27,Nizamabad,Mendora,0.0,18.6,22.5,78.7,92.3,0.0,2.0
2019-01-28,Nizamabad,Mendora,0.0,15.7,23.7,67.0,91.1,0.0,1.2
2019-01-29,Nizamabad,Mendora,0.0,12.9,27.2,43.5,93.0,0.0,0.8
2019-01-30,Nizamabad,Mendora,0.0,8.5,26.6,24.5,90.8,0.0,1.2
2019-01-31,Nizamabad,Mendora,0.0,9.8,26.3,20.6,90.9,0.0,1.1
2019-02-01,Nizamabad,Mendora,0.0,13.8,28.5,36.7,95.9,0.0,1.1
2019-02-02,Nizamabad,Mendora,0.0,15.0,28.8,42.1,93.6,0.0,1.5
2019-02-03,Nizamabad,Mendora,0.0,15.0,28.8,34.9,93.4,0.0,1.1
2019-02-04,Nizamabad,Mendora,0.0,16.7,29.3,35.3,89.2,0.0,2.0
2019-02-05,Nizamabad,Mendora,0.0,16.0,30.8,33.2,90.4,0.0,1.0
2019-02-06,Nizamabad,Mendora,0.0,16.1,30.9,37.6,93.8,0.0,1.5
2019-02-07,Nizamabad,Mendora,0.0,20.2,31.5,31.1,82.9,0.0,2.0
2019-02-08,Nizamabad,Mendora,0.0,17.8,33.2,41.1,78.0,0.0,0.9
