Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2019-01-01,Nizamabad,Varni,0.0,7.3,28.6,24.4,99.9,0.0,8.7
2019-01-02,Nizamabad,Varni,0.0,8.3,32.8,21.7,99.9,0.0,9.8
2019-01-03,Nizamabad,Varni,0.0,17.5,35.4,16.8,99.9,0.0,7.6
2019-01-04,Nizamabad,Varni,0.0,10.8,35.5,19.0,97.5,0.0,5.0
2019-01-05,Nizamabad,Varni,0.0,17.5,33.5,21.1,97.5,0.0,7.1
2019-01-06,Nizamabad,Varni,0.0,18.5,33.9,29.6,95.4,0.0,10.2
2019-01-07,Nizamabad,Varni,0.0,20.1,35.5,19.0,85.3,0.0,8.5
2019-01-08,Nizamabad,Varni,0.0,17.5,33.7,38.5,92.5,0.0,4.9
2019-01-09,Nizamabad,Varni,0.0,15.0,30.4,22.7,79.6,0.0,7.7
2019-01-10,Nizamabad,Varni,0.0,14.9,32.8,26.6,97.5,0.0,6.4
2019-01-11,Nizamabad,Varni,0.0,16.1,32.9,26.8,97.5,0.0,6.9
2019-01-12,Nizamabad,Varni,0.0,23.1,35.4,26.8,83.5,0.0,9.0
2019-01-13,Nizamabad,Varni,0.0,22.6,35.4,22.6,97.5,0.0,15.8
2019-01-14,Nizamabad,Varni,0.0,20.7,32.9,50.9,84.6,0.0,8.7
2019-01-15,Nizamabad,Varni,0.0,20.8,32.9,50.7,91.4,0.0,8.4
2019-01-16,Nizamabad,Varni,0.0,16.4,32.8,21.3,97.5,0.0,4.6
2019-01-17,Nizamabad,Varni,0.0,14.9,32.2,28.9,97.5,0.0,3.5
2019-01-18,Nizamabad,Varni,0.0,17.3,34.6,16.4,94.6,0.0,8.2
2019-01-19,Nizamabad,Varni,0.0,15.3,32.4,38.1,94.8,0.0,7.7
2019-01-20,Nizamabad,Varni,0.0,16.8,32.1,41.1,99.9,0.0,7.5
2019-01-21,Nizamabad,Varni,0.0,14.5,33.4,30.6,89.9,0.0,8.2
2019-01-22,Nizamabad,Varni,0.0,21.5,34.6,22.9,80.3,0.0,15.4
2019-01-23,Nizamabad,Varni,0.0,19.6,34.9,24.8,95.1,0.0,15.5
2019-01-24,Nizamabad,Varni,0.0,19.8,34.6,41.2,94.1,0.0,9.2
2019-01-25,Nizamabad,Varni,0.0,23.9,34.8,40.3,98.1,0.0,15.5
2019-01-26,Nizamabad,Varni,0.0,22.4,33.5,53.2,99.9,0.0,8.9
