Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Adilabad,Neradigonda,0.0,18.1,27.5,64.4,95.5,0,6.7
2020-01-02,Adilabad,Neradigonda,1.4,18.8,29.6,58.0,99.9,0,10.5
2020-01-03,Adilabad,Neradigonda,19.4,17.3,29.5,68.0,99.9,0,6.6
2020-01-04,Adilabad,Neradigonda,0.0,15.5,23.6,86.0,99.9,0,6.5
2020-01-05,Adilabad,Neradigonda,0.0,15.2,26.2,63.8,99.9,0,8.1
2020-01-06,Adilabad,Neradigonda,0.0,14.3,27.3,48.7,99.9,0,12.5
2020-01-07,Adilabad,Neradigonda,0.0,16.8,28.9,43.9,93.6,0,6.5
2020-01-08,Adilabad,Neradigonda,0.0,19.5,29.6,55.6,99.9,0,5.4
2020-01-09,Adilabad,Neradigonda,0.0,19.7,30.9,67.4,99.9,0,10.4
2020-01-10,Adilabad,Neradigonda,0.0,12.8,24.9,66.9,99.9,0,13.7
2020-01-11,Adilabad,Neradigonda,0.0,12.4,27.3,42.5,98.4,0,9.7
2020-01-12,Adilabad,Neradigonda,0.0,11.0,29.3,35.2,90.9,0,10.0
2020-01-13,Adilabad,Neradigonda,0.0,10.4,29.0,22.9,77.0,0,7.4
2020-01-14,Adilabad,Neradigonda,0.0,12.3,30.5,25.5,100.0,0,5.3
2020-01-15,Adilabad,Neradigonda,0.0,14.7,30.6,32.3,85.4,0,7.1
2020-01-16,Adilabad,Neradigonda,0.0,17.1,29.5,36.7,100.0,0,8.4
2020-01-17,Adilabad,Neradigonda,0.0,16.3,27.5,42.7,97.9,0,7.6
2020-01-18,Adilabad,Neradigonda,0.0,16.3,27.3,55.9,100.0,0,8.3
2020-01-19,Adilabad,Neradigonda,0.0,16.1,29.2,49.0,100.0,0,8.4
2020-01-20,Adilabad,Neradigonda,0.0,14.8,30.4,42.9,100.0,0,5.9
2020-01-21,Adilabad,Neradigonda,0.0,15.5,26.9,64.0,100.0,0,5.7
2020-01-22,Adilabad,Neradigonda,0.0,16.8,29.6,51.4,100.0,0,9.1
2020-01-23,Adilabad,Neradigonda,0.0,15.0,29.8,50.0,100.0,0,11.5
2020-01-24,Adilabad,Neradigonda,0.0,14.9,31.1,38.2,100.0,0,8.0
2020-01-25,Adilabad,Neradigonda,0.0,14.9,30.8,46.2,100.0,0,6.3
2020-01-26,Adilabad,Neradigonda,0.0,15.8,31.1,38.6,100.0,0,7.5
2020-01-27,Adilabad,Neradigonda,0.0,12.5,31.9,26.7,93.7,0,10.6
2020-01-28,Adilabad,Neradigonda,0.0,21.4,32.8,27.9,100.0,0,7.1
2020-01-29,Adilabad,Neradigonda,0.0,15.9,30.6,36.7,100.0,0,10.8
2020-01-30,Adilabad,Neradigonda,0.0,14.0,30.9,52.4,100.0,0,5.5
2020-01-31,Adilabad,Neradigonda,0.0,10.5,28.2,39.7,97.7,0,11.3
2020-02-01,Adilabad,Neradigonda,0.0,15.3,29.4,36.0,100.0,0,9.2
2020-02-02,Adilabad,Neradigonda,0.0,15.9,30.9,45.5,100.0,0,13.9
2020-02-03,Adilabad,Neradigonda,0.0,17.3,27.0,57.8,100.0,0,8.4
2020-02-04,Adilabad,Neradigonda,0.0,19.2,29.7,43.1,100.0,0,9.1
2020-02-05,Adilabad,Neradigonda,0.0,16.5,30.4,43.0,100.0,0,13.9
2020-02-06,Adilabad,Neradigonda,0.0,17.2,31.0,43.9,97.9,0,7.9
2020-02-07,Adilabad,Neradigonda,0.0,16.5,32.2,37.7,100.0,0,11.6
2020-02-08,Adilabad,Neradigonda,0.0,19.0,30.7,40.5,100.0,0,12.8
2020-02-09,Adilabad,Neradigonda,6.4,15.3,21.5,81.7,100.0,0,14.7
2020-02-10,Adilabad,Neradigonda,0.0,13.9,25.7,62.0,100.0,0,11.4
2020-02-11,Adilabad,Neradigonda,0.0,15.9,27.9,55.9,100.0,0,8.8
2020-02-12,Adilabad,Neradigonda,0.0,16.3,30.0,47.6,100.0,0,10.2
2020-02-13,Adilabad,Neradigonda,0.0,12.9,29.2,39.5,100.0,0,10.3
2020-02-14,Adilabad,Neradigonda,0.0,15.7,31.2,28.7,81.6,0,10.4
2020-02-15,Adilabad,Neradigonda,0.0,15.1,33.1,24.6,100.0,0,8.8
2020-02-16,Adilabad,Neradigonda,0.0,14.3,33.2,29.6,100.0,0,9.7
2020-02-17,Adilabad,Neradigonda,0.0,14.4,33.5,29.8,75.2,0,12.7
2020-02-18,Adilabad,Neradigonda,0.0,12.4,32.9,21.5,66.2,0,12.8
2020-02-19,Adilabad,Neradigonda,0.0,11.8,33.0,17.8,77.9,0,13.4
2020-02-20,Adilabad,Neradigonda,0.0,16.9,34.2,20.4,95.9,0,8.4
2020-02-21,Adilabad,Neradigonda,0.0,18.9,32.8,36.8,96.9,0,12.0
2020-02-22,Adilabad,Neradigonda,0.0,16.4,31.1,41.5,88.3,0,12.1
2020-02-23,Adilabad,Neradigonda,0.0,16.2,33.3,32.8,91.6,0,10.4
