Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Karimnagar,Chigurumamidi,0.0,19.4,27.5,58.4,92.8,0,8.5
2020-01-02,Karimnagar,Chigurumamidi,0.0,21.3,30.8,49.5,90.7,0,8.3
2020-01-03,Karimnagar,Chigurumamidi,0.0,21.9,30.4,55.4,90.3,0,7.5
2020-01-04,Karimnagar,Chigurumamidi,7.0,19.9,24.3,85.2,100.0,0,6.3
2020-01-05,Karimnagar,Chigurumamidi,0.0,18.5,26.6,69.2,92.9,0,6.6
2020-01-06,Karimnagar,Chigurumamidi,0.0,15.5,28.0,49.5,87.5,0,4.6
2020-01-07,Karimnagar,Chigurumamidi,0.0,19.7,29.7,49.8,91.1,0,4.8
2020-01-08,Karimnagar,Chigurumamidi,0.0,21.1,30.9,54.0,95.6,0,6.6
2020-01-09,Karimnagar,Chigurumamidi,0.0,20.6,31.2,52.1,93.0,0,10.4
2020-01-10,Karimnagar,Chigurumamidi,0.0,18.8,32.1,49.1,85.1,0,8.9
2020-01-11,Karimnagar,Chigurumamidi,0.0,14.4,28.3,54.0,86.2,0,8.7
2020-01-12,Karimnagar,Chigurumamidi,0.0,14.5,28.6,45.3,89.1,0,5.8
2020-01-13,Karimnagar,Chigurumamidi,0.0,11.9,29.6,25.5,86.5,0,6.4
2020-01-14,Karimnagar,Chigurumamidi,0.0,14.4,31.8,25.2,81.8,0,3.4
2020-01-15,Karimnagar,Chigurumamidi,0.0,18.1,31.0,48.2,100.0,0,8.4
2020-01-16,Karimnagar,Chigurumamidi,0.0,17.3,29.8,41.6,98.6,0,5.3
2020-01-17,Karimnagar,Chigurumamidi,0.0,19.0,31.1,39.9,95.7,0,8.2
2020-01-18,Karimnagar,Chigurumamidi,0.0,19.6,31.3,43.3,97.0,0,9.1
2020-01-19,Karimnagar,Chigurumamidi,0.0,19.1,31.9,50.0,100.0,0,6.0
2020-01-20,Karimnagar,Chigurumamidi,0.0,19.9,32.4,48.6,99.7,0,5.8
2020-01-21,Karimnagar,Chigurumamidi,0.0,19.2,31.2,48.0,100.0,0,7.6
2020-01-22,Karimnagar,Chigurumamidi,0.0,19.7,32.3,48.4,96.3,0,7.2
2020-01-23,Karimnagar,Chigurumamidi,0.0,18.0,32.5,40.5,100.0,0,9.2
2020-01-24,Karimnagar,Chigurumamidi,0.0,16.8,33.1,35.3,100.0,0,7.3
2020-01-25,Karimnagar,Chigurumamidi,0.0,16.5,31.8,46.6,93.7,0,6.8
2020-01-26,Karimnagar,Chigurumamidi,0.0,17.5,34.3,28.2,91.0,0,5.6
2020-01-27,Karimnagar,Chigurumamidi,0.0,15.4,33.2,34.6,87.8,0,5.7
2020-01-28,Karimnagar,Chigurumamidi,0.0,20.3,34.7,37.6,76.2,0,9.4
2020-01-29,Karimnagar,Chigurumamidi,0.0,20.4,33.8,35.8,94.1,0,9.4
2020-01-30,Karimnagar,Chigurumamidi,0.0,17.7,32.4,40.2,95.7,0,7.7
2020-01-31,Karimnagar,Chigurumamidi,0.0,16.4,30.7,46.6,86.8,0,6.2
2020-02-01,Karimnagar,Chigurumamidi,0.0,18.8,29.5,45.2,94.7,0,8.9
