Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Karimnagar,Gannervaram,0.0,18.9,26.3,63.2,95.1,0,9.4
2020-01-02,Karimnagar,Gannervaram,0.0,21.0,30.0,53.5,91.2,0,14.5
2020-01-03,Karimnagar,Gannervaram,0.0,21.7,29.0,59.7,90.5,0,16.9
2020-01-04,Karimnagar,Gannervaram,2.0,19.8,24.3,83.0,94.4,0,13.4
2020-01-05,Karimnagar,Gannervaram,0.0,16.8,25.2,70.7,96.6,0,11.5
2020-01-06,Karimnagar,Gannervaram,0.0,14.7,25.8,54.8,94.6,0,12.5
2020-01-07,Karimnagar,Gannervaram,0.0,18.2,27.8,56.9,94.4,0,5.2
2020-01-08,Karimnagar,Gannervaram,0.0,21.3,30.7,56.3,91.0,0,7.8
2020-01-09,Karimnagar,Gannervaram,0.0,20.2,30.8,55.0,93.8,0,9.8
2020-01-10,Karimnagar,Gannervaram,0.0,18.0,29.1,60.1,87.3,0,10.9
2020-01-11,Karimnagar,Gannervaram,0.0,13.7,26.1,59.6,95.7,0,14.2
2020-01-12,Karimnagar,Gannervaram,0.0,13.4,26.9,52.5,96.6,0,3.7
2020-01-13,Karimnagar,Gannervaram,0.0,10.9,27.2,26.6,94.6,0,13.3
2020-01-14,Karimnagar,Gannervaram,0.0,14.0,30.6,31.6,93.5,0,2.4
2020-01-15,Karimnagar,Gannervaram,0.0,16.1,29.0,58.3,97.1,0,2.3
2020-01-16,Karimnagar,Gannervaram,0.0,16.6,30.2,40.9,96.0,0,14.1
2020-01-17,Karimnagar,Gannervaram,0.0,18.2,30.2,44.6,94.9,0,15.4
2020-01-18,Karimnagar,Gannervaram,0.0,18.9,30.6,46.6,93.4,0,5.5
2020-01-19,Karimnagar,Gannervaram,0.0,17.9,30.4,51.8,96.9,0,7.6
2020-01-20,Karimnagar,Gannervaram,0.0,19.7,30.9,52.2,96.3,0,9.3
2020-01-21,Karimnagar,Gannervaram,0.0,18.4,28.2,65.0,97.2,0,11.6
2020-01-22,Karimnagar,Gannervaram,0.0,18.9,30.9,48.8,95.6,0,13.4
2020-01-23,Karimnagar,Gannervaram,0.0,16.1,31.7,42.8,97.2,0,13.4
2020-01-24,Karimnagar,Gannervaram,0.0,16.4,31.1,41.5,97.1,0,9.3
2020-01-25,Karimnagar,Gannervaram,0.0,16.8,30.3,43.2,96.4,0,9.9
2020-01-26,Karimnagar,Gannervaram,0.0,17.1,31.7,38.9,94.5,0,1.8
2020-01-27,Karimnagar,Gannervaram,0.0,15.4,31.3,41.1,95.8,0,1.3
2020-01-28,Karimnagar,Gannervaram,0.0,19.3,34.6,32.5,86.4,0,8.9
2020-01-29,Karimnagar,Gannervaram,0.0,19.1,33.2,37.3,92.7,0,7.9
2020-01-30,Karimnagar,Gannervaram,0.0,17.3,31.2,44.4,91.7,0,4.2
2020-01-31,Karimnagar,Gannervaram,0.0,15.1,28.2,51.3,92.4,0,6.0
2020-02-01,Karimnagar,Gannervaram,0.0,18.5,27.6,48.5,92.2,0,9.5
2020-02-02,Karimnagar,Gannervaram,0.0,18.6,31.7,49.2,87.2,0,13.8
2020-02-03,Karimnagar,Gannervaram,0.0,19.6,28.8,60.8,95.3,0,14.5
2020-02-04,Karimnagar,Gannervaram,0.0,19.9,31.7,45.9,91.2,0,4.4
2020-02-05,Karimnagar,Gannervaram,0.0,19.0,34.0,35.8,93.3,0,11.2
2020-02-06,Karimnagar,Gannervaram,0.0,18.8,32.8,41.7,92.6,0,16.2
2020-02-07,Karimnagar,Gannervaram,0.0,20.7,34.0,37.1,89.5,0,11.3
2020-02-08,Karimnagar,Gannervaram,0.0,21.2,31.3,49.3,88.5,0,10.9
2020-02-09,Karimnagar,Gannervaram,12.0,17.3,26.3,75.9,96.0,0,19.8
2020-02-10,Karimnagar,Gannervaram,0.0,17.0,25.1,73.3,97.2,0,2.2
2020-02-11,Karimnagar,Gannervaram,0.0,20.5,27.4,66.0,95.6,0,3.3
2020-02-12,Karimnagar,Gannervaram,0.0,20.0,29.2,57.5,97.4,0,5.7
2020-02-13,Karimnagar,Gannervaram,0.0,16.4,29.9,50.0,97.4,0,3.7
2020-02-14,Karimnagar,Gannervaram,0.0,16.5,29.8,38.8,94.8,0,3.1
2020-02-15,Karimnagar,Gannervaram,0.0,15.8,32.9,28.0,90.8,0,8.3
2020-02-16,Karimnagar,Gannervaram,0.0,16.3,32.0,37.8,91.7,0,2.3
2020-02-17,Karimnagar,Gannervaram,0.0,15.8,32.6,35.3,94.5,0,3.0
2020-02-18,Karimnagar,Gannervaram,0.0,14.6,31.6,31.3,94.5,0,5.8
2020-02-19,Karimnagar,Gannervaram,0.0,13.2,31.9,26.0,91.8,0,1.6
2020-02-20,Karimnagar,Gannervaram,0.0,18.9,32.2,34.8,95.8,0,9.8
2020-02-21,Karimnagar,Gannervaram,0.0,18.8,31.5,46.0,92.9,0,12.1
2020-02-22,Karimnagar,Gannervaram,0.0,17.6,32.1,40.6,88.0,0,13.8
2020-02-23,Karimnagar,Gannervaram,0.0,17.2,32.8,35.2,93.5,0,14.8
2020-02-24,Karimnagar,Gannervaram,0.0,18.2,33.3,36.5,94.0,0,13.2
2020-02-25,Karimnagar,Gannervaram,0.0,20.4,34.7,31.3,85.4,0,13.7
2020-02-26,Karimnagar,Gannervaram,0.0,16.7,30.8,46.9,92.1,0,12.1
2020-02-27,Karimnagar,Gannervaram,0.0,14.3,29.8,35.9,84.8,0,13.3
2020-02-28,Karimnagar,Gannervaram,0.0,15.6,30.8,29.8,90.2,0,2.2
2020-02-29,Karimnagar,Gannervaram,0.0,18.4,32.2,41.0,94.6,0,2.6
2020-03-01,Karimnagar,Gannervaram,0.0,20.0,32.7,45.1,94.8,0,7.1
2020-03-02,Karimnagar,Gannervaram,0.0,21.1,32.4,45.2,87.9,0,6.7
2020-03-03,Karimnagar,Gannervaram,0.0,19.5,33.2,45.2,92.0,0,1.5
2020-03-04,Karimnagar,Gannervaram,0.0,21.6,35.1,38.6,85.4,0,3.9
2020-03-05,Karimnagar,Gannervaram,0.0,19.2,35.7,26.6,88.0,0,2.6
2020-03-06,Karimnagar,Gannervaram,0.0,21.9,31.8,44.9,94.2,0,1.9
2020-03-07,Karimnagar,Gannervaram,0.0,23.6,33.3,46.2,90.2,0,8.3
2020-03-08,Karimnagar,Gannervaram,0.0,21.7,32.6,53.5,95.6,0,9.8
2020-03-09,Karimnagar,Gannervaram,7.5,21.7,32.9,52.6,96.8,0,4.4
2020-03-10,Karimnagar,Gannervaram,0.0,21.3,31.9,56.3,87.9,0,0.2
2020-03-11,Karimnagar,Gannervaram,0.0,22.1,35.0,44.7,87.7,0,12.6
2020-03-12,Karimnagar,Gannervaram,0.0,21.3,34.5,47.4,93.8,0,4.4
2020-03-13,Karimnagar,Gannervaram,1.8,21.2,31.8,61.1,97.0,0,15.2
2020-03-14,Karimnagar,Gannervaram,0.0,20.1,34.7,40.9,90.4,0,15.1
2020-03-15,Karimnagar,Gannervaram,0.0,20.5,33.5,50.2,94.7,0,13.5
2020-03-16,Karimnagar,Gannervaram,0.0,20.6,34.0,40.4,94.0,0,14.1
2020-03-17,Karimnagar,Gannervaram,0.0,21.5,35.9,38.8,94.4,0,9.2
2020-03-18,Karimnagar,Gannervaram,0.0,20.7,35.7,37.4,88.6,0,18.6
2020-03-19,Karimnagar,Gannervaram,1.5,21.5,34.3,38.9,90.6,0,15.4
2020-03-20,Karimnagar,Gannervaram,0.0,21.0,35.2,43.7,83.6,0,8.0
2020-03-21,Karimnagar,Gannervaram,0.0,22.4,34.0,45.0,89.8,0,17.5
2020-03-22,Karimnagar,Gannervaram,0.0,21.4,34.3,46.4,95.0,0,17.7
2020-03-23,Karimnagar,Gannervaram,0.0,21.2,34.2,39.2,95.2,0,12.4
2020-03-24,Karimnagar,Gannervaram,0.0,21.1,35.8,37.1,87.7,0,6.8
2020-03-25,Karimnagar,Gannervaram,0.0,22.0,35.7,40.9,87.2,0,12.1
2020-03-26,Karimnagar,Gannervaram,0.0,23.1,36.4,41.2,78.8,0,14.1
2020-03-27,Karimnagar,Gannervaram,0.0,23.3,36.1,37.3,76.4,0,11.4
2020-03-28,Karimnagar,Gannervaram,0.0,21.5,37.8,29.1,71.8,0,14.5
2020-03-29,Karimnagar,Gannervaram,0.0,22.2,36.9,28.3,82.4,0,15.7
2020-03-30,Karimnagar,Gannervaram,0.0,21.2,37.6,33.6,79.3,0,12.6
2020-03-31,Karimnagar,Gannervaram,0.0,22.4,34.1,45.3,82.5,0,15.2
2020-04-01,Karimnagar,Gannervaram,0.0,24.5,37.7,34.3,83.1,,10.1
2020-04-02,Karimnagar,Gannervaram,0.0,22.4,37.9,27.9,84.1,,20.1
2020-04-03,Karimnagar,Gannervaram,0.0,25.3,37.2,38.1,72.2,,18.3
2020-04-04,Karimnagar,Gannervaram,0.0,23.3,34.3,41.4,86.8,,11.7
2020-04-05,Karimnagar,Gannervaram,0.0,20.6,35.8,32.4,85.7,,8.2
2020-04-06,Karimnagar,Gannervaram,0.0,23.9,36.9,31.9,78.3,,16.7
2020-04-07,Karimnagar,Gannervaram,0.0,22.7,36.9,34.2,80.9,,1.7
2020-04-08,Karimnagar,Gannervaram,0.0,23.9,38.0,33.9,67.8,,6.4
2020-04-09,Karimnagar,Gannervaram,0.0,24.3,37.7,34.1,89.8,,2.1
2020-04-10,Karimnagar,Gannervaram,0.0,21.0,37.1,37.1,87.1,,3.4
2020-04-11,Karimnagar,Gannervaram,0.0,22.6,36.8,36.9,82.1,,3.8
2020-04-12,Karimnagar,Gannervaram,0.0,22.4,38.2,26.0,78.0,,1.7
2020-04-13,Karimnagar,Gannervaram,0.0,23.3,39.8,27.8,73.1,,0.9
2020-04-14,Karimnagar,Gannervaram,0.0,23.7,39.6,21.4,59.3,,1.9
2020-04-15,Karimnagar,Gannervaram,0.0,24.2,40.4,19.3,68.2,,1.3
2020-04-16,Karimnagar,Gannervaram,0.0,23.9,39.0,21.6,72.6,,2.3
2020-04-17,Karimnagar,Gannervaram,0.0,22.4,39.4,24.2,80.2,,1.0
2020-04-18,Karimnagar,Gannervaram,0.0,24.7,41.1,25.5,81.6,,3.0
2020-04-19,Karimnagar,Gannervaram,4.8,21.8,39.3,33.9,94.9,,1.4
2020-04-20,Karimnagar,Gannervaram,0.5,22.9,34.6,43.2,90.1,,2.3
2020-04-21,Karimnagar,Gannervaram,0.0,23.0,38.1,34.2,75.8,,1.7
2020-04-22,Karimnagar,Gannervaram,0.0,23.4,38.7,28.6,80.6,,1.4
2020-04-23,Karimnagar,Gannervaram,0.0,25.0,39.7,27.0,81.6,,1.4
2020-04-24,Karimnagar,Gannervaram,0.0,25.9,38.4,32.2,86.5,,1.7
2020-04-25,Karimnagar,Gannervaram,0.0,25.4,39.4,36.7,87.8,,2.3
2020-04-26,Karimnagar,Gannervaram,0.0,26.9,37.6,34.3,86.9,,1.1
2020-04-27,Karimnagar,Gannervaram,0.0,24.9,39.2,31.8,85.5,,2.2
2020-04-28,Karimnagar,Gannervaram,0.0,24.2,38.8,26.6,74.9,,2.1
2020-04-29,Karimnagar,Gannervaram,0.0,24.0,38.5,35.4,83.2,,31.6
2020-04-30,Karimnagar,Gannervaram,0.0,26.1,38.4,30.3,70.7,,8.8
2020-05-01,Karimnagar,Gannervaram,4.0,24.6,38.8,28.6,85.2,,28.1
2020-05-02,Karimnagar,Gannervaram,0.0,24.7,38.9,35.7,67.2,,18.5
2020-05-03,Karimnagar,Gannervaram,0.0,27.6,40.9,29.7,79.1,,6.8
2020-05-04,Karimnagar,Gannervaram,0.0,27.6,40.9,26.0,77.2,,20.5
2020-05-05,Karimnagar,Gannervaram,0.0,27.4,42.5,21.6,74.6,,18.1
2020-05-06,Karimnagar,Gannervaram,0.0,26.9,40.8,25.9,79.5,,21.1
2020-05-07,Karimnagar,Gannervaram,0.0,26.6,39.4,38.3,83.3,,19.5
2020-05-08,Karimnagar,Gannervaram,0.0,27.8,37.7,41.9,70.9,,16.3
2020-05-09,Karimnagar,Gannervaram,0.0,27.7,39.4,29.7,68.9,,21.4
2020-05-10,Karimnagar,Gannervaram,0.0,25.2,39.7,34.1,74.7,,27.8
2020-05-11,Karimnagar,Gannervaram,0.0,24.9,36.7,30.4,63.4,,32.8
2020-05-12,Karimnagar,Gannervaram,0.0,25.9,38.0,26.7,71.0,,13.3
2020-05-13,Karimnagar,Gannervaram,0.0,25.6,39.0,31.7,68.8,,9.8
2020-05-14,Karimnagar,Gannervaram,0.0,27.3,39.0,32.1,73.5,,11.8
2020-05-15,Karimnagar,Gannervaram,0.0,26.5,39.3,32.9,66.2,,17.3
