Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Karimnagar,Karimnagar,0.0,20.1,27.1,58.6,88.5,0,6.6
2020-01-02,Karimnagar,Karimnagar,0.0,21.8,29.9,54.1,86.6,0,6.9
2020-01-03,Karimnagar,Karimnagar,0.0,22.2,29.1,58.2,82.8,0,6.8
2020-01-04,Karimnagar,Karimnagar,3.7,19.8,24.1,81.0,97.6,0,4.6
2020-01-05,Karimnagar,Karimnagar,0.0,18.2,26.2,68.1,95.5,0,4.1
2020-01-06,Karimnagar,Karimnagar,0.0,16.1,26.9,51.0,80.4,0,3.1
2020-01-07,Karimnagar,Karimnagar,0.0,20.2,28.9,49.9,79.7,0,5.3
2020-01-08,Karimnagar,Karimnagar,0.0,21.6,30.8,54.1,85.8,0,7.7
2020-01-09,Karimnagar,Karimnagar,0.0,21.5,29.4,56.8,84.1,0,8.6
2020-01-10,Karimnagar,Karimnagar,0.0,18.3,30.3,54.1,79.3,0,3.9
2020-01-11,Karimnagar,Karimnagar,0.0,15.9,26.8,54.6,79.6,0,2.0
2020-01-12,Karimnagar,Karimnagar,0.0,14.6,27.9,46.0,84.7,0,2.9
2020-01-13,Karimnagar,Karimnagar,0.0,14.0,26.8,33.2,89.9,0,4.6
2020-01-14,Karimnagar,Karimnagar,0.0,15.9,31.8,27.7,86.6,0,4.0
2020-01-15,Karimnagar,Karimnagar,0.0,18.3,29.1,55.0,97.3,0,3.4
2020-01-16,Karimnagar,Karimnagar,0.0,18.0,30.5,44.8,93.2,0,6.5
2020-01-17,Karimnagar,Karimnagar,0.0,19.6,29.0,45.3,88.1,0,8.8
2020-01-18,Karimnagar,Karimnagar,0.0,20.7,30.2,46.8,87.5,0,7.9
2020-01-19,Karimnagar,Karimnagar,0.0,20.0,28.8,55.5,95.7,0,6.5
2020-01-20,Karimnagar,Karimnagar,0.0,20.8,31.6,51.3,85.0,0,7.1
2020-01-21,Karimnagar,Karimnagar,0.0,19.8,28.2,62.6,96.9,0,4.1
2020-01-22,Karimnagar,Karimnagar,0.0,20.9,30.6,51.4,87.1,0,6.6
2020-01-23,Karimnagar,Karimnagar,0.0,19.3,31.4,46.7,95.0,0,9.1
2020-01-24,Karimnagar,Karimnagar,0.0,18.8,31.3,42.8,95.0,0,6.7
2020-01-25,Karimnagar,Karimnagar,0.0,18.8,30.3,41.2,97.3,0,4.0
2020-01-26,Karimnagar,Karimnagar,0.0,19.2,32.8,34.4,91.8,0,4.8
2020-01-27,Karimnagar,Karimnagar,0.0,17.9,32.3,36.2,91.0,0,5.1
2020-01-28,Karimnagar,Karimnagar,0.0,21.9,32.7,37.5,72.5,0,6.2
2020-01-29,Karimnagar,Karimnagar,0.0,21.8,33.3,35.9,80.3,0,7.6
2020-01-30,Karimnagar,Karimnagar,0.0,19.5,31.8,42.1,75.2,0,3.5
2020-01-31,Karimnagar,Karimnagar,0.0,17.4,29.0,46.8,71.9,0,8.2
2020-02-01,Karimnagar,Karimnagar,0.0,20.1,29.2,43.3,74.9,0,4.9
2020-02-02,Karimnagar,Karimnagar,0.0,19.6,30.9,49.4,79.9,0,5.5
2020-02-03,Karimnagar,Karimnagar,0.0,21.2,28.8,57.2,87.1,0,4.3
2020-02-04,Karimnagar,Karimnagar,0.0,21.6,30.4,49.4,82.0,0,7.1
2020-02-05,Karimnagar,Karimnagar,0.0,21.0,32.7,37.5,82.0,0,8.4
2020-02-06,Karimnagar,Karimnagar,0.0,20.8,30.5,47.9,87.5,0,5.3
2020-02-07,Karimnagar,Karimnagar,0.0,22.0,32.9,36.5,80.3,0,10.0
2020-02-08,Karimnagar,Karimnagar,0.0,22.8,31.5,47.7,82.7,0,7.4
2020-02-09,Karimnagar,Karimnagar,7.1,17.8,27.7,67.8,99.0,0,7.7
2020-02-10,Karimnagar,Karimnagar,0.0,18.2,25.1,73.1,96.9,0,3.9
2020-02-11,Karimnagar,Karimnagar,0.0,20.9,28.1,64.8,96.2,0,6.8
2020-02-12,Karimnagar,Karimnagar,0.0,20.4,29.0,56.4,93.9,0,5.3
2020-02-13,Karimnagar,Karimnagar,0.0,17.2,30.2,49.9,92.9,0,4.9
2020-02-14,Karimnagar,Karimnagar,0.0,18.8,31.5,35.1,83.1,0,3.5
2020-02-15,Karimnagar,Karimnagar,0.0,17.5,33.7,29.5,82.2,0,4.2
2020-02-16,Karimnagar,Karimnagar,0.0,17.3,32.8,29.5,95.2,0,0.9
2020-02-17,Karimnagar,Karimnagar,0.0,18.3,32.6,31.9,86.8,0,5.1
2020-02-18,Karimnagar,Karimnagar,0.0,15.9,32.8,30.1,87.9,0,3.1
2020-02-19,Karimnagar,Karimnagar,0.0,14.7,32.8,21.6,78.1,0,5.9
