Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Karimnagar,Kothapalle,0.0,19.2,26.0,64.9,92.9,0,10.1
2020-01-02,Karimnagar,Kothapalle,0.0,20.9,29.3,59.0,90.8,0,12.0
2020-01-03,Karimnagar,Kothapalle,0.0,22.0,29.1,61.4,89.0,0,10.7
2020-01-04,Karimnagar,Kothapalle,0.0,19.7,24.0,83.8,94.7,0,9.5
2020-01-05,Karimnagar,Kothapalle,0.0,16.9,24.8,68.9,96.9,0,8.4
2020-01-06,Karimnagar,Kothapalle,0.0,14.3,25.9,57.9,93.9,0,11.5
2020-01-07,Karimnagar,Kothapalle,0.0,18.6,27.5,59.5,92.1,0,7.7
2020-01-08,Karimnagar,Kothapalle,0.0,21.4,29.4,61.2,91.0,0,7.6
2020-01-09,Karimnagar,Kothapalle,0.0,20.5,29.3,62.5,91.7,0,8.7
2020-01-10,Karimnagar,Kothapalle,0.0,17.8,28.8,63.1,88.0,0,11.2
2020-01-11,Karimnagar,Kothapalle,0.0,13.5,25.8,61.4,95.8,0,9.7
2020-01-12,Karimnagar,Kothapalle,0.0,12.9,26.8,55.1,96.8,0,5.3
2020-01-13,Karimnagar,Kothapalle,0.0,10.7,27.4,31.1,95.9,0,7.7
2020-01-14,Karimnagar,Kothapalle,0.0,13.7,29.7,33.8,95.5,0,3.1
2020-01-15,Karimnagar,Kothapalle,0.0,16.7,28.7,58.4,96.4,0,7.6
2020-01-16,Karimnagar,Kothapalle,0.0,16.8,29.0,45.3,94.6,0,10.5
2020-01-17,Karimnagar,Kothapalle,0.0,18.7,29.1,48.9,92.3,0,11.5
2020-01-18,Karimnagar,Kothapalle,0.0,20.4,29.2,51.9,93.6,0,5.3
2020-01-19,Karimnagar,Kothapalle,0.0,19.1,28.8,59.4,100.0,0,5.8
2020-01-20,Karimnagar,Kothapalle,0.0,20.5,30.7,57.4,100.0,0,7.8
2020-01-21,Karimnagar,Kothapalle,0.0,19.1,27.7,68.2,100.0,0,8.0
2020-01-22,Karimnagar,Kothapalle,0.0,20.0,31.8,50.1,100.0,0,2.8
2020-01-23,Karimnagar,Kothapalle,0.0,17.7,31.3,48.0,100.0,0,8.0
2020-01-24,Karimnagar,Kothapalle,0.0,17.4,31.8,41.6,100.0,0,5.2
2020-01-25,Karimnagar,Kothapalle,0.0,17.7,31.6,37.0,100.0,0,1.2
