Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Nizamabad,Dharpalle,0.0,20.0,26.1,67.8,90.5,0,11.5
2020-01-02,Nizamabad,Dharpalle,1.4,20.5,29.2,58.2,92.9,0,11.3
2020-01-03,Nizamabad,Dharpalle,5.7,20.5,28.9,60.1,97.0,0,12.1
2020-01-04,Nizamabad,Dharpalle,1.5,18.6,23.5,84.9,97.9,0,10.0
2020-01-05,Nizamabad,Dharpalle,0.0,16.3,23.4,75.8,97.8,0,10.5
2020-01-06,Nizamabad,Dharpalle,0.0,14.6,25.7,55.3,97.7,0,9.0
2020-01-07,Nizamabad,Dharpalle,0.0,18.1,28.0,54.2,93.8,0,4.8
2020-01-08,Nizamabad,Dharpalle,0.0,21.2,28.8,60.1,91.0,0,10.8
2020-01-09,Nizamabad,Dharpalle,0.0,20.8,31.2,53.8,95.2,0,7.3
2020-01-10,Nizamabad,Dharpalle,0.0,15.9,25.8,74.2,94.7,0,13.0
2020-01-11,Nizamabad,Dharpalle,0.0,14.8,26.0,59.2,93.1,0,8.3
2020-01-12,Nizamabad,Dharpalle,0.0,13.7,28.2,51.6,96.5,0,11.7
2020-01-13,Nizamabad,Dharpalle,0.0,13.2,27.6,24.4,86.3,0,2.2
2020-01-14,Nizamabad,Dharpalle,0.0,15.5,28.5,37.1,86.8,0,8.8
2020-01-15,Nizamabad,Dharpalle,0.0,18.1,30.4,39.7,93.3,0,6.2
2020-01-16,Nizamabad,Dharpalle,0.0,17.9,30.5,37.4,91.3,0,10.5
2020-01-17,Nizamabad,Dharpalle,0.0,18.4,29.0,43.4,92.1,0,13.9
2020-01-18,Nizamabad,Dharpalle,0.0,19.7,29.5,47.1,92.3,0,7.7
2020-01-19,Nizamabad,Dharpalle,0.0,19.8,30.3,45.7,91.2,0,7.2
2020-01-20,Nizamabad,Dharpalle,0.0,19.1,29.6,50.9,96.9,0,6.2
2020-01-21,Nizamabad,Dharpalle,0.0,20.1,30.1,55.5,95.5,0,6.5
2020-01-22,Nizamabad,Dharpalle,0.0,20.1,31.0,46.7,92.2,0,8.4
2020-01-23,Nizamabad,Dharpalle,0.0,17.5,31.4,42.9,92.2,0,11.1
2020-01-24,Nizamabad,Dharpalle,0.0,18.1,32.2,38.4,91.6,0,7.7
2020-01-25,Nizamabad,Dharpalle,0.0,18.5,31.4,41.4,88.3,0,7.1
2020-01-26,Nizamabad,Dharpalle,0.0,17.3,31.3,41.9,92.1,0,5.2
2020-01-27,Nizamabad,Dharpalle,0.0,17.6,30.9,37.2,84.8,0,4.0
2020-01-28,Nizamabad,Dharpalle,0.0,19.9,33.3,33.2,82.2,0,8.0
2020-01-29,Nizamabad,Dharpalle,0.0,18.0,30.6,41.8,91.9,0,7.5
2020-01-30,Nizamabad,Dharpalle,0.0,16.7,29.1,45.8,92.1,0,9.1
2020-01-31,Nizamabad,Dharpalle,0.0,15.9,28.4,49.6,92.0,0,11.4
2020-02-01,Nizamabad,Dharpalle,0.0,19.0,30.1,45.0,78.1,0,5.8
2020-02-02,Nizamabad,Dharpalle,0.0,17.7,31.6,47.0,87.5,0,8.6
2020-02-03,Nizamabad,Dharpalle,0.0,19.6,29.0,55.4,93.0,0,7.2
