Date,District,Mandal,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
2020-01-01,Nizamabad,Makloor,0.0,19.7,27.4,62.0,90.3,0,11.3
2020-01-02,Nizamabad,Makloor,1.0,19.9,29.8,57.0,96.2,0,10.0
2020-01-03,Nizamabad,Makloor,24.9,19.7,31.0,54.6,98.2,0,7.4
2020-01-04,Nizamabad,Makloor,0.0,18.6,23.7,84.4,98.6,0,1.9
2020-01-05,Nizamabad,Makloor,0.0,16.5,25.6,66.4,98.9,0,2.9
2020-01-06,Nizamabad,Makloor,0.0,14.6,26.9,56.9,94.5,0,3.7
2020-01-07,Nizamabad,Makloor,0.0,18.1,28.6,54.9,94.3,0,6.3
2020-01-08,Nizamabad,Makloor,0.0,20.5,30.7,57.8,94.4,0,5.5
2020-01-09,Nizamabad,Makloor,0.0,20.8,31.4,56.0,93.4,0,8.7
2020-01-10,Nizamabad,Makloor,0.0,15.8,27.7,68.3,90.6,0,12.4
2020-01-11,Nizamabad,Makloor,0.0,15.1,27.3,56.1,87.4,0,1.5
2020-01-12,Nizamabad,Makloor,0.0,13.6,29.8,46.0,94.5,0,1.0
2020-01-13,Nizamabad,Makloor,0.0,12.3,30.4,30.8,94.4,0,1.1
2020-01-14,Nizamabad,Makloor,0.0,15.6,31.8,31.6,90.5,0,4.4
2020-01-15,Nizamabad,Makloor,0.0,17.5,32.1,40.1,95.2,0,5.8
2020-01-16,Nizamabad,Makloor,0.0,17.7,31.7,31.5,91.9,0,14.1
2020-01-17,Nizamabad,Makloor,0.0,17.8,30.0,45.6,91.3,0,7.2
2020-01-18,Nizamabad,Makloor,0.0,19.1,30.5,50.8,95.4,0,7.4
2020-01-19,Nizamabad,Makloor,0.0,18.9,31.8,49.4,95.5,0,2.6
2020-01-20,Nizamabad,Makloor,0.0,19.3,32.1,43.8,94.1,0,7.4
2020-01-21,Nizamabad,Makloor,0.0,19.5,30.9,57.8,95.6,0,7.7
2020-01-22,Nizamabad,Makloor,0.0,19.4,32.1,42.7,92.3,0,9.9
2020-01-23,Nizamabad,Makloor,0.0,17.5,32.5,44.0,95.5,0,10.2
2020-01-24,Nizamabad,Makloor,0.0,17.7,33.0,39.4,92.5,0,6.3
2020-01-25,Nizamabad,Makloor,0.0,17.8,32.4,38.0,95.9,0,6.8
2020-01-26,Nizamabad,Makloor,0.0,17.5,32.4,39.5,96.9,0,14.8
2020-01-27,Nizamabad,Makloor,0.0,16.1,34.5,33.9,93.5,0,8.9
2020-01-28,Nizamabad,Makloor,0.0,20.3,34.8,32.2,77.7,0,10.2
2020-01-29,Nizamabad,Makloor,0.0,18.3,32.1,36.5,92.3,0,13.9
2020-01-30,Nizamabad,Makloor,0.0,16.8,31.8,41.3,94.5,0,10.2
2020-01-31,Nizamabad,Makloor,0.0,15.6,31.3,42.0,91.3,0,2.2
2020-02-01,Nizamabad,Makloor,0.0,17.0,30.2,44.6,87.5,0,12.1
2020-02-02,Nizamabad,Makloor,0.0,18.2,32.9,48.2,85.4,0,11.1
2020-02-03,Nizamabad,Makloor,0.0,19.7,28.7,58.8,92.0,0,12.7
2020-02-04,Nizamabad,Makloor,0.0,20.2,32.6,43.1,87.9,0,10.0
2020-02-05,Nizamabad,Makloor,0.0,19.5,33.5,37.7,91.4,0,14.5
2020-02-06,Nizamabad,Makloor,0.0,19.7,34.1,44.1,94.4,0,9.7
2020-02-07,Nizamabad,Makloor,0.0,20.2,34.6,37.3,88.9,0,8.2
2020-02-08,Nizamabad,Makloor,0.0,20.4,31.5,42.2,94.5,0,15.8
2020-02-09,Nizamabad,Makloor,0.3,17.4,26.9,70.5,90.8,0,6.9
2020-02-10,Nizamabad,Makloor,0.0,17.5,26.3,68.2,98.1,0,10.2
2020-02-11,Nizamabad,Makloor,0.0,19.3,29.3,56.4,97.0,0,5.9
2020-02-12,Nizamabad,Makloor,0.0,18.9,31.0,56.5,97.0,0,8.7
2020-02-13,Nizamabad,Makloor,0.0,17.2,33.0,42.5,96.5,0,7.6
2020-02-14,Nizamabad,Makloor,0.0,18.9,34.9,30.0,74.8,0,4.4
2020-02-15,Nizamabad,Makloor,0.0,16.3,34.6,22.2,89.2,0,8.8
2020-02-16,Nizamabad,Makloor,0.0,17.2,34.1,36.4,87.4,0,7.6
2020-02-17,Nizamabad,Makloor,0.0,17.1,35.4,35.4,91.8,0,8.8
2020-02-18,Nizamabad,Makloor,0.0,15.6,35.2,25.7,92.6,0,10.7
2020-02-19,Nizamabad,Makloor,0.0,15.9,34.0,24.5,83.2,0,10.8
2020-02-20,Nizamabad,Makloor,0.0,19.2,35.0,28.3,89.2,0,7.0
2020-02-21,Nizamabad,Makloor,0.0,19.2,33.0,38.9,91.4,0,9.8
2020-02-22,Nizamabad,Makloor,0.0,18.5,33.0,36.5,83.8,0,12.8
2020-02-23,Nizamabad,Makloor,0.0,18.6,33.8,36.1,83.9,0,7.7
2020-02-24,Nizamabad,Makloor,0.0,20.2,34.5,30.2,76.6,0,7.2
2020-02-25,Nizamabad,Makloor,0.0,20.0,36.2,30.1,86.6,0,11.0
2020-02-26,Nizamabad,Makloor,0.0,15.7,33.2,29.8,86.8,0,7.0
2020-02-27,Nizamabad,Makloor,0.0,16.5,33.2,27.5,71.3,0,10.4
2020-02-28,Nizamabad,Makloor,0.0,16.5,33.7,24.4,81.6,0,14.4
2020-02-29,Nizamabad,Makloor,0.0,18.3,33.7,33.7,91.3,0,9.3
2020-03-01,Nizamabad,Makloor,0.0,19.4,35.1,33.5,91.0,0,6.9
2020-03-02,Nizamabad,Makloor,0.0,20.6,34.0,41.0,89.2,0,6.0
2020-03-03,Nizamabad,Makloor,0.0,20.6,35.1,39.3,88.1,0,8.3
2020-03-04,Nizamabad,Makloor,0.0,20.7,36.8,29.8,78.5,0,12.8
2020-03-05,Nizamabad,Makloor,0.0,17.1,35.2,28.2,76.7,0,11.7
2020-03-06,Nizamabad,Makloor,0.0,21.7,34.2,26.7,91.1,0,13.4
2020-03-07,Nizamabad,Makloor,0.0,20.3,35.4,33.2,81.9,0,14.4
2020-03-08,Nizamabad,Makloor,0.0,21.3,33.5,37.1,95.2,0,14.1
2020-03-09,Nizamabad,Makloor,1.7,21.7,33.7,50.2,92.8,0,10.9
2020-03-10,Nizamabad,Makloor,0.0,21.2,31.4,60.0,93.5,0,13.6
2020-03-11,Nizamabad,Makloor,0.0,23.0,37.7,39.5,86.0,0,13.0
2020-03-12,Nizamabad,Makloor,0.0,22.7,34.4,41.0,90.4,0,14.3
2020-03-13,Nizamabad,Makloor,0.0,21.7,34.7,49.5,93.2,0,13.0
2020-03-14,Nizamabad,Makloor,1.2,21.8,35.6,51.4,94.4,0,12.4
2020-03-15,Nizamabad,Makloor,0.0,21.4,33.4,51.0,91.8,0,13.4
2020-03-16,Nizamabad,Makloor,0.0,21.5,36.1,41.4,90.1,0,8.8
2020-03-17,Nizamabad,Makloor,0.0,21.5,35.0,39.8,90.6,0,8.1
2020-03-18,Nizamabad,Makloor,0.0,22.1,35.8,39.9,80.5,0,9.7
2020-03-19,Nizamabad,Makloor,3.9,21.7,37.8,35.1,85.6,0,11.5
2020-03-20,Nizamabad,Makloor,0.0,20.7,36.4,39.9,91.2,0,12.6
2020-03-21,Nizamabad,Makloor,0.0,20.3,37.1,23.6,89.2,0,15.0
2020-03-22,Nizamabad,Makloor,0.0,18.7,35.7,26.2,86.1,0,16.7
2020-03-23,Nizamabad,Makloor,0.0,21.0,37.9,21.7,87.2,0,14.4
2020-03-24,Nizamabad,Makloor,0.0,22.0,38.2,28.9,86.8,0,10.4
2020-03-25,Nizamabad,Makloor,0.0,22.1,38.2,29.2,84.8,0,8.2
2020-03-26,Nizamabad,Makloor,0.0,21.8,36.6,39.4,83.0,0,12.6
2020-03-27,Nizamabad,Makloor,0.0,23.9,36.4,34.6,74.2,0,12.8
2020-03-28,Nizamabad,Makloor,0.0,23.2,39.2,28.5,78.8,0,11.7
2020-03-29,Nizamabad,Makloor,0.0,23.1,38.1,28.0,82.2,0,10.9
2020-03-30,Nizamabad,Makloor,0.0,22.2,38.0,31.3,79.7,0,11.4
2020-03-31,Nizamabad,Makloor,0.0,22.1,36.9,39.7,81.7,0,12.3
2020-04-01,Nizamabad,Makloor,0.0,24.9,39.3,27.8,78.8,,12.5
2020-04-02,Nizamabad,Makloor,0.0,23.0,38.1,27.7,78.2,,6.9
2020-04-03,Nizamabad,Makloor,0.0,25.6,39.8,30.3,73.4,,8.1
2020-04-04,Nizamabad,Makloor,0.0,23.8,36.6,32.7,83.2,,6.6
